,1-Gram,Frequency,2-Gram,Frequency,3-Gram,Frequency
0,"('horrible',)",3056.0,"('horrible', 'experience')",234.0,,
1,"('experience',)",4295.0,"('experience', 'waiter')",16.0,,
2,"('waiter',)",2446.0,,,,
3,"('great',)",2919.0,"('great', 'got')",8.0,,
4,"('got',)",7167.0,"('got', 'appetizer')",18.0,,
5,"('appetizer',)",956.0,,,,
6,"('hair',)",648.0,,,,
8,"('noodles',)",1023.0,"('noodles', 'came')",7.0,,
9,"('came',)",7128.0,,,,
10,"('mine',)",383.0,,,,
11,"('fine',)",990.0,,,,
12,"('friend',)",1545.0,,,,
13,"('huge',)",533.0,,,,
14,"('thought',)",1459.0,,,,
15,"('joking',)",35.0,,,,
16,"('told',)",5729.0,,,,
17,"('ruined',)",336.0,,,,
18,"('appetite',)",125.0,"('ruined', 'appetite')",11.0,,
19,"('gave',)",1838.0,,,,
20,"('back',)",9618.0,,,,
21,"('didnt',)",7128.0,,,,
22,"('even',)",8408.0,"('back', 'didnt')",45.0,"('back', 'didnt', 'even')",6.0
23,"('give',)",3552.0,"('didnt', 'even')",1001.0,"('didnt', 'even', 'give')",21.0
24,"('new',)",2120.0,"('even', 'give')",81.0,,
25,"('one',)",9811.0,"('give', 'new')",13.0,,
26,"('shouldve',)",157.0,"('new', 'one')",60.0,,
27,"('food',)",21083.0,,,,
28,"('free',)",740.0,,,,
29,"('point',)",1344.0,,,,
30,"('never',)",8920.0,"('got', 'food')",469.0,,
31,"('eating',)",2325.0,"('food', 'free')",11.0,,
32,"('allyoucaneat',)",135.0,,,,
33,"('ended',)",941.0,"('point', 'never')",10.0,,
34,"('waiting',)",2568.0,"('never', 'eating')",42.0,,
35,"('half',)",2054.0,"('eating', 'came')",6.0,,
36,"('hour',)",3284.0,,,,
37,"('get',)",8824.0,,,,
38,"('order',)",10784.0,"('ended', 'waiting')",30.0,,
39,"('servers',)",1053.0,"('waiting', 'half')",9.0,"('waiting', 'half', 'hour')",7.0
40,"('completely',)",1227.0,"('half', 'hour')",222.0,"('half', 'hour', 'get')",9.0
41,"('ignored',)",494.0,"('hour', 'get')",135.0,,
42,"('us',)",12849.0,"('get', 'order')",169.0,,
43,"('taking',)",768.0,,,,
44,"('orders',)",1697.0,,,,
45,"('tables',)",2182.0,"('completely', 'ignored')",56.0,"('completely', 'ignored', 'us')",19.0
46,"('around',)",2490.0,"('ignored', 'us')",127.0,,
47,"('top',)",1353.0,"('us', 'taking')",14.0,,
48,"('rolls',)",5935.0,"('taking', 'orders')",34.0,,
49,"('contain',)",30.0,"('orders', 'tables')",9.0,,
50,"('extras',)",17.0,"('tables', 'around')",56.0,"('tables', 'around', 'us')",50.0
51,"('listed',)",159.0,"('around', 'us')",133.0,,
52,"('menu',)",3314.0,"('us', 'top')",6.0,,
53,"('roll',)",6223.0,"('top', 'rolls')",17.0,,
54,"('surprised',)",307.0,,,,
