"","business_id","text","topi"
"1",NA,NA,NA
"2","MUTTqe8uqyMdBl186RmNeA","The best for sushi and non-business lovers. 
Food and service was just amazing!",1
"3","MUTTqe8uqyMdBl186RmNeA","Double check. Was there earlier in the evening and inquired about happy hour, but was told that there was no happy hour. However, see Facebook post pic.",2
"4","WYYdQDjx-DsCanlP0DpImQ","Excellent,  fresh sushi.  At reasonable prices. Highly recommend.",1
"5","WYYdQDjx-DsCanlP0DpImQ","Confirm that they are open before ordering. I ordered online with yelp on a Sunday and then get a call 30 mins later from delivery.com stating that they were closed.",2
"6","Dtuf4vD0znzwJW9vk3iTNw","Watch out if you use a debit card! A friend had her card charged to Asian airlines ! Hope some employee had a good trip!",1
"7","Dtuf4vD0znzwJW9vk3iTNw","So hungry, I think I'm going to rock the 3 roll lunch special today.",2
"8","bqmX882_6AxVA_uHEQ70sQ","Soup dumplings are awesome!! Will definitely get again",1
"9","bqmX882_6AxVA_uHEQ70sQ","2 hrs Ktv Special (Mon to Thu)$388
 Include 10% tax and 20% guilty 

   8:15 to 10:15
24 bottles Beer
5 liter Long Island Iced Tea

Anyone interest it may contact Eddie





                                          Shanghai Station",2
"10","dJfkfBbJz7wi0RgW-ph_Eg","I got hot sushi, 54 and 67. My roommate got 61 and 62. They were all great if you want hot and fried!",1
"11","dJfkfBbJz7wi0RgW-ph_Eg","Never mind- hot sake is not on happy hour special. :(",2
"12","-7GDqSUaXrpC8Ql7nDBxWA","Oooh I ALMOST Forgot.....As IF!!!!  They HAVE Alcohol, YAAAAY; unlike the OTHER Bluefin.  Can you HEAR Me SMILING?",1
"13","-7GDqSUaXrpC8Ql7nDBxWA","Lunch specials M-F. Their coveted oyster mushroom roll is available with choice of one of three salads and miso soup for $20. 

Veg head, order it sans shrimp...you will NOT be disappointed!! Amazing!

**Their Hot green tea is NOT complimentary, it's $3.",2
"14","Wt1W6qwCvna1KzIuJRJbwA","Try the miso soup!! Really good!",1
"15","Wt1W6qwCvna1KzIuJRJbwA","Kani Avocado Salad",2
"16","71U7MxQEhwitJOm4CQpRwQ","Even the bathroom is gorgeous! Can't wait to have some tempura shrimp and seaweed salad.",1
"17","71U7MxQEhwitJOm4CQpRwQ","Best sushi delivery in downtown Tampa. Their rolls are delicious and the wait time is totally reasonable. I've ordered 3 times in the past 2 weeks.",2
"18","dUctvEfHQccW_uxtRup2QQ","The spicy tail is the best roll I've had on Tampa Bay",1
"19","dUctvEfHQccW_uxtRup2QQ","They will substitute out any raw fish for something cooked if you've got sushi newbies with you.",2
