,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('good',)",27.0,0.010461061604029445,"('10', 'minutes')",4.0,0.0015503875968992248,"('many', 'toppings', 'sauces')",2,0.0007754943776657619
1,"('time',)",26.0,0.010073614877954282,"('several', 'times')",4.0,0.0015503875968992248,"('use', 'way', 'many')",2,0.0007754943776657619
2,"('server',)",22.0,0.008523827973653622,"('pretty', 'much')",4.0,0.0015503875968992248,"('10', 'minutes', 'got')",2,0.0007754943776657619
3,"('service',)",20.0,0.0077489345215032935,"('two', 'tables')",3.0,0.0011627906976744186,"('shaped', 'like', 'triangle')",2,0.0007754943776657619
4,"('go',)",19.0,0.007361487795428129,"('im', 'sure')",3.0,0.0011627906976744186,"('another', '20', 'minutes')",2,0.0007754943776657619
5,"('minutes',)",19.0,0.007361487795428129,"('wait', 'another')",3.0,0.0011627906976744186,"('ive', 'ever', 'experienced')",2,0.0007754943776657619
6,"('table',)",17.0,0.0065865943432778,"('20', 'minutes')",3.0,0.0011627906976744186,"('way', 'many', 'toppings')",2,0.0007754943776657619
7,"('got',)",17.0,0.0065865943432778,"('lobster', 'rangoon')",3.0,0.0011627906976744186,"('nothing', 'write', 'home')",2,0.0007754943776657619
8,"('like',)",17.0,0.0065865943432778,"('customer', 'service')",3.0,0.0011627906976744186,"('vinegar', 'othersthe', 'presentation')",1,0.00038774718883288094
9,"('us',)",16.0,0.006199147617202635,"('tasted', 'like')",3.0,0.0011627906976744186,"('also', 'know', 'didnt')",1,0.00038774718883288094
10,"('ordered',)",16.0,0.006199147617202635,"('entire', 'experience')",3.0,0.0011627906976744186,"('othersthe', 'presentation', 'nice')",1,0.00038774718883288094
11,"('order',)",16.0,0.006199147617202635,"('shaped', 'like')",2.0,0.0007751937984496124,"('lacked', 'vinegar', 'applied')",1,0.00038774718883288094
12,"('get',)",16.0,0.006199147617202635,"('got', 'home')",2.0,0.0007751937984496124,"('vinegar', 'applied', 'hot')",1,0.00038774718883288094
13,"('even',)",14.0,0.005424254165052305,"('gone', 'hill')",2.0,0.0007751937984496124,"('applied', 'hot', 'also')",1,0.00038774718883288094
14,"('roll',)",13.0,0.005036807438977141,"('ask', 'water')",2.0,0.0007751937984496124,"('hot', 'also', 'know')",1,0.00038774718883288094
15,"('restaurant',)",13.0,0.005036807438977141,"('since', 'move')",2.0,0.0007751937984496124,"('know', 'didnt', 'mix')",1,0.00038774718883288094
