,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('us',)",12.0,0.01662049861495845,"('crispy', 'brussels')",2.0,0.0027739251040221915,"('arrived', '2', 'tables')",1,0.001388888888888889
1,"('good',)",11.0,0.015235457063711912,"('didnt', 'even')",2.0,0.0027739251040221915,"('ok', 'mountain', 'salad')",1,0.001388888888888889
2,"('didnt',)",8.0,0.0110803324099723,"('told', 'us')",2.0,0.0027739251040221915,"('salad', 'feta', 'tomatoes')",1,0.001388888888888889
3,"('menu',)",8.0,0.0110803324099723,"('service', 'mediocre')",2.0,0.0027739251040221915,"('feta', 'tomatoes', 'onion')",1,0.001388888888888889
4,"('server',)",7.0,0.009695290858725761,"('steak', 'dan')",2.0,0.0027739251040221915,"('tomatoes', 'onion', 'good')",1,0.001388888888888889
5,"('ordered',)",7.0,0.009695290858725761,"('wanted', 'drink')",2.0,0.0027739251040221915,"('onion', 'good', 'cucumbers')",1,0.001388888888888889
6,"('asked',)",6.0,0.008310249307479225,"('wont', 'back')",2.0,0.0027739251040221915,"('good', 'cucumbers', 'big')",1,0.001388888888888889
7,"('will',)",6.0,0.008310249307479225,"('wait', 'staff')",2.0,0.0027739251040221915,"('cucumbers', 'big', 'feta')",1,0.001388888888888889
8,"('came',)",6.0,0.008310249307479225,"('great', 'server')",2.0,0.0027739251040221915,"('big', 'feta', 'big')",1,0.001388888888888889
9,"('night',)",5.0,0.006925207756232687,"('wine', 'night')",2.0,0.0027739251040221915,"('feta', 'big', 'dressing')",1,0.001388888888888889
10,"('service',)",5.0,0.006925207756232687,"('maybe', 'get')",2.0,0.0027739251040221915,"('big', 'dressing', 'onions')",1,0.001388888888888889
11,"('bad',)",5.0,0.006925207756232687,"('good', 'service')",2.0,0.0027739251040221915,"('dressing', 'onions', 'cut')",1,0.001388888888888889
12,"('want',)",5.0,0.006925207756232687,"('service', 'good')",2.0,0.0027739251040221915,"('onions', 'cut', 'big')",1,0.001388888888888889
13,"('wait',)",5.0,0.006925207756232687,"('look', 'menu')",2.0,0.0027739251040221915,"('cut', 'big', 'scallops')",1,0.001388888888888889
14,"('rude',)",5.0,0.006925207756232687,"('get', 'something')",2.0,0.0027739251040221915,"('big', 'scallops', 'sweet')",1,0.001388888888888889
15,"('back',)",5.0,0.006925207756232687,"('menu', 'priced')",2.0,0.0027739251040221915,"('scallops', 'sweet', 'potato')",1,0.001388888888888889
16,"('get',)",5.0,0.006925207756232687,"('feta', 'big')",1.0,0.0013869625520110957,"('sweet', 'potato', 'mash')",1,0.001388888888888889
17,"('dinner',)",5.0,0.006925207756232687,"('big', 'dressing')",1.0,0.0013869625520110957,"('potato', 'mash', 'good')",1,0.001388888888888889
18,"('wine',)",5.0,0.006925207756232687,"('cucumbers', 'big')",1.0,0.0013869625520110957,"('mash', 'good', 'service')",1,0.001388888888888889
19,"('kitchen',)",4.0,0.00554016620498615,"('good', 'cucumbers')",1.0,0.0013869625520110957,"('good', 'service', 'good')",1,0.001388888888888889
20,"('appetizer',)",4.0,0.00554016620498615,"('onion', 'good')",1.0,0.0013869625520110957,"('service', 'good', 'lets')",1,0.001388888888888889
21,"('staff',)",4.0,0.00554016620498615,"('mountain', 'salad')",1.0,0.0013869625520110957,"('mountain', 'salad', 'feta')",1,0.001388888888888889
22,"('check',)",4.0,0.00554016620498615,"('tomatoes', 'onion')",1.0,0.0013869625520110957,"('instead', 'ok', 'mountain')",1,0.001388888888888889
23,"('something',)",4.0,0.00554016620498615,"('dressing', 'onions')",1.0,0.0013869625520110957,"('2', 'tables', 'people')",1,0.001388888888888889
24,"('nice',)",4.0,0.00554016620498615,"('feta', 'tomatoes')",1.0,0.0013869625520110957,"('restaurants', 'instead', 'ok')",1,0.001388888888888889
25,"('know',)",4.0,0.00554016620498615,"('onions', 'cut')",1.0,0.0013869625520110957,"('expensive', '18', 'nice')",1,0.001388888888888889
26,"('anything',)",4.0,0.00554016620498615,"('cut', 'big')",1.0,0.0013869625520110957,"('18', 'nice', 'cab')",1,0.001388888888888889
27,"('make',)",4.0,0.00554016620498615,"('salad', 'feta')",1.0,0.0013869625520110957,"('nice', 'cab', 'worth')",1,0.001388888888888889
28,"('restaurant',)",4.0,0.00554016620498615,"('big', 'feta')",1.0,0.0013869625520110957,"('cab', 'worth', 'spending')",1,0.001388888888888889
29,"('like',)",4.0,0.00554016620498615,"('arrived', '2')",1.0,0.0013869625520110957,"('worth', 'spending', 'kind')",1,0.001388888888888889
30,"('said',)",4.0,0.00554016620498615,"('ok', 'mountain')",1.0,0.0013869625520110957,"('spending', 'kind', 'money')",1,0.001388888888888889
31,"('2',)",4.0,0.00554016620498615,"('instead', 'ok')",1.0,0.0013869625520110957,"('kind', 'money', 'treated')",1,0.001388888888888889
32,"('order',)",4.0,0.00554016620498615,"('18', 'nice')",1.0,0.0013869625520110957,"('money', 'treated', 'poorly')",1,0.001388888888888889
33,"('wanted',)",4.0,0.00554016620498615,"('nice', 'cab')",1.0,0.0013869625520110957,"('treated', 'poorly', 'id')",1,0.001388888888888889
34,"('go',)",4.0,0.00554016620498615,"('cab', 'worth')",1.0,0.0013869625520110957,"('poorly', 'id', 'highly')",1,0.001388888888888889
35,"('entree',)",3.0,0.004155124653739612,"('worth', 'spending')",1.0,0.0013869625520110957,"('id', 'highly', 'suggest')",1,0.001388888888888889
36,"('filet',)",3.0,0.004155124653739612,"('spending', 'kind')",1.0,0.0013869625520110957,"('highly', 'suggest', 'trying')",1,0.001388888888888889
37,"('nothing',)",3.0,0.004155124653739612,"('kind', 'money')",1.0,0.0013869625520110957,"('suggest', 'trying', 'many')",1,0.001388888888888889
38,"('great',)",3.0,0.004155124653739612,"('money', 'treated')",1.0,0.0013869625520110957,"('trying', 'many', 'truly')",1,0.001388888888888889
39,"('still',)",3.0,0.004155124653739612,"('treated', 'poorly')",1.0,0.0013869625520110957,"('many', 'truly', 'exceptional')",1,0.001388888888888889
40,"('experience',)",3.0,0.004155124653739612,"('poorly', 'id')",1.0,0.0013869625520110957,"('truly', 'exceptional', 'safety')",1,0.001388888888888889
41,"('even',)",3.0,0.004155124653739612,"('id', 'highly')",1.0,0.0013869625520110957,"('exceptional', 'safety', 'harbor')",1,0.001388888888888889
42,"('clearly',)",3.0,0.004155124653739612,"('highly', 'suggest')",1.0,0.0013869625520110957,"('safety', 'harbor', 'restaurants')",1,0.001388888888888889
43,"('another',)",3.0,0.004155124653739612,"('suggest', 'trying')",1.0,0.0013869625520110957,"('harbor', 'restaurants', 'instead')",1,0.001388888888888889
