,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('ordered',)",17.0,0.01566820276497696,"('fried', 'tofu')",5.0,0.004612546125461255,"('restaurants', 'area', 'offer')",2,0.0018467220683287165
1,"('roll',)",16.0,0.014746543778801843,"('spicy', 'salmon')",4.0,0.0036900369003690036,"('lot', 'desired', 'ordered')",2,0.0018467220683287165
2,"('didnt',)",11.0,0.010138248847926268,"('next', 'door')",3.0,0.0027675276752767526,"('area', 'offer', 'delivery')",2,0.0018467220683287165
3,"('like',)",10.0,0.009216589861751152,"('restaurants', 'area')",2.0,0.0018450184501845018,"('like', 'someone', 'picked')",2,0.0018467220683287165
4,"('experience',)",9.0,0.008294930875576038,"('ice', 'cream')",2.0,0.0018450184501845018,"('looked', 'like', 'someone')",2,0.0018467220683287165
5,"('back',)",9.0,0.008294930875576038,"('picked', 'disappointing')",2.0,0.0018450184501845018,"('almost', 'looked', 'like')",2,0.0018467220683287165
6,"('sauce',)",9.0,0.008294930875576038,"('better', 'quality')",2.0,0.0018450184501845018,"('avocado', 'almost', 'looked')",2,0.0018467220683287165
7,"('tofu',)",9.0,0.008294930875576038,"('area', 'offer')",2.0,0.0018450184501845018,"('slivers', 'avocado', 'almost')",2,0.0018467220683287165
8,"('got',)",8.0,0.007373271889400922,"('30', 'mins')",2.0,0.0018450184501845018,"('tiny', 'slivers', 'avocado')",2,0.0018467220683287165
9,"('fried',)",8.0,0.007373271889400922,"('sauce', 'side')",2.0,0.0018450184501845018,"('came', 'tiny', 'slivers')",2,0.0018467220683287165
10,"('better',)",8.0,0.007373271889400922,"('can', 'imagine')",2.0,0.0018450184501845018,"('roll', 'came', 'tiny')",2,0.0018467220683287165
11,"('lunch',)",8.0,0.007373271889400922,"('much', 'better')",2.0,0.0018450184501845018,"('dragon', 'roll', 'came')",2,0.0018467220683287165
12,"('spicy',)",7.0,0.0064516129032258064,"('didnt', 'like')",2.0,0.0018450184501845018,"('red', 'dragon', 'roll')",2,0.0018467220683287165
13,"('3',)",7.0,0.0064516129032258064,"('rest', 'meal')",2.0,0.0018450184501845018,"('ordered', 'red', 'dragon')",2,0.0018467220683287165
14,"('order',)",7.0,0.0064516129032258064,"('ive', 'ever')",2.0,0.0018450184501845018,"('desired', 'ordered', 'red')",2,0.0018467220683287165
15,"('fish',)",7.0,0.0064516129032258064,"('worst', 'ive')",2.0,0.0018450184501845018,"('someone', 'picked', 'disappointing')",2,0.0018467220683287165
16,"('service',)",7.0,0.0064516129032258064,"('like', 'someone')",2.0,0.0018450184501845018,"('left', 'lot', 'desired')",2,0.0018467220683287165
17,"('even',)",6.0,0.005529953917050691,"('card', 'back')",2.0,0.0018450184501845018,"('restaurant', 'ok', 'experience')",2,0.0018467220683287165
18,"('go',)",6.0,0.005529953917050691,"('spicy', 'tuna')",2.0,0.0018450184501845018,"('offer', 'delivery', 'night')",2,0.0018467220683287165
19,"('came',)",6.0,0.005529953917050691,"('go', 'back')",2.0,0.0018450184501845018,"('delivery', 'left', 'lot')",2,0.0018467220683287165
20,"('two',)",6.0,0.005529953917050691,"('3', 'roll')",2.0,0.0018450184501845018,"('delivery', 'night', 'ordered')",2,0.0018467220683287165
21,"('us',)",5.0,0.004608294930875576,"('tasted', 'like')",2.0,0.0018450184501845018,"('night', 'ordered', 'eaten')",2,0.0018467220683287165
22,"('asked',)",5.0,0.004608294930875576,"('didnt', 'care')",2.0,0.0018450184501845018,"('ordered', 'eaten', 'restaurant')",2,0.0018467220683287165
