,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('order',)",22.0,0.013853904282115869,"('can', 'eat')",9.0,0.005671077504725898,"('eaten', 'ai', 'past')",2,0.0012610340479192938
1,"('fish',)",16.0,0.010075566750629723,"('cream', 'cheese')",4.0,0.002520478890989288,"('can', 'easily', 'say')",2,0.0012610340479192938
2,"('can',)",16.0,0.010075566750629723,"('20', 'minutes')",3.0,0.001890359168241966,"('cream', 'cheese', 'avocado')",2,0.0012610340479192938
3,"('eat',)",15.0,0.009445843828715366,"('will', 'never')",3.0,0.001890359168241966,"('told', 'take', 'away')",2,0.0012610340479192938
4,"('never',)",14.0,0.008816120906801008,"('miso', 'soup')",3.0,0.001890359168241966,"('say', 'will', 'never')",2,0.0012610340479192938
5,"('get',)",13.0,0.00818639798488665,"('first', 'time')",3.0,0.001890359168241966,"('easily', 'say', 'will')",2,0.0012610340479192938
6,"('good',)",13.0,0.00818639798488665,"('easily', 'say')",2.0,0.001260239445494644,"('can', 'eat', 'special')",2,0.0012610340479192938
7,"('like',)",12.0,0.007556675062972292,"('say', 'will')",2.0,0.001260239445494644,"('ive', 'eaten', 'ai')",2,0.0012610340479192938
8,"('service',)",11.0,0.0069269521410579345,"('will', 'definitely')",2.0,0.001260239445494644,"('platter', 'leaving', 'us')",1,0.0006305170239596469
9,"('dont',)",10.0,0.006297229219143577,"('didnt', 'like')",2.0,0.001260239445494644,"('fact', 'entire', 'order')",1,0.0006305170239596469
10,"('us',)",10.0,0.006297229219143577,"('half', 'ordered')",2.0,0.001260239445494644,"('im', 'pretty', 'disappointed')",1,0.0006305170239596469
11,"('rice',)",10.0,0.006297229219143577,"('45', 'minutes')",2.0,0.001260239445494644,"('night', 'im', 'pretty')",1,0.0006305170239596469
12,"('tuna',)",9.0,0.005667506297229219,"('eat', 'special')",2.0,0.001260239445494644,"('money', 'night', 'im')",1,0.0006305170239596469
13,"('back',)",9.0,0.005667506297229219,"('dont', 'understand')",2.0,0.001260239445494644,"('lot', 'money', 'night')",1,0.0006305170239596469
14,"('take',)",9.0,0.005667506297229219,"('ive', 'eaten')",2.0,0.001260239445494644,"('spent', 'lot', 'money')",1,0.0006305170239596469
15,"('bad',)",9.0,0.005667506297229219,"('can', 'easily')",2.0,0.001260239445494644,"('wrong', 'spent', 'lot')",1,0.0006305170239596469
