,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('thai',)",16.0,0.028469750889679714,"('pad', 'thai')",4.0,0.0071301247771836,"('staff', 'super', 'friendly')",2,0.0035714285714285713
1,"('roll',)",10.0,0.017793594306049824,"('dynamite', 'roll')",3.0,0.0053475935828877,"('ordered', 'red', 'curry')",2,0.0035714285714285713
2,"('delicious',)",9.0,0.01601423487544484,"('thai', 'restaurant')",3.0,0.0053475935828877,"('new', 'thai', 'restaurant')",2,0.0035714285714285713
3,"('restaurant',)",9.0,0.01601423487544484,"('first', 'time')",3.0,0.0053475935828877,"('roll', 'dynamite', 'roll')",2,0.0035714285714285713
4,"('good',)",8.0,0.014234875444839857,"('will', 'definitely')",3.0,0.0053475935828877,"('volcano', 'roll', 'dynamite')",2,0.0035714285714285713
5,"('ordered',)",7.0,0.012455516014234875,"('protein', 'roll')",2.0,0.0035650623885918,"('chicken', 'pad', 'thai')",2,0.0035714285714285713
6,"('definitely',)",7.0,0.012455516014234875,"('chicken', 'pad')",2.0,0.0035650623885918,"('made', 'suggestions', 'drink')",1,0.0017857142857142857
7,"('time',)",6.0,0.010676156583629894,"('brand', 'new')",2.0,0.0035650623885918,"('suggestions', 'drink', 'choices')",1,0.0017857142857142857
8,"('friendly',)",6.0,0.010676156583629894,"('roll', 'dynamite')",2.0,0.0035650623885918,"('drink', 'choices', 'table')",1,0.0017857142857142857
9,"('great',)",6.0,0.010676156583629894,"('3d', 'thai')",2.0,0.0035650623885918,"('choices', 'table', 'three')",1,0.0017857142857142857
10,"('staff',)",5.0,0.008896797153024912,"('ordered', 'red')",2.0,0.0035650623885918,"('table', 'three', 'split')",1,0.0017857142857142857
11,"('new',)",5.0,0.008896797153024912,"('definitely', 'back')",2.0,0.0035650623885918,"('excited', 'moved', 'redington')",1,0.0017857142857142857
12,"('will',)",5.0,0.008896797153024912,"('staff', 'super')",2.0,0.0035650623885918,"('three', 'split', 'bottle')",1,0.0017857142857142857
13,"('try',)",5.0,0.008896797153024912,"('new', 'thai')",2.0,0.0035650623885918,"('said', 'favorite', 'delicious')",1,0.0017857142857142857
14,"('excellent',)",5.0,0.008896797153024912,"('volcano', 'roll')",2.0,0.0035650623885918,"('bottle', 'mango', 'sake')",1,0.0017857142857142857
15,"('chicken',)",5.0,0.008896797153024912,"('pleasantly', 'surprised')",2.0,0.0035650623885918,"('mango', 'sake', 'joyce')",1,0.0017857142857142857
16,"('first',)",4.0,0.0071174377224199285,"('red', 'curry')",2.0,0.0035650623885918,"('sake', 'joyce', 'said')",1,0.0017857142857142857
17,"('pad',)",4.0,0.0071174377224199285,"('next', 'time')",2.0,0.0035650623885918,"('split', 'bottle', 'mango')",1,0.0017857142857142857
18,"('spicy',)",4.0,0.0071174377224199285,"('super', 'friendly')",2.0,0.0035650623885918,"('menu', 'made', 'suggestions')",1,0.0017857142857142857
19,"('back',)",4.0,0.0071174377224199285,"('excited', 'moved')",1.0,0.0017825311942959,"('went', 'menu', 'made')",1,0.0017857142857142857
20,"('next',)",4.0,0.0071174377224199285,"('made', 'suggestions')",1.0,0.0017825311942959,"('try', 'start', 'staff')",1,0.0017857142857142857
21,"('volcano',)",4.0,0.0071174377224199285,"('drink', 'choices')",1.0,0.0017825311942959,"('definitely', 'go', 'back')",1,0.0017857142857142857
22,"('fresh',)",4.0,0.0071174377224199285,"('choices', 'table')",1.0,0.0017825311942959,"('go', 'back', 'town')",1,0.0017857142857142857
23,"('beach',)",3.0,0.005338078291814947,"('table', 'three')",1.0,0.0017825311942959,"('back', 'town', 'absolute')",1,0.0017857142857142857
24,"('got',)",3.0,0.005338078291814947,"('suggestions', 'drink')",1.0,0.0017825311942959,"('town', 'absolute', 'must')",1,0.0017857142857142857
25,"('service',)",3.0,0.005338078291814947,"('went', 'menu')",1.0,0.0017825311942959,"('absolute', 'must', 'try')",1,0.0017857142857142857
26,"('attentive',)",3.0,0.005338078291814947,"('menu', 'made')",1.0,0.0017825311942959,"('must', 'try', 'start')",1,0.0017857142857142857
27,"('well',)",3.0,0.005338078291814947,"('split', 'bottle')",1.0,0.0017825311942959,"('start', 'staff', 'members')",1,0.0017857142857142857
28,"('came',)",3.0,0.005338078291814947,"('time', 'went')",1.0,0.0017825311942959,"('time', 'went', 'menu')",1,0.0017857142857142857
29,"('weve',)",3.0,0.005338078291814947,"('entire', 'time')",1.0,0.0017825311942959,"('staff', 'members', 'joyce')",1,0.0017857142857142857
30,"('order',)",3.0,0.005338078291814947,"('helpful', 'entire')",1.0,0.0017825311942959,"('members', 'joyce', 'pleasant')",1,0.0017857142857142857
31,"('surprised',)",3.0,0.005338078291814947,"('pleasant', 'helpful')",1.0,0.0017825311942959,"('joyce', 'pleasant', 'helpful')",1,0.0017857142857142857
32,"('go',)",3.0,0.005338078291814947,"('joyce', 'pleasant')",1.0,0.0017825311942959,"('pleasant', 'helpful', 'entire')",1,0.0017857142857142857
33,"('dynamite',)",3.0,0.005338078291814947,"('members', 'joyce')",1.0,0.0017825311942959,"('helpful', 'entire', 'time')",1,0.0017857142857142857
34,"('excited',)",3.0,0.005338078291814947,"('staff', 'members')",1.0,0.0017825311942959,"('entire', 'time', 'went')",1,0.0017857142857142857
35,"('3d',)",3.0,0.005338078291814947,"('start', 'staff')",1.0,0.0017825311942959,"('joyce', 'said', 'favorite')",1,0.0017857142857142857
36,"('since',)",3.0,0.005338078291814947,"('try', 'start')",1.0,0.0017825311942959,"('favorite', 'delicious', 'appetizers')",1,0.0017857142857142857
37,"('today',)",3.0,0.005338078291814947,"('must', 'try')",1.0,0.0017825311942959,"('came', 'quick', 'definitely')",1,0.0017857142857142857
38,"('said',)",3.0,0.005338078291814947,"('absolute', 'must')",1.0,0.0017825311942959,"('two', 'people', 'went')",1,0.0017857142857142857
39,"('split',)",3.0,0.005338078291814947,"('town', 'absolute')",1.0,0.0017825311942959,"('presentation', 'beautiful', 'eat')",1,0.0017857142857142857
40,"('shrimp',)",3.0,0.005338078291814947,"('back', 'town')",1.0,0.0017825311942959,"('tell', 'presentation', 'beautiful')",1,0.0017857142857142857
41,"('flavorful',)",3.0,0.005338078291814947,"('three', 'split')",1.0,0.0017825311942959,"('let', 'tell', 'presentation')",1,0.0017857142857142857
42,"('helpful',)",3.0,0.005338078291814947,"('joyce', 'said')",1.0,0.0017825311942959,"('roll', 'let', 'tell')",1,0.0017857142857142857
43,"('redington',)",3.0,0.005338078291814947,"('bottle', 'mango')",1.0,0.0017825311942959,"('conch', 'roll', 'let')",1,0.0017857142857142857
