,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('seafood',)",76.0,0.013403880070546737,"('crab', 'legs')",29.0,0.0051155406597283475,"('snow', 'crab', 'legs')",6,0.001058574453069866
1,"('good',)",74.0,0.013051146384479718,"('snow', 'crab')",15.0,0.0026459693067560418,"('crab', 'legs', 'shrimp')",5,0.0008821453775582216
2,"('great',)",72.0,0.012698412698412698,"('potatoes', 'corn')",14.0,0.0024695713529723057,"('wait', 'go', 'back')",4,0.0007057163020465773
3,"('shrimp',)",67.0,0.01181657848324515,"('garlic', 'butter')",13.0,0.0022931733991885693,"('will', 'definitely', 'back')",4,0.0007057163020465773
4,"('crab',)",66.0,0.01164021164021164,"('really', 'good')",12.0,0.0021167754454048332,"('give', '5', 'stars')",3,0.000529287226534933
5,"('back',)",55.0,0.009700176366843033,"('crab', 'shrimp')",9.0,0.001587581584053625,"('ordered', 'crab', 'legs')",3,0.000529287226534933
6,"('sauce',)",45.0,0.007936507936507936,"('come', 'back')",8.0,0.001411183630269889,"('butter', 'garlic', 'sauce')",3,0.000529287226534933
7,"('really',)",43.0,0.007583774250440917,"('will', 'definitely')",8.0,0.001411183630269889,"('reason', 'didnt', 'give')",3,0.000529287226534933
8,"('will',)",42.0,0.007407407407407408,"('love', 'seafood')",7.0,0.0012347856764861529,"('got', 'snow', 'crab')",3,0.000529287226534933
9,"('got',)",41.0,0.007231040564373898,"('pound', 'shrimp')",7.0,0.0012347856764861529,"('definitely', 'coming', 'back')",3,0.000529287226534933
10,"('service',)",39.0,0.0068783068783068784,"('go', 'back')",7.0,0.0012347856764861529,"('crab', 'legs', 'crawfish')",3,0.000529287226534933
11,"('boiling',)",38.0,0.006701940035273368,"('cajun', 'sauce')",6.0,0.0010583877227024166,"('crab', 'shrimp', 'combo')",3,0.000529287226534933
12,"('like',)",38.0,0.006701940035273368,"('corn', 'potatoes')",6.0,0.0010583877227024166,"('got', 'crab', 'shrimp')",3,0.000529287226534933
13,"('get',)",36.0,0.006349206349206349,"('will', 'back')",6.0,0.0010583877227024166,"('got', 'cajun', 'sauce')",2,0.00035285815102328866
14,"('cajun',)",35.0,0.006172839506172839,"('legs', 'shrimp')",6.0,0.0010583877227024166,"('half', 'pound', 'sausage')",2,0.00035285815102328866
15,"('crawfish',)",34.0,0.00599647266313933,"('seafood', 'boil')",6.0,0.0010583877227024166,"('high', 'rise', 'tables')",2,0.00035285815102328866
16,"('go',)",34.0,0.00599647266313933,"('boiling', 'sauce')",6.0,0.0010583877227024166,"('try', 'next', 'time')",2,0.00035285815102328866
17,"('legs',)",32.0,0.005643738977072311,"('service', 'great')",6.0,0.0010583877227024166,"('definitely', 'recommend', 'anyone')",2,0.00035285815102328866
18,"('corn',)",32.0,0.005643738977072311,"('cant', 'wait')",5.0,0.0008819897689186806,"('went', 'last', 'night')",2,0.00035285815102328866
19,"('can',)",31.0,0.005467372134038801,"('first', 'time')",5.0,0.0008819897689186806,"('lobster', 'shrimp', 'crawfish')",2,0.00035285815102328866
20,"('well',)",31.0,0.005467372134038801,"('special', 'sauce')",5.0,0.0008819897689186806,"('nice', 'looks', 'like')",2,0.00035285815102328866
21,"('bag',)",30.0,0.005291005291005291,"('customer', 'service')",5.0,0.0008819897689186806,"('shrimp', 'crawfish', 'mussels')",2,0.00035285815102328866
