,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('time',)",12.0,0.013872832369942197,"('beef', 'tataki')",3.0,0.003472222222222222,"('shrimp', 'tempura', 'appetizer')",2,0.002317497103128621
1,"('good',)",12.0,0.013872832369942197,"('bento', 'box')",3.0,0.003472222222222222,"('baked', 'salmon', 'crunchy')",2,0.002317497103128621
2,"('ordered',)",11.0,0.012716763005780347,"('first', 'time')",3.0,0.003472222222222222,"('yummy', 'beef', 'tataki')",2,0.002317497103128621
3,"('service',)",11.0,0.012716763005780347,"('rock', 'roll')",2.0,0.0023148148148148147,"('nothing', 'ice', 'tea')",1,0.0011587485515643105
4,"('like',)",11.0,0.012716763005780347,"('customer', 'service')",2.0,0.0023148148148148147,"('sake', 'meal', 'server')",1,0.0011587485515643105
5,"('hibachi',)",10.0,0.011560693641618497,"('time', 'went')",2.0,0.0023148148148148147,"('meal', 'server', 'told')",1,0.0011587485515643105
6,"('roll',)",9.0,0.010404624277456647,"('ice', 'tea')",2.0,0.0023148148148148147,"('server', 'told', 'serve')",1,0.0011587485515643105
7,"('shrimp',)",8.0,0.009248554913294798,"('hot', 'sake')",2.0,0.0023148148148148147,"('told', 'serve', 'alcohol')",1,0.0011587485515643105
8,"('really',)",8.0,0.009248554913294798,"('ordered', 'chicken')",2.0,0.0023148148148148147,"('serve', 'alcohol', 'got')",1,0.0011587485515643105
9,"('go',)",8.0,0.009248554913294798,"('good', 'service')",2.0,0.0023148148148148147,"('alcohol', 'got', 'ice')",1,0.0011587485515643105
10,"('yummy',)",7.0,0.008092485549132947,"('ordered', 'medium')",2.0,0.0023148148148148147,"('got', 'ice', 'tea')",1,0.0011587485515643105
11,"('never',)",7.0,0.008092485549132947,"('hibachi', 'scallop')",2.0,0.0023148148148148147,"('ice', 'tea', 'instead')",1,0.0011587485515643105
12,"('wasnt',)",7.0,0.008092485549132947,"('roll', 'ever')",2.0,0.0023148148148148147,"('tea', 'instead', 'nothing')",1,0.0011587485515643105
13,"('us',)",7.0,0.008092485549132947,"('hibachi', 'steak')",2.0,0.0023148148148148147,"('instead', 'nothing', 'ice')",1,0.0011587485515643105
14,"('order',)",6.0,0.006936416184971098,"('baked', 'salmon')",2.0,0.0023148148148148147,"('ice', 'tea', 'anythingi')",1,0.0011587485515643105
15,"('get',)",5.0,0.005780346820809248,"('salmon', 'crunchy')",2.0,0.0023148148148148147,"('sort', 'like', 'eating')",1,0.0011587485515643105
16,"('sauce',)",5.0,0.005780346820809248,"('tiger', 'roll')",2.0,0.0023148148148148147,"('tea', 'anythingi', 'mean')",1,0.0011587485515643105
17,"('steak',)",5.0,0.005780346820809248,"('ive', 'never')",2.0,0.0023148148148148147,"('anythingi', 'mean', 'love')",1,0.0011587485515643105
18,"('since',)",5.0,0.005780346820809248,"('yummy', 'beef')",2.0,0.0023148148148148147,"('mean', 'love', 'ice')",1,0.0011587485515643105
19,"('went',)",5.0,0.005780346820809248,"('shrimp', 'tempura')",2.0,0.0023148148148148147,"('love', 'ice', 'teabut')",1,0.0011587485515643105
20,"('beef',)",5.0,0.005780346820809248,"('raw', 'beef')",2.0,0.0023148148148148147,"('ice', 'teabut', 'thought')",1,0.0011587485515643105
21,"('came',)",5.0,0.005780346820809248,"('tempura', 'appetizer')",2.0,0.0023148148148148147,"('teabut', 'thought', 'eating')",1,0.0011587485515643105
22,"('goodtime',)",5.0,0.005780346820809248,"('four', 'stars')",2.0,0.0023148148148148147,"('thought', 'eating', 'without')",1,0.0011587485515643105
23,"('even',)",5.0,0.005780346820809248,"('service', 'good')",2.0,0.0023148148148148147,"('eating', 'without', 'hot')",1,0.0011587485515643105
24,"('stars',)",5.0,0.005780346820809248,"('white', 'ppl')",2.0,0.0023148148148148147,"('without', 'hot', 'sake')",1,0.0011587485515643105
25,"('restaurant',)",5.0,0.005780346820809248,"('ordered', 'togo')",2.0,0.0023148148148148147,"('hot', 'sake', 'sort')",1,0.0011587485515643105
26,"('chicken',)",5.0,0.005780346820809248,"('wasnt', 'yummy')",2.0,0.0023148148148148147,"('hot', 'sake', 'meal')",1,0.0011587485515643105
27,"('plus',)",4.0,0.004624277456647399,"('will', 'never')",2.0,0.0023148148148148147,"('asked', 'hot', 'sake')",1,0.0011587485515643105
28,"('people',)",4.0,0.004624277456647399,"('got', 'ice')",1.0,0.0011574074074074073,"('body', 'asked', 'hot')",1,0.0011587485515643105
29,"('got',)",4.0,0.004624277456647399,"('mean', 'love')",1.0,0.0011574074074074073,"('struck', 'body', 'asked')",1,0.0011587485515643105
30,"('server',)",4.0,0.004624277456647399,"('love', 'ice')",1.0,0.0011574074074074073,"('felt', 'sort', 'rushed')",1,0.0011587485515643105
31,"('didnt',)",4.0,0.004624277456647399,"('anythingi', 'mean')",1.0,0.0011574074074074073,"('sort', 'rushed', 'close')",1,0.0011587485515643105
