,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",46.0,0.02253797158255757,"('happy', 'hour')",11.0,0.005392156862745098,"('happy', 'hour', 'specials')",6,0.0029426189308484553
1,"('fresh',)",26.0,0.012738853503184714,"('first', 'time')",7.0,0.003431372549019608,"('will', 'definitely', 'back')",3,0.0014713094654242277
2,"('good',)",21.0,0.0102890739833415,"('hour', 'specials')",6.0,0.0029411764705882353,"('miso', 'soup', 'good')",2,0.000980872976949485
3,"('service',)",21.0,0.0102890739833415,"('highly', 'recommend')",5.0,0.0024509803921568627,"('server', 'desirae', 'friendly')",2,0.000980872976949485
4,"('back',)",19.0,0.009309162175404213,"('will', 'definitely')",5.0,0.0024509803921568627,"('full', 'box', 'crayons')",2,0.000980872976949485
5,"('roll',)",19.0,0.009309162175404213,"('miso', 'soup')",5.0,0.0024509803921568627,"('table', 'full', 'box')",2,0.000980872976949485
6,"('go',)",17.0,0.008329250367466928,"('spicy', 'tuna')",4.0,0.00196078431372549,"('work', 'table', 'full')",2,0.000980872976949485
7,"('time',)",16.0,0.007839294463498285,"('crab', 'rangoon')",4.0,0.00196078431372549,"('art', 'work', 'table')",2,0.000980872976949485
8,"('amazing',)",16.0,0.007839294463498285,"('will', 'back')",4.0,0.00196078431372549,"('knowledgeable', 'excellent', 'art')",2,0.000980872976949485
9,"('restaurant',)",15.0,0.007349338559529643,"('amazing', 'definitely')",3.0,0.0014705882352941176,"('friendly', 'knowledgeable', 'excellent')",2,0.000980872976949485
10,"('happy',)",15.0,0.007349338559529643,"('roll', 'really')",3.0,0.0014705882352941176,"('desirae', 'friendly', 'knowledgeable')",2,0.000980872976949485
11,"('friendly',)",13.0,0.006369426751592357,"('looking', 'forward')",3.0,0.0014705882352941176,"('discuss', 'server', 'desirae')",2,0.000980872976949485
12,"('will',)",13.0,0.006369426751592357,"('specials', 'excellent')",3.0,0.0014705882352941176,"('crayons', 'warm', 'sake')",2,0.000980872976949485
13,"('us',)",13.0,0.006369426751592357,"('come', 'back')",3.0,0.0014705882352941176,"('lets', 'discuss', 'server')",2,0.000980872976949485
14,"('hour',)",12.0,0.005879470847623714,"('cant', 'wait')",3.0,0.0014705882352941176,"('now', 'lets', 'discuss')",2,0.000980872976949485
15,"('fish',)",12.0,0.005879470847623714,"('gator', 'roll')",3.0,0.0014705882352941176,"('excellent', 'now', 'lets')",2,0.000980872976949485
16,"('like',)",12.0,0.005879470847623714,"('fresh', 'fish')",3.0,0.0014705882352941176,"('specials', 'excellent', 'now')",2,0.000980872976949485
17,"('first',)",12.0,0.005879470847623714,"('jalapeo', 'poppers')",3.0,0.0014705882352941176,"('hour', 'specials', 'excellent')",2,0.000980872976949485
18,"('shomi',)",11.0,0.005389514943655071,"('definitely', 'back')",3.0,0.0014705882352941176,"('music', 'happy', 'hour')",2,0.000980872976949485
19,"('even',)",11.0,0.005389514943655071,"('great', 'service')",3.0,0.0014705882352941176,"('box', 'crayons', 'warm')",2,0.000980872976949485
20,"('excellent',)",11.0,0.005389514943655071,"('even', 'better')",2.0,0.000980392156862745,"('sake', 'delicious', 'flavorful')",2,0.000980872976949485
21,"('drew',)",11.0,0.005389514943655071,"('go', 'back')",2.0,0.000980392156862745,"('warm', 'sake', 'delicious')",2,0.000980872976949485
22,"('best',)",11.0,0.005389514943655071,"('perfectly', 'great')",2.0,0.000980392156862745,"('great', 'background', 'music')",2,0.000980872976949485
23,"('delicious',)",11.0,0.005389514943655071,"('fresh', 'great')",2.0,0.000980392156862745,"('tampa', 'bay', 'area')",2,0.000980872976949485
24,"('definitely',)",10.0,0.004899559039686428,"('also', 'ordered')",2.0,0.000980392156862745,"('love', 'love', 'highly')",2,0.000980872976949485
25,"('really',)",10.0,0.004899559039686428,"('customer', 'service')",2.0,0.000980392156862745,"('existent', 'love', 'love')",2,0.000980872976949485
26,"('love',)",10.0,0.004899559039686428,"('reasonably', 'priced')",2.0,0.000980392156862745,"('non', 'existent', 'love')",2,0.000980872976949485
27,"('lunch',)",10.0,0.004899559039686428,"('great', 'along')",2.0,0.000980392156862745,"('level', 'non', 'existent')",2,0.000980872976949485
28,"('staff',)",10.0,0.004899559039686428,"('florida', 'roll')",2.0,0.000980392156862745,"('noise', 'level', 'non')",2,0.000980872976949485
29,"('area',)",10.0,0.004899559039686428,"('krab', 'mix')",2.0,0.000980392156862745,"('talk', 'noise', 'level')",2,0.000980872976949485
30,"('specials',)",10.0,0.004899559039686428,"('15', 'minutes')",2.0,0.000980392156862745,"('easy', 'talk', 'noise')",2,0.000980872976949485
31,"('recommend',)",9.0,0.004409603135717786,"('tasted', 'fresh')",2.0,0.000980392156862745,"('go', 'easy', 'talk')",2,0.000980872976949485
