,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",126.0,0.02074074074074074,"('sexy', 'man')",27.0,0.004445176160684887,"('sexy', 'man', 'roll')",20,0.003293265272517701
1,"('great',)",85.0,0.013991769547325103,"('man', 'roll')",20.0,0.0032927230819888046,"('roll', 'sexy', 'man')",7,0.0011526428453811955
2,"('good',)",71.0,0.01168724279835391,"('first', 'time')",11.0,0.0018109976950938427,"('red', 'dragon', 'roll')",4,0.0006586530545035403
3,"('spot',)",58.0,0.009547325102880658,"('birthday', 'roll')",11.0,0.0018109976950938427,"('man', 'roll', 'sexy')",4,0.0006586530545035403
4,"('fresh',)",48.0,0.007901234567901235,"('ive', 'ever')",9.0,0.0014817253868949622,"('best', 'ive', 'ever')",4,0.0006586530545035403
5,"('service',)",45.0,0.007407407407407408,"('roll', 'sexy')",9.0,0.0014817253868949622,"('man', 'roll', 'favorite')",3,0.0004939897908776552
6,"('time',)",43.0,0.007078189300411522,"('really', 'good')",8.0,0.0013170892327955218,"('favorite', 'sexy', 'man')",3,0.0004939897908776552
7,"('go',)",41.0,0.006748971193415638,"('last', 'night')",8.0,0.0013170892327955218,"('birthday', 'roll', 'sexy')",3,0.0004939897908776552
8,"('will',)",41.0,0.006748971193415638,"('strip', 'mall')",8.0,0.0013170892327955218,"('will', 'definitely', 'back')",3,0.0004939897908776552
9,"('delicious',)",39.0,0.006419753086419753,"('best', 'town')",7.0,0.0011524530786960817,"('spot', 'noodle', 'world')",3,0.0004939897908776552
10,"('best',)",39.0,0.006419753086419753,"('red', 'dragon')",7.0,0.0011524530786960817,"('tampa', 'bay', 'area')",2,0.00032932652725177014
11,"('like',)",38.0,0.006255144032921811,"('service', 'great')",7.0,0.0011524530786960817,"('new', 'hibachi', 'side')",2,0.00032932652725177014
12,"('amazing',)",37.0,0.006090534979423868,"('great', 'service')",7.0,0.0011524530786960817,"('favorite', 'spot', 'eat')",2,0.00032932652725177014
13,"('sexy',)",37.0,0.006090534979423868,"('noodle', 'soup')",7.0,0.0011524530786960817,"('cant', 'remember', 'name')",2,0.00032932652725177014
14,"('back',)",36.0,0.005925925925925926,"('staff', 'friendly')",6.0,0.0009878169245966415,"('sauce', 'wasabi', 'sauce')",2,0.00032932652725177014
15,"('favorite',)",36.0,0.005925925925925926,"('fried', 'rice')",6.0,0.0009878169245966415,"('sauce', 'eel', 'sauce')",2,0.00032932652725177014
16,"('also',)",35.0,0.005761316872427984,"('every', 'time')",6.0,0.0009878169245966415,"('sauce', 'fish', 'eggs')",2,0.00032932652725177014
17,"('well',)",35.0,0.005761316872427984,"('will', 'definitely')",6.0,0.0009878169245966415,"('well', 'worth', 'price')",2,0.00032932652725177014
18,"('try',)",34.0,0.005596707818930041,"('go', 'back')",6.0,0.0009878169245966415,"('tuna', 'avocado', 'topped')",2,0.00032932652725177014
19,"('menu',)",33.0,0.005432098765432099,"('highly', 'recommend')",6.0,0.0009878169245966415,"('avocado', 'topped', 'bbq')",2,0.00032932652725177014
20,"('always',)",31.0,0.005102880658436214,"('best', 'ive')",5.0,0.0008231807704972012,"('topped', 'bbq', 'eel')",2,0.00032932652725177014
21,"('nice',)",30.0,0.0049382716049382715,"('fat', 'bastard')",5.0,0.0008231807704972012,"('look', 'like', 'much')",2,0.00032932652725177014
22,"('love',)",30.0,0.0049382716049382715,"('dragon', 'roll')",5.0,0.0008231807704972012,"('delicious', 'birthday', 'roll')",2,0.00032932652725177014
23,"('can',)",30.0,0.0049382716049382715,"('spicy', 'tuna')",5.0,0.0008231807704972012,"('sexy', 'woman', 'roll')",2,0.00032932652725177014
24,"('sauce',)",29.0,0.004773662551440329,"('fresh', 'delicious')",5.0,0.0008231807704972012,"('great', 'sense', 'humor')",2,0.00032932652725177014
25,"('really',)",29.0,0.004773662551440329,"('roll', 'favorite')",5.0,0.0008231807704972012,"('keep', 'coming', 'back')",2,0.00032932652725177014
26,"('restaurant',)",29.0,0.004773662551440329,"('good', 'fresh')",5.0,0.0008231807704972012,"('always', 'fresh', 'delicious')",2,0.00032932652725177014
27,"('ordered',)",29.0,0.004773662551440329,"('favorite', 'spot')",5.0,0.0008231807704972012,"('rice', 'way', 'like')",2,0.00032932652725177014
28,"('tuna',)",27.0,0.0044444444444444444,"('come', 'back')",5.0,0.0008231807704972012,"('spinach', 'carrots', 'pickled')",2,0.00032932652725177014
