,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('can',)",45.0,0.015833919774806474,"('can', 'eat')",27.0,0.009503695881731784,"('can', 'eat', 'lunch')",5,0.0017605633802816902
1,"('eat',)",40.0,0.014074595355383532,"('miso', 'soup')",7.0,0.0024639211545230554,"('50', 'pieces', 'sashimi')",2,0.0007042253521126761
2,"('great',)",34.0,0.011963406052076003,"('highly', 'recommend')",6.0,0.0021119324181626186,"('containing', 'raw', 'fish')",2,0.0007042253521126761
3,"('good',)",32.0,0.011259676284306826,"('make', 'sure')",5.0,0.0017599436818021823,"('order', 'whatever', 'want')",2,0.0007042253521126761
4,"('order',)",29.0,0.01020408163265306,"('eat', 'lunch')",5.0,0.0017599436818021823,"('white', 'tuna', 'martini')",2,0.0007042253521126761
5,"('like',)",26.0,0.009148486980999296,"('per', 'person')",5.0,0.0017599436818021823,"('perfect', '5', 'stars')",2,0.0007042253521126761
6,"('dinner',)",23.0,0.00809289232934553,"('really', 'good')",5.0,0.0017599436818021823,"('miso', 'soup', 'seaweed')",2,0.0007042253521126761
7,"('menu',)",23.0,0.00809289232934553,"('will', 'definitely')",5.0,0.0017599436818021823,"('soup', 'seaweed', 'salad')",2,0.0007042253521126761
8,"('roll',)",23.0,0.00809289232934553,"('ayce', 'restaurants')",5.0,0.0017599436818021823,"('spicy', 'beach', 'roll')",2,0.0007042253521126761
9,"('ayce',)",22.0,0.007741027445460943,"('ice', 'cream')",4.0,0.0014079549454417458,"('definitely', 'coming', 'back')",2,0.0007042253521126761
10,"('try',)",21.0,0.007389162561576354,"('made', 'order')",4.0,0.0014079549454417458,"('will', 'definitely', 'coming')",2,0.0007042253521126761
11,"('really',)",21.0,0.007389162561576354,"('spicy', 'beach')",4.0,0.0014079549454417458,"('eat', 'lunch', 'special')",2,0.0007042253521126761
12,"('fresh',)",20.0,0.007037297677691766,"('can', 'order')",4.0,0.0014079549454417458,"('salad', 'ginger', 'dressing')",2,0.0007042253521126761
13,"('lunch',)",20.0,0.007037297677691766,"('kitchen', 'items')",4.0,0.0014079549454417458,"('limit', '50', 'pieces')",2,0.0007042253521126761
14,"('service',)",20.0,0.007037297677691766,"('50', 'pieces')",3.0,0.0010559662090813093,"('can', 'eat', 'good')",2,0.0007042253521126761
15,"('quality',)",20.0,0.007037297677691766,"('seaweed', 'salad')",3.0,0.0010559662090813093,"('especially', 'liked', 'spicy')",2,0.0007042253521126761
16,"('price',)",19.0,0.006685432793807178,"('coming', 'back')",3.0,0.0010559662090813093,"('id', 'recommend', 'coming')",2,0.0007042253521126761
17,"('restaurant',)",19.0,0.006685432793807178,"('items', 'like')",3.0,0.0010559662090813093,"('unbeatable', 'price', '2395')",1,0.00035211267605633805
18,"('sashimi',)",18.0,0.0063335679099225895,"('dont', 'want')",3.0,0.0010559662090813093,"('can', 'eat', 'japanese')",1,0.00035211267605633805
19,"('came',)",17.0,0.005981703026038001,"('dont', 'like')",3.0,0.0010559662090813093,"('couldnt', 'finish', 'pay')",1,0.00035211267605633805
20,"('time',)",17.0,0.005981703026038001,"('pretty', 'much')",3.0,0.0010559662090813093,"('finish', 'pay', 'ordering')",1,0.00035211267605633805
21,"('delicious',)",16.0,0.005629838142153413,"('5', 'stars')",3.0,0.0010559662090813093,"('pay', 'ordering', 'fair')",1,0.00035211267605633805
22,"('definitely',)",16.0,0.005629838142153413,"('cant', 'beat')",3.0,0.0010559662090813093,"('eat', 'japanese', 'sashimi')",1,0.00035211267605633805
23,"('ordered',)",16.0,0.005629838142153413,"('white', 'tuna')",3.0,0.0010559662090813093,"('2395', 'can', 'eat')",1,0.00035211267605633805
24,"('go',)",15.0,0.005277973258268825,"('ginger', 'dressing')",3.0,0.0010559662090813093,"('service', 'unbeatable', 'price')",1,0.00035211267605633805
25,"('will',)",15.0,0.005277973258268825,"('great', 'experience')",3.0,0.0010559662090813093,"('price', '2395', 'can')",1,0.00035211267605633805
26,"('back',)",14.0,0.0049261083743842365,"('give', 'try')",3.0,0.0010559662090813093,"('ordering', 'fair', 'enough')",1,0.00035211267605633805
27,"('every',)",14.0,0.0049261083743842365,"('absolutely', 'delicious')",3.0,0.0010559662090813093,"('fair', 'enough', 'excellent')",1,0.00035211267605633805
28,"('recommend',)",14.0,0.0049261083743842365,"('every', 'time')",3.0,0.0010559662090813093,"('time', 'couldnt', 'finish')",1,0.00035211267605633805
29,"('want',)",14.0,0.0049261083743842365,"('especially', 'liked')",3.0,0.0010559662090813093,"('excellent', 'good', 'service')",1,0.00035211267605633805
30,"('spicy',)",13.0,0.004574243490499648,"('quality', 'can')",2.0,0.0007039774727208729,"('good', 'service', 'unbeatable')",1,0.00035211267605633805
31,"('variety',)",13.0,0.004574243490499648,"('take', 'home')",2.0,0.0007039774727208729,"('enough', 'excellent', 'good')",1,0.00035211267605633805
32,"('dont',)",13.0,0.004574243490499648,"('hot', 'kitchen')",2.0,0.0007039774727208729,"('came', 'lunch', 'service')",1,0.00035211267605633805
33,"('sakura',)",13.0,0.004574243490499648,"('14', 'bucks')",2.0,0.0007039774727208729,"('second', 'time', 'couldnt')",1,0.00035211267605633805
34,"('ive',)",12.0,0.00422237860661506,"('authentic', 'authentic')",2.0,0.0007039774727208729,"('ordered', 'second', 'time')",1,0.00035211267605633805
35,"('give',)",12.0,0.00422237860661506,"('else', 'can')",2.0,0.0007039774727208729,"('cold', 'rice', 'may')",1,0.00035211267605633805
36,"('special',)",12.0,0.00422237860661506,"('go', 'back')",2.0,0.0007039774727208729,"('rice', 'may', 'best')",1,0.00035211267605633805
37,"('items',)",12.0,0.00422237860661506,"('order', 'whatever')",2.0,0.0007039774727208729,"('may', 'best', 'value')",1,0.00035211267605633805
38,"('well',)",11.0,0.0038705137227304713,"('whatever', 'want')",2.0,0.0007039774727208729,"('best', 'value', 'wilmington')",1,0.00035211267605633805
39,"('also',)",11.0,0.0038705137227304713,"('extremely', 'nice')",2.0,0.0007039774727208729,"('value', 'wilmington', 'crowded')",1,0.00035211267605633805
40,"('soup',)",11.0,0.0038705137227304713,"('beach', 'roll')",2.0,0.0007039774727208729,"('wilmington', 'crowded', 'height')",1,0.00035211267605633805
41,"('never',)",11.0,0.0038705137227304713,"('ive', 'never')",2.0,0.0007039774727208729,"('crowded', 'height', 'dinner')",1,0.00035211267605633805
42,"('pretty',)",11.0,0.0038705137227304713,"('attentive', 'helpful')",2.0,0.0007039774727208729,"('height', 'dinner', 'hour')",1,0.00035211267605633805
43,"('hot',)",11.0,0.0038705137227304713,"('ayce', 'menu')",2.0,0.0007039774727208729,"('dinner', 'hour', 'friday')",1,0.00035211267605633805
44,"('love',)",11.0,0.0038705137227304713,"('japanese', 'sashimi')",2.0,0.0007039774727208729,"('hour', 'friday', 'saturday')",1,0.00035211267605633805
45,"('tempura',)",11.0,0.0038705137227304713,"('well', 'prepared')",2.0,0.0007039774727208729,"('friday', 'saturday', 'lunch')",1,0.00035211267605633805
46,"('didnt',)",11.0,0.0038705137227304713,"('best', 'ive')",2.0,0.0007039774727208729,"('saturday', 'lunch', 'crowded')",1,0.00035211267605633805
