,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('eat',)",59.0,0.02110912343470483,"('can', 'eat')",44.0,0.015748031496062992,"('can', 'eat', 'lunch')",6,0.0021482277121374865
1,"('can',)",54.0,0.01932021466905188,"('eat', 'lunch')",7.0,0.0025053686471009306,"('go', 'anywhere', 'else')",3,0.0010741138560687433
2,"('good',)",51.0,0.018246869409660107,"('cant', 'beat')",6.0,0.0021474588403722263,"('best', 'can', 'eat')",3,0.0010741138560687433
3,"('great',)",36.0,0.012880143112701253,"('miso', 'soup')",5.0,0.0017895490336435219,"('price', 'can', 'eat')",2,0.0007160759040458289
4,"('service',)",36.0,0.012880143112701253,"('pretty', 'good')",5.0,0.0017895490336435219,"('get', 'moneys', 'worth')",2,0.0007160759040458289
5,"('ya',)",35.0,0.012522361359570662,"('good', 'price')",4.0,0.0014316392269148174,"('deal', 'can', 'eat')",2,0.0007160759040458289
6,"('go',)",34.0,0.012164579606440072,"('lunch', '14')",4.0,0.0014316392269148174,"('every', 'time', 'go')",2,0.0007160759040458289
7,"('love',)",30.0,0.01073345259391771,"('best', 'ive')",4.0,0.0014316392269148174,"('quail', 'egg', 'shooters')",2,0.0007160759040458289
8,"('price',)",28.0,0.01001788908765653,"('service', 'great')",4.0,0.0014316392269148174,"('egg', 'shooters', 'menu')",2,0.0007160759040458289
9,"('always',)",25.0,0.008944543828264758,"('crystal', 'shrimp')",4.0,0.0014316392269148174,"('can', 'eat', 'will')",2,0.0007160759040458289
10,"('lunch',)",25.0,0.008944543828264758,"('great', 'service')",4.0,0.0014316392269148174,"('staff', 'friendly', 'helpful')",2,0.0007160759040458289
11,"('really',)",23.0,0.008228980322003579,"('really', 'good')",4.0,0.0014316392269148174,"('cant', 'beat', 'price')",2,0.0007160759040458289
12,"('roll',)",20.0,0.007155635062611807,"('staff', 'friendly')",3.0,0.0010737294201861132,"('salad', 'miso', 'soup')",2,0.0007160759040458289
13,"('best',)",20.0,0.007155635062611807,"('highly', 'recommend')",3.0,0.0010737294201861132,"('best', 'ive', 'ever')",2,0.0007160759040458289
14,"('fish',)",19.0,0.006797853309481216,"('rocky', 'mountain')",3.0,0.0010737294201861132,"('well', 'can', 'eat')",2,0.0007160759040458289
15,"('like',)",18.0,0.0064400715563506265,"('visit', 'ya')",3.0,0.0010737294201861132,"('good', 'can', 'eat')",2,0.0007160759040458289
16,"('quality',)",18.0,0.0064400715563506265,"('always', 'fresh')",3.0,0.0010737294201861132,"('plan', 'go', 'weekend')",1,0.00035803795202291446
17,"('get',)",18.0,0.0064400715563506265,"('anywhere', 'else')",3.0,0.0010737294201861132,"('wait', 'love', 'restaurant')",1,0.00035803795202291446
18,"('time',)",18.0,0.0064400715563506265,"('go', 'anywhere')",3.0,0.0010737294201861132,"('liked', 'ive', 'tried')",1,0.00035803795202291446
19,"('order',)",17.0,0.006082289803220036,"('every', 'time')",3.0,0.0010737294201861132,"('ever', 'liked', 'ive')",1,0.00035803795202291446
20,"('nigiri',)",16.0,0.005724508050089445,"('quail', 'egg')",3.0,0.0010737294201861132,"('remember', 'name', 'sauce')",1,0.00035803795202291446
21,"('fresh',)",15.0,0.005366726296958855,"('las', 'vegas')",3.0,0.0010737294201861132,"('restaurant', 'ever', 'liked')",1,0.00035803795202291446
22,"('will',)",15.0,0.005366726296958855,"('always', 'great')",3.0,0.0010737294201861132,"('love', 'restaurant', 'ever')",1,0.00035803795202291446
23,"('ive',)",14.0,0.005008944543828265,"('recommend', 'ya')",3.0,0.0010737294201861132,"('name', 'sauce', 'sweet')",1,0.00035803795202291446
24,"('pretty',)",13.0,0.004651162790697674,"('good', 'can')",3.0,0.0010737294201861132,"('go', 'weekend', 'cant')",1,0.00035803795202291446
25,"('recommend',)",13.0,0.004651162790697674,"('best', 'can')",3.0,0.0010737294201861132,"('sauce', 'sweet', 'sour')",1,0.00035803795202291446
26,"('nice',)",13.0,0.004651162790697674,"('5', 'stars')",3.0,0.0010737294201861132,"('sweet', 'sour', 'deliciouswe')",1,0.00035803795202291446
27,"('come',)",13.0,0.004651162790697674,"('definitely', 'worth')",3.0,0.0010737294201861132,"('cant', 'wait', 'love')",1,0.00035803795202291446
28,"('places',)",12.0,0.004293381037567084,"('lunch', 'special')",3.0,0.0010737294201861132,"('sour', 'deliciouswe', 'plan')",1,0.00035803795202291446
29,"('staff',)",12.0,0.004293381037567084,"('order', 'sheet')",3.0,0.0010737294201861132,"('weekend', 'cant', 'wait')",1,0.00035803795202291446
30,"('favorite',)",12.0,0.004293381037567084,"('friendly', 'service')",3.0,0.0010737294201861132,"('deliciouswe', 'plan', 'go')",1,0.00035803795202291446
31,"('boise',)",12.0,0.004293381037567084,"('youre', 'going')",3.0,0.0010737294201861132,"('ive', 'eaten', 'times')",1,0.00035803795202291446
32,"('cant',)",12.0,0.004293381037567084,"('per', 'person')",3.0,0.0010737294201861132,"('cant', 'remember', 'name')",1,0.00035803795202291446
33,"('dont',)",12.0,0.004293381037567084,"('service', 'always')",3.0,0.0010737294201861132,"('orange', 'cant', 'remember')",1,0.00035803795202291446
34,"('dinner',)",10.0,0.0035778175313059034,"('dinner', 'lunch')",2.0,0.0007158196134574087,"('went', 'can', 'eat')",1,0.00035803795202291446
35,"('14',)",10.0,0.0035778175313059034,"('sat', 'bar')",2.0,0.0007158196134574087,"('can', 'eat', 'dinner')",1,0.00035803795202291446
36,"('menu',)",10.0,0.0035778175313059034,"('lunch', 'hour')",2.0,0.0007158196134574087,"('eat', 'dinner', 'waiter')",1,0.00035803795202291446
37,"('restaurant',)",10.0,0.0035778175313059034,"('love', 'love')",2.0,0.0007158196134574087,"('dinner', 'waiter', 'nice')",1,0.00035803795202291446
38,"('special',)",10.0,0.0035778175313059034,"('low', 'price')",2.0,0.0007158196134574087,"('waiter', 'nice', 'perfectwe')",1,0.00035803795202291446
39,"('definitely',)",10.0,0.0035778175313059034,"('price', 'can')",2.0,0.0007158196134574087,"('nice', 'perfectwe', 'ordered')",1,0.00035803795202291446
40,"('times',)",10.0,0.0035778175313059034,"('budget', 'dont')",2.0,0.0007158196134574087,"('perfectwe', 'ordered', 'nigiri')",1,0.00035803795202291446
41,"('never',)",10.0,0.0035778175313059034,"('ya', 'great')",2.0,0.0007158196134574087,"('ordered', 'nigiri', 'began')",1,0.00035803795202291446
42,"('also',)",10.0,0.0035778175313059034,"('go', 'eat')",2.0,0.0007158196134574087,"('nigiri', 'began', 'enjoy')",1,0.00035803795202291446
43,"('better',)",9.0,0.0032200357781753132,"('ive', 'ever')",2.0,0.0007158196134574087,"('began', 'enjoy', 'special')",1,0.00035803795202291446
44,"('tried',)",9.0,0.0032200357781753132,"('great', 'good')",2.0,0.0007158196134574087,"('enjoy', 'special', 'c')",1,0.00035803795202291446
45,"('back',)",9.0,0.0032200357781753132,"('good', 'service')",2.0,0.0007158196134574087,"('special', 'c', 'menulas')",1,0.00035803795202291446
46,"('worth',)",9.0,0.0032200357781753132,"('still', 'come')",2.0,0.0007158196134574087,"('c', 'menulas', 'vegas')",1,0.00035803795202291446
47,"('big',)",9.0,0.0032200357781753132,"('salad', 'miso')",2.0,0.0007158196134574087,"('menulas', 'vegas', 'bestthe')",1,0.00035803795202291446
48,"('ayce',)",9.0,0.0032200357781753132,"('fish', 'always')",2.0,0.0007158196134574087,"('vegas', 'bestthe', 'orange')",1,0.00035803795202291446
