,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('hibachi',)",19.0,0.016637478108581436,"('teriyaki', 'sauce')",7.0,0.006134969325153374,"('group', 'birthday', 'song')",2,0.0017543859649122807
1,"('good',)",15.0,0.013134851138353765,"('manager', 'didnt')",4.0,0.0035056967572304996,"('will', 'go', 'back')",2,0.0017543859649122807
2,"('sauce',)",15.0,0.013134851138353765,"('well', 'done')",3.0,0.0026292725679228747,"('hibachi', 'chef', 'really')",2,0.0017543859649122807
3,"('back',)",12.0,0.010507880910683012,"('hibachi', 'chef')",3.0,0.0026292725679228747,"('birthday', 'song', 'drums')",2,0.0017543859649122807
4,"('restaurant',)",12.0,0.010507880910683012,"('started', 'eating')",3.0,0.0026292725679228747,"('dont', 'want', 'drive')",2,0.0017543859649122807
5,"('table',)",11.0,0.009632224168126095,"('fried', 'rice')",3.0,0.0026292725679228747,"('brought', 'separately', 'party')",1,0.0008771929824561404
6,"('didnt',)",9.0,0.00788091068301226,"('go', 'back')",3.0,0.0026292725679228747,"('decorated', 'list', 'bad')",1,0.0008771929824561404
7,"('well',)",9.0,0.00788091068301226,"('naked', 'fish')",2.0,0.0017528483786152498,"('list', 'bad', 'much')",1,0.0008771929824561404
8,"('teriyaki',)",9.0,0.00788091068301226,"('table', 'wait')",2.0,0.0017528483786152498,"('bad', 'much', 'extensive')",1,0.0008771929824561404
9,"('dont',)",8.0,0.0070052539404553416,"('come', 'back')",2.0,0.0017528483786152498,"('much', 'extensive', 'server')",1,0.0008771929824561404
10,"('eat',)",8.0,0.0070052539404553416,"('want', 'drive')",2.0,0.0017528483786152498,"('extensive', 'server', 'inattentive')",1,0.0008771929824561404
11,"('meal',)",8.0,0.0070052539404553416,"('chef', 'really')",2.0,0.0017528483786152498,"('server', 'inattentive', 'seemed')",1,0.0008771929824561404
12,"('steak',)",8.0,0.0070052539404553416,"('onto', 'everything')",2.0,0.0017528483786152498,"('inattentive', 'seemed', 'though')",1,0.0008771929824561404
13,"('manager',)",7.0,0.006129597197898424,"('soy', 'sauce')",2.0,0.0017528483786152498,"('seemed', 'though', 'didnt')",1,0.0008771929824561404
14,"('even',)",7.0,0.006129597197898424,"('will', 'go')",2.0,0.0017528483786152498,"('though', 'didnt', 'want')",1,0.0008771929824561404
15,"('want',)",7.0,0.006129597197898424,"('used', 'love')",2.0,0.0017528483786152498,"('didnt', 'want', 'ask')",1,0.0008771929824561404
16,"('go',)",7.0,0.006129597197898424,"('group', 'birthday')",2.0,0.0017528483786152498,"('want', 'ask', 'order')",1,0.0008771929824561404
17,"('plate',)",6.0,0.005253940455341506,"('birthday', 'song')",2.0,0.0017528483786152498,"('ask', 'order', 'brought')",1,0.0008771929824561404
18,"('will',)",6.0,0.005253940455341506,"('song', 'drums')",2.0,0.0017528483786152498,"('also', 'ordered', 'salad')",1,0.0008771929824561404
19,"('chicken',)",6.0,0.005253940455341506,"('eat', 'anything')",2.0,0.0017528483786152498,"('order', 'brought', 'separately')",1,0.0008771929824561404
20,"('like',)",6.0,0.005253940455341506,"('couldnt', 'eat')",2.0,0.0017528483786152498,"('eel', 'also', 'ordered')",1,0.0008771929824561404
