,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",60.0,0.013333333333333334,"('omg', 'roll')",9.0,0.0020004445432318294,"('honey', 'walnut', 'shrimp')",3,0.0006669630947087594
1,"('good',)",56.0,0.012444444444444444,"('pad', 'thai')",8.0,0.0017781729273171815,"('hot', 'lover', 'roll')",3,0.0006669630947087594
2,"('woksabi',)",54.0,0.012,"('funky', 'monkey')",8.0,0.0017781729273171815,"('michelle', 'cs', 'review')",2,0.00044464206313917296
3,"('great',)",43.0,0.009555555555555555,"('spicy', 'tuna')",6.0,0.0013336296954878863,"('shrimp', 'pad', 'thai')",2,0.00044464206313917296
4,"('time',)",30.0,0.006666666666666667,"('miso', 'soup')",6.0,0.0013336296954878863,"('people', 'chows', 'across')",2,0.00044464206313917296
5,"('always',)",30.0,0.006666666666666667,"('haddon', 'ave')",6.0,0.0013336296954878863,"('chows', 'across', 'street')",2,0.00044464206313917296
6,"('like',)",29.0,0.0064444444444444445,"('go', 'back')",6.0,0.0013336296954878863,"('along', 'haddon', 'ave')",2,0.00044464206313917296
7,"('ive',)",28.0,0.006222222222222222,"('pretty', 'good')",6.0,0.0013336296954878863,"('byob', 'always', 'plus')",2,0.00044464206313917296
8,"('also',)",27.0,0.006,"('happy', 'hour')",5.0,0.0011113580795732384,"('will', 'definitely', 'back')",2,0.00044464206313917296
9,"('ordered',)",26.0,0.0057777777777777775,"('will', 'definitely')",5.0,0.0011113580795732384,"('spicy', 'tuna', 'pizza')",2,0.00044464206313917296
10,"('back',)",26.0,0.0057777777777777775,"('first', 'time')",5.0,0.0011113580795732384,"('im', 'giving', '5')",2,0.00044464206313917296
11,"('restaurant',)",25.0,0.005555555555555556,"('shrimp', 'shumai')",4.0,0.0008890864636585908,"('haddon', 'ave', 'collingswood')",2,0.00044464206313917296
12,"('service',)",25.0,0.005555555555555556,"('great', 'service')",4.0,0.0008890864636585908,"('last', 'night', 'boyfriend')",2,0.00044464206313917296
13,"('menu',)",25.0,0.005555555555555556,"('bring', 'friends')",4.0,0.0008890864636585908,"('im', 'pretty', 'sure')",2,0.00044464206313917296
14,"('pretty',)",23.0,0.005111111111111111,"('walnut', 'shrimp')",4.0,0.0008890864636585908,"('pad', 'thai', 'chicken')",2,0.00044464206313917296
15,"('really',)",23.0,0.005111111111111111,"('5', 'stars')",4.0,0.0008890864636585908,"('open', 'every', 'day')",2,0.00044464206313917296
16,"('love',)",22.0,0.004888888888888889,"('woksabi', 'chicken')",4.0,0.0008890864636585908,"('ocean', 'party', 'roll')",2,0.00044464206313917296
17,"('shrimp',)",22.0,0.004888888888888889,"('coming', 'back')",4.0,0.0008890864636585908,"('roll', 'sooo', 'good')",2,0.00044464206313917296
18,"('got',)",22.0,0.004888888888888889,"('friendly', 'attentive')",4.0,0.0008890864636585908,"('miso', 'soup', 'salad')",2,0.00044464206313917296
