,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('order',)",75.0,0.024834437086092714,"('im', 'handicapped')",23.0,0.0076184166942696255,"('kind', 'enough', 'bring')",19,0.006295559973492379
1,"('delicious',)",59.0,0.0195364238410596,"('mrs', 'joanna')",19.0,0.006293474660483604,"('enough', 'bring', 'order')",14,0.004638833664678595
2,"('salmon',)",54.0,0.017880794701986755,"('enough', 'bring')",19.0,0.006293474660483604,"('zack', 'took', 'order')",11,0.003644797879390325
3,"('fresh',)",54.0,0.017880794701986755,"('kind', 'enough')",19.0,0.006293474660483604,"('highly', 'recommend', 'eat')",11,0.003644797879390325
4,"('roll',)",45.0,0.014900662251655629,"('highly', 'recommend')",17.0,0.005631003643590593,"('manager', 'mrs', 'joanna')",11,0.003644797879390325
5,"('always',)",36.0,0.011920529801324504,"('delicious', 'fresh')",17.0,0.005631003643590593,"('bring', 'order', 'car')",10,0.0033134526176275677
6,"('handicapped',)",34.0,0.011258278145695364,"('always', 'correct')",15.0,0.004968532626697582,"('salmon', 'yellow', 'tail')",10,0.0033134526176275677
7,"('zack',)",34.0,0.011258278145695364,"('bring', 'order')",14.0,0.004637297118251077,"('order', 'always', 'correct')",10,0.0033134526176275677
8,"('best',)",32.0,0.010596026490066225,"('happy', 'hour')",14.0,0.004637297118251077,"('bomb', 'im', 'handicapped')",9,0.002982107355864811
9,"('kind',)",31.0,0.010264900662251655,"('took', 'order')",13.0,0.004306061609804571,"('correct', 'luca', 'friendly')",9,0.002982107355864811
10,"('polite',)",30.0,0.009933774834437087,"('sake', 'cafe')",13.0,0.004306061609804571,"('eaten', 'bomb', 'im')",9,0.002982107355864811
11,"('great',)",29.0,0.009602649006622516,"('got', 'salmon')",12.0,0.003974826101358066,"('ever', 'eaten', 'bomb')",9,0.002982107355864811
12,"('sake',)",29.0,0.009602649006622516,"('manager', 'mrs')",11.0,0.00364359059291156,"('tail', 'ever', 'eaten')",9,0.002982107355864811
13,"('im',)",27.0,0.008940397350993378,"('ever', 'eaten')",11.0,0.00364359059291156,"('yellow', 'tail', 'ever')",9,0.002982107355864811
14,"('highly',)",26.0,0.008609271523178808,"('recommend', 'eat')",11.0,0.00364359059291156,"('best', 'salmon', 'yellow')",9,0.002982107355864811
15,"('bring',)",26.0,0.008609271523178808,"('zack', 'took')",11.0,0.00364359059291156,"('luca', 'friendly', 'polite')",9,0.002982107355864811
16,"('like',)",25.0,0.008278145695364239,"('order', 'always')",11.0,0.00364359059291156,"('call', 'order', 'luca')",9,0.002982107355864811
17,"('got',)",25.0,0.008278145695364239,"('fresh', 'delicious')",10.0,0.0033123550844650546,"('car', 'order', 'always')",9,0.002982107355864811
