,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",16.0,0.0196078431372549,"('will', 'definitely')",4.0,0.0049079754601227,"('will', 'definitely', 'back')",3,0.0036855036855036856
1,"('good',)",13.0,0.015931372549019607,"('definitely', 'back')",3.0,0.0036809815950920245,"('yum', 'yum', 'sauce')",2,0.002457002457002457
2,"('roll',)",12.0,0.014705882352941176,"('great', 'experience')",2.0,0.00245398773006135,"('hibachi', 'good', 'time')",2,0.002457002457002457
3,"('hibachi',)",10.0,0.012254901960784314,"('far', 'favorite')",2.0,0.00245398773006135,"('loved', 'experience', 'great')",1,0.0012285012285012285
4,"('went',)",8.0,0.00980392156862745,"('yum', 'yum')",2.0,0.00245398773006135,"('wasnt', 'anything', 'like')",1,0.0012285012285012285
5,"('will',)",8.0,0.00980392156862745,"('cant', 'say')",2.0,0.00245398773006135,"('bar', 'can', 'order')",1,0.0012285012285012285
6,"('back',)",7.0,0.00857843137254902,"('hibachi', 'good')",2.0,0.00245398773006135,"('can', 'order', 'anything')",1,0.0012285012285012285
7,"('definitely',)",7.0,0.00857843137254902,"('good', 'time')",2.0,0.00245398773006135,"('order', 'anything', 'want')",1,0.0012285012285012285
8,"('go',)",7.0,0.00857843137254902,"('can', 'eat')",2.0,0.00245398773006135,"('anything', 'want', 'husband')",1,0.0012285012285012285
9,"('really',)",7.0,0.00857843137254902,"('eat', 'great')",2.0,0.00245398773006135,"('want', 'husband', 'got')",1,0.0012285012285012285
10,"('chef',)",6.0,0.007352941176470588,"('hibachi', 'side')",2.0,0.00245398773006135,"('husband', 'got', 'volcano')",1,0.0012285012285012285
11,"('amazing',)",6.0,0.007352941176470588,"('favorite', 'hibachi')",2.0,0.00245398773006135,"('got', 'volcano', 'roll')",1,0.0012285012285012285
12,"('anything',)",6.0,0.007352941176470588,"('can', 'order')",2.0,0.00245398773006135,"('volcano', 'roll', 'wasnt')",1,0.0012285012285012285
13,"('eat',)",6.0,0.007352941176470588,"('asked', 'liked')",2.0,0.00245398773006135,"('roll', 'wasnt', 'anything')",1,0.0012285012285012285
14,"('even',)",6.0,0.007352941176470588,"('yum', 'sauce')",2.0,0.00245398773006135,"('anything', 'like', 'said')",1,0.0012285012285012285
15,"('like',)",6.0,0.007352941176470588,"('definitely', 'return')",2.0,0.00245398773006135,"('area', 'sit', 'bar')",1,0.0012285012285012285
16,"('made',)",5.0,0.006127450980392157,"('onion', 'soup')",2.0,0.00245398773006135,"('like', 'said', 'menu')",1,0.0012285012285012285
17,"('want',)",5.0,0.006127450980392157,"('volcano', 'roll')",2.0,0.00245398773006135,"('said', 'menu', 'chef')",1,0.0012285012285012285
18,"('love',)",5.0,0.006127450980392157,"('husband', 'got')",1.0,0.001226993865030675,"('menu', 'chef', 'asked')",1,0.0012285012285012285
19,"('can',)",5.0,0.006127450980392157,"('chef', 'asked')",1.0,0.001226993865030675,"('chef', 'asked', 'liked')",1,0.0012285012285012285
20,"('time',)",5.0,0.006127450980392157,"('favorite', 'area')",1.0,0.001226993865030675,"('asked', 'liked', 'chopped')",1,0.0012285012285012285
21,"('friendly',)",5.0,0.006127450980392157,"('menu', 'chef')",1.0,0.001226993865030675,"('liked', 'chopped', 'mixed')",1,0.0012285012285012285
22,"('got',)",5.0,0.006127450980392157,"('area', 'sit')",1.0,0.001226993865030675,"('chopped', 'mixed', 'everything')",1,0.0012285012285012285
23,"('review',)",5.0,0.006127450980392157,"('said', 'menu')",1.0,0.001226993865030675,"('mixed', 'everything', 'mayomasago')",1,0.0012285012285012285
24,"('best',)",5.0,0.006127450980392157,"('like', 'said')",1.0,0.001226993865030675,"('everything', 'mayomasago', 'mixture')",1,0.0012285012285012285
25,"('restaurant',)",5.0,0.006127450980392157,"('sit', 'bar')",1.0,0.001226993865030675,"('mayomasago', 'mixture', 'baked')",1,0.0012285012285012285
26,"('area',)",5.0,0.006127450980392157,"('anything', 'like')",1.0,0.001226993865030675,"('sit', 'bar', 'can')",1,0.0012285012285012285
27,"('favorite',)",5.0,0.006127450980392157,"('want', 'husband')",1.0,0.001226993865030675,"('favorite', 'area', 'sit')",1,0.0012285012285012285
28,"('said',)",5.0,0.006127450980392157,"('bar', 'can')",1.0,0.001226993865030675,"('baked', 'itfrom', 'hubby')",1,0.0012285012285012285
29,"('side',)",5.0,0.006127450980392157,"('wasnt', 'anything')",1.0,0.001226993865030675,"('new', 'great', 'taste')",1,0.0012285012285012285
30,"('price',)",5.0,0.006127450980392157,"('roll', 'wasnt')",1.0,0.001226993865030675,"('recipes', 'training', 'use')",1,0.0012285012285012285
31,"('try',)",5.0,0.006127450980392157,"('order', 'anything')",1.0,0.001226993865030675,"('training', 'use', 'prepare')",1,0.0012285012285012285
32,"('sure',)",4.0,0.004901960784313725,"('got', 'volcano')",1.0,0.001226993865030675,"('use', 'prepare', 'overall')",1,0.0012285012285012285
33,"('wife',)",4.0,0.004901960784313725,"('anything', 'want')",1.0,0.001226993865030675,"('prepare', 'overall', 'new')",1,0.0012285012285012285
