,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('like',)",23.0,0.009364820846905538,"('felt', 'like')",4.0,0.001629327902240326,"('dont', 'waste', 'money')",2,0.0008149959250203749
1,"('fish',)",22.0,0.008957654723127036,"('price', 'point')",4.0,0.001629327902240326,"('kept', 'open', 'mind')",2,0.0008149959250203749
2,"('experience',)",19.0,0.007736156351791531,"('dining', 'experience')",4.0,0.001629327902240326,"('asked', 'tap', 'water')",2,0.0008149959250203749
3,"('us',)",18.0,0.007328990228013029,"('tap', 'water')",4.0,0.001629327902240326,"('gentlemen', 'phone', 'told')",1,0.00040749796251018743
4,"('hiroki',)",17.0,0.006921824104234527,"('soy', 'sauce')",3.0,0.0012219959266802445,"('called', 'advance', 'make')",1,0.00040749796251018743
5,"('omakase',)",17.0,0.006921824104234527,"('open', 'mind')",3.0,0.0012219959266802445,"('advance', 'make', 'sure')",1,0.00040749796251018743
6,"('meal',)",14.0,0.005700325732899023,"('looked', 'like')",3.0,0.0012219959266802445,"('make', 'sure', 'byob')",1,0.00040749796251018743
7,"('good',)",13.0,0.005293159609120521,"('tasting', 'menu')",3.0,0.0012219959266802445,"('sure', 'byob', 'gentlemen')",1,0.00040749796251018743
8,"('can',)",13.0,0.005293159609120521,"('two', 'us')",3.0,0.0012219959266802445,"('byob', 'gentlemen', 'phone')",1,0.00040749796251018743
9,"('go',)",13.0,0.005293159609120521,"('go', 'back')",3.0,0.0012219959266802445,"('phone', 'told', 'brought')",1,0.00040749796251018743
10,"('back',)",12.0,0.004885993485342019,"('can', 'go')",3.0,0.0012219959266802445,"('fee', 'surprise', 'told')",1,0.00040749796251018743
11,"('get',)",12.0,0.004885993485342019,"('first', 'course')",3.0,0.0012219959266802445,"('told', 'brought', 'sake')",1,0.00040749796251018743
12,"('rice',)",12.0,0.004885993485342019,"('youre', 'looking')",2.0,0.000814663951120163,"('brought', 'sake', 'front')",1,0.00040749796251018743
13,"('dont',)",12.0,0.004885993485342019,"('wooden', 'door')",2.0,0.000814663951120163,"('sake', 'front', 'door')",1,0.00040749796251018743
14,"('will',)",11.0,0.004478827361563518,"('rice', 'served')",2.0,0.000814663951120163,"('front', 'door', 'hostess')",1,0.00040749796251018743
15,"('said',)",11.0,0.004478827361563518,"('wait', 'cold')",2.0,0.000814663951120163,"('door', 'hostess', 'told')",1,0.00040749796251018743
16,"('first',)",11.0,0.004478827361563518,"('didnt', 'really')",2.0,0.000814663951120163,"('hostess', 'told', 'corkage')",1,0.00040749796251018743
17,"('sake',)",11.0,0.004478827361563518,"('per', 'person')",2.0,0.000814663951120163,"('told', 'corkage', 'fee')",1,0.00040749796251018743
18,"('really',)",11.0,0.004478827361563518,"('asked', 'tap')",2.0,0.000814663951120163,"('friends', 'called', 'advance')",1,0.00040749796251018743
19,"('two',)",11.0,0.004478827361563518,"('want', 'great')",2.0,0.000814663951120163,"('share', 'friends', 'called')",1,0.00040749796251018743
20,"('served',)",10.0,0.004071661237785016,"('quality', 'mediocre')",2.0,0.000814663951120163,"('wanted', 'share', 'friends')",1,0.00040749796251018743
21,"('price',)",10.0,0.004071661237785016,"('small', 'portions')",2.0,0.000814663951120163,"('japan', 'wanted', 'share')",1,0.00040749796251018743
22,"('also',)",9.0,0.0036644951140065146,"('pieces', 'looked')",2.0,0.000814663951120163,"('spend', 'experience', 'without')",1,0.00040749796251018743
23,"('another',)",9.0,0.0036644951140065146,"('fish', 'rice')",2.0,0.000814663951120163,"('experience', 'without', 'concern')",1,0.00040749796251018743
24,"('small',)",9.0,0.0036644951140065146,"('can', 'imagine')",2.0,0.000814663951120163,"('without', 'concern', 'around')",1,0.00040749796251018743
25,"('asked',)",9.0,0.0036644951140065146,"('served', 'cold')",2.0,0.000814663951120163,"('concern', 'around', 'go')",1,0.00040749796251018743
26,"('much',)",8.0,0.003257328990228013,"('front', 'door')",2.0,0.000814663951120163,"('around', 'go', 'horrible')",1,0.00040749796251018743
27,"('sashimi',)",8.0,0.003257328990228013,"('20', 'tip')",2.0,0.000814663951120163,"('go', 'horrible', 'experience')",1,0.00040749796251018743
28,"('cold',)",8.0,0.003257328990228013,"('additional', '20')",2.0,0.000814663951120163,"('horrible', 'experience', 'booked')",1,0.00040749796251018743
29,"('want',)",8.0,0.003257328990228013,"('ive', 'better')",2.0,0.000814663951120163,"('experience', 'booked', 'celebrate')",1,0.00040749796251018743
30,"('didnt',)",8.0,0.003257328990228013,"('fish', 'also')",2.0,0.000814663951120163,"('booked', 'celebrate', 'birthday')",1,0.00040749796251018743
31,"('2',)",8.0,0.003257328990228013,"('box', 'checked')",2.0,0.000814663951120163,"('celebrate', 'birthday', 'friends')",1,0.00040749796251018743
32,"('made',)",8.0,0.003257328990228013,"('brought', 'sake')",2.0,0.000814663951120163,"('birthday', 'friends', 'bought')",1,0.00040749796251018743
33,"('4',)",8.0,0.003257328990228013,"('anywhere', 'else')",2.0,0.000814663951120163,"('friends', 'bought', 'nice')",1,0.00040749796251018743
34,"('course',)",8.0,0.003257328990228013,"('service', 'charge')",2.0,0.000814663951120163,"('bought', 'nice', 'sake')",1,0.00040749796251018743
35,"('told',)",8.0,0.003257328990228013,"('birthday', 'dinner')",2.0,0.000814663951120163,"('nice', 'sake', 'japan')",1,0.00040749796251018743
