,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",32.0,0.016137165910237016,"('miso', 'soup')",7.0,0.0035317860746720484,"('wasabi', 'whipped', 'cream')",3,0.001514386673397274
1,"('great',)",27.0,0.01361573373676248,"('lunch', 'special')",6.0,0.0030272452068617556,"('soy', 'sauce', 'great')",2,0.0010095911155981827
2,"('good',)",25.0,0.012607160867372668,"('dragons', 'breath')",4.0,0.0020181634712411706,"('good', 'superb', 'great')",2,0.0010095911155981827
3,"('superb',)",21.0,0.01059001512859304,"('5', 'stars')",4.0,0.0020181634712411706,"('tea', 'ice', 'cream')",2,0.0010095911155981827
4,"('service',)",21.0,0.01059001512859304,"('soy', 'sauce')",4.0,0.0020181634712411706,"('green', 'tea', 'ice')",2,0.0010095911155981827
5,"('boise',)",16.0,0.008068582955118508,"('whipped', 'cream')",3.0,0.0015136226034308778,"('miso', 'soup', 'included')",2,0.0010095911155981827
6,"('like',)",16.0,0.008068582955118508,"('will', 'back')",3.0,0.0015136226034308778,"('salad', 'included', 'always')",1,0.0005047955577990914
7,"('love',)",14.0,0.0070600100857286935,"('happy', 'hour')",3.0,0.0015136226034308778,"('sushiiiii', 'everrrrrrr', 'love')",1,0.0005047955577990914
8,"('fresh',)",14.0,0.0070600100857286935,"('roll', 'whales')",3.0,0.0015136226034308778,"('everrrrrrr', 'love', 'soup')",1,0.0005047955577990914
9,"('lunch',)",14.0,0.0070600100857286935,"('hawaiian', 'roll')",3.0,0.0015136226034308778,"('love', 'soup', 'salad')",1,0.0005047955577990914
10,"('also',)",14.0,0.0070600100857286935,"('first', 'time')",3.0,0.0015136226034308778,"('soup', 'salad', 'included')",1,0.0005047955577990914
11,"('really',)",13.0,0.006555723651033787,"('beautifully', 'presented')",3.0,0.0015136226034308778,"('always', 'super', 'fresh')",1,0.0005047955577990914
12,"('eat',)",13.0,0.006555723651033787,"('new', 'favorite')",3.0,0.0015136226034308778,"('included', 'always', 'super')",1,0.0005047955577990914
13,"('get',)",12.0,0.006051437216338881,"('sumo', 'roll')",3.0,0.0015136226034308778,"('said', 'favorite', 'sushiiiii')",1,0.0005047955577990914
14,"('try',)",12.0,0.006051437216338881,"('superb', 'great')",3.0,0.0015136226034308778,"('super', 'fresh', 'great')",1,0.0005047955577990914
15,"('little',)",11.0,0.005547150781643974,"('life', 'good')",3.0,0.0015136226034308778,"('fresh', 'great', 'boise')",1,0.0005047955577990914
16,"('delicious',)",11.0,0.005547150781643974,"('can', 'eat')",3.0,0.0015136226034308778,"('great', 'boise', 'susi')",1,0.0005047955577990914
17,"('salad',)",10.0,0.005042864346949067,"('wasabi', 'whipped')",3.0,0.0015136226034308778,"('boise', 'susi', 'locally')",1,0.0005047955577990914
18,"('menu',)",10.0,0.005042864346949067,"('service', 'great')",3.0,0.0015136226034308778,"('favorite', 'sushiiiii', 'everrrrrrr')",1,0.0005047955577990914
19,"('building',)",10.0,0.005042864346949067,"('ordered', '4')",2.0,0.0010090817356205853,"('come', 'lunch', 'often')",1,0.0005047955577990914
20,"('always',)",10.0,0.005042864346949067,"('yum', 'yum')",2.0,0.0010090817356205853,"('others', 'said', 'favorite')",1,0.0005047955577990914
21,"('two',)",9.0,0.0045385779122541605,"('go', 'building')",2.0,0.0010090817356205853,"('locally', 'owned', 'favorite')",1,0.0005047955577990914
22,"('soup',)",9.0,0.0045385779122541605,"('priced', 'right')",2.0,0.0010090817356205853,"('crab', 'others', 'said')",1,0.0005047955577990914
23,"('time',)",9.0,0.0045385779122541605,"('building', 'downstairs')",2.0,0.0010090817356205853,"('imitation', 'crab', 'others')",1,0.0005047955577990914
24,"('go',)",9.0,0.0045385779122541605,"('didnt', 'give')",2.0,0.0010090817356205853,"('use', 'imitation', 'crab')",1,0.0005047955577990914
25,"('bit',)",9.0,0.0045385779122541605,"('patio', 'furniture')",2.0,0.0010090817356205853,"('wish', 'use', 'imitation')",1,0.0005047955577990914
26,"('ordered',)",9.0,0.0045385779122541605,"('service', 'prompt')",2.0,0.0010090817356205853,"('eat', 'wish', 'use')",1,0.0005047955577990914
27,"('miso',)",9.0,0.0045385779122541605,"('kamikaze', 'roll')",2.0,0.0010090817356205853,"('left', 'eat', 'wish')",1,0.0005047955577990914
28,"('amazing',)",8.0,0.004034291477559254,"('visiting', 'boise')",2.0,0.0010090817356205853,"('satisfied', 'left', 'eat')",1,0.0005047955577990914
29,"('staff',)",8.0,0.004034291477559254,"('looking', 'traditional')",2.0,0.0010090817356205853,"('sake', 'satisfied', 'left')",1,0.0005047955577990914
30,"('im',)",8.0,0.004034291477559254,"('favorite', 'boise')",2.0,0.0010090817356205853,"('house', 'sake', 'satisfied')",1,0.0005047955577990914
31,"('us',)",8.0,0.004034291477559254,"('great', 'price')",2.0,0.0010090817356205853,"('beer', 'house', 'sake')",1,0.0005047955577990914
32,"('can',)",8.0,0.004034291477559254,"('soup', 'included')",2.0,0.0010090817356205853,"('along', 'beer', 'house')",1,0.0005047955577990914
33,"('never',)",8.0,0.004034291477559254,"('salad', 'perfect')",2.0,0.0010090817356205853,"('salad', 'along', 'beer')",1,0.0005047955577990914
34,"('pretty',)",8.0,0.004034291477559254,"('boise', 'sure')",2.0,0.0010090817356205853,"('susi', 'locally', 'owned')",1,0.0005047955577990914
35,"('dont',)",8.0,0.004034291477559254,"('huge', 'beautifully')",2.0,0.0010090817356205853,"('boise', 'far', 'priced')",1,0.0005047955577990914
36,"('back',)",8.0,0.004034291477559254,"('every', 'restaurant')",2.0,0.0010090817356205853,"('owned', 'favorite', 'boise')",1,0.0005047955577990914
37,"('well',)",8.0,0.004034291477559254,"('ice', 'cream')",2.0,0.0010090817356205853,"('traditional', 'might', 'bill')",1,0.0005047955577990914
38,"('favorite',)",8.0,0.004034291477559254,"('tea', 'ice')",2.0,0.0010090817356205853,"('order', 'wonderful', 'eat')",1,0.0005047955577990914
39,"('cream',)",7.0,0.0035300050428643467,"('green', 'tea')",2.0,0.0010090817356205853,"('included', 'order', 'wonderful')",1,0.0005047955577990914
40,"('huge',)",7.0,0.0035300050428643467,"('two', 'bites')",2.0,0.0010090817356205853,"('salad', 'included', 'order')",1,0.0005047955577990914
41,"('spicy',)",7.0,0.0035300050428643467,"('times', 'now')",2.0,0.0010090817356205853,"('cabbagenoodle', 'salad', 'included')",1,0.0005047955577990914
42,"('ive',)",7.0,0.0035300050428643467,"('good', 'superb')",2.0,0.0010090817356205853,"('great', 'cabbagenoodle', 'salad')",1,0.0005047955577990914
43,"('sauce',)",7.0,0.0035300050428643467,"('sunflower', 'seeds')",2.0,0.0010090817356205853,"('soup', 'great', 'cabbagenoodle')",1,0.0005047955577990914
44,"('server',)",7.0,0.0035300050428643467,"('good', 'service')",2.0,0.0010090817356205853,"('miso', 'soup', 'great')",1,0.0005047955577990914
45,"('nice',)",7.0,0.0035300050428643467,"('california', 'roll')",2.0,0.0010090817356205853,"('get', 'miso', 'soup')",1,0.0005047955577990914
46,"('special',)",7.0,0.0035300050428643467,"('last', 'week')",2.0,0.0010090817356205853,"('also', 'get', 'miso')",1,0.0005047955577990914
47,"('area',)",6.0,0.0030257186081694403,"('really', 'enjoyed')",2.0,0.0010090817356205853,"('untraditional', 'also', 'get')",1,0.0005047955577990914
48,"('best',)",6.0,0.0030257186081694403,"('great', 'great')",2.0,0.0010090817356205853,"('bill', 'untraditional', 'also')",1,0.0005047955577990914
49,"('friendly',)",6.0,0.0030257186081694403,"('raw', 'fish')",2.0,0.0010090817356205853,"('might', 'bill', 'untraditional')",1,0.0005047955577990914
50,"('will',)",6.0,0.0030257186081694403,"('good', 'overall')",2.0,0.0010090817356205853,"('looking', 'traditional', 'might')",1,0.0005047955577990914
51,"('included',)",6.0,0.0030257186081694403,"('always', 'good')",2.0,0.0010090817356205853,"('favorite', 'boise', 'far')",1,0.0005047955577990914
52,"('especially',)",6.0,0.0030257186081694403,"('server', 'attentive')",2.0,0.0010090817356205853,"('youre', 'looking', 'traditional')",1,0.0005047955577990914
53,"('5',)",6.0,0.0030257186081694403,"('asian', 'slaw')",2.0,0.0010090817356205853,"('variations', 'youre', 'looking')",1,0.0005047955577990914
54,"('price',)",6.0,0.0030257186081694403,"('salad', 'included')",2.0,0.0010090817356205853,"('interesting', 'variations', 'youre')",1,0.0005047955577990914
55,"('slaw',)",6.0,0.0030257186081694403,"('ive', 'never')",2.0,0.0010090817356205853,"('offers', 'interesting', 'variations')",1,0.0005047955577990914
56,"('super',)",6.0,0.0030257186081694403,"('seating', 'area')",2.0,0.0010090817356205853,"('money', 'offers', 'interesting')",1,0.0005047955577990914
57,"('restaurant',)",6.0,0.0030257186081694403,"('chefs', 'choice')",2.0,0.0010090817356205853,"('roll', 'money', 'offers')",1,0.0005047955577990914
58,"('hawaiian',)",5.0,0.0025214321734745334,"('oh', 'gosh')",2.0,0.0010090817356205853,"('lot', 'roll', 'money')",1,0.0005047955577990914
59,"('location',)",5.0,0.0025214321734745334,"('really', 'good')",2.0,0.0010090817356205853,"('get', 'lot', 'roll')",1,0.0005047955577990914
60,"('tempura',)",5.0,0.0025214321734745334,"('coming', 'years')",2.0,0.0010090817356205853,"('right', 'get', 'lot')",1,0.0005047955577990914
61,"('every',)",5.0,0.0025214321734745334,"('great', 'service')",2.0,0.0010090817356205853,"('priced', 'right', 'get')",1,0.0005047955577990914
62,"('come',)",5.0,0.0025214321734745334,"('sauce', 'great')",2.0,0.0010090817356205853,"('far', 'priced', 'right')",1,0.0005047955577990914
63,"('excellent',)",5.0,0.0025214321734745334,"('reasonable', 'price')",2.0,0.0010090817356205853,"('nigiri', 'seaweed', 'salad')",1,0.0005047955577990914
64,"('inside',)",5.0,0.0025214321734745334,"('along', 'fresh')",1.0,0.0005045408678102926,"('seaweed', 'salad', 'along')",1,0.0005047955577990914
65,"('wasabi',)",5.0,0.0025214321734745334,"('house', 'sake')",1.0,0.0005045408678102926,"('huge', 'along', 'fresh')",1,0.0005047955577990914
66,"('now',)",5.0,0.0025214321734745334,"('beer', 'house')",1.0,0.0005045408678102926,"('fresh', 'nigiri', 'seaweed')",1,0.0005047955577990914
67,"('times',)",5.0,0.0025214321734745334,"('along', 'beer')",1.0,0.0005045408678102926,"('along', 'fresh', 'nigiri')",1,0.0005047955577990914
68,"('didnt',)",5.0,0.0025214321734745334,"('salad', 'along')",1.0,0.0005045408678102926,"('sure', 'wont', 'trying')",1,0.0005047955577990914
69,"('much',)",5.0,0.0025214321734745334,"('seaweed', 'salad')",1.0,0.0005045408678102926,"('pretty', 'sure', 'wont')",1,0.0005047955577990914
70,"('asian',)",5.0,0.0025214321734745334,"('sitting', 'outside')",1.0,0.0005045408678102926,"('im', 'pretty', 'sure')",1,0.0005047955577990914
71,"('side',)",5.0,0.0025214321734745334,"('nigiri', 'seaweed')",1.0,0.0005045408678102926,"('spot', 'im', 'pretty')",1,0.0005047955577990914
72,"('wanted',)",5.0,0.0025214321734745334,"('outside', 'service')",1.0,0.0005045408678102926,"('favorite', 'spot', 'im')",1,0.0005047955577990914
73,"('around',)",5.0,0.0025214321734745334,"('fresh', 'nigiri')",1.0,0.0005045408678102926,"('new', 'favorite', 'spot')",1,0.0005047955577990914
74,"('small',)",5.0,0.0025214321734745334,"('patio', 'urban')",1.0,0.0005045408678102926,"('fresh', 'new', 'favorite')",1,0.0005047955577990914
75,"('give',)",5.0,0.0025214321734745334,"('sake', 'satisfied')",1.0,0.0005045408678102926,"('extremely', 'fresh', 'new')",1,0.0005047955577990914
76,"('town',)",5.0,0.0025214321734745334,"('service', 'usually')",1.0,0.0005045408678102926,"('also', 'extremely', 'fresh')",1,0.0005047955577990914
77,"('meal',)",5.0,0.0025214321734745334,"('usually', 'good')",1.0,0.0005045408678102926,"('roll', 'also', 'extremely')",1,0.0005047955577990914
78,"('attentive',)",5.0,0.0025214321734745334,"('three', 'huge')",1.0,0.0005045408678102926,"('fish', 'roll', 'also')",1,0.0005047955577990914
79,"('right',)",5.0,0.0025214321734745334,"('good', 'times')",1.0,0.0005045408678102926,"('favorite', 'fish', 'roll')",1,0.0005047955577990914
80,"('soy',)",5.0,0.0025214321734745334,"('servers', 'three')",1.0,0.0005045408678102926,"('kamikaze', 'favorite', 'fish')",1,0.0005047955577990914
81,"('fish',)",5.0,0.0025214321734745334,"('times', 'good')",1.0,0.0005045408678102926,"('roll', 'kamikaze', 'favorite')",1,0.0005047955577990914
82,"('since',)",5.0,0.0025214321734745334,"('friendly', 'servers')",1.0,0.0005045408678102926,"('loved', 'roll', 'kamikaze')",1,0.0005047955577990914
83,"('three',)",5.0,0.0025214321734745334,"('good', 'doesnt')",1.0,0.0005045408678102926,"('really', 'loved', 'roll')",1,0.0005047955577990914
84,"('even',)",5.0,0.0025214321734745334,"('fast', 'friendly')",1.0,0.0005045408678102926,"('roll', 'really', 'loved')",1,0.0005047955577990914
85,"('outside',)",5.0,0.0025214321734745334,"('super', 'fast')",1.0,0.0005045408678102926,"('sumo', 'roll', 'really')",1,0.0005047955577990914
86,"('quality',)",5.0,0.0025214321734745334,"('service', 'super')",1.0,0.0005045408678102926,"('roll', 'sumo', 'roll')",1,0.0005047955577990914
