,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",13.0,0.011139674378748929,"('cant', 'wait')",5.0,0.004288164665523156,"('cant', 'wait', 'try')",3,0.002575107296137339
1,"('roll',)",12.0,0.010282776349614395,"('pad', 'thai')",4.0,0.003430531732418525,"('going', 'back', 'try')",2,0.0017167381974248926
2,"('rice',)",12.0,0.010282776349614395,"('back', 'try')",3.0,0.002572898799313894,"('will', 'definitely', 'back')",2,0.0017167381974248926
3,"('back',)",12.0,0.010282776349614395,"('miso', 'soup')",3.0,0.002572898799313894,"('pad', 'thai', 'chicken')",2,0.0017167381974248926
4,"('try',)",11.0,0.009425878320479864,"('wait', 'try')",3.0,0.002572898799313894,"('veggie', 'pad', 'thai')",2,0.0017167381974248926
5,"('also',)",11.0,0.009425878320479864,"('tempura', 'roll')",3.0,0.002572898799313894,"('back', 'try', 'something')",2,0.0017167381974248926
6,"('will',)",11.0,0.009425878320479864,"('going', 'back')",3.0,0.002572898799313894,"('pina', 'colada', 'roll')",2,0.0017167381974248926
7,"('fresh',)",9.0,0.007712082262210797,"('menu', 'extensive')",3.0,0.002572898799313894,"('tried', 'couple', 'weeks')",1,0.0008583690987124463
8,"('ordered',)",9.0,0.007712082262210797,"('pina', 'colada')",3.0,0.002572898799313894,"('couple', 'weeks', 'ago')",1,0.0008583690987124463
9,"('menu',)",9.0,0.007712082262210797,"('fried', 'rice')",3.0,0.002572898799313894,"('neighbor', 'tried', 'couple')",1,0.0008583690987124463
10,"('quality',)",8.0,0.006855184233076264,"('staff', 'friendly')",3.0,0.002572898799313894,"('recommendation', 'neighbor', 'tried')",1,0.0008583690987124463
11,"('new',)",8.0,0.006855184233076264,"('cash', 'get')",2.0,0.0017152658662092624,"('trust', 'expertsit', 'pretty')",1,0.0008583690987124463
12,"('definitely',)",8.0,0.006855184233076264,"('fresh', 'tasty')",2.0,0.0017152658662092624,"('based', 'recommendation', 'neighbor')",1,0.0008583690987124463
13,"('staff',)",8.0,0.006855184233076264,"('thai', 'chicken')",2.0,0.0017152658662092624,"('weeks', 'ago', 'japanese')",1,0.0008583690987124463
14,"('great',)",8.0,0.006855184233076264,"('variety', 'asian')",2.0,0.0017152658662092624,"('ago', 'japanese', 'said')",1,0.0008583690987124463
15,"('amazing',)",8.0,0.006855184233076264,"('good', 'quality')",2.0,0.0017152658662092624,"('japanese', 'said', 'best')",1,0.0008583690987124463
16,"('well',)",8.0,0.006855184233076264,"('well', 'worth')",2.0,0.0017152658662092624,"('said', 'best', 'around')",1,0.0008583690987124463
17,"('thai',)",8.0,0.006855184233076264,"('edamame', 'salad')",2.0,0.0017152658662092624,"('best', 'around', 'will')",1,0.0008583690987124463
18,"('get',)",7.0,0.005998286203941731,"('best', 'around')",2.0,0.0017152658662092624,"('complaints', 'based', 'recommendation')",1,0.0008583690987124463
19,"('friendly',)",7.0,0.005998286203941731,"('next', 'time')",2.0,0.0017152658662092624,"('around', 'will', 'trust')",1,0.0008583690987124463
20,"('really',)",7.0,0.005998286203941731,"('first', 'visit')",2.0,0.0017152658662092624,"('will', 'trust', 'expertsit')",1,0.0008583690987124463
21,"('chirashi',)",7.0,0.005998286203941731,"('hidden', 'gem')",2.0,0.0017152658662092624,"('service', 'complaints', 'based')",1,0.0008583690987124463
22,"('order',)",7.0,0.005998286203941731,"('quality', 'fish')",2.0,0.0017152658662092624,"('wish', 'live', 'around')",1,0.0008583690987124463
23,"('got',)",7.0,0.005998286203941731,"('will', 'definitely')",2.0,0.0017152658662092624,"('pretty', 'nice', 'clean')",1,0.0008583690987124463
24,"('best',)",6.0,0.005141388174807198,"('definitely', 'back')",2.0,0.0017152658662092624,"('expertsit', 'pretty', 'nice')",1,0.0008583690987124463
25,"('service',)",6.0,0.005141388174807198,"('love', 'love')",2.0,0.0017152658662092624,"('super', 'friendly', 'service')",1,0.0008583690987124463
26,"('first',)",6.0,0.005141388174807198,"('veggie', 'pad')",2.0,0.0017152658662092624,"('nice', 'clean', 'staff')",1,0.0008583690987124463
27,"('spot',)",6.0,0.005141388174807198,"('asian', 'foods')",2.0,0.0017152658662092624,"('clean', 'staff', 'friendly')",1,0.0008583690987124463
28,"('tried',)",6.0,0.005141388174807198,"('good', 'got')",2.0,0.0017152658662092624,"('staff', 'friendly', 'seems')",1,0.0008583690987124463
29,"('hibachi',)",6.0,0.005141388174807198,"('ordering', 'online')",2.0,0.0017152658662092624,"('friendly', 'seems', 'know')",1,0.0008583690987124463
30,"('favorite',)",6.0,0.005141388174807198,"('highly', 'recommend')",2.0,0.0017152658662092624,"('seems', 'know', 'lot')",1,0.0008583690987124463
31,"('take',)",6.0,0.005141388174807198,"('fresh', 'good')",2.0,0.0017152658662092624,"('know', 'lot', 'customers')",1,0.0008583690987124463
32,"('something',)",6.0,0.005141388174807198,"('service', 'also')",2.0,0.0017152658662092624,"('lot', 'customers', 'items')",1,0.0008583690987124463
33,"('nice',)",6.0,0.005141388174807198,"('new', 'favorite')",2.0,0.0017152658662092624,"('customers', 'items', 'ordered')",1,0.0008583690987124463
34,"('fried',)",6.0,0.005141388174807198,"('fish', 'fresh')",2.0,0.0017152658662092624,"('items', 'ordered', 'pretty')",1,0.0008583690987124463
35,"('lunch',)",6.0,0.005141388174807198,"('chirashi', 'bowl')",2.0,0.0017152658662092624,"('ordered', 'pretty', 'tasty')",1,0.0008583690987124463
36,"('time',)",6.0,0.005141388174807198,"('try', 'something')",2.0,0.0017152658662092624,"('pretty', 'tasty', 'hitch')",1,0.0008583690987124463
37,"('restaurant',)",5.0,0.004284490145672665,"('vegetarian', 'maki')",2.0,0.0017152658662092624,"('tasty', 'hitch', 'left')",1,0.0008583690987124463
38,"('ordering',)",5.0,0.004284490145672665,"('colada', 'roll')",2.0,0.0017152658662092624,"('friendly', 'service', 'complaints')",1,0.0008583690987124463
39,"('fish',)",5.0,0.004284490145672665,"('expertsit', 'pretty')",1.0,0.0008576329331046312,"('aac', 'cool', 'super')",1,0.0008583690987124463
40,"('bowl',)",5.0,0.004284490145672665,"('trust', 'expertsit')",1.0,0.0008576329331046312,"('cool', 'super', 'friendly')",1,0.0008583690987124463
41,"('delicious',)",5.0,0.004284490145672665,"('seems', 'know')",1.0,0.0008576329331046312,"('keep', 'going', 'back')",1,0.0008583690987124463
42,"('everything',)",5.0,0.004284490145672665,"('pretty', 'nice')",1.0,0.0008576329331046312,"('excellent', 'ready', 'arrived')",1,0.0008583690987124463
43,"('love',)",5.0,0.004284490145672665,"('nice', 'clean')",1.0,0.0008576329331046312,"('also', 'excellent', 'ready')",1,0.0008583690987124463
44,"('asian',)",5.0,0.004284490145672665,"('will', 'trust')",1.0,0.0008576329331046312,"('service', 'also', 'excellent')",1,0.0008583690987124463
45,"('clean',)",5.0,0.004284490145672665,"('clean', 'staff')",1.0,0.0008576329331046312,"('different', 'service', 'also')",1,0.0008583690987124463
46,"('wait',)",5.0,0.004284490145672665,"('ready', 'arrived')",1.0,0.0008576329331046312,"('something', 'different', 'service')",1,0.0008583690987124463
47,"('shrimp',)",5.0,0.004284490145672665,"('friendly', 'seems')",1.0,0.0008576329331046312,"('try', 'something', 'different')",1,0.0008583690987124463
48,"('chicken',)",5.0,0.004284490145672665,"('maki', 'choices')",1.0,0.0008576329331046312,"('excuse', 'keep', 'going')",1,0.0008583690987124463
49,"('salmon',)",5.0,0.004284490145672665,"('know', 'lot')",1.0,0.0008576329331046312,"('left', 'order', 'called')",1,0.0008583690987124463
50,"('cant',)",5.0,0.004284490145672665,"('lot', 'customers')",1.0,0.0008576329331046312,"('us', 'excuse', 'keep')",1,0.0008583690987124463
