,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('eat',)",34.0,0.015461573442473852,"('can', 'eat')",24.0,0.01091901728844404,"('ive', 'ever', 'eaten')",3,0.0013654984069185253
1,"('can',)",32.0,0.01455206912232833,"('soy', 'sauce')",6.0,0.00272975432211101,"('worst', 'ive', 'ever')",3,0.0013654984069185253
2,"('us',)",27.0,0.01227830832196453,"('told', 'us')",6.0,0.00272975432211101,"('otherwise', 'seemed', 'impatient')",2,0.0009103322712790169
3,"('service',)",21.0,0.009549795361527967,"('terrible', 'service')",5.0,0.0022747952684258415,"('better', 'eating', 'mcdonalds')",2,0.0009103322712790169
4,"('ordered',)",19.0,0.008640291041382447,"('ive', 'ever')",5.0,0.0022747952684258415,"('eating', 'mcdonalds', 'around')",2,0.0009103322712790169
5,"('time',)",19.0,0.008640291041382447,"('first', 'time')",4.0,0.0018198362147406734,"('mcdonalds', 'around', 'corner')",2,0.0009103322712790169
6,"('like',)",19.0,0.008640291041382447,"('probably', 'worst')",3.0,0.001364877161055505,"('around', 'corner', 'definitely')",2,0.0009103322712790169
7,"('order',)",17.0,0.007730786721236926,"('second', 'time')",3.0,0.001364877161055505,"('corner', 'definitely', 'come')",2,0.0009103322712790169
8,"('even',)",17.0,0.007730786721236926,"('worst', 'ive')",3.0,0.001364877161055505,"('definitely', 'come', '010')",2,0.0009103322712790169
9,"('fish',)",15.0,0.0068212824010914054,"('will', 'returning')",3.0,0.001364877161055505,"('us', 'placing', 'orders')",2,0.0009103322712790169
10,"('first',)",13.0,0.005911778080945885,"('wasnt', 'even')",3.0,0.001364877161055505,"('impatient', 'us', 'placing')",2,0.0009103322712790169
11,"('rice',)",13.0,0.005911778080945885,"('ever', 'eaten')",3.0,0.001364877161055505,"('seemed', 'impatient', 'us')",2,0.0009103322712790169
12,"('quality',)",12.0,0.005457025920873124,"('service', 'terrible')",3.0,0.001364877161055505,"('let', 'us', 'know')",2,0.0009103322712790169
13,"('will',)",12.0,0.005457025920873124,"('didnt', 'even')",3.0,0.001364877161055505,"('clam', 'ok', 'werent')",2,0.0009103322712790169
14,"('dont',)",12.0,0.005457025920873124,"('walked', 'away')",2.0,0.0009099181073703367,"('attitude', 'says', 'otherwise')",2,0.0009103322712790169
15,"('restaurant',)",12.0,0.005457025920873124,"('days', 'red')",2.0,0.0009099181073703367,"('servers', 'attitude', 'says')",2,0.0009103322712790169
16,"('table',)",12.0,0.005457025920873124,"('table', 'walked')",2.0,0.0009099181073703367,"('eat', 'servers', 'attitude')",2,0.0009103322712790169
17,"('didnt',)",12.0,0.005457025920873124,"('werent', 'chunks')",2.0,0.0009099181073703367,"('can', 'eat', 'servers')",2,0.0009103322712790169
18,"('much',)",12.0,0.005457025920873124,"('ok', 'werent')",2.0,0.0009099181073703367,"('says', 'can', 'eat')",2,0.0009103322712790169
19,"('go',)",11.0,0.0050022737608003635,"('clam', 'ok')",2.0,0.0009099181073703367,"('menu', 'says', 'can')",2,0.0009103322712790169
20,"('got',)",11.0,0.0050022737608003635,"('red', 'clam')",2.0,0.0009099181073703367,"('though', 'menu', 'says')",2,0.0009103322712790169
21,"('get',)",11.0,0.0050022737608003635,"('couple', 'days')",2.0,0.0009099181073703367,"('even', 'though', 'menu')",2,0.0009103322712790169
22,"('never',)",11.0,0.0050022737608003635,"('chunks', 'ice')",2.0,0.0009099181073703367,"('first', 'even', 'though')",2,0.0009103322712790169
23,"('really',)",10.0,0.004547521600727604,"('left', 'couple')",2.0,0.0009099181073703367,"('eaten', 'first', 'even')",2,0.0009103322712790169
