,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('order',)",13.0,0.014238773274917854,"('spicy', 'tuna')",4.0,0.0043859649122807015,"('spicy', 'tuna', 'roll')",2,0.0021953896816684962
1,"('roll',)",12.0,0.013143483023001095,"('miso', 'soup')",3.0,0.003289473684210526,"('will', 'never', 'order')",2,0.0021953896816684962
2,"('dont',)",12.0,0.013143483023001095,"('shrimp', 'tempura')",3.0,0.003289473684210526,"('avocado', 'dark', 'brown')",2,0.0021953896816684962
3,"('get',)",11.0,0.012048192771084338,"('ordered', 'take')",3.0,0.003289473684210526,"('okay', 'get', 'dine')",1,0.0010976948408342481
4,"('ordered',)",10.0,0.01095290251916758,"('lunch', 'special')",3.0,0.003289473684210526,"('theres', 'problem', 'charge')",1,0.0010976948408342481
5,"('time',)",10.0,0.01095290251916758,"('new', 'york')",2.0,0.0021929824561403508,"('still', 'hungry', 'advocate')",1,0.0010976948408342481
6,"('good',)",9.0,0.009857612267250822,"('order', 'come')",2.0,0.0021929824561403508,"('hungry', 'advocate', 'sucks')",1,0.0010976948408342481
7,"('like',)",8.0,0.008762322015334063,"('will', 'never')",2.0,0.0021929824561403508,"('advocate', 'sucks', 'dont')",1,0.0010976948408342481
8,"('lunch',)",8.0,0.008762322015334063,"('kani', 'salad')",2.0,0.0021929824561403508,"('sucks', 'dont', 'waste')",1,0.0010976948408342481
9,"('rice',)",7.0,0.007667031763417305,"('tuna', 'roll')",2.0,0.0021929824561403508,"('dont', 'waste', 'every')",1,0.0010976948408342481
10,"('will',)",7.0,0.007667031763417305,"('looked', 'like')",2.0,0.0021929824561403508,"('waste', 'every', 'time')",1,0.0010976948408342481
11,"('even',)",6.0,0.0065717415115005475,"('low', 'quality')",2.0,0.0021929824561403508,"('every', 'time', 'order')",1,0.0010976948408342481
12,"('take',)",6.0,0.0065717415115005475,"('customer', 'service')",2.0,0.0021929824561403508,"('time', 'order', 'online')",1,0.0010976948408342481
13,"('eat',)",6.0,0.0065717415115005475,"('roll', 'salmon')",2.0,0.0021929824561403508,"('order', 'online', 'theres')",1,0.0010976948408342481
14,"('spicy',)",6.0,0.0065717415115005475,"('never', 'order')",2.0,0.0021929824561403508,"('online', 'theres', 'problem')",1,0.0010976948408342481
15,"('worst',)",6.0,0.0065717415115005475,"('chance', 'chance')",2.0,0.0021929824561403508,"('problem', 'charge', '1')",1,0.0010976948408342481
16,"('pretty',)",5.0,0.00547645125958379,"('late', 'time')",2.0,0.0021929824561403508,"('soup', 'miso', 'still')",1,0.0010976948408342481
17,"('outside',)",5.0,0.00547645125958379,"('dont', 'think')",2.0,0.0021929824561403508,"('charge', '1', 'half')",1,0.0010976948408342481
18,"('also',)",5.0,0.00547645125958379,"('dark', 'brown')",2.0,0.0021929824561403508,"('1', 'half', 'filled')",1,0.0010976948408342481
19,"('avocado',)",5.0,0.00547645125958379,"('sunday', 'night')",2.0,0.0021929824561403508,"('half', 'filled', 'tiny')",1,0.0010976948408342481
20,"('service',)",5.0,0.00547645125958379,"('avocado', 'dark')",2.0,0.0021929824561403508,"('filled', 'tiny', 'cup')",1,0.0010976948408342481
21,"('customer',)",5.0,0.00547645125958379,"('roll', 'spicy')",2.0,0.0021929824561403508,"('tiny', 'cup', 'sauce')",1,0.0010976948408342481
22,"('inside',)",5.0,0.00547645125958379,"('online', 'theres')",1.0,0.0010964912280701754,"('cup', 'sauce', 'half')",1,0.0010976948408342481
23,"('tuna',)",5.0,0.00547645125958379,"('order', 'online')",1.0,0.0010964912280701754,"('sauce', 'half', 'time')",1,0.0010976948408342481
24,"('came',)",5.0,0.00547645125958379,"('cup', 'sauce')",1.0,0.0010964912280701754,"('half', 'time', 'forget')",1,0.0010976948408342481
25,"('didnt',)",5.0,0.00547645125958379,"('tiny', 'cup')",1.0,0.0010964912280701754,"('time', 'forget', 'put')",1,0.0010976948408342481
26,"('minutes',)",5.0,0.00547645125958379,"('still', 'hungry')",1.0,0.0010964912280701754,"('forget', 'put', 'order')",1,0.0010976948408342481
27,"('took',)",5.0,0.00547645125958379,"('hungry', 'advocate')",1.0,0.0010964912280701754,"('put', 'order', 'bag')",1,0.0010976948408342481
28,"('tempura',)",5.0,0.00547645125958379,"('filled', 'tiny')",1.0,0.0010964912280701754,"('miso', 'still', 'hungry')",1,0.0010976948408342481
29,"('really',)",4.0,0.004381161007667032,"('advocate', 'sucks')",1.0,0.0010964912280701754,"('wonton', 'soup', 'miso')",1,0.0010976948408342481
30,"('never',)",4.0,0.004381161007667032,"('theres', 'problem')",1.0,0.0010964912280701754,"('bag', 'will', 'never')",1,0.0010976948408342481
31,"('think',)",4.0,0.004381161007667032,"('half', 'filled')",1.0,0.0010964912280701754,"('doesnt', 'wonton', 'soup')",1,0.0010976948408342481
32,"('waste',)",4.0,0.004381161007667032,"('sucks', 'dont')",1.0,0.0010964912280701754,"('owner', 'talk', 'paying')",1,0.0010976948408342481
33,"('apart',)",4.0,0.004381161007667032,"('dont', 'waste')",1.0,0.0010964912280701754,"('talk', 'paying', 'customeroh')",1,0.0010976948408342481
34,"('delivery',)",4.0,0.004381161007667032,"('problem', 'charge')",1.0,0.0010964912280701754,"('paying', 'customeroh', 'good')",1,0.0010976948408342481
35,"('miso',)",4.0,0.004381161007667032,"('1', 'half')",1.0,0.0010964912280701754,"('customeroh', 'good', 'new')",1,0.0010976948408342481
36,"('said',)",4.0,0.004381161007667032,"('waste', 'every')",1.0,0.0010964912280701754,"('good', 'new', 'york')",1,0.0010976948408342481
37,"('always',)",4.0,0.004381161007667032,"('every', 'time')",1.0,0.0010964912280701754,"('new', 'york', 'horrible')",1,0.0010976948408342481
38,"('soup',)",4.0,0.004381161007667032,"('time', 'order')",1.0,0.0010964912280701754,"('york', 'horrible', 'also')",1,0.0010976948408342481
39,"('someone',)",4.0,0.004381161007667032,"('charge', '1')",1.0,0.0010964912280701754,"('horrible', 'also', 'shrimp')",1,0.0010976948408342481
40,"('horrible',)",4.0,0.004381161007667032,"('wonton', 'soup')",1.0,0.0010964912280701754,"('also', 'shrimp', 'tempura')",1,0.0010976948408342481
41,"('3',)",4.0,0.004381161007667032,"('miso', 'still')",1.0,0.0010964912280701754,"('shrimp', 'tempura', 'good')",1,0.0010976948408342481
42,"('half',)",4.0,0.004381161007667032,"('soup', 'miso')",1.0,0.0010964912280701754,"('tempura', 'good', 'california')",1,0.0010976948408342481
43,"('new',)",3.0,0.0032858707557502738,"('horrible', 'also')",1.0,0.0010964912280701754,"('good', 'california', 'spring')",1,0.0010976948408342481
44,"('asked',)",3.0,0.0032858707557502738,"('also', 'shrimp')",1.0,0.0010964912280701754,"('california', 'spring', 'roll')",1,0.0010976948408342481
45,"('couldnt',)",3.0,0.0032858707557502738,"('good', 'new')",1.0,0.0010964912280701754,"('spring', 'roll', 'like')",1,0.0010976948408342481
46,"('im',)",3.0,0.0032858707557502738,"('tempura', 'good')",1.0,0.0010964912280701754,"('roll', 'like', '3')",1,0.0010976948408342481
47,"('hour',)",3.0,0.0032858707557502738,"('good', 'california')",1.0,0.0010964912280701754,"('like', '3', '10')",1,0.0010976948408342481
48,"('went',)",3.0,0.0032858707557502738,"('california', 'spring')",1.0,0.0010964912280701754,"('3', '10', 'absurd')",1,0.0010976948408342481
49,"('almost',)",3.0,0.0032858707557502738,"('spring', 'roll')",1.0,0.0010964912280701754,"('10', 'absurd', 'preordered')",1,0.0010976948408342481
50,"('seated',)",3.0,0.0032858707557502738,"('roll', 'like')",1.0,0.0010964912280701754,"('absurd', 'preordered', 'paid')",1,0.0010976948408342481
51,"('shrimp',)",3.0,0.0032858707557502738,"('like', '3')",1.0,0.0010964912280701754,"('preordered', 'paid', 'never')",1,0.0010976948408342481
52,"('late',)",3.0,0.0032858707557502738,"('3', '10')",1.0,0.0010964912280701754,"('paid', 'never', 'came')",1,0.0010976948408342481
53,"('chance',)",3.0,0.0032858707557502738,"('10', 'absurd')",1.0,0.0010964912280701754,"('never', 'came', 'also')",1,0.0010976948408342481
54,"('say',)",3.0,0.0032858707557502738,"('absurd', 'preordered')",1.0,0.0010964912280701754,"('came', 'also', 'oriental')",1,0.0010976948408342481
55,"('threw',)",3.0,0.0032858707557502738,"('preordered', 'paid')",1.0,0.0010964912280701754,"('also', 'oriental', 'doesnt')",1,0.0010976948408342481
56,"('sloppy',)",3.0,0.0032858707557502738,"('customeroh', 'good')",1.0,0.0010964912280701754,"('oriental', 'doesnt', 'wonton')",1,0.0010976948408342481
57,"('special',)",3.0,0.0032858707557502738,"('paid', 'never')",1.0,0.0010964912280701754,"('order', 'bag', 'will')",1,0.0010976948408342481
58,"('salmon',)",3.0,0.0032858707557502738,"('paying', 'customeroh')",1.0,0.0010964912280701754,"('order', 'come', 'good')",1,0.0010976948408342481
59,"('come',)",3.0,0.0032858707557502738,"('never', 'came')",1.0,0.0010964912280701754,"('never', 'order', 'come')",1,0.0010976948408342481
60,"('seamless',)",3.0,0.0032858707557502738,"('came', 'also')",1.0,0.0010964912280701754,"('employee', 'business', 'owner')",1,0.0010976948408342481
61,"('tasted',)",3.0,0.0032858707557502738,"('oriental', 'doesnt')",1.0,0.0010964912280701754,"('salmon', 'slimey', 'avocado')",1,0.0010976948408342481
62,"('okay',)",3.0,0.0032858707557502738,"('doesnt', 'wonton')",1.0,0.0010964912280701754,"('slimey', 'avocado', 'browning')",1,0.0010976948408342481
63,"('quality',)",3.0,0.0032858707557502738,"('york', 'horrible')",1.0,0.0010964912280701754,"('avocado', 'browning', 'mush')",1,0.0010976948408342481
64,"('sauce',)",3.0,0.0032858707557502738,"('also', 'oriental')",1.0,0.0010964912280701754,"('browning', 'mush', 'im')",1,0.0010976948408342481
65,"('paying',)",3.0,0.0032858707557502738,"('okay', 'get')",1.0,0.0010964912280701754,"('mush', 'im', 'really')",1,0.0010976948408342481
66,"('today',)",3.0,0.0032858707557502738,"('sauce', 'half')",1.0,0.0010964912280701754,"('im', 'really', 'disgusted')",1,0.0010976948408342481
67,"('charged',)",3.0,0.0032858707557502738,"('disgusted', 'really')",1.0,0.0010964912280701754,"('really', 'disgusted', 'really')",1,0.0010976948408342481
68,"('poorly',)",3.0,0.0032858707557502738,"('away', 'afraid')",1.0,0.0010964912280701754,"('disgusted', 'really', 'hope')",1,0.0010976948408342481
69,"('fresh',)",3.0,0.0032858707557502738,"('afraid', 'getting')",1.0,0.0010964912280701754,"('really', 'hope', 'dont')",1,0.0010976948408342481
70,"('cold',)",2.0,0.002190580503833516,"('getting', 'sick')",1.0,0.0010964912280701754,"('hope', 'dont', 'get')",1,0.0010976948408342481
71,"('thats',)",2.0,0.002190580503833516,"('sick', 'salmon')",1.0,0.0010964912280701754,"('dont', 'get', 'sick')",1,0.0010976948408342481
72,"('received',)",2.0,0.002190580503833516,"('salmon', 'slimey')",1.0,0.0010964912280701754,"('get', 'sick', 'feasible')",1,0.0010976948408342481
73,"('ordering',)",2.0,0.002190580503833516,"('slimey', 'avocado')",1.0,0.0010964912280701754,"('sick', 'feasible', 'lunch')",1,0.0010976948408342481
74,"('takeout',)",2.0,0.002190580503833516,"('avocado', 'browning')",1.0,0.0010964912280701754,"('feasible', 'lunch', 'option')",1,0.0010976948408342481
75,"('another',)",2.0,0.002190580503833516,"('browning', 'mush')",1.0,0.0010964912280701754,"('lunch', 'option', 'theyre')",1,0.0010976948408342481
76,"('bag',)",2.0,0.002190580503833516,"('mush', 'im')",1.0,0.0010964912280701754,"('option', 'theyre', 'always')",1,0.0010976948408342481
77,"('expensive',)",2.0,0.002190580503833516,"('im', 'really')",1.0,0.0010964912280701754,"('theyre', 'always', 'late')",1,0.0010976948408342481
78,"('nice',)",2.0,0.002190580503833516,"('really', 'disgusted')",1.0,0.0010964912280701754,"('always', 'late', 'waiting')",1,0.0010976948408342481
79,"('inedible',)",2.0,0.002190580503833516,"('really', 'hope')",1.0,0.0010964912280701754,"('late', 'waiting', 'takeout')",1,0.0010976948408342481
80,"('10',)",2.0,0.002190580503833516,"('york', 'threw')",1.0,0.0010964912280701754,"('waiting', 'takeout', 'order')",1,0.0010976948408342481
81,"('eating',)",2.0,0.002190580503833516,"('hope', 'dont')",1.0,0.0010964912280701754,"('takeout', 'order', 'come')",1,0.0010976948408342481
82,"('spicey',)",2.0,0.002190580503833516,"('dont', 'get')",1.0,0.0010964912280701754,"('order', 'come', 'burns')",1,0.0010976948408342481
83,"('customers',)",2.0,0.002190580503833516,"('get', 'sick')",1.0,0.0010964912280701754,"('come', 'burns', 'entire')",1,0.0010976948408342481
84,"('2',)",2.0,0.002190580503833516,"('sick', 'feasible')",1.0,0.0010964912280701754,"('burns', 'entire', 'lunch')",1,0.0010976948408342481
85,"('person',)",2.0,0.002190580503833516,"('feasible', 'lunch')",1.0,0.0010964912280701754,"('entire', 'lunch', 'time')",1,0.0010976948408342481
86,"('theyre',)",2.0,0.002190580503833516,"('lunch', 'option')",1.0,0.0010964912280701754,"('sick', 'salmon', 'slimey')",1,0.0010976948408342481
87,"('mushy',)",2.0,0.002190580503833516,"('option', 'theyre')",1.0,0.0010964912280701754,"('getting', 'sick', 'salmon')",1,0.0010976948408342481
88,"('try',)",2.0,0.002190580503833516,"('theyre', 'always')",1.0,0.0010964912280701754,"('afraid', 'getting', 'sick')",1,0.0010976948408342481
89,"('night',)",2.0,0.002190580503833516,"('always', 'late')",1.0,0.0010964912280701754,"('im', 'sure', 'reviews')",1,0.0010976948408342481
90,"('people',)",2.0,0.002190580503833516,"('late', 'waiting')",1.0,0.0010964912280701754,"('come', 'good', 'will')",1,0.0010976948408342481
91,"('know',)",2.0,0.002190580503833516,"('waiting', 'takeout')",1.0,0.0010964912280701754,"('good', 'will', 'disappointing')",1,0.0010976948408342481
92,"('green',)",2.0,0.002190580503833516,"('threw', 'away')",1.0,0.0010964912280701754,"('will', 'disappointing', 'deserves')",1,0.0010976948408342481
93,"('times',)",2.0,0.002190580503833516,"('alaskan', 'new')",1.0,0.0010964912280701754,"('disappointing', 'deserves', 'less')",1,0.0010976948408342481
94,"('contact',)",2.0,0.002190580503833516,"('half', 'time')",1.0,0.0010964912280701754,"('deserves', 'less', '1')",1,0.0010976948408342481
95,"('terrible',)",2.0,0.002190580503833516,"('1', 'star')",1.0,0.0010964912280701754,"('less', '1', 'star')",1,0.0010976948408342481
96,"('restaurant',)",2.0,0.002190580503833516,"('time', 'forget')",1.0,0.0010964912280701754,"('1', 'star', 'unsatisfied')",1,0.0010976948408342481
97,"('mayonnaise',)",2.0,0.002190580503833516,"('forget', 'put')",1.0,0.0010964912280701754,"('star', 'unsatisfied', 'lunch')",1,0.0010976948408342481
98,"('served',)",2.0,0.002190580503833516,"('put', 'order')",1.0,0.0010964912280701754,"('unsatisfied', 'lunch', 'order')",1,0.0010976948408342481
99,"('tea',)",2.0,0.002190580503833516,"('order', 'bag')",1.0,0.0010964912280701754,"('lunch', 'order', 'im')",1,0.0010976948408342481
