,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",73.0,0.036980749746707196,"('cherry', 'blossom')",23.0,0.011657374556512924,"('cherry', 'blossom', 'roll')",7,0.0035496957403651115
1,"('great',)",37.0,0.018743667679837893,"('new', 'orleans')",9.0,0.00456158134820071,"('new', 'orleans', 'roll')",4,0.002028397565922921
2,"('good',)",36.0,0.0182370820668693,"('blossom', 'roll')",7.0,0.0035478966041561076,"('recommend', 'cherry', 'blossom')",3,0.0015212981744421906
3,"('delicious',)",26.0,0.013171225937183385,"('fried', 'rice')",6.0,0.0030410542321338066,"('cherry', 'blossom', 'waitress')",2,0.0010141987829614604
4,"('cherry',)",25.0,0.012664640324214792,"('japanese', 'restaurant')",6.0,0.0030410542321338066,"('really', 'affordable', 'great')",2,0.0010141987829614604
5,"('fresh',)",24.0,0.0121580547112462,"('come', 'back')",5.0,0.002534211860111505,"('went', 'cherry', 'blossom')",2,0.0010141987829614604
6,"('blossom',)",23.0,0.01165146909827761,"('lobster', 'roll')",5.0,0.002534211860111505,"('good', 'cherry', 'blossom')",2,0.0010141987829614604
7,"('prices',)",19.0,0.009625126646403243,"('american', 'roll')",5.0,0.002534211860111505,"('veggie', 'dragon', 'roll')",2,0.0010141987829614604
8,"('always',)",19.0,0.009625126646403243,"('dragon', 'roll')",4.0,0.0020273694880892043,"('ive', 'many', 'places')",2,0.0010141987829614604
9,"('service',)",18.0,0.00911854103343465,"('prices', 'good')",4.0,0.0020273694880892043,"('great', 'prices', 'lunch')",2,0.0010141987829614604
10,"('ordered',)",17.0,0.008611955420466059,"('great', 'prices')",4.0,0.0020273694880892043,"('prices', 'good', 'service')",2,0.0010141987829614604
11,"('order',)",17.0,0.008611955420466059,"('delicious', 'great')",4.0,0.0020273694880892043,"('soup', 'cherry', 'blossom')",2,0.0010141987829614604
12,"('will',)",17.0,0.008611955420466059,"('ill', 'definitely')",4.0,0.0020273694880892043,"('definitely', 'come', 'back')",2,0.0010141987829614604
13,"('lunch',)",16.0,0.008105369807497468,"('orleans', 'roll')",4.0,0.0020273694880892043,"('super', 'salmon', 'roll')",2,0.0010141987829614604
14,"('love',)",16.0,0.008105369807497468,"('recommend', 'cherry')",3.0,0.0015205271160669033,"('rock', 'n', 'roll')",2,0.0010141987829614604
15,"('definitely',)",14.0,0.0070921985815602835,"('really', 'great')",3.0,0.0015205271160669033,"('spot', 'kenner', 'area')",1,0.0005070993914807302
16,"('get',)",13.0,0.006585612968591692,"('lsu', 'roll')",3.0,0.0015205271160669033,"('kenner', 'area', 'highly')",1,0.0005070993914807302
17,"('ive',)",12.0,0.0060790273556231,"('good', 'roll')",3.0,0.0015205271160669033,"('go', 'spot', 'kenner')",1,0.0005070993914807302
18,"('new',)",12.0,0.0060790273556231,"('fresh', 'fish')",3.0,0.0015205271160669033,"('great', 'prices', 'fresh')",1,0.0005070993914807302
19,"('japanese',)",12.0,0.0060790273556231,"('ive', 'many')",3.0,0.0015205271160669033,"('point', 'go', 'spot')",1,0.0005070993914807302
20,"('salmon',)",12.0,0.0060790273556231,"('will', 'definitely')",3.0,0.0015205271160669033,"('area', 'highly', 'recommend')",1,0.0005070993914807302
21,"('super',)",12.0,0.0060790273556231,"('kenner', 'area')",3.0,0.0015205271160669033,"('priced', 'fresh', 'tons')",1,0.0005070993914807302
22,"('restaurant',)",12.0,0.0060790273556231,"('hidden', 'gem')",3.0,0.0015205271160669033,"('highly', 'recommend', 'seafood')",1,0.0005070993914807302
23,"('time',)",12.0,0.0060790273556231,"('great', 'job')",3.0,0.0015205271160669033,"('service', 'point', 'go')",1,0.0005070993914807302
24,"('like',)",11.0,0.005572441742654508,"('super', 'nice')",3.0,0.0015205271160669033,"('fish', 'service', 'point')",1,0.0005070993914807302
25,"('nice',)",11.0,0.005572441742654508,"('much', 'better')",3.0,0.0015205271160669033,"('fresh', 'fish', 'service')",1,0.0005070993914807302
26,"('back',)",11.0,0.005572441742654508,"('super', 'sweet')",3.0,0.0015205271160669033,"('prices', 'fresh', 'fish')",1,0.0005070993914807302
27,"('best',)",11.0,0.005572441742654508,"('good', 'service')",3.0,0.0015205271160669033,"('kenner', 'area', 'great')",1,0.0005070993914807302
28,"('also',)",10.0,0.005065856129685917,"('bento', 'box')",3.0,0.0015205271160669033,"('area', 'great', 'prices')",1,0.0005070993914807302
29,"('salad',)",10.0,0.005065856129685917,"('miso', 'soup')",3.0,0.0015205271160669033,"('tons', 'flavors', 'always')",1,0.0005070993914807302
30,"('people',)",10.0,0.005065856129685917,"('service', 'always')",3.0,0.0015205271160669033,"('secret', 'kenner', 'area')",1,0.0005070993914807302
31,"('im',)",10.0,0.005065856129685917,"('highly', 'recommend')",3.0,0.0015205271160669033,"('kept', 'secret', 'kenner')",1,0.0005070993914807302
32,"('really',)",10.0,0.005065856129685917,"('lunch', 'special')",3.0,0.0015205271160669033,"('best', 'kept', 'secret')",1,0.0005070993914807302
33,"('kenner',)",10.0,0.005065856129685917,"('nice', 'definitely')",2.0,0.0010136847440446021,"('fresh', 'tons', 'flavors')",1,0.0005070993914807302
34,"('lobster',)",10.0,0.005065856129685917,"('roll', 'awesome')",2.0,0.0010136847440446021,"('hair', 'fixed', 'best')",1,0.0005070993914807302
35,"('soup',)",10.0,0.005065856129685917,"('order', 'water')",2.0,0.0010136847440446021,"('get', 'hair', 'fixed')",1,0.0005070993914807302
36,"('favorite',)",10.0,0.005065856129685917,"('ordered', 'cherry')",2.0,0.0010136847440446021,"('order', 'get', 'hair')",1,0.0005070993914807302
37,"('never',)",10.0,0.005065856129685917,"('usually', 'get')",2.0,0.0010136847440446021,"('always', 'order', 'get')",1,0.0005070993914807302
38,"('go',)",9.0,0.004559270516717325,"('service', 'amazing')",2.0,0.0010136847440446021,"('flavors', 'always', 'order')",1,0.0005070993914807302
39,"('orleans',)",9.0,0.004559270516717325,"('debbie', 'amazing')",2.0,0.0010136847440446021,"('fixed', 'best', 'kept')",1,0.0005070993914807302
40,"('better',)",9.0,0.004559270516717325,"('rock', 'n')",2.0,0.0010136847440446021,"('ordered', 'delivery', 'came')",1,0.0005070993914807302
