,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",151.0,0.017358317047936545,"('happy', 'hour')",122.0,0.014026212922510922,"('will', 'definitely', 'back')",12,0.0013797861331493618
1,"('happy',)",132.0,0.015174157949189563,"('new', 'location')",22.0,0.0025293170843872156,"('happy', 'hour', 'specials')",9,0.0010348395998620215
2,"('hour',)",129.0,0.014829290723071617,"('will', 'definitely')",15.0,0.0017245343757185559,"('great', 'happy', 'hour')",9,0.0010348395998620215
3,"('good',)",101.0,0.011610529945970801,"('old', 'location')",14.0,0.0016095654173373189,"('happy', 'hour', 'prices')",8,0.0009198574220995745
4,"('service',)",94.0,0.010805839751695598,"('great', 'service')",14.0,0.0016095654173373189,"('happy', 'hour', 'great')",5,0.0005749108888122341
5,"('roll',)",83.0,0.009541326589263134,"('definitely', 'back')",14.0,0.0016095654173373189,"('happy', 'hour', 'amazing')",4,0.00045992871104978727
6,"('time',)",74.0,0.0085067249109093,"('mexican', 'roll')",12.0,0.0013796275005748448,"('best', 'happy', 'hour')",4,0.00045992871104978727
7,"('bar',)",65.0,0.007472123232555466,"('highly', 'recommend')",11.0,0.0012646585421936078,"('highly', 'recommend', 'alive')",4,0.00045992871104978727
8,"('back',)",64.0,0.0073571674905161515,"('spicy', 'tuna')",11.0,0.0012646585421936078,"('spicy', 'tuna', 'roll')",4,0.00045992871104978727
9,"('location',)",62.0,0.007127256006437522,"('first', 'time')",11.0,0.0012646585421936078,"('happy', 'hour', 'deal')",4,0.00045992871104978727
10,"('alive',)",62.0,0.007127256006437522,"('really', 'good')",11.0,0.0012646585421936078,"('time', 'happy', 'hour')",4,0.00045992871104978727
11,"('always',)",58.0,0.006667433038280262,"('outdoor', 'seating')",10.0,0.0011496895838123706,"('bistro', 'raw', 'bar')",3,0.00034494653328734045
12,"('fresh',)",55.0,0.006322565812162318,"('service', 'great')",9.0,0.0010347206254311336,"('happy', 'hour', 'special')",3,0.00034494653328734045
13,"('restaurant',)",54.0,0.006207610070123003,"('dale', 'mabry')",9.0,0.0010347206254311336,"('seated', 'right', 'away')",3,0.00034494653328734045
14,"('order',)",54.0,0.006207610070123003,"('lunch', 'special')",9.0,0.0010347206254311336,"('2', '4', '1')",3,0.00034494653328734045
15,"('best',)",53.0,0.006092654328083688,"('great', 'happy')",9.0,0.0010347206254311336,"('happy', 'hour', 'menu')",3,0.00034494653328734045
16,"('nice',)",49.0,0.0056328313599264285,"('hour', 'specials')",9.0,0.0010347206254311336,"('always', 'fresh', 'delicious')",3,0.00034494653328734045
17,"('will',)",49.0,0.0056328313599264285,"('gator', 'roll')",8.0,0.0009197516670498966,"('asian', 'bistro', 'raw')",3,0.00034494653328734045
18,"('love',)",48.0,0.005517875617887113,"('westchase', 'area')",8.0,0.0009197516670498966,"('amazing', 'happy', 'hour')",3,0.00034494653328734045
19,"('lunch',)",48.0,0.005517875617887113,"('always', 'fresh')",8.0,0.0009197516670498966,"('indoor', 'outdoor', 'seating')",3,0.00034494653328734045
20,"('like',)",45.0,0.005173008391769169,"('hour', 'prices')",8.0,0.0009197516670498966,"('best', 'ive', 'ever')",3,0.00034494653328734045
21,"('get',)",44.0,0.005058052649729854,"('live', 'music')",8.0,0.0009197516670498966,"('incredible', 'happy', 'hour')",3,0.00034494653328734045
22,"('go',)",43.0,0.004943096907690539,"('recommend', 'alive')",7.0,0.0008047827086686594,"('overall', 'great', 'experience')",3,0.00034494653328734045
23,"('amazing',)",42.0,0.004828141165651225,"('service', 'good')",7.0,0.0008047827086686594,"('give', '5', 'stars')",3,0.00034494653328734045
24,"('wait',)",41.0,0.004713185423611909,"('volcano', 'roll')",7.0,0.0008047827086686594,"('get', 'happy', 'hour')",3,0.00034494653328734045
25,"('area',)",40.0,0.004598229681572595,"('sat', 'bar')",7.0,0.0008047827086686594,"('new', 'location', 'beautiful')",3,0.00034494653328734045
26,"('new',)",39.0,0.00448327393953328,"('customer', 'service')",7.0,0.0008047827086686594,"('alive', 'asian', 'bistro')",3,0.00034494653328734045
27,"('definitely',)",37.0,0.00425336245545465,"('will', 'back')",7.0,0.0008047827086686594,"('roll', 'volcano', 'roll')",3,0.00034494653328734045
28,"('came',)",36.0,0.004138406713415335,"('friday', 'night')",6.0,0.0006898137502874224,"('almost', '30', 'minutes')",3,0.00034494653328734045
29,"('well',)",35.0,0.00402345097137602,"('cream', 'cheese')",6.0,0.0006898137502874224,"('30', 'minutes', 'come')",3,0.00034494653328734045
30,"('got',)",35.0,0.00402345097137602,"('monday', 'friday')",6.0,0.0006898137502874224,"('roll', 'gator', 'roll')",3,0.00034494653328734045
31,"('really',)",35.0,0.00402345097137602,"('right', 'away')",6.0,0.0006898137502874224,"('disappointed', 'meal', 'yet')",2,0.00022996435552489363
32,"('delicious',)",34.0,0.0039084952293367056,"('lunch', 'specials')",6.0,0.0006898137502874224,"('delight', 'andrew', 'extremely')",2,0.00022996435552489363
33,"('also',)",33.0,0.0037935394872973907,"('ive', 'ever')",6.0,0.0006898137502874224,"('amazing', 'never', 'disappointed')",2,0.00022996435552489363
34,"('ordered',)",33.0,0.0037935394872973907,"('go', 'back')",6.0,0.0006898137502874224,"('never', 'disappointed', 'meal')",2,0.00022996435552489363
35,"('little',)",32.0,0.0036785837452580758,"('even', 'though')",6.0,0.0006898137502874224,"('bar', 'able', 'watch')",2,0.00022996435552489363
36,"('ive',)",32.0,0.0036785837452580758,"('great', 'fresh')",5.0,0.0005748447919061853,"('andrew', 'extremely', 'attentive')",2,0.00022996435552489363
37,"('come',)",31.0,0.003563628003218761,"('never', 'disappointed')",5.0,0.0005748447919061853,"('guyas', 'amazing', 'never')",2,0.00022996435552489363
38,"('atmosphere',)",31.0,0.003563628003218761,"('overall', 'great')",5.0,0.0005748447919061853,"('good', 'happy', 'hour')",2,0.00022996435552489363
39,"('can',)",31.0,0.003563628003218761,"('best', 'ive')",5.0,0.0005748447919061853,"('great', 'live', 'music')",2,0.00022996435552489363
40,"('soup',)",30.0,0.003448672261179446,"('miso', 'soup')",5.0,0.0005748447919061853,"('meal', 'yet', 'creature')",2,0.00022996435552489363
41,"('us',)",30.0,0.003448672261179446,"('always', 'good')",5.0,0.0005748447919061853,"('yet', 'creature', 'habit')",2,0.00022996435552489363
42,"('server',)",30.0,0.003448672261179446,"('late', 'night')",5.0,0.0005748447919061853,"('creature', 'habit', 'ordering')",2,0.00022996435552489363
43,"('staff',)",29.0,0.003333716519140131,"('coming', 'back')",5.0,0.0005748447919061853,"('habit', 'ordering', 'however')",2,0.00022996435552489363
44,"('night',)",29.0,0.003333716519140131,"('great', 'atmosphere')",5.0,0.0005748447919061853,"('extremely', 'attentive', 'amazing')",2,0.00022996435552489363
45,"('friendly',)",28.0,0.003218760777100816,"('samurai', 'blue')",5.0,0.0005748447919061853,"('experience', 'delight', 'andrew')",2,0.00022996435552489363
46,"('dinner',)",28.0,0.003218760777100816,"('much', 'bigger')",5.0,0.0005748447919061853,"('clone', 'guyas', 'amazing')",2,0.00022996435552489363
47,"('menu',)",28.0,0.003218760777100816,"('spicy', 'mayo')",5.0,0.0005748447919061853,"('japanese', 'bagel', 'roll')",2,0.00022996435552489363
48,"('tuna',)",27.0,0.0031038050350615013,"('hour', 'great')",5.0,0.0005748447919061853,"('server', 'helpful', 'friendly')",2,0.00022996435552489363
49,"('favorite',)",27.0,0.0031038050350615013,"('best', 'ever')",5.0,0.0005748447919061853,"('greets', 'smile', 'polite')",2,0.00022996435552489363
50,"('recommend',)",26.0,0.0029888492930221864,"('several', 'times')",5.0,0.0005748447919061853,"('restaurant', 'wasnt', 'busy')",2,0.00022996435552489363
51,"('specials',)",26.0,0.0029888492930221864,"('ice', 'cream')",5.0,0.0005748447919061853,"('smile', 'polite', 'always')",2,0.00022996435552489363
52,"('first',)",26.0,0.0029888492930221864,"('lunch', 'time')",5.0,0.0005748447919061853,"('polite', 'always', 'makes')",2,0.00022996435552489363
53,"('2',)",26.0,0.0029888492930221864,"('30', 'minutes')",5.0,0.0005748447919061853,"('always', 'makes', 'sure')",2,0.00022996435552489363
54,"('westchase',)",25.0,0.0028738935509828715,"('great', 'lunch')",5.0,0.0005748447919061853,"('makes', 'sure', 'taken')",2,0.00022996435552489363
55,"('spicy',)",25.0,0.0028738935509828715,"('tuna', 'roll')",5.0,0.0005748447919061853,"('sure', 'taken', 'care')",2,0.00022996435552489363
56,"('never',)",25.0,0.0028738935509828715,"('great', 'deal')",5.0,0.0005748447919061853,"('jade', 'dragon', 'roll')",2,0.00022996435552489363
