,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",60.0,0.01929880990672242,"('highly', 'recommend')",8.0,0.002574002574002574,"('will', 'definitely', 'back')",3,0.0009655616350177019
1,"('great',)",40.0,0.012865873271148279,"('strip', 'mall')",7.0,0.0022522522522522522,"('tuna', 'salmon', 'yellowtail')",2,0.000643707756678468
2,"('roll',)",38.0,0.012222579607590866,"('godzilla', 'roll')",6.0,0.0019305019305019305,"('kung', 'pao', 'chicken')",2,0.000643707756678468
3,"('chinese',)",33.0,0.01061434544869733,"('will', 'definitely')",6.0,0.0019305019305019305,"('bean', 'ice', 'cream')",2,0.000643707756678468
4,"('fresh',)",30.0,0.00964940495336121,"('service', 'great')",5.0,0.0016087516087516086,"('chicken', 'lo', 'mein')",2,0.000643707756678468
5,"('service',)",29.0,0.009327758121582503,"('always', 'great')",5.0,0.0016087516087516086,"('come', 'back', 'east')",2,0.000643707756678468
6,"('ordered',)",25.0,0.008041170794467674,"('lo', 'mein')",5.0,0.0016087516087516086,"('id', 'come', 'back')",2,0.000643707756678468
7,"('also',)",23.0,0.007397877130910261,"('red', 'curry')",4.0,0.001287001287001287,"('nj', 'sorry', 'sorry')",2,0.000643707756678468
8,"('east',)",23.0,0.007397877130910261,"('spicy', 'tuna')",4.0,0.001287001287001287,"('priced', 'quantity', 'quality')",2,0.000643707756678468
9,"('friendly',)",23.0,0.007397877130910261,"('staff', 'friendly')",4.0,0.001287001287001287,"('staff', 'extremely', 'friendly')",2,0.000643707756678468
10,"('really',)",22.0,0.007076230299131554,"('east', 'great')",4.0,0.001287001287001287,"('past', 'couple', 'years')",2,0.000643707756678468
11,"('nice',)",20.0,0.0064329366355741395,"('pretty', 'good')",4.0,0.001287001287001287,"('excellent', 'service', 'great')",2,0.000643707756678468
12,"('always',)",20.0,0.0064329366355741395,"('good', 'fresh')",4.0,0.001287001287001287,"('absolutely', 'delicious', 'service')",2,0.000643707756678468
13,"('ive',)",19.0,0.006111289803795433,"('chinese', 'thai')",4.0,0.001287001287001287,"('far', 'service', 'quick')",2,0.000643707756678468
14,"('lunch',)",19.0,0.006111289803795433,"('wait', 'staff')",3.0,0.0009652509652509653,"('twice', 'far', 'service')",2,0.000643707756678468
15,"('chicken',)",18.0,0.005789642972016726,"('salmon', 'yellowtail')",3.0,0.0009652509652509653,"('tuna', 'avocado', 'roll')",2,0.000643707756678468
16,"('restaurant',)",17.0,0.005467996140238018,"('ice', 'cream')",3.0,0.0009652509652509653,"('lunch', 'combos', 'great')",2,0.000643707756678468
17,"('definitely',)",17.0,0.005467996140238018,"('fresh', 'fish')",3.0,0.0009652509652509653,"('efficient', 'lunch', 'combos')",2,0.000643707756678468
18,"('best',)",17.0,0.005467996140238018,"('special', 'roll')",3.0,0.0009652509652509653,"('quick', 'efficient', 'lunch')",2,0.000643707756678468
19,"('delicious',)",16.0,0.005146349308459312,"('first', 'impression')",3.0,0.0009652509652509653,"('service', 'quick', 'efficient')",2,0.000643707756678468
20,"('back',)",16.0,0.005146349308459312,"('lunch', 'specials')",3.0,0.0009652509652509653,"('red', 'curry', 'chicken')",2,0.000643707756678468
21,"('menu',)",16.0,0.005146349308459312,"('austin', 'roll')",3.0,0.0009652509652509653,"('spicy', 'salmon', 'roll')",2,0.000643707756678468
22,"('order',)",15.0,0.004824702476680605,"('japanese', 'chinese')",3.0,0.0009652509652509653,"('ordered', 'twice', 'far')",2,0.000643707756678468
23,"('well',)",15.0,0.004824702476680605,"('bento', 'box')",3.0,0.0009652509652509653,"('red', 'bean', 'ice')",2,0.000643707756678468
24,"('quality',)",15.0,0.004824702476680605,"('shrimp', 'tempura')",3.0,0.0009652509652509653,"('ive', 'goto', 'japanese')",1,0.000321853878339234
25,"('im',)",15.0,0.004824702476680605,"('roll', 'ive')",3.0,0.0009652509652509653,"('goto', 'japanese', 'restaurant')",1,0.000321853878339234
26,"('thai',)",14.0,0.004503055644901898,"('good', 'service')",3.0,0.0009652509652509653,"('anything', 'ive', 'goto')",1,0.000321853878339234
27,"('tuna',)",14.0,0.004503055644901898,"('fresh', 'delicious')",3.0,0.0009652509652509653,"('japanese', 'restaurant', 'also')",1,0.000321853878339234
28,"('staff',)",14.0,0.004503055644901898,"('definitely', 'back')",3.0,0.0009652509652509653,"('restaurant', 'also', 'chinese')",1,0.000321853878339234
29,"('made',)",14.0,0.004503055644901898,"('come', 'back')",3.0,0.0009652509652509653,"('area', 'serve', 'havent')",1,0.000321853878339234
30,"('like',)",14.0,0.004503055644901898,"('always', 'good')",3.0,0.0009652509652509653,"('disappointed', 'anything', 'ive')",1,0.000321853878339234
31,"('get',)",13.0,0.0041814088131231905,"('green', 'tea')",3.0,0.0009652509652509653,"('havent', 'disappointed', 'anything')",1,0.000321853878339234
32,"('will',)",13.0,0.0041814088131231905,"('great', 'service')",3.0,0.0009652509652509653,"('serve', 'havent', 'disappointed')",1,0.000321853878339234
33,"('area',)",13.0,0.0041814088131231905,"('back', 'east')",3.0,0.0009652509652509653,"('choices', 'well', 'thai')",1,0.000321853878339234
34,"('fish',)",13.0,0.0041814088131231905,"('tuna', 'avocado')",3.0,0.0009652509652509653,"('also', 'chinese', 'choices')",1,0.000321853878339234
35,"('spicy',)",12.0,0.0038597619813444837,"('lunch', 'dinner')",3.0,0.0009652509652509653,"('well', 'thai', 'husband')",1,0.000321853878339234
36,"('recommend',)",12.0,0.0038597619813444837,"('shrimp', 'broccoli')",3.0,0.0009652509652509653,"('chinese', 'choices', 'well')",1,0.000321853878339234
37,"('pretty',)",12.0,0.0038597619813444837,"('ordered', 'chicken')",3.0,0.0009652509652509653,"('love', 'kani', 'salad')",1,0.000321853878339234
38,"('can',)",11.0,0.003538115149565777,"('ive', 'ever')",3.0,0.0009652509652509653,"('restaurants', 'area', 'serve')",1,0.000321853878339234
39,"('came',)",11.0,0.003538115149565777,"('excellent', 'service')",3.0,0.0009652509652509653,"('salad', 'restaurants', 'area')",1,0.000321853878339234
40,"('years',)",11.0,0.003538115149565777,"('service', 'quick')",3.0,0.0009652509652509653,"('sesame', 'seed', 'chicken')",1,0.000321853878339234
41,"('never',)",11.0,0.003538115149565777,"('amazing', 'ordered')",3.0,0.0009652509652509653,"('seed', 'chicken', 'chicken')",1,0.000321853878339234
42,"('times',)",10.0,0.0032164683177870698,"('staff', 'extremely')",2.0,0.0006435006435006435,"('chicken', 'chicken', 'broccoli')",1,0.000321853878339234
43,"('say',)",10.0,0.0032164683177870698,"('times', 'love')",2.0,0.0006435006435006435,"('chicken', 'broccoli', 'house')",1,0.000321853878339234
44,"('sauce',)",10.0,0.0032164683177870698,"('extremely', 'friendly')",2.0,0.0006435006435006435,"('broccoli', 'house', 'special')",1,0.000321853878339234
45,"('shrimp',)",10.0,0.0032164683177870698,"('friend', 'ordered')",2.0,0.0006435006435006435,"('house', 'special', 'rice')",1,0.000321853878339234
46,"('highly',)",10.0,0.0032164683177870698,"('havent', 'disappointed')",2.0,0.0006435006435006435,"('special', 'rice', 'love')",1,0.000321853878339234
47,"('little',)",10.0,0.0032164683177870698,"('usually', 'get')",2.0,0.0006435006435006435,"('rice', 'love', 'come')",1,0.000321853878339234
48,"('experience',)",10.0,0.0032164683177870698,"('bit', 'pricey')",2.0,0.0006435006435006435,"('love', 'come', 'coworkers')",1,0.000321853878339234
49,"('go',)",9.0,0.002894821486008363,"('nj', 'sorry')",2.0,0.0006435006435006435,"('come', 'coworkers', 'nice')",1,0.000321853878339234
