,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",30.0,0.01876172607879925,"('happy', 'hour')",7.0,0.004380475594493116,"('try', 'kamikaze', 'roll')",2,0.0012523481527864746
1,"('roll',)",29.0,0.01813633520950594,"('warson', 'woods')",5.0,0.0031289111389236545,"('roll', 'favorite', 'spicy')",2,0.0012523481527864746
2,"('good',)",26.0,0.016260162601626018,"('great', 'service')",4.0,0.0025031289111389237,"('happy', 'hour', 'deal')",2,0.0012523481527864746
3,"('wasabi',)",19.0,0.011882426516572859,"('first', 'time')",4.0,0.0025031289111389237,"('outside', 'nice', 'evening')",2,0.0012523481527864746
4,"('service',)",17.0,0.010631644777986242,"('st', 'louis')",3.0,0.0018773466833541927,"('sit', 'outside', 'nice')",2,0.0012523481527864746
5,"('location',)",17.0,0.010631644777986242,"('roll', 'favorite')",3.0,0.0018773466833541927,"('woods', 'first', 'time')",2,0.0012523481527864746
6,"('get',)",16.0,0.010006253908692933,"('will', 'definitely')",3.0,0.0018773466833541927,"('recommend', 'sit', 'outside')",2,0.0012523481527864746
7,"('time',)",14.0,0.008755472170106316,"('kamikaze', 'roll')",3.0,0.0018773466833541927,"('highly', 'recommend', 'sit')",2,0.0012523481527864746
8,"('like',)",13.0,0.008130081300813009,"('service', 'great')",3.0,0.0018773466833541927,"('spot', 'highly', 'recommend')",2,0.0012523481527864746
9,"('always',)",10.0,0.006253908692933083,"('good', 'bar')",3.0,0.0018773466833541927,"('best', 'spot', 'highly')",2,0.0012523481527864746
10,"('happy',)",10.0,0.006253908692933083,"('good', 'service')",3.0,0.0018773466833541927,"('warson', 'woods', 'first')",2,0.0012523481527864746
11,"('favorite',)",10.0,0.006253908692933083,"('pretty', 'good')",3.0,0.0018773466833541927,"('area', 'best', 'spot')",2,0.0012523481527864746
