,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('order',)",22.0,0.011627906976744186,"('miso', 'soup')",5.0,0.0026441036488630354,"('didnt', 'even', 'get')",2,0.0010582010582010583
1,"('lunch',)",19.0,0.01004228329809725,"('soup', 'salad')",4.0,0.0021152829190904283,"('lunch', 'special', 'price')",2,0.0010582010582010583
2,"('time',)",18.0,0.009513742071881607,"('lunch', 'special')",4.0,0.0021152829190904283,"('miso', 'soup', 'watery')",2,0.0010582010582010583
3,"('tenno',)",15.0,0.007928118393234672,"('lunch', 'buffet')",4.0,0.0021152829190904283,"('woman', 'european', 'woman')",2,0.0010582010582010583
4,"('waitress',)",15.0,0.007928118393234672,"('tenno', 'brentwood')",3.0,0.0015864621893178213,"('us', 'drinks', 'even')",1,0.0005291005291005291
5,"('got',)",14.0,0.007399577167019027,"('wasnt', 'great')",3.0,0.0015864621893178213,"('people', 'came', 'us')",1,0.0005291005291005291
6,"('roll',)",14.0,0.007399577167019027,"('go', 'back')",3.0,0.0015864621893178213,"('came', 'us', 'get')",1,0.0005291005291005291
7,"('eat',)",14.0,0.007399577167019027,"('bento', 'box')",3.0,0.0015864621893178213,"('us', 'get', 'us')",1,0.0005291005291005291
8,"('salad',)",14.0,0.007399577167019027,"('take', 'order')",3.0,0.0015864621893178213,"('get', 'us', 'drinks')",1,0.0005291005291005291
9,"('buffet',)",14.0,0.007399577167019027,"('ask', 'order')",3.0,0.0015864621893178213,"('honestly', 'two', 'stars')",1,0.0005291005291005291
10,"('like',)",13.0,0.006871035940803382,"('friday', 'night')",3.0,0.0015864621893178213,"('drinks', 'even', 'looked')",1,0.0005291005291005291
11,"('two',)",13.0,0.006871035940803382,"('third', 'roll')",3.0,0.0015864621893178213,"('none', 'people', 'came')",1,0.0005291005291005291
12,"('never',)",12.0,0.006342494714587738,"('absolutely', 'nothing')",2.0,0.0010576414595452142,"('looked', 'like', 'worked')",1,0.0005291005291005291
13,"('even',)",12.0,0.006342494714587738,"('even', 'though')",2.0,0.0010576414595452142,"('like', 'worked', 'wearing')",1,0.0005291005291005291
14,"('will',)",12.0,0.006342494714587738,"('restaurant', 'also')",2.0,0.0010576414595452142,"('worked', 'wearing', 'workout')",1,0.0005291005291005291
15,"('service',)",12.0,0.006342494714587738,"('didnt', 'even')",2.0,0.0010576414595452142,"('wearing', 'workout', 'clothes')",1,0.0005291005291005291
16,"('restaurant',)",12.0,0.006342494714587738,"('ok', 'service')",2.0,0.0010576414595452142,"('even', 'looked', 'like')",1,0.0005291005291005291
17,"('get',)",12.0,0.006342494714587738,"('every', 'time')",2.0,0.0010576414595452142,"('dreadful', 'none', 'people')",1,0.0005291005291005291
18,"('ordered',)",11.0,0.005813953488372093,"('dont', 'like')",2.0,0.0010576414595452142,"('clothes', 'really', 'miss')",1,0.0005291005291005291
19,"('really',)",11.0,0.005813953488372093,"('extra', 'roll')",2.0,0.0010576414595452142,"('absolutely', 'dreadful', 'none')",1,0.0005291005291005291
20,"('miyako',)",11.0,0.005813953488372093,"('ordered', 'two')",2.0,0.0010576414595452142,"('check', 'absolutely', 'dreadful')",1,0.0005291005291005291
21,"('go',)",10.0,0.005285412262156448,"('refills', 'tea')",2.0,0.0010576414595452142,"('get', 'check', 'absolutely')",1,0.0005291005291005291
22,"('table',)",10.0,0.005285412262156448,"('west', 'end')",2.0,0.0010576414595452142,"('try', 'get', 'check')",1,0.0005291005291005291
23,"('didnt',)",10.0,0.005285412262156448,"('will', 'never')",2.0,0.0010576414595452142,"('minutes', 'try', 'get')",1,0.0005291005291005291
24,"('woman',)",9.0,0.0047568710359408035,"('service', 'good')",2.0,0.0010576414595452142,"('30', 'minutes', 'try')",1,0.0005291005291005291
25,"('went',)",9.0,0.0047568710359408035,"('japanese', 'restaurant')",2.0,0.0010576414595452142,"('another', '30', 'minutes')",1,0.0005291005291005291
26,"('came',)",9.0,0.0047568710359408035,"('long', 'time')",2.0,0.0010576414595452142,"('took', 'another', '30')",1,0.0005291005291005291
27,"('soup',)",9.0,0.0047568710359408035,"('waste', 'time')",2.0,0.0010576414595452142,"('got', 'took', 'another')",1,0.0005291005291005291
28,"('im',)",9.0,0.0047568710359408035,"('order', 'came')",2.0,0.0010576414595452142,"('horrible', 'got', 'took')",1,0.0005291005291005291
29,"('server',)",9.0,0.0047568710359408035,"('hour', 'half')",2.0,0.0010576414595452142,"('overpaid', 'horrible', 'got')",1,0.0005291005291005291
30,"('good',)",9.0,0.0047568710359408035,"('even', 'get')",2.0,0.0010576414595452142,"('workout', 'clothes', 'really')",1,0.0005291005291005291
31,"('going',)",8.0,0.004228329809725159,"('something', 'nice')",2.0,0.0010576414595452142,"('really', 'miss', 'miyakos')",1,0.0005291005291005291
32,"('left',)",8.0,0.004228329809725159,"('going', 'tenno')",2.0,0.0010576414595452142,"('undercooked', 'seriously', 'overpaid')",1,0.0005291005291005291
33,"('said',)",8.0,0.004228329809725159,"('back', 'tenno')",2.0,0.0010576414595452142,"('miss', 'miyakos', 'will')",1,0.0005291005291005291
34,"('back',)",8.0,0.004228329809725159,"('staff', 'friendly')",2.0,0.0010576414595452142,"('great', 'either', 'horrible')",1,0.0005291005291005291
35,"('wasnt',)",8.0,0.004228329809725159,"('soup', 'watery')",2.0,0.0010576414595452142,"('wasnt', 'great', 'either')",1,0.0005291005291005291
36,"('special',)",8.0,0.004228329809725159,"('across', 'way')",2.0,0.0010576414595452142,"('foods', 'wasnt', 'great')",1,0.0005291005291005291
37,"('asked',)",7.0,0.0036997885835095136,"('buffet', 'will')",2.0,0.0010576414595452142,"('half', 'foods', 'wasnt')",1,0.0005291005291005291
38,"('try',)",7.0,0.0036997885835095136,"('felt', 'like')",2.0,0.0010576414595452142,"('hour', 'half', 'foods')",1,0.0005291005291005291
39,"('brought',)",7.0,0.0036997885835095136,"('people', 'restaurant')",2.0,0.0010576414595452142,"('waited', 'hour', 'half')",1,0.0005291005291005291
40,"('another',)",7.0,0.0036997885835095136,"('last', 'night')",2.0,0.0010576414595452142,"('time', 'waited', 'hour')",1,0.0005291005291005291
41,"('us',)",7.0,0.0036997885835095136,"('valentines', 'day')",2.0,0.0010576414595452142,"('complaining', 'time', 'waited')",1,0.0005291005291005291
42,"('salmon',)",7.0,0.0036997885835095136,"('wanted', 'treat')",2.0,0.0010576414595452142,"('cursing', 'complaining', 'time')",1,0.0005291005291005291
43,"('put',)",7.0,0.0036997885835095136,"('boyfriend', 'wanted')",2.0,0.0010576414595452142,"('hair', 'cursing', 'complaining')",1,0.0005291005291005291
44,"('told',)",7.0,0.0036997885835095136,"('waitress', 'didnt')",2.0,0.0010576414595452142,"('short', 'hair', 'cursing')",1,0.0005291005291005291
45,"('absolutely',)",6.0,0.003171247357293869,"('im', 'willing')",2.0,0.0010576414595452142,"('woman', 'short', 'hair')",1,0.0005291005291005291
