,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('service',)",13.0,0.01069078947368421,"('decided', 'give')",4.0,0.0032921810699588477,"('waste', 'time', 'money')",3,0.002471169686985173
1,"('shrimp',)",12.0,0.009868421052631578,"('waste', 'time')",4.0,0.0032921810699588477,"('give', 'another', 'try')",2,0.0016474464579901153
2,"('ordered',)",12.0,0.009868421052631578,"('dont', 'waste')",3.0,0.0024691358024691358,"('normally', 'go', 'kabutos')",2,0.0016474464579901153
3,"('table',)",11.0,0.009046052631578948,"('time', 'money')",3.0,0.0024691358024691358,"('dont', 'waste', 'time')",2,0.0016474464579901153
4,"('hibachi',)",10.0,0.008223684210526315,"('salmon', 'roll')",3.0,0.0024691358024691358,"('didnt', 'put', 'bag')",2,0.0016474464579901153
5,"('roll',)",9.0,0.007401315789473684,"('another', 'try')",3.0,0.0024691358024691358,"('decided', 'give', 'another')",2,0.0016474464579901153
6,"('server',)",9.0,0.007401315789473684,"('10', 'minutes')",2.0,0.0016460905349794238,"('salmon', 'roll', 'shaggy')",1,0.0008237232289950577
7,"('sauce',)",8.0,0.006578947368421052,"('small', 'pieces')",2.0,0.0016460905349794238,"('roll', 'salmon', 'roll')",1,0.0008237232289950577
8,"('go',)",8.0,0.006578947368421052,"('last', 'time')",2.0,0.0016460905349794238,"('dog', 'roll', 'salmon')",1,0.0008237232289950577
9,"('good',)",8.0,0.006578947368421052,"('told', 'server')",2.0,0.0016460905349794238,"('shaggy', 'dog', 'roll')",1,0.0008237232289950577
10,"('grill',)",8.0,0.006578947368421052,"('server', 'charge')",2.0,0.0016460905349794238,"('ordered', 'shaggy', 'dog')",1,0.0008237232289950577
11,"('another',)",8.0,0.006578947368421052,"('hibachi', 'grill')",2.0,0.0016460905349794238,"('also', 'ordered', 'shaggy')",1,0.0008237232289950577
12,"('never',)",8.0,0.006578947368421052,"('without', 'ice')",2.0,0.0016460905349794238,"('cold', 'also', 'ordered')",1,0.0008237232289950577
13,"('like',)",7.0,0.005756578947368421,"('get', 'past')",2.0,0.0016460905349794238,"('service', 'kinda', 'rushed')",1,0.0008237232289950577
14,"('salad',)",7.0,0.005756578947368421,"('normally', 'go')",2.0,0.0016460905349794238,"('shaggy', 'roll', 'good')",1,0.0008237232289950577
15,"('meal',)",7.0,0.005756578947368421,"('give', 'another')",2.0,0.0016460905349794238,"('veggies', 'cold', 'also')",1,0.0008237232289950577
16,"('people',)",7.0,0.005756578947368421,"('want', 'another')",2.0,0.0016460905349794238,"('taste', 'veggies', 'cold')",1,0.0008237232289950577
17,"('get',)",7.0,0.005756578947368421,"('ordered', 'shrimp')",2.0,0.0016460905349794238,"('ruined', 'taste', 'veggies')",1,0.0008237232289950577
18,"('also',)",7.0,0.005756578947368421,"('two', 'stars')",2.0,0.0016460905349794238,"('powering', 'ruined', 'taste')",1,0.0008237232289950577
19,"('rice',)",7.0,0.005756578947368421,"('put', 'bag')",2.0,0.0016460905349794238,"('came', 'powering', 'ruined')",1,0.0008237232289950577
20,"('will',)",6.0,0.004934210526315789,"('waitress', 'come')",2.0,0.0016460905349794238,"('sauce', 'came', 'powering')",1,0.0008237232289950577
21,"('salads',)",6.0,0.004934210526315789,"('soups', 'salads')",2.0,0.0016460905349794238,"('roll', 'shaggy', 'roll')",1,0.0008237232289950577
22,"('ice',)",6.0,0.004934210526315789,"('didnt', 'put')",2.0,0.0016460905349794238,"('spice', 'mostly', 'rice')",1,0.0008237232289950577
23,"('try',)",6.0,0.004934210526315789,"('bowl', 'lettuce')",2.0,0.0016460905349794238,"('roll', 'good', 'spice')",1,0.0008237232289950577
24,"('time',)",6.0,0.004934210526315789,"('go', 'kabutos')",2.0,0.0016460905349794238,"('good', 'spice', 'mostly')",1,0.0008237232289950577
25,"('us',)",6.0,0.004934210526315789,"('taken', 'bill')",2.0,0.0016460905349794238,"('added', 'spice', 'sauce')",1,0.0008237232289950577
26,"('decided',)",6.0,0.004934210526315789,"('hibachi', 'shrimp')",2.0,0.0016460905349794238,"('mostly', 'rice', 'salmon')",1,0.0008237232289950577
27,"('tables',)",6.0,0.004934210526315789,"('made', 'grill')",2.0,0.0016460905349794238,"('rice', 'salmon', 'roll')",1,0.0008237232289950577
28,"('put',)",6.0,0.004934210526315789,"('volcano', 'roll')",2.0,0.0016460905349794238,"('salmon', 'roll', 'weird')",1,0.0008237232289950577
29,"('koi',)",6.0,0.004934210526315789,"('fortune', 'cookie')",2.0,0.0016460905349794238,"('roll', 'weird', 'secondary')",1,0.0008237232289950577
30,"('lettuce',)",6.0,0.004934210526315789,"('person', 'party')",2.0,0.0016460905349794238,"('weird', 'secondary', 'taste')",1,0.0008237232289950577
31,"('chef',)",5.0,0.004111842105263158,"('people', 'party')",2.0,0.0016460905349794238,"('secondary', 'taste', 'made')",1,0.0008237232289950577
32,"('music',)",5.0,0.004111842105263158,"('will', 'returning')",2.0,0.0016460905349794238,"('taste', 'made', 'stop')",1,0.0008237232289950577
33,"('japanese',)",5.0,0.004111842105263158,"('even', 'though')",2.0,0.0016460905349794238,"('made', 'stop', 'eating')",1,0.0008237232289950577
34,"('taste',)",5.0,0.004111842105263158,"('added', 'spice')",1.0,0.0008230452674897119,"('stop', 'eating', 'together')",1,0.0008237232289950577
35,"('restaurant',)",5.0,0.004111842105263158,"('came', 'powering')",1.0,0.0008230452674897119,"('eating', 'together', 'raw')",1,0.0008237232289950577
36,"('told',)",5.0,0.004111842105263158,"('sauce', 'came')",1.0,0.0008230452674897119,"('together', 'raw', 'salmon')",1,0.0008237232289950577
37,"('two',)",5.0,0.004111842105263158,"('spice', 'sauce')",1.0,0.0008230452674897119,"('raw', 'salmon', 'rice')",1,0.0008237232289950577
38,"('waste',)",5.0,0.004111842105263158,"('charge', 'finally')",1.0,0.0008230452674897119,"('spice', 'sauce', 'came')",1,0.0008237232289950577
39,"('money',)",5.0,0.004111842105263158,"('wasnt', 'added')",1.0,0.0008230452674897119,"('spicy', 'wasnt', 'added')",1,0.0008237232289950577
40,"('give',)",5.0,0.004111842105263158,"('powering', 'ruined')",1.0,0.0008230452674897119,"('wasnt', 'added', 'spice')",1,0.0008237232289950577
41,"('side',)",5.0,0.004111842105263158,"('hibachi', 'spicy')",1.0,0.0008230452674897119,"('reason', 'still', 'business')",1,0.0008237232289950577
42,"('made',)",5.0,0.004111842105263158,"('shrimp', 'hibachi')",1.0,0.0008230452674897119,"('frankly', 'think', 'reason')",1,0.0008237232289950577
43,"('party',)",5.0,0.004111842105263158,"('hibachi', 'ordered')",1.0,0.0008230452674897119,"('get', 'frankly', 'think')",1,0.0008237232289950577
44,"('trying',)",5.0,0.004111842105263158,"('love', 'hibachi')",1.0,0.0008230452674897119,"('good', 'get', 'frankly')",1,0.0008237232289950577
45,"('soup',)",5.0,0.004111842105263158,"('spicy', 'wasnt')",1.0,0.0008230452674897119,"('bag', 'good', 'get')",1,0.0008237232289950577
46,"('order',)",5.0,0.004111842105263158,"('taste', 'veggies')",1.0,0.0008230452674897119,"('put', 'bag', 'good')",1,0.0008237232289950577
47,"('even',)",5.0,0.004111842105263158,"('ruined', 'taste')",1.0,0.0008230452674897119,"('wraps', 'didnt', 'put')",1,0.0008237232289950577
48,"('back',)",5.0,0.004111842105263158,"('disappointed', 'love')",1.0,0.0008230452674897119,"('lettuce', 'wraps', 'didnt')",1,0.0008237232289950577
49,"('super',)",4.0,0.003289473684210526,"('veggies', 'cold')",1.0,0.0008230452674897119,"('sauce', 'lettuce', 'wraps')",1,0.0008237232289950577
50,"('took',)",4.0,0.003289473684210526,"('cold', 'also')",1.0,0.0008230452674897119,"('spicy', 'sauce', 'lettuce')",1,0.0008237232289950577
51,"('minutes',)",4.0,0.003289473684210526,"('also', 'ordered')",1.0,0.0008230452674897119,"('asked', 'spicy', 'sauce')",1,0.0008237232289950577
52,"('poor',)",4.0,0.003289473684210526,"('ordered', 'shaggy')",1.0,0.0008230452674897119,"('bag', 'asked', 'spicy')",1,0.0008237232289950577
53,"('terrible',)",4.0,0.003289473684210526,"('shaggy', 'dog')",1.0,0.0008230452674897119,"('put', 'bag', 'asked')",1,0.0008237232289950577
54,"('come',)",4.0,0.003289473684210526,"('dog', 'roll')",1.0,0.0008230452674897119,"('sauce', 'didnt', 'put')",1,0.0008237232289950577
