,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",14.0,0.019971469329529243,"('chicken', 'teriyaki')",5.0,0.007142857142857143,"('ordered', 'chicken', 'teriyaki')",2,0.002861230329041488
1,"('great',)",11.0,0.015691868758915834,"('bento', 'box')",3.0,0.004285714285714286,"('chicken', 'teriyaki', 'special')",2,0.002861230329041488
2,"('time',)",11.0,0.015691868758915834,"('great', 'also')",2.0,0.002857142857142857,"('tasted', 'good', 'liked')",1,0.001430615164520744
3,"('ordered',)",10.0,0.014265335235378032,"('didnt', 'mind')",2.0,0.002857142857142857,"('love', 'really', 'love')",1,0.001430615164520744
4,"('dont',)",10.0,0.014265335235378032,"('tasted', 'good')",2.0,0.002857142857142857,"('go', 'faves', 'miso')",1,0.001430615164520744
5,"('chicken',)",10.0,0.014265335235378032,"('made', 'order')",2.0,0.002857142857142857,"('faves', 'miso', 'soup')",1,0.001430615164520744
6,"('teriyaki',)",9.0,0.012838801711840228,"('boba', 'tea')",2.0,0.002857142857142857,"('miso', 'soup', 'wish')",1,0.001430615164520744
7,"('love',)",7.0,0.009985734664764621,"('miso', 'soup')",2.0,0.002857142857142857,"('soup', 'wish', 'variety')",1,0.001430615164520744
8,"('ive',)",7.0,0.009985734664764621,"('ordered', 'chicken')",2.0,0.002857142857142857,"('wish', 'variety', 'menu')",1,0.001430615164520744
9,"('bento',)",7.0,0.009985734664764621,"('ordered', 'bento')",2.0,0.002857142857142857,"('variety', 'menu', 'whole')",1,0.001430615164520744
10,"('really',)",6.0,0.008559201141226819,"('dont', 'know')",2.0,0.002857142857142857,"('menu', 'whole', 'love')",1,0.001430615164520744
11,"('roll',)",6.0,0.008559201141226819,"('dont', 'expect')",2.0,0.002857142857142857,"('whole', 'love', 'really')",1,0.001430615164520744
12,"('always',)",6.0,0.008559201141226819,"('bento', 'boxes')",2.0,0.002857142857142857,"('really', 'love', 'kept')",1,0.001430615164520744
13,"('order',)",6.0,0.008559201141226819,"('chicken', 'beef')",2.0,0.002857142857142857,"('eagle', 'roll', 'go')",1,0.001430615164520744
14,"('definitely',)",5.0,0.007132667617689016,"('pretty', 'good')",2.0,0.002857142857142857,"('love', 'kept', 'repeat')",1,0.001430615164520744
15,"('got',)",5.0,0.007132667617689016,"('always', 'good')",2.0,0.002857142857142857,"('kept', 'repeat', 'customer')",1,0.001430615164520744
16,"('meal',)",5.0,0.007132667617689016,"('good', 'price')",2.0,0.002857142857142857,"('repeat', 'customer', 'thats')",1,0.001430615164520744
17,"('get',)",5.0,0.007132667617689016,"('ive', 'never')",2.0,0.002857142857142857,"('customer', 'thats', 'plus')",1,0.001430615164520744
18,"('liked',)",4.0,0.005706134094151213,"('teriyaki', 'special')",2.0,0.002857142857142857,"('thats', 'plus', 'dont')",1,0.001430615164520744
19,"('spot',)",4.0,0.005706134094151213,"('spring', 'roll')",2.0,0.002857142857142857,"('plus', 'dont', 'know')",1,0.001430615164520744
20,"('philly',)",4.0,0.005706134094151213,"('great', 'price')",2.0,0.002857142857142857,"('dont', 'know', 'delicious')",1,0.001430615164520744
21,"('tea',)",4.0,0.005706134094151213,"('south', 'philly')",2.0,0.002857142857142857,"('know', 'delicious', 'cheap')",1,0.001430615164520744
22,"('try',)",4.0,0.005706134094151213,"('know', 'delicious')",1.0,0.0014285714285714286,"('roll', 'go', 'faves')",1,0.001430615164520744
23,"('special',)",4.0,0.005706134094151213,"('really', 'love')",1.0,0.0014285714285714286,"('fly', 'eagle', 'roll')",1,0.001430615164520744
24,"('every',)",4.0,0.005706134094151213,"('love', 'kept')",1.0,0.0014285714285714286,"('three', 'times', 'clearly')",1,0.001430615164520744
