,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('order',)",23.0,0.021455223880597014,"('can', 'eat')",5.0,0.004668534080298786,"('came', 'us', 'got')",3,0.002803738317757009
1,"('us',)",13.0,0.012126865671641791,"('excited', 'try')",3.0,0.0028011204481792717,"('asked', 'can', 'eat')",2,0.001869158878504673
2,"('minutes',)",13.0,0.012126865671641791,"('us', 'got')",3.0,0.0028011204481792717,"('quail', 'egg', 'shooters')",2,0.001869158878504673
3,"('eat',)",11.0,0.010261194029850746,"('came', 'us')",3.0,0.0028011204481792717,"('waited', 'almost', 'hour')",2,0.001869158878504673
4,"('got',)",10.0,0.009328358208955223,"('didnt', 'even')",3.0,0.0028011204481792717,"('folks', 'came', 'us')",2,0.001869158878504673
5,"('even',)",10.0,0.009328358208955223,"('30', 'minutes')",3.0,0.0028011204481792717,"('excited', 'try', 'kissho')",1,0.0009345794392523365
6,"('came',)",10.0,0.009328358208955223,"('coming', 'back')",2.0,0.0018674136321195146,"('apart', 'terrible', 'impressed')",1,0.0009345794392523365
7,"('ordered',)",9.0,0.008395522388059701,"('ordered', '3')",2.0,0.0018674136321195146,"('falling', 'apart', 'terrible')",1,0.0009345794392523365
8,"('service',)",9.0,0.008395522388059701,"('second', 'order')",2.0,0.0018674136321195146,"('kept', 'falling', 'apart')",1,0.0009345794392523365
9,"('get',)",8.0,0.007462686567164179,"('missing', 'order')",2.0,0.0018674136321195146,"('either', 'kept', 'falling')",1,0.0009345794392523365
10,"('server',)",8.0,0.007462686567164179,"('multiple', 'times')",2.0,0.0018674136321195146,"('shooters', 'either', 'kept')",1,0.0009345794392523365
11,"('like',)",8.0,0.007462686567164179,"('server', 'told')",2.0,0.0018674136321195146,"('nigiri', 'quail', 'egg')",1,0.0009345794392523365
12,"('good',)",8.0,0.007462686567164179,"('quail', 'egg')",2.0,0.0018674136321195146,"('egg', 'shooters', 'either')",1,0.0009345794392523365
13,"('took',)",8.0,0.007462686567164179,"('50', 'minutes')",2.0,0.0018674136321195146,"('selection', 'nigiri', 'quail')",1,0.0009345794392523365
14,"('can',)",8.0,0.007462686567164179,"('customer', 'service')",2.0,0.0018674136321195146,"('barely', 'selection', 'nigiri')",1,0.0009345794392523365
15,"('made',)",8.0,0.007462686567164179,"('hour', 'get')",2.0,0.0018674136321195146,"('order', 'barely', 'selection')",1,0.0009345794392523365
16,"('didnt',)",7.0,0.0065298507462686565,"('taste', 'texture')",2.0,0.0018674136321195146,"('want', 'order', 'barely')",1,0.0009345794392523365
