,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('lounge',)",13.0,0.018439716312056736,"('cigar', 'lounge')",4.0,0.005681818181818182,"('even', 'though', 'dont')",2,0.002844950213371266
1,"('great',)",12.0,0.01702127659574468,"('fish', 'tacos')",4.0,0.005681818181818182,"('little', 'bit', 'waitress')",1,0.001422475106685633
2,"('cigar',)",11.0,0.015602836879432624,"('lobby', 'bar')",3.0,0.004261363636363636,"('lounge', 'bustling', 'activity')",1,0.001422475106685633
3,"('hotel',)",10.0,0.014184397163120567,"('even', 'though')",2.0,0.002840909090909091,"('bustling', 'activity', 'seems')",1,0.001422475106685633
4,"('bar',)",7.0,0.009929078014184398,"('st', 'louis')",2.0,0.002840909090909091,"('activity', 'seems', 'somewhat')",1,0.001422475106685633
5,"('ritz',)",7.0,0.009929078014184398,"('tvs', 'great')",2.0,0.002840909090909091,"('seems', 'somewhat', 'popular')",1,0.001422475106685633
6,"('bacon',)",6.0,0.00851063829787234,"('friendly', 'attentive')",2.0,0.002840909090909091,"('somewhat', 'popular', 'saturday')",1,0.001422475106685633
7,"('nice',)",6.0,0.00851063829787234,"('smoke', 'cigars')",2.0,0.002840909090909091,"('popular', 'saturday', 'took')",1,0.001422475106685633
8,"('dates',)",6.0,0.00851063829787234,"('cigar', 'bar')",2.0,0.002840909090909091,"('saturday', 'took', 'little')",1,0.001422475106685633
9,"('fish',)",5.0,0.0070921985815602835,"('baconwrapped', 'dates')",2.0,0.002840909090909091,"('took', 'little', 'bit')",1,0.001422475106685633
10,"('cigars',)",4.0,0.005673758865248227,"('hotel', 'guests')",2.0,0.002840909090909091,"('bit', 'waitress', 'got')",1,0.001422475106685633
11,"('will',)",4.0,0.005673758865248227,"('live', 'music')",2.0,0.002840909090909091,"('area', 'lounge', 'lounge')",1,0.001422475106685633
12,"('fantastic',)",4.0,0.005673758865248227,"('though', 'dont')",2.0,0.002840909090909091,"('waitress', 'got', 'friendly')",1,0.001422475106685633
13,"('lobby',)",4.0,0.005673758865248227,"('guest', 'hotel')",2.0,0.002840909090909091,"('got', 'friendly', 'attentive')",1,0.001422475106685633
14,"('member',)",4.0,0.005673758865248227,"('comfortable', 'seating')",2.0,0.002840909090909091,"('friendly', 'attentive', 'thru')",1,0.001422475106685633
15,"('tacos',)",4.0,0.005673758865248227,"('birthday', 'date')",1.0,0.0014204545454545455,"('attentive', 'thru', 'evening')",1,0.001422475106685633
16,"('night',)",4.0,0.005673758865248227,"('took', 'little')",1.0,0.0014204545454545455,"('thru', 'evening', 'date')",1,0.001422475106685633
17,"('lies',)",4.0,0.005673758865248227,"('little', 'bit')",1.0,0.0014204545454545455,"('evening', 'date', 'settled')",1,0.001422475106685633
18,"('smoke',)",4.0,0.005673758865248227,"('bit', 'waitress')",1.0,0.0014204545454545455,"('date', 'settled', 'draft')",1,0.001422475106685633
19,"('business',)",3.0,0.00425531914893617,"('waitress', 'got')",1.0,0.0014204545454545455,"('settled', 'draft', 'stella')",1,0.001422475106685633
