,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('can',)",37.0,0.009829968119022316,"('can', 'eat')",19.0,0.005049162901939941,"('go', 'somewhere', 'else')",3,0.0007974481658692185
1,"('us',)",36.0,0.009564293304994687,"('yoi', 'tomo')",10.0,0.0026574541589157587,"('spicy', 'tuna', 'roll')",3,0.0007974481658692185
2,"('fish',)",33.0,0.008767268862911796,"('soy', 'sauce')",6.0,0.0015944724953494552,"('kim', 'chi', 'ramen')",3,0.0007974481658692185
3,"('order',)",33.0,0.008767268862911796,"('fake', 'crab')",6.0,0.0015944724953494552,"('got', 'can', 'eat')",3,0.0007974481658692185
4,"('eat',)",33.0,0.008767268862911796,"('told', 'us')",5.0,0.0013287270794578793,"('wont', 'going', 'back')",3,0.0007974481658692185
5,"('good',)",32.0,0.008501594048884165,"('come', 'back')",5.0,0.0013287270794578793,"('packets', 'soy', 'sauce')",2,0.000531632110579479
6,"('service',)",32.0,0.008501594048884165,"('going', 'back')",5.0,0.0013287270794578793,"('tomo', 'many', 'times')",2,0.000531632110579479
7,"('roll',)",31.0,0.008235919234856535,"('go', 'back')",5.0,0.0013287270794578793,"('yoi', 'tomo', 'many')",2,0.000531632110579479
8,"('back',)",31.0,0.008235919234856535,"('ive', 'ever')",5.0,0.0013287270794578793,"('ive', 'yoi', 'tomo')",2,0.000531632110579479
9,"('rice',)",29.0,0.0077045696068012755,"('long', 'time')",4.0,0.0010629816635663034,"('will', 'come', 'back')",2,0.000531632110579479
10,"('restaurant',)",24.0,0.006376195536663124,"('somewhere', 'else')",4.0,0.0010629816635663034,"('fish', 'cut', 'thin')",2,0.000531632110579479
11,"('really',)",23.0,0.006110520722635494,"('rice', 'roll')",4.0,0.0010629816635663034,"('never', 'coming', 'back')",2,0.000531632110579479
12,"('told',)",23.0,0.006110520722635494,"('terrible', 'service')",4.0,0.0010629816635663034,"('can', 'eat', 'menu')",2,0.000531632110579479
13,"('didnt',)",21.0,0.005579171094580234,"('customer', 'service')",4.0,0.0010629816635663034,"('worst', 'customer', 'service')",2,0.000531632110579479
14,"('table',)",20.0,0.005313496280552604,"('came', 'back')",3.0,0.0007972362476747276,"('went', 'yoi', 'tomo')",2,0.000531632110579479
15,"('time',)",20.0,0.005313496280552604,"('tomo', 'many')",3.0,0.0007972362476747276,"('use', 'imitation', 'crab')",2,0.000531632110579479
16,"('got',)",20.0,0.005313496280552604,"('anything', 'else')",3.0,0.0007972362476747276,"('go', 'back', 'rude')",1,0.0002658160552897395
17,"('get',)",19.0,0.005047821466524973,"('pretty', 'much')",3.0,0.0007972362476747276,"('dont', 'think', 'universal')",1,0.0002658160552897395
18,"('never',)",19.0,0.005047821466524973,"('charged', 'us')",3.0,0.0007972362476747276,"('restaurants', 'great', 'lots')",1,0.0002658160552897395
19,"('came',)",19.0,0.005047821466524973,"('chi', 'ramen')",3.0,0.0007972362476747276,"('great', 'lots', 'fish')",1,0.0002658160552897395
20,"('server',)",18.0,0.004782146652497344,"('cream', 'cheese')",3.0,0.0007972362476747276,"('lots', 'fish', 'dont')",1,0.0002658160552897395
