,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('delicious',)",8.0,0.028070175438596492,"('west', 'county')",3.0,0.01056338028169014,"('west', 'county', 'mall')",2,0.007067137809187279
1,"('poke',)",7.0,0.02456140350877193,"('delicious', 'fresh')",3.0,0.01056338028169014,"('seafood', 'harvest', 'burrito')",2,0.007067137809187279
2,"('fresh',)",7.0,0.02456140350877193,"('seafood', 'harvest')",2.0,0.007042253521126761,"('fresh', 'healthy', 'ingredients')",2,0.007067137809187279
3,"('great',)",6.0,0.021052631578947368,"('fresh', 'healthy')",2.0,0.007042253521126761,"('delicious', 'fresh', 'healthy')",2,0.007067137809187279
4,"('love',)",5.0,0.017543859649122806,"('healthy', 'ingredients')",2.0,0.007042253521126761,"('especially', 'fish', 'bowl')",1,0.0035335689045936395
5,"('bowl',)",5.0,0.017543859649122806,"('highly', 'recommend')",2.0,0.007042253521126761,"('poke', 'spicy', 'salmon')",1,0.0035335689045936395
6,"('options',)",4.0,0.014035087719298246,"('restaurant', 'village')",2.0,0.007042253521126761,"('scoops', 'poke', 'spicy')",1,0.0035335689045936395
7,"('salmon',)",4.0,0.014035087719298246,"('county', 'mall')",2.0,0.007042253521126761,"('two', 'scoops', 'poke')",1,0.0035335689045936395
8,"('service',)",4.0,0.014035087719298246,"('poke', 'bowl')",2.0,0.007042253521126761,"('bowl', 'two', 'scoops')",1,0.0035335689045936395
9,"('ordered',)",4.0,0.014035087719298246,"('love', 'love')",2.0,0.007042253521126761,"('fish', 'bowl', 'two')",1,0.0035335689045936395
10,"('burrito',)",4.0,0.014035087719298246,"('harvest', 'burrito')",2.0,0.007042253521126761,"('fresh', 'ingredients', 'especially')",1,0.0035335689045936395
11,"('nice',)",4.0,0.014035087719298246,"('onion', 'avocado')",1.0,0.0035211267605633804,"('ingredients', 'especially', 'fish')",1,0.0035335689045936395
12,"('spicy',)",4.0,0.014035087719298246,"('edamame', 'cucumber')",1.0,0.0035211267605633804,"('salmon', 'spicy', 'tuna')",1,0.0035335689045936395
13,"('seafood',)",3.0,0.010526315789473684,"('cucumber', 'masago')",1.0,0.0035211267605633804,"('extremely', 'fresh', 'ingredients')",1,0.0035335689045936395
14,"('made',)",3.0,0.010526315789473684,"('especially', 'unique')",1.0,0.0035211267605633804,"('fantastic', 'extremely', 'fresh')",1,0.0035335689045936395
15,"('drink',)",3.0,0.010526315789473684,"('unique', 'ipoke')",1.0,0.0035211267605633804,"('recommed', 'fantastic', 'extremely')",1,0.0035335689045936395
16,"('fish',)",3.0,0.010526315789473684,"('ipoke', 'drink')",1.0,0.0035211267605633804,"('drink', 'recommed', 'fantastic')",1,0.0035335689045936395
17,"('especially',)",3.0,0.010526315789473684,"('drink', 'recommed')",1.0,0.0035211267605633804,"('spicy', 'salmon', 'spicy')",1,0.0035335689045936395
18,"('west',)",3.0,0.010526315789473684,"('recommed', 'fantastic')",1.0,0.0035211267605633804,"('poke', 'recently', 'started')",1,0.0035335689045936395
19,"('county',)",3.0,0.010526315789473684,"('fantastic', 'extremely')",1.0,0.0035211267605633804,"('unique', 'ipoke', 'drink')",1,0.0035335689045936395
20,"('friendly',)",3.0,0.010526315789473684,"('extremely', 'fresh')",1.0,0.0035211267605633804,"('avocado', 'edamame', 'cucumber')",1,0.0035335689045936395
21,"('right',)",3.0,0.010526315789473684,"('fresh', 'ingredients')",1.0,0.0035211267605633804,"('friend', 'seafood', 'harvest')",1,0.0035335689045936395
22,"('restaurant',)",3.0,0.010526315789473684,"('ingredients', 'especially')",1.0,0.0035211267605633804,"('filling', 'friend', 'seafood')",1,0.0035335689045936395
23,"('healthy',)",3.0,0.010526315789473684,"('especially', 'fish')",1.0,0.0035211267605633804,"('delicious', 'filling', 'friend')",1,0.0035335689045936395
24,"('ingredients',)",3.0,0.010526315789473684,"('fish', 'bowl')",1.0,0.0035211267605633804,"('masago', 'delicious', 'filling')",1,0.0035335689045936395
25,"('small',)",2.0,0.007017543859649123,"('cabbage', 'onion')",1.0,0.0035211267605633804,"('cucumber', 'masago', 'delicious')",1,0.0035335689045936395
26,"('will',)",2.0,0.007017543859649123,"('bowl', 'two')",1.0,0.0035211267605633804,"('edamame', 'cucumber', 'masago')",1,0.0035335689045936395
27,"('definitely',)",2.0,0.007017543859649123,"('two', 'scoops')",1.0,0.0035211267605633804,"('onion', 'avocado', 'edamame')",1,0.0035335689045936395
28,"('kind',)",2.0,0.007017543859649123,"('scoops', 'poke')",1.0,0.0035211267605633804,"('spicy', 'tuna', 'top')",1,0.0035335689045936395
29,"('roll',)",2.0,0.007017543859649123,"('style', 'especially')",1.0,0.0035211267605633804,"('cabbage', 'onion', 'avocado')",1,0.0035335689045936395
30,"('harvest',)",2.0,0.007017543859649123,"('spicy', 'salmon')",1.0,0.0035211267605633804,"('pineapple', 'cabbage', 'onion')",1,0.0035335689045936395
31,"('also',)",2.0,0.007017543859649123,"('avocado', 'edamame')",1.0,0.0035211267605633804,"('greens', 'pineapple', 'cabbage')",1,0.0035335689045936395
32,"('filling',)",2.0,0.007017543859649123,"('salmon', 'spicy')",1.0,0.0035211267605633804,"('romainemixed', 'greens', 'pineapple')",1,0.0035335689045936395
33,"('good',)",2.0,0.007017543859649123,"('spicy', 'tuna')",1.0,0.0035211267605633804,"('top', 'romainemixed', 'greens')",1,0.0035335689045936395
34,"('fantastic',)",2.0,0.007017543859649123,"('tuna', 'top')",1.0,0.0035211267605633804,"('tuna', 'top', 'romainemixed')",1,0.0035335689045936395
35,"('chef',)",2.0,0.007017543859649123,"('top', 'romainemixed')",1.0,0.0035211267605633804,"('ipoke', 'drink', 'recommed')",1,0.0035335689045936395
36,"('recommend',)",2.0,0.007017543859649123,"('romainemixed', 'greens')",1.0,0.0035211267605633804,"('especially', 'unique', 'ipoke')",1,0.0035335689045936395
37,"('quick',)",2.0,0.007017543859649123,"('greens', 'pineapple')",1.0,0.0035211267605633804,"('burrito', 'loved', 'barely')",1,0.0035335689045936395
38,"('highly',)",2.0,0.007017543859649123,"('pineapple', 'cabbage')",1.0,0.0035211267605633804,"('gift', 'make', 'amazing')",1,0.0035335689045936395
39,"('owner',)",2.0,0.007017543859649123,"('poke', 'spicy')",1.0,0.0035211267605633804,"('bit', 'spicy', 'taste')",1,0.0035335689045936395
40,"('village',)",2.0,0.007017543859649123,"('japanese', 'style')",1.0,0.0035211267605633804,"('delicious', 'bit', 'spicy')",1,0.0035335689045936395
41,"('amazing',)",2.0,0.007017543859649123,"('delicious', 'filling')",1.0,0.0035211267605633804,"('roll', 'delicious', 'bit')",1,0.0035335689045936395
42,"('style',)",2.0,0.007017543859649123,"('spicy', 'taste')",1.0,0.0035211267605633804,"('tiger', 'roll', 'delicious')",1,0.0035335689045936395
43,"('loved',)",2.0,0.007017543859649123,"('love', 'can')",1.0,0.0035211267605633804,"('amazing', 'tiger', 'roll')",1,0.0035335689045936395
44,"('really',)",2.0,0.007017543859649123,"('can', 'tell')",1.0,0.0035211267605633804,"('make', 'amazing', 'tiger')",1,0.0035335689045936395
45,"('spot',)",2.0,0.007017543859649123,"('tell', 'man')",1.0,0.0035211267605633804,"('truly', 'gift', 'make')",1,0.0035335689045936395
46,"('protein',)",2.0,0.007017543859649123,"('man', 'made')",1.0,0.0035211267605633804,"('style', 'especially', 'unique')",1,0.0035335689045936395
47,"('man',)",2.0,0.007017543859649123,"('made', 'truly')",1.0,0.0035211267605633804,"('made', 'truly', 'gift')",1,0.0035335689045936395
48,"('can',)",2.0,0.007017543859649123,"('truly', 'gift')",1.0,0.0035211267605633804,"('man', 'made', 'truly')",1,0.0035335689045936395
49,"('bit',)",2.0,0.007017543859649123,"('gift', 'make')",1.0,0.0035211267605633804,"('tell', 'man', 'made')",1,0.0035335689045936395
50,"('first',)",2.0,0.007017543859649123,"('make', 'amazing')",1.0,0.0035211267605633804,"('can', 'tell', 'man')",1,0.0035335689045936395
51,"('like',)",2.0,0.007017543859649123,"('amazing', 'tiger')",1.0,0.0035211267605633804,"('love', 'can', 'tell')",1,0.0035335689045936395
52,"('located',)",2.0,0.007017543859649123,"('tiger', 'roll')",1.0,0.0035211267605633804,"('perfection', 'love', 'can')",1,0.0035335689045936395
53,"('next',)",2.0,0.007017543859649123,"('roll', 'delicious')",1.0,0.0035211267605633804,"('spicy', 'taste', 'salmon')",1,0.0035335689045936395
54,"('little',)",2.0,0.007017543859649123,"('delicious', 'bit')",1.0,0.0035211267605633804,"('taste', 'salmon', 'roll')",1,0.0035335689045936395
55,"('mall',)",2.0,0.007017543859649123,"('bit', 'spicy')",1.0,0.0035211267605633804,"('salmon', 'roll', 'right')",1,0.0035335689045936395
56,"('extremely',)",1.0,0.0035087719298245615,"('taste', 'salmon')",1.0,0.0035211267605633804,"('roll', 'right', 'good')",1,0.0035335689045936395
57,"('treated',)",1.0,0.0035087719298245615,"('take', 'japanese')",1.0,0.0035211267605633804,"('right', 'good', 'quick')",1,0.0035335689045936395
58,"('take',)",1.0,0.0035087719298245615,"('salmon', 'roll')",1.0,0.0035211267605633804,"('good', 'quick', 'asian')",1,0.0035335689045936395
59,"('ipoke',)",1.0,0.0035087719298245615,"('roll', 'right')",1.0,0.0035211267605633804,"('quick', 'asian', 'especially')",1,0.0035335689045936395
60,"('choices',)",1.0,0.0035087719298245615,"('right', 'good')",1.0,0.0035211267605633804,"('asian', 'especially', 'rennovative')",1,0.0035335689045936395
61,"('unique',)",1.0,0.0035087719298245615,"('good', 'quick')",1.0,0.0035211267605633804,"('especially', 'rennovative', 'style')",1,0.0035335689045936395
62,"('japanese',)",1.0,0.0035087719298245615,"('quick', 'asian')",1.0,0.0035211267605633804,"('rennovative', 'style', 'nice')",1,0.0035335689045936395
63,"('two',)",1.0,0.0035087719298245615,"('asian', 'especially')",1.0,0.0035211267605633804,"('style', 'nice', 'drink')",1,0.0035335689045936395
64,"('recommed',)",1.0,0.0035087719298245615,"('especially', 'rennovative')",1.0,0.0035211267605633804,"('nice', 'drink', 'lobby')",1,0.0035335689045936395
65,"('superfriendly',)",1.0,0.0035087719298245615,"('rennovative', 'style')",1.0,0.0035211267605633804,"('drink', 'lobby', 'eat')",1,0.0035335689045936395
66,"('drinks',)",1.0,0.0035087719298245615,"('style', 'nice')",1.0,0.0035211267605633804,"('lobby', 'eat', 'take')",1,0.0035335689045936395
67,"('eat',)",1.0,0.0035087719298245615,"('nice', 'drink')",1.0,0.0035211267605633804,"('eat', 'take', 'japanese')",1,0.0035335689045936395
68,"('lobby',)",1.0,0.0035087719298245615,"('drink', 'lobby')",1.0,0.0035211267605633804,"('take', 'japanese', 'style')",1,0.0035335689045936395
69,"('us',)",1.0,0.0035087719298245615,"('lobby', 'eat')",1.0,0.0035211267605633804,"('japanese', 'style', 'especially')",1,0.0035335689045936395
70,"('yummy',)",1.0,0.0035087719298245615,"('eat', 'take')",1.0,0.0035211267605633804,"('harvest', 'burrito', 'loved')",1,0.0035335689045936395
71,"('rennovative',)",1.0,0.0035087719298245615,"('masago', 'delicious')",1.0,0.0035211267605633804,"('barely', 'finish', 'filling')",1,0.0035335689045936395
