,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('roll',)",18.0,0.008662175168431183,"('hokka', 'hokka')",7.0,0.003370245546461242,"('going', 'restaurant', 'years')",2,0.0009633911368015414
1,"('hokka',)",17.0,0.008180943214629451,"('miso', 'soup')",5.0,0.002407318247472316,"('cant', 'believe', 'paid')",2,0.0009633911368015414
2,"('ordered',)",16.0,0.007699711260827719,"('chestnut', 'hill')",5.0,0.002407318247472316,"('apart', 'also', 'ordered')",2,0.0009633911368015414
3,"('us',)",16.0,0.007699711260827719,"('first', 'time')",4.0,0.0019258545979778526,"('first', 'time', 'tonight')",2,0.0009633911368015414
4,"('service',)",13.0,0.006256015399422521,"('10', 'minutes')",4.0,0.0019258545979778526,"('go', 'osaka', 'street')",2,0.0009633911368015414
5,"('time',)",13.0,0.006256015399422521,"('dont', 'think')",4.0,0.0019258545979778526,"('okay', 'can', 'wont')",1,0.0004816955684007707
6,"('really',)",13.0,0.006256015399422521,"('im', 'sure')",3.0,0.0014443909484833895,"('drink', 'sorry', 'water')",1,0.0004816955684007707
7,"('restaurant',)",13.0,0.006256015399422521,"('happy', 'hour')",3.0,0.0014443909484833895,"('sorry', 'water', 'maybe')",1,0.0004816955684007707
8,"('like',)",13.0,0.006256015399422521,"('spicy', 'tuna')",3.0,0.0014443909484833895,"('water', 'maybe', 'okay')",1,0.0004816955684007707
9,"('came',)",12.0,0.005774783445620789,"('spider', 'roll')",3.0,0.0014443909484833895,"('maybe', 'okay', 'can')",1,0.0004816955684007707
10,"('rice',)",12.0,0.005774783445620789,"('cant', 'believe')",3.0,0.0014443909484833895,"('today', 'stopped', 'hokka')",1,0.0004816955684007707
11,"('menu',)",11.0,0.0052935514918190565,"('osaka', 'street')",3.0,0.0014443909484833895,"('lady', 'said', 'drink')",1,0.0004816955684007707
12,"('teriyaki',)",11.0,0.0052935514918190565,"('chirashi', 'bowl')",3.0,0.0014443909484833895,"('can', 'wont', 'review')",1,0.0004816955684007707
13,"('good',)",10.0,0.004812319538017324,"('ive', 'never')",2.0,0.0009629272989889263,"('wont', 'review', 'ended')",1,0.0004816955684007707
14,"('ive',)",9.0,0.004331087584215592,"('either', 'way')",2.0,0.0009629272989889263,"('review', 'ended', 'walking')",1,0.0004816955684007707
15,"('dont',)",9.0,0.004331087584215592,"('asparagus', 'roll')",2.0,0.0009629272989889263,"('ended', 'walking', 'without')",1,0.0004816955684007707
16,"('night',)",9.0,0.004331087584215592,"('restaurant', 'years')",2.0,0.0009629272989889263,"('walking', 'without', 'eating')",1,0.0004816955684007707
17,"('think',)",9.0,0.004331087584215592,"('know', 'possible')",2.0,0.0009629272989889263,"('said', 'drink', 'sorry')",1,0.0004816955684007707
18,"('go',)",9.0,0.004331087584215592,"('staff', 'member')",2.0,0.0009629272989889263,"('guess', 'boss', 'lady')",1,0.0004816955684007707
19,"('hostess',)",9.0,0.004331087584215592,"('ever', 'go')",2.0,0.0009629272989889263,"('boss', 'lady', 'said')",1,0.0004816955684007707
20,"('told',)",9.0,0.004331087584215592,"('believe', 'paid')",2.0,0.0009629272989889263,"('eating', 'thing', 'still')",1,0.0004816955684007707
21,"('got',)",8.0,0.0038498556304138597,"('brown', 'rice')",2.0,0.0009629272989889263,"('wont', 'guess', 'boss')",1,0.0004816955684007707
