,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",40.0,0.019166267369429803,"('happy', 'hour')",23.0,0.01102588686481304,"('reverse', 'happy', 'hour')",7,0.003357314148681055
1,"('good',)",36.0,0.017249640632486823,"('reverse', 'happy')",7.0,0.003355704697986577,"('happy', 'hour', 'menu')",4,0.0019184652278177458
2,"('roll',)",32.0,0.015333013895543843,"('hour', 'menu')",4.0,0.0019175455417066154,"('want', 'come', 'back')",2,0.0009592326139088729
3,"('happy',)",27.0,0.012937230474365118,"('downtown', 'tucson')",4.0,0.0019175455417066154,"('best', 'time', 'come')",2,0.0009592326139088729
4,"('hour',)",24.0,0.011499760421657882,"('come', 'back')",3.0,0.0014381591562799617,"('great', 'great', 'service')",2,0.0009592326139088729
5,"('like',)",20.0,0.009583133684714902,"('places', 'town')",3.0,0.0014381591562799617,"('grilled', 'teriyaki', 'salmon')",2,0.0009592326139088729
6,"('tucson',)",19.0,0.009103977000479156,"('favorite', 'tucson')",3.0,0.0014381591562799617,"('happy', 'hour', 'starting')",2,0.0009592326139088729
7,"('service',)",19.0,0.009103977000479156,"('chimichanga', 'roll')",3.0,0.0014381591562799617,"('best', 'places', 'tucson')",2,0.0009592326139088729
8,"('downtown',)",17.0,0.008145663632007666,"('great', 'service')",3.0,0.0014381591562799617,"('sure', 'came', 'going')",1,0.00047961630695443646
9,"('best',)",16.0,0.007666506947771922,"('can', 'get')",3.0,0.0014381591562799617,"('made', 'sure', 'came')",1,0.00047961630695443646
10,"('get',)",16.0,0.007666506947771922,"('rainbow', 'roll')",3.0,0.0014381591562799617,"('hostess', 'made', 'sure')",1,0.00047961630695443646
11,"('come',)",15.0,0.007187350263536177,"('always', 'get')",3.0,0.0014381591562799617,"('drinks', 'hostess', 'made')",1,0.00047961630695443646
12,"('also',)",12.0,0.005749880210828941,"('friendly', 'staff')",3.0,0.0014381591562799617,"('drink', 'pedro', 'awesome')",1,0.00047961630695443646
13,"('atmosphere',)",12.0,0.005749880210828941,"('teriyaki', 'salmon')",3.0,0.0014381591562799617,"('came', 'going', 'spend')",1,0.00047961630695443646
14,"('places',)",11.0,0.005270723526593196,"('great', 'great')",3.0,0.0014381591562799617,"('atmosphere', 'drinks', 'hostess')",1,0.00047961630695443646
15,"('people',)",10.0,0.004791566842357451,"('still', 'good')",2.0,0.0009587727708533077,"('thrilled', 'atmosphere', 'drinks')",1,0.00047961630695443646
16,"('menu',)",10.0,0.004791566842357451,"('delicious', 'great')",2.0,0.0009587727708533077,"('everyone', 'thrilled', 'atmosphere')",1,0.00047961630695443646
17,"('bar',)",10.0,0.004791566842357451,"('feel', 'like')",2.0,0.0009587727708533077,"('going', 'spend', 'mexican')",1,0.00047961630695443646
18,"('always',)",10.0,0.004791566842357451,"('half', 'price')",2.0,0.0009587727708533077,"('chef', 'everyone', 'thrilled')",1,0.00047961630695443646
19,"('will',)",10.0,0.004791566842357451,"('get', 'spicy')",2.0,0.0009587727708533077,"('awesome', 'chef', 'everyone')",1,0.00047961630695443646
20,"('staff',)",10.0,0.004791566842357451,"('really', 'good')",2.0,0.0009587727708533077,"('pedro', 'awesome', 'chef')",1,0.00047961630695443646
21,"('really',)",10.0,0.004791566842357451,"('really', 'like')",2.0,0.0009587727708533077,"('spend', 'mexican', 'buffet')",1,0.00047961630695443646
22,"('go',)",9.0,0.004312410158121706,"('wonton', 'tacos')",2.0,0.0009587727708533077,"('quick', 'happy', 'hour')",1,0.00047961630695443646
23,"('can',)",9.0,0.004312410158121706,"('weekday', 'happy')",2.0,0.0009587727708533077,"('menu', 'signature', 'drink')",1,0.00047961630695443646
24,"('much',)",9.0,0.004312410158121706,"('citrus', 'yellowtail')",2.0,0.0009587727708533077,"('signature', 'drink', 'pedro')",1,0.00047961630695443646
25,"('tuna',)",9.0,0.004312410158121706,"('want', 'come')",2.0,0.0009587727708533077,"('buffet', 'much', 'interesting')",1,0.00047961630695443646
26,"('pretty',)",9.0,0.004312410158121706,"('service', 'excellent')",2.0,0.0009587727708533077,"('custom', 'menu', 'signature')",1,0.00047961630695443646
27,"('delicious',)",9.0,0.004312410158121706,"('staff', 'will')",2.0,0.0009587727708533077,"('saturday', 'custom', 'menu')",1,0.00047961630695443646
28,"('something',)",9.0,0.004312410158121706,"('roll', 'great')",2.0,0.0009587727708533077,"('second', 'saturday', 'custom')",1,0.00047961630695443646
29,"('fish',)",9.0,0.004312410158121706,"('downtown', 'good')",2.0,0.0009587727708533077,"('day', 'second', 'saturday')",1,0.00047961630695443646
30,"('awesome',)",8.0,0.003833253473885961,"('wait', 'times')",2.0,0.0009587727708533077,"('mothers', 'day', 'second')",1,0.00047961630695443646
31,"('dont',)",8.0,0.003833253473885961,"('time', 'come')",2.0,0.0009587727708533077,"('afternoon', 'mothers', 'day')",1,0.00047961630695443646
32,"('eat',)",8.0,0.003833253473885961,"('dont', 'go')",2.0,0.0009587727708533077,"('restaurant', 'afternoon', 'mothers')",1,0.00047961630695443646
33,"('got',)",8.0,0.003833253473885961,"('will', 'definitely')",2.0,0.0009587727708533077,"('close', 'restaurant', 'afternoon')",1,0.00047961630695443646
34,"('love',)",8.0,0.003833253473885961,"('best', 'time')",2.0,0.0009587727708533077,"('offered', 'close', 'restaurant')",1,0.00047961630695443646
35,"('time',)",8.0,0.003833253473885961,"('dont', 'like')",2.0,0.0009587727708533077,"('graduations', 'offered', 'close')",1,0.00047961630695443646
36,"('deal',)",8.0,0.003833253473885961,"('living', 'social')",2.0,0.0009587727708533077,"('college', 'graduations', 'offered')",1,0.00047961630695443646
37,"('ordered',)",8.0,0.003833253473885961,"('good', 'good')",2.0,0.0009587727708533077,"('mexican', 'buffet', 'much')",1,0.00047961630695443646
38,"('us',)",7.0,0.0033540967896502154,"('like', 'really')",2.0,0.0009587727708533077,"('different', 'usual', 'will')",1,0.00047961630695443646
39,"('prices',)",7.0,0.0033540967896502154,"('pretty', 'good')",2.0,0.0009587727708533077,"('much', 'interesting', 'different')",1,0.00047961630695443646
40,"('excellent',)",7.0,0.0033540967896502154,"('green', 'mussels')",2.0,0.0009587727708533077,"('interesting', 'different', 'usual')",1,0.00047961630695443646
41,"('town',)",7.0,0.0033540967896502154,"('also', 'love')",2.0,0.0009587727708533077,"('great', 'time', 'will')",1,0.00047961630695443646
42,"('definitely',)",7.0,0.0033540967896502154,"('service', 'great')",2.0,0.0009587727708533077,"('try', 'great', 'time')",1,0.00047961630695443646
43,"('try',)",7.0,0.0033540967896502154,"('hour', 'starting')",2.0,0.0009587727708533077,"('something', 'try', 'great')",1,0.00047961630695443646
44,"('restaurant',)",7.0,0.0033540967896502154,"('went', 'roll')",2.0,0.0009587727708533077,"('us', 'something', 'try')",1,0.00047961630695443646
45,"('restaurants',)",7.0,0.0033540967896502154,"('good', 'deal')",2.0,0.0009587727708533077,"('give', 'us', 'something')",1,0.00047961630695443646
46,"('reverse',)",7.0,0.0033540967896502154,"('spicy', 'tuna')",2.0,0.0009587727708533077,"('dish', 'give', 'us')",1,0.00047961630695443646
47,"('favorite',)",7.0,0.0033540967896502154,"('great', 'time')",2.0,0.0009587727708533077,"('extra', 'dish', 'give')",1,0.00047961630695443646
48,"('day',)",7.0,0.0033540967896502154,"('everything', 'delicious')",2.0,0.0009587727708533077,"('brought', 'extra', 'dish')",1,0.00047961630695443646
49,"('many',)",7.0,0.0033540967896502154,"('highly', 'recommend')",2.0,0.0009587727708533077,"('manager', 'brought', 'extra')",1,0.00047961630695443646
50,"('different',)",7.0,0.0033540967896502154,"('every', 'friday')",2.0,0.0009587727708533077,"('spot', 'manager', 'brought')",1,0.00047961630695443646
51,"('bit',)",7.0,0.0033540967896502154,"('grilled', 'teriyaki')",2.0,0.0009587727708533077,"('favorite', 'spot', 'manager')",1,0.00047961630695443646
52,"('nice',)",7.0,0.0033540967896502154,"('can', 'eat')",2.0,0.0009587727708533077,"('new', 'favorite', 'spot')",1,0.00047961630695443646
53,"('little',)",6.0,0.0028749401054144704,"('great', 'atmosphere')",2.0,0.0009587727708533077,"('great', 'new', 'favorite')",1,0.00047961630695443646
54,"('around',)",6.0,0.0028749401054144704,"('miso', 'soup')",2.0,0.0009587727708533077,"('work', 'great', 'new')",1,0.00047961630695443646
55,"('well',)",6.0,0.0028749401054144704,"('places', 'tucson')",2.0,0.0009587727708533077,"('watching', 'work', 'great')",1,0.00047961630695443646
56,"('price',)",6.0,0.0028749401054144704,"('sitting', 'bar')",2.0,0.0009587727708533077,"('bar', 'watching', 'work')",1,0.00047961630695443646
57,"('order',)",6.0,0.0028749401054144704,"('best', 'places')",2.0,0.0009587727708533077,"('sitting', 'bar', 'watching')",1,0.00047961630695443646
58,"('spicy',)",6.0,0.0028749401054144704,"('great', 'deal')",2.0,0.0009587727708533077,"('point', 'sitting', 'bar')",1,0.00047961630695443646
59,"('youre',)",6.0,0.0028749401054144704,"('eat', 'everyday')",2.0,0.0009587727708533077,"('service', 'point', 'sitting')",1,0.00047961630695443646
60,"('fresh',)",6.0,0.0028749401054144704,"('get', 'lot')",2.0,0.0009587727708533077,"('amazing', 'service', 'point')",1,0.00047961630695443646
61,"('worth',)",6.0,0.0028749401054144704,"('dont', 'get')",2.0,0.0009587727708533077,"('together', 'amazing', 'service')",1,0.00047961630695443646
62,"('recommend',)",6.0,0.0028749401054144704,"('white', 'tuna')",2.0,0.0009587727708533077,"('get', 'together', 'amazing')",1,0.00047961630695443646
63,"('though',)",6.0,0.0028749401054144704,"('won', 'ton')",2.0,0.0009587727708533077,"('next', 'get', 'together')",1,0.00047961630695443646
64,"('times',)",6.0,0.0028749401054144704,"('staff', 'great')",2.0,0.0009587727708533077,"('roll', 'next', 'get')",1,0.00047961630695443646
65,"('wait',)",5.0,0.0023957834211787254,"('hip', 'modern')",2.0,0.0009587727708533077,"('think', 'roll', 'next')",1,0.00047961630695443646
66,"('make',)",5.0,0.0023957834211787254,"('friend', 'went')",2.0,0.0009587727708533077,"('definitely', 'think', 'roll')",1,0.00047961630695443646
