,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",128.0,0.014921893215201678,"('happy', 'hour')",31.0,0.003614317360382418,"('tennessee', 'two', 'step')",22,0.0025652985074626866
1,"('roll',)",94.0,0.010958265329913734,"('two', 'step')",27.0,0.0031479538300104933,"('will', 'definitely', 'back')",10,0.0011660447761194029
2,"('best',)",84.0,0.0097924924224761,"('playboy', 'roll')",23.0,0.002681590299638568,"('best', 'ive', 'ever')",7,0.0008162313432835821
3,"('amazing',)",82.0,0.009559337840988575,"('tennessee', 'two')",22.0,0.002564999417045587,"('goat', 'cheese', 'mousse')",7,0.0008162313432835821
4,"('oku',)",75.0,0.008743296805782234,"('highly', 'recommend')",20.0,0.002331817651859625,"('squid', 'ink', 'rice')",7,0.0008162313432835821
5,"('good',)",73.0,0.008510142224294708,"('ive', 'ever')",18.0,0.002098635886673662,"('playboy', 'roll', 'wagyu')",6,0.0006996268656716418
6,"('nashville',)",65.0,0.007577523898344603,"('rock', 'shrimp')",17.0,0.001982045004080681,"('amazing', 'highly', 'recommend')",5,0.0005830223880597014
7,"('back',)",64.0,0.007460946607600839,"('goat', 'cheese')",16.0,0.0018654541214876996,"('beef', 'goat', 'cheese')",5,0.0005830223880597014
8,"('service',)",63.0,0.007344369316857076,"('will', 'definitely')",16.0,0.0018654541214876996,"('two', 'step', 'roll')",4,0.0004664179104477612
9,"('definitely',)",60.0,0.006994637444625787,"('definitely', 'back')",15.0,0.0017488632388947185,"('wagyu', 'beef', 'goat')",4,0.0004664179104477612
10,"('menu',)",55.0,0.006411750990906971,"('date', 'night')",14.0,0.0016322723563017372,"('made', 'us', 'feel')",4,0.0004664179104477612
11,"('experience',)",55.0,0.006411750990906971,"('black', 'magic')",13.0,0.0015156814737087559,"('two', 'step', 'playboy')",4,0.0004664179104477612
12,"('us',)",54.0,0.006295173700163208,"('best', 'nashville')",13.0,0.0015156814737087559,"('wait', 'go', 'back')",4,0.0004664179104477612
13,"('server',)",53.0,0.006178596409419445,"('will', 'back')",12.0,0.0013990905911157748,"('kung', 'pao', 'cauliflower')",4,0.0004664179104477612
14,"('ive',)",52.0,0.006062019118675682,"('come', 'back')",12.0,0.0013990905911157748,"('oku', 'rock', 'shrimp')",3,0.0003498134328358209
15,"('delicious',)",52.0,0.006062019118675682,"('great', 'service')",9.0,0.001049317943336831,"('roll', 'tennessee', 'two')",3,0.0003498134328358209
16,"('recommend',)",51.0,0.005945441827931918,"('best', 'ive')",9.0,0.001049317943336831,"('great', 'dining', 'experience')",3,0.0003498134328358209
17,"('also',)",51.0,0.005945441827931918,"('cant', 'wait')",9.0,0.001049317943336831,"('7', 'lucky', 'gods')",3,0.0003498134328358209
18,"('night',)",50.0,0.0058288645371881555,"('squid', 'ink')",9.0,0.001049317943336831,"('rock', 'shrimp', 'app')",3,0.0003498134328358209
19,"('playboy',)",47.0,0.005479132664956867,"('nashvegas', 'roll')",8.0,0.0009327270607438498,"('nashvegas', 'tennessee', 'two')",3,0.0003498134328358209
20,"('will',)",47.0,0.005479132664956867,"('looking', 'forward')",7.0,0.0008161361781508686,"('braised', 'short', 'rib')",3,0.0003498134328358209
21,"('restaurant',)",47.0,0.005479132664956867,"('sugar', 'spice')",7.0,0.0008161361781508686,"('ive', 'ever', 'tried')",3,0.0003498134328358209
22,"('everything',)",44.0,0.005129400792725577,"('coming', 'back')",7.0,0.0008161361781508686,"('mochi', 'ice', 'cream')",3,0.0003498134328358209
23,"('like',)",43.0,0.005012823501981814,"('gave', 'us')",7.0,0.0008161361781508686,"('miso', 'hamachi', 'tacos')",3,0.0003498134328358209
24,"('fresh',)",41.0,0.0047796689204942875,"('go', 'back')",7.0,0.0008161361781508686,"('green', 'goddess', 'roll')",3,0.0003498134328358209
25,"('ordered',)",41.0,0.0047796689204942875,"('cheese', 'mousse')",7.0,0.0008161361781508686,"('definitely', 'come', 'back')",3,0.0003498134328358209
26,"('ever',)",40.0,0.004663091629750525,"('street', 'parking')",7.0,0.0008161361781508686,"('black', 'lava', 'salt')",3,0.0003498134328358209
27,"('favorite',)",37.0,0.004313359757519235,"('wagyu', 'beef')",7.0,0.0008161361781508686,"('happy', 'hour', 'half')",3,0.0003498134328358209
28,"('two',)",37.0,0.004313359757519235,"('ink', 'rice')",7.0,0.0008161361781508686,"('roll', 'predator', 'roll')",3,0.0003498134328358209
29,"('staff',)",36.0,0.004196782466775472,"('roll', 'wagyu')",7.0,0.0008161361781508686,"('experience', 'will', 'back')",3,0.0003498134328358209
30,"('got',)",35.0,0.004080205176031709,"('spicy', 'tuna')",7.0,0.0008161361781508686,"('tn', 'two', 'step')",3,0.0003498134328358209
31,"('try',)",35.0,0.004080205176031709,"('miso', 'soup')",7.0,0.0008161361781508686,"('best', 'weve', 'ever')",3,0.0003498134328358209
32,"('happy',)",35.0,0.004080205176031709,"('really', 'good')",6.0,0.0006995452955578874,"('cant', 'wait', 'go')",3,0.0003498134328358209
33,"('time',)",34.0,0.003963627885287946,"('make', 'sure')",6.0,0.0006995452955578874,"('us', 'feel', 'like')",3,0.0003498134328358209
34,"('well',)",33.0,0.003847050594544183,"('shrimp', 'tempura')",6.0,0.0006995452955578874,"('im', 'looking', 'forward')",3,0.0003498134328358209
35,"('went',)",33.0,0.003847050594544183,"('sat', 'bar')",6.0,0.0006995452955578874,"('wait', 'come', 'back')",3,0.0003498134328358209
36,"('hour',)",33.0,0.003847050594544183,"('first', 'time')",6.0,0.0006995452955578874,"('well', 'definitely', 'back')",3,0.0003498134328358209
37,"('make',)",32.0,0.0037304733038004195,"('great', 'deal')",6.0,0.0006995452955578874,"('magic', 'squid', 'ink')",3,0.0003498134328358209
38,"('shrimp',)",32.0,0.0037304733038004195,"('went', 'beyond')",6.0,0.0006995452955578874,"('black', 'magic', 'squid')",3,0.0003498134328358209
39,"('incredible',)",32.0,0.0037304733038004195,"('experience', 'oku')",6.0,0.0006995452955578874,"('cant', 'wait', 'come')",3,0.0003498134328358209
40,"('really',)",31.0,0.0036138960130566566,"('amazing', 'highly')",6.0,0.0006995452955578874,"('gave', 'us', 'best')",3,0.0003498134328358209
41,"('made',)",29.0,0.0033807414315691303,"('dining', 'experience')",6.0,0.0006995452955578874,"('looking', 'forward', 'trying')",2,0.0002332089552238806
42,"('love',)",28.0,0.0032641641408253674,"('pao', 'cauliflower')",6.0,0.0006995452955578874,"('playboy', 'wagyu', 'beef')",2,0.0002332089552238806
43,"('step',)",28.0,0.0032641641408253674,"('best', 'weve')",5.0,0.0005829544129649062,"('great', 'drinks', 'great')",2,0.0002332089552238806
44,"('tennessee',)",28.0,0.0032641641408253674,"('beef', 'goat')",5.0,0.0005829544129649062,"('rice', 'fried', 'lobster')",2,0.0002332089552238806
45,"('get',)",27.0,0.003147586850081604,"('shogun', 'roll')",5.0,0.0005829544129649062,"('definitely', 'back', 'soon')",2,0.0002332089552238806
46,"('wagyu',)",27.0,0.003147586850081604,"('feel', 'like')",5.0,0.0005829544129649062,"('unlike', 'anything', 'ive')",2,0.0002332089552238806
47,"('go',)",27.0,0.003147586850081604,"('great', 'experience')",5.0,0.0005829544129649062,"('went', 'extra', 'mile')",2,0.0002332089552238806
48,"('highly',)",27.0,0.003147586850081604,"('paid', 'parking')",5.0,0.0005829544129649062,"('roll', 'melt', 'mouth')",2,0.0002332089552238806
49,"('perfect',)",26.0,0.003031009559337841,"('made', 'reservation')",5.0,0.0005829544129649062,"('ink', 'rice', 'fried')",2,0.0002332089552238806
50,"('came',)",26.0,0.003031009559337841,"('predator', 'roll')",5.0,0.0005829544129649062,"('great', 'super', 'helpful')",2,0.0002332089552238806
51,"('im',)",26.0,0.003031009559337841,"('truffle', 'oil')",5.0,0.0005829544129649062,"('new', 'favorite', 'restaurant')",2,0.0002332089552238806
52,"('reservation',)",26.0,0.003031009559337841,"('went', 'oku')",5.0,0.0005829544129649062,"('happy', 'hour', '57pm')",2,0.0002332089552238806
53,"('drinks',)",26.0,0.003031009559337841,"('new', 'favorite')",5.0,0.0005829544129649062,"('amazing', 'cant', 'wait')",2,0.0002332089552238806
54,"('tried',)",25.0,0.0029144322685940778,"('back', 'soon')",5.0,0.0005829544129649062,"('usuzukuri', 'rock', 'shrimp')",2,0.0002332089552238806
55,"('dinner',)",24.0,0.002797854977850315,"('hamachi', 'tacos')",5.0,0.0005829544129649062,"('favorite', 'restaurant', 'nashville')",2,0.0002332089552238806
56,"('nashvegas',)",24.0,0.002797854977850315,"('whole', 'experience')",5.0,0.0005829544129649062,"('eat', 'meat', 'fish')",2,0.0002332089552238806
57,"('even',)",23.0,0.0026812776871065515,"('walked', 'us')",5.0,0.0005829544129649062,"('hour', '57pm', 'half')",2,0.0002332089552238806
58,"('birthday',)",23.0,0.0026812776871065515,"('half', 'price')",5.0,0.0005829544129649062,"('like', 'goat', 'cheese')",2,0.0002332089552238806
59,"('attentive',)",22.0,0.0025647003963627886,"('us', 'feel')",5.0,0.0005829544129649062,"('roll', 'nashvegas', 'tennessee')",2,0.0002332089552238806
60,"('can',)",22.0,0.0025647003963627886,"('super', 'helpful')",5.0,0.0005829544129649062,"('rock', 'shrimp', 'will')",2,0.0002332089552238806
61,"('5',)",22.0,0.0025647003963627886,"('everything', 'tried')",5.0,0.0005829544129649062,"('impressed', 'first', 'waitress')",2,0.0002332089552238806
62,"('order',)",22.0,0.0025647003963627886,"('make', 'reservation')",5.0,0.0005829544129649062,"('recommend', 'date', 'night')",2,0.0002332089552238806
63,"('much',)",22.0,0.0025647003963627886,"('best', 'ever')",5.0,0.0005829544129649062,"('spot', 'date', 'night')",2,0.0002332089552238806
