,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",204.0,0.020112392783200237,"('lunch', 'special')",37.0,0.0036481956221652533,"('sweet', 'potato', 'roll')",10,0.0009860960457548566
1,"('good',)",169.0,0.01666173715863157,"('miso', 'soup')",29.0,0.0028593965687241174,"('spicy', 'tuna', 'roll')",8,0.0007888768366038852
2,"('great',)",147.0,0.014492753623188406,"('spicy', 'tuna')",24.0,0.0023663971603234074,"('miso', 'soup', 'salad')",6,0.0005916576274529139
3,"('lunch',)",116.0,0.011436458641427585,"('pretty', 'good')",19.0,0.0018733977519226977,"('pink', 'lady', 'roll')",6,0.0005916576274529139
4,"('fresh',)",111.0,0.010943507837917775,"('bento', 'box')",19.0,0.0018733977519226977,"('lunch', 'special', '3')",6,0.0005916576274529139
5,"('service',)",99.0,0.009760425909494233,"('bubble', 'tea')",17.0,0.0016761979885624137,"('shrimp', 'tempura', 'roll')",5,0.0004930480228774283
6,"('ordered',)",75.0,0.007394262052647146,"('convention', 'center')",17.0,0.0016761979885624137,"('definitely', 'come', 'back')",5,0.0004930480228774283
7,"('delivery',)",71.0,0.006999901409839298,"('shrimp', 'tempura')",16.0,0.0015775981068822718,"('new', 'york', 'roll')",4,0.0003944384183019426
8,"('order',)",70.0,0.006901311249137336,"('come', 'back')",16.0,0.0015775981068822718,"('great', 'service', 'great')",4,0.0003944384183019426
9,"('delicious',)",70.0,0.006901311249137336,"('sweet', 'potato')",16.0,0.0015775981068822718,"('great', 'lunch', 'specials')",4,0.0003944384183019426
10,"('back',)",65.0,0.006408360445627526,"('avocado', 'roll')",14.0,0.0013803983435219877,"('great', 'lunch', 'special')",4,0.0003944384183019426
11,"('go',)",62.0,0.006112589963521641,"('center', 'city')",14.0,0.0013803983435219877,"('roll', 'lunch', 'special')",4,0.0003944384183019426
12,"('really',)",61.0,0.006013999802819679,"('service', 'great')",13.0,0.0012817984618418458,"('lunch', 'roll', 'special')",4,0.0003944384183019426
13,"('nice',)",60.0,0.005915409642117717,"('tuna', 'roll')",13.0,0.0012817984618418458,"('will', 'definitely', 'back')",4,0.0003944384183019426
14,"('tuna',)",59.0,0.0058168194814157545,"('will', 'definitely')",13.0,0.0012817984618418458,"('salmon', 'avocado', 'roll')",4,0.0003944384183019426
15,"('definitely',)",59.0,0.0058168194814157545,"('soup', 'salad')",13.0,0.0012817984618418458,"('fried', 'ice', 'cream')",4,0.0003944384183019426
16,"('time',)",57.0,0.005619639160011831,"('go', 'back')",13.0,0.0012817984618418458,"('chicken', 'teriyaki', 'bento')",3,0.00029582881372645697
17,"('salmon',)",57.0,0.005619639160011831,"('highly', 'recommend')",13.0,0.0012817984618418458,"('near', 'convention', 'center')",3,0.00029582881372645697
18,"('special',)",55.0,0.005422458838607907,"('marriott', 'roll')",12.0,0.0011831985801617037,"('mango', 'dragon', 'roll')",3,0.00029582881372645697
19,"('also',)",54.0,0.005323868677905945,"('fresh', 'delicious')",11.0,0.0010845986984815619,"('ordered', 'spicy', 'tuna')",3,0.00029582881372645697
20,"('get',)",53.0,0.005225278517203983,"('great', 'service')",11.0,0.0010845986984815619,"('eel', 'avocado', 'roll')",3,0.00029582881372645697
21,"('salad',)",53.0,0.005225278517203983,"('seaweed', 'salad')",11.0,0.0010845986984815619,"('avocado', 'shrimp', 'tempura')",3,0.00029582881372645697
22,"('well',)",52.0,0.005126688356502021,"('potato', 'roll')",11.0,0.0010845986984815619,"('roll', 'shrimp', 'tempura')",3,0.00029582881372645697
