,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('service',)",6.0,0.012219959266802444,"('fried', 'rice')",4.0,0.00816326530612245,"('chicken', 'fried', 'rice')",2,0.00408997955010225
1,"('never',)",6.0,0.012219959266802444,"('miso', 'soup')",3.0,0.006122448979591836,"('bought', 'salmon', 'teriyaki')",1,0.002044989775051125
2,"('ramen',)",6.0,0.012219959266802444,"('made', 'fresh')",2.0,0.004081632653061225,"('dipping', 'sauce', 'egg')",1,0.002044989775051125
3,"('definitely',)",5.0,0.010183299389002037,"('get', 'cup')",2.0,0.004081632653061225,"('can', '16', 'seemed')",1,0.002044989775051125
4,"('noodles',)",5.0,0.010183299389002037,"('chicken', 'fried')",2.0,0.004081632653061225,"('came', 'can', '16')",1,0.002044989775051125
5,"('fried',)",5.0,0.010183299389002037,"('terrible', 'worth')",2.0,0.004081632653061225,"('top', 'came', 'can')",1,0.002044989775051125
6,"('like',)",5.0,0.010183299389002037,"('can', 'buy')",2.0,0.004081632653061225,"('onions', 'top', 'came')",1,0.002044989775051125
7,"('better',)",5.0,0.010183299389002037,"('come', 'back')",2.0,0.004081632653061225,"('fried', 'onions', 'top')",1,0.002044989775051125
8,"('need',)",5.0,0.010183299389002037,"('tasted', 'like')",2.0,0.004081632653061225,"('surprised', 'fried', 'onions')",1,0.002044989775051125
9,"('can',)",5.0,0.010183299389002037,"('will', 'never')",2.0,0.004081632653061225,"('wouldnt', 'surprised', 'fried')",1,0.002044989775051125
10,"('rice',)",5.0,0.010183299389002037,"('plastic', 'container')",2.0,0.004081632653061225,"('bottle', 'wouldnt', 'surprised')",1,0.002044989775051125
11,"('even',)",5.0,0.010183299389002037,"('wouldnt', 'surprised')",1.0,0.0020408163265306124,"('buy', 'bottle', 'wouldnt')",1,0.002044989775051125
12,"('sauce',)",4.0,0.008146639511201629,"('buy', 'bottle')",1.0,0.0020408163265306124,"('can', 'buy', 'bottle')",1,0.002044989775051125
13,"('good',)",4.0,0.008146639511201629,"('bottle', 'wouldnt')",1.0,0.0020408163265306124,"('egg', 'can', 'buy')",1,0.002044989775051125
14,"('taste',)",4.0,0.008146639511201629,"('onions', 'top')",1.0,0.0020408163265306124,"('sauce', 'egg', 'can')",1,0.002044989775051125
15,"('tasted',)",4.0,0.008146639511201629,"('surprised', 'fried')",1.0,0.0020408163265306124,"('cham', 'dipping', 'sauce')",1,0.002044989775051125
16,"('back',)",4.0,0.008146639511201629,"('fried', 'onions')",1.0,0.0020408163265306124,"('seemed', 'overpriced', 'said')",1,0.002044989775051125
17,"('terrible',)",4.0,0.008146639511201629,"('top', 'came')",1.0,0.0020408163265306124,"('nuoc', 'cham', 'dipping')",1,0.002044989775051125
18,"('will',)",4.0,0.008146639511201629,"('came', 'can')",1.0,0.0020408163265306124,"('appeared', 'nuoc', 'cham')",1,0.002044989775051125
19,"('salmon',)",3.0,0.006109979633401222,"('egg', 'can')",1.0,0.0020408163265306124,"('sauce', 'appeared', 'nuoc')",1,0.002044989775051125
20,"('eat',)",3.0,0.006109979633401222,"('bought', 'salmon')",1.0,0.0020408163265306124,"('hot', 'sauce', 'appeared')",1,0.002044989775051125
21,"('away',)",3.0,0.006109979633401222,"('sauce', 'egg')",1.0,0.0020408163265306124,"('special', 'hot', 'sauce')",1,0.002044989775051125
22,"('yakisoba',)",3.0,0.006109979633401222,"('dipping', 'sauce')",1.0,0.0020408163265306124,"('house', 'special', 'hot')",1,0.002044989775051125
23,"('ok',)",3.0,0.006109979633401222,"('cham', 'dipping')",1.0,0.0020408163265306124,"('definitely', 'house', 'special')",1,0.002044989775051125
24,"('fresh',)",3.0,0.006109979633401222,"('nuoc', 'cham')",1.0,0.0020408163265306124,"('case', 'definitely', 'house')",1,0.002044989775051125
25,"('dont',)",3.0,0.006109979633401222,"('appeared', 'nuoc')",1.0,0.0020408163265306124,"('sauce', 'case', 'definitely')",1,0.002044989775051125
26,"('wouldnt',)",3.0,0.006109979633401222,"('sauce', 'appeared')",1.0,0.0020408163265306124,"('soy', 'sauce', 'case')",1,0.002044989775051125
27,"('roll',)",3.0,0.006109979633401222,"('hot', 'sauce')",1.0,0.0020408163265306124,"('wasabi', 'soy', 'sauce')",1,0.002044989775051125
28,"('made',)",3.0,0.006109979633401222,"('special', 'hot')",1.0,0.0020408163265306124,"('need', 'wasabi', 'soy')",1,0.002044989775051125
29,"('top',)",3.0,0.006109979633401222,"('house', 'special')",1.0,0.0020408163265306124,"('16', 'seemed', 'overpriced')",1,0.002044989775051125
30,"('chicken',)",3.0,0.006109979633401222,"('definitely', 'house')",1.0,0.0020408163265306124,"('overpriced', 'said', 'will')",1,0.002044989775051125
31,"('said',)",3.0,0.006109979633401222,"('case', 'definitely')",1.0,0.0020408163265306124,"('everything', 'excuses', 'even')",1,0.002044989775051125
32,"('ordered',)",3.0,0.006109979633401222,"('sauce', 'case')",1.0,0.0020408163265306124,"('said', 'will', 'probably')",1,0.002044989775051125
33,"('price',)",3.0,0.006109979633401222,"('can', '16')",1.0,0.0020408163265306124,"('cup', 'water', 'everything')",1,0.002044989775051125
34,"('soup',)",3.0,0.006109979633401222,"('overpriced', 'said')",1.0,0.0020408163265306124,"('get', 'cup', 'water')",1,0.002044989775051125
35,"('miso',)",3.0,0.006109979633401222,"('16', 'seemed')",1.0,0.0020408163265306124,"('cant', 'get', 'cup')",1,0.002044989775051125
36,"('may',)",3.0,0.006109979633401222,"('never', 'tasted')",1.0,0.0020408163265306124,"('oil', 'cant', 'get')",1,0.002044989775051125
37,"('order',)",3.0,0.006109979633401222,"('cant', 'get')",1.0,0.0020408163265306124,"('hot', 'oil', 'cant')",1,0.002044989775051125
38,"('wasnt',)",3.0,0.006109979633401222,"('oil', 'cant')",1.0,0.0020408163265306124,"('used', 'hot', 'oil')",1,0.002044989775051125
39,"('microwave',)",3.0,0.006109979633401222,"('hot', 'oil')",1.0,0.0020408163265306124,"('oil', 'used', 'hot')",1,0.002044989775051125
40,"('get',)",3.0,0.006109979633401222,"('used', 'hot')",1.0,0.0020408163265306124,"('taste', 'oil', 'used')",1,0.002044989775051125
41,"('messed',)",2.0,0.004073319755600814,"('oil', 'used')",1.0,0.0020408163265306124,"('mention', 'taste', 'oil')",1,0.002044989775051125
42,"('2',)",2.0,0.004073319755600814,"('taste', 'oil')",1.0,0.0020408163265306124,"('yakisoba', 'mention', 'taste')",1,0.002044989775051125
43,"('take',)",2.0,0.004073319755600814,"('mention', 'taste')",1.0,0.0020408163265306124,"('meal', 'yakisoba', 'mention')",1,0.002044989775051125
44,"('oil',)",2.0,0.004073319755600814,"('yakisoba', 'mention')",1.0,0.0020408163265306124,"('sodium', 'meal', 'yakisoba')",1,0.002044989775051125
45,"('water',)",2.0,0.004073319755600814,"('meal', 'yakisoba')",1.0,0.0020408163265306124,"('much', 'sodium', 'meal')",1,0.002044989775051125
46,"('got',)",2.0,0.004073319755600814,"('sodium', 'meal')",1.0,0.0020408163265306124,"('tasted', 'much', 'sodium')",1,0.002044989775051125
47,"('now',)",2.0,0.004073319755600814,"('much', 'sodium')",1.0,0.0020408163265306124,"('never', 'tasted', 'much')",1,0.002044989775051125
48,"('cup',)",2.0,0.004073319755600814,"('tasted', 'much')",1.0,0.0020408163265306124,"('mistake', 'never', 'tasted')",1,0.002044989775051125
49,"('twice',)",2.0,0.004073319755600814,"('mistake', 'never')",1.0,0.0020408163265306124,"('flight', 'mistake', 'never')",1,0.002044989775051125
50,"('great',)",2.0,0.004073319755600814,"('seemed', 'overpriced')",1.0,0.0020408163265306124,"('lunch', 'flight', 'mistake')",1,0.002044989775051125
51,"('hot',)",2.0,0.004073319755600814,"('flight', 'mistake')",1.0,0.0020408163265306124,"('stopped', 'lunch', 'flight')",1,0.002044989775051125
52,"('much',)",2.0,0.004073319755600814,"('lunch', 'flight')",1.0,0.0020408163265306124,"('option', 'stopped', 'lunch')",1,0.002044989775051125
53,"('came',)",2.0,0.004073319755600814,"('stopped', 'lunch')",1.0,0.0020408163265306124,"('better', 'option', 'stopped')",1,0.002044989775051125
54,"('option',)",2.0,0.004073319755600814,"('option', 'stopped')",1.0,0.0020408163265306124,"('find', 'better', 'option')",1,0.002044989775051125
