,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('service',)",21.0,0.022105263157894735,"('asked', 'wanted')",3.0,0.003161222339304531,"('never', 'asked', 'wanted')",3,0.0031645569620253164
1,"('good',)",15.0,0.015789473684210527,"('never', 'asked')",3.0,0.003161222339304531,"('take', 'drink', 'order')",2,0.002109704641350211
2,"('order',)",13.0,0.01368421052631579,"('customer', 'service')",3.0,0.003161222339304531,"('credit', 'card', 'policies')",2,0.002109704641350211
3,"('like',)",10.0,0.010526315789473684,"('come', 'back')",2.0,0.002107481559536354,"('willow', 'creek', 'grill')",2,0.002109704641350211
4,"('never',)",9.0,0.009473684210526316,"('credit', 'card')",2.0,0.002107481559536354,"('always', 'great', 'lot')",1,0.0010548523206751054
5,"('didnt',)",8.0,0.008421052631578947,"('wont', 'back')",2.0,0.002107481559536354,"('veggie', 'patties', 'didnt')",1,0.0010548523206751054
6,"('us',)",8.0,0.008421052631578947,"('spent', 'much')",2.0,0.002107481559536354,"('cold', 'hit', 'restroom')",1,0.0010548523206751054
7,"('restaurant',)",7.0,0.007368421052631579,"('willow', 'creek')",2.0,0.002107481559536354,"('hit', 'restroom', 'within')",1,0.0010548523206751054
8,"('back',)",7.0,0.007368421052631579,"('really', 'good')",2.0,0.002107481559536354,"('restroom', 'within', 'hour')",1,0.0010548523206751054
9,"('dont',)",6.0,0.00631578947368421,"('veggie', 'patties')",2.0,0.002107481559536354,"('within', 'hour', 'lunch')",1,0.0010548523206751054
10,"('brought',)",6.0,0.00631578947368421,"('creek', 'grill')",2.0,0.002107481559536354,"('hour', 'lunch', 'good')",1,0.0010548523206751054
11,"('even',)",6.0,0.00631578947368421,"('brought', 'us')",2.0,0.002107481559536354,"('lunch', 'good', 'called')",1,0.0010548523206751054
12,"('come',)",5.0,0.005263157894736842,"('minutes', 'waiting')",2.0,0.002107481559536354,"('good', 'called', 'mgr')",1,0.0010548523206751054
13,"('get',)",5.0,0.005263157894736842,"('15', 'minutes')",2.0,0.002107481559536354,"('called', 'mgr', 'ask')",1,0.0010548523206751054
14,"('minutes',)",5.0,0.005263157894736842,"('card', 'policies')",2.0,0.002107481559536354,"('mgr', 'ask', 'veggie')",1,0.0010548523206751054
15,"('salad',)",5.0,0.005263157894736842,"('service', 'good')",2.0,0.002107481559536354,"('ask', 'veggie', 'patties')",1,0.0010548523206751054
16,"('really',)",5.0,0.005263157894736842,"('wasnt', 'bad')",2.0,0.002107481559536354,"('didnt', 'know', 'said')",1,0.0010548523206751054
17,"('menu',)",5.0,0.005263157894736842,"('take', 'drink')",2.0,0.002107481559536354,"('patties', 'didnt', 'know')",1,0.0010548523206751054
18,"('took',)",5.0,0.005263157894736842,"('menu', 'items')",2.0,0.002107481559536354,"('cooked', 'nearly', 'cold')",1,0.0010548523206751054
19,"('sure',)",5.0,0.005263157894736842,"('minutes', 'take')",2.0,0.002107481559536354,"('know', 'said', 'got')",1,0.0010548523206751054
20,"('wanted',)",5.0,0.005263157894736842,"('order', 'wrong')",2.0,0.002107481559536354,"('said', 'got', 'sick')",1,0.0010548523206751054
21,"('much',)",5.0,0.005263157894736842,"('last', 'visit')",2.0,0.002107481559536354,"('got', 'sick', 'likely')",1,0.0010548523206751054
22,"('way',)",5.0,0.005263157894736842,"('dont', 'get')",2.0,0.002107481559536354,"('sick', 'likely', 'breakfast')",1,0.0010548523206751054
23,"('go',)",5.0,0.005263157894736842,"('corkage', 'fee')",2.0,0.002107481559536354,"('likely', 'breakfast', 'ate')",1,0.0010548523206751054
24,"('time',)",5.0,0.005263157894736842,"('drink', 'order')",2.0,0.002107481559536354,"('breakfast', 'ate', 'lunch')",1,0.0010548523206751054
25,"('know',)",5.0,0.005263157894736842,"('lunch', 'good')",1.0,0.001053740779768177,"('ate', 'lunch', 'put')",1,0.0010548523206751054
26,"('take',)",4.0,0.004210526315789474,"('good', 'called')",1.0,0.001053740779768177,"('lunch', 'put', 'us')",1,0.0010548523206751054
27,"('looked',)",4.0,0.004210526315789474,"('called', 'mgr')",1.0,0.001053740779768177,"('put', 'us', 'toilet')",1,0.0010548523206751054
28,"('lot',)",4.0,0.004210526315789474,"('mgr', 'ask')",1.0,0.001053740779768177,"('us', 'toilet', 'two')",1,0.0010548523206751054
29,"('two',)",4.0,0.004210526315789474,"('ask', 'veggie')",1.0,0.001053740779768177,"('toilet', 'two', 'hours')",1,0.0010548523206751054
30,"('sat',)",4.0,0.004210526315789474,"('patties', 'didnt')",1.0,0.001053740779768177,"('nearly', 'cold', 'hit')",1,0.0010548523206751054
31,"('seated',)",4.0,0.004210526315789474,"('ate', 'lunch')",1.0,0.001053740779768177,"('well', 'cooked', 'nearly')",1,0.0010548523206751054
32,"('servers',)",4.0,0.004210526315789474,"('put', 'us')",1.0,0.001053740779768177,"('hours', 'afternoon', 'lol')",1,0.0010548523206751054
33,"('wasnt',)",4.0,0.004210526315789474,"('lunch', 'put')",1.0,0.001053740779768177,"('patties', 'well', 'cooked')",1,0.0010548523206751054
34,"('bad',)",4.0,0.004210526315789474,"('likely', 'breakfast')",1.0,0.001053740779768177,"('average', 'ive', 'tried')",1,0.0010548523206751054
35,"('server',)",4.0,0.004210526315789474,"('breakfast', 'ate')",1.0,0.001053740779768177,"('ive', 'tried', 'lot')",1,0.0010548523206751054
36,"('visit',)",4.0,0.004210526315789474,"('didnt', 'know')",1.0,0.001053740779768177,"('tried', 'lot', 'really')",1,0.0010548523206751054
37,"('lunch',)",4.0,0.004210526315789474,"('know', 'said')",1.0,0.001053740779768177,"('lot', 'really', 'like')",1,0.0010548523206751054
38,"('sadly',)",4.0,0.004210526315789474,"('hour', 'lunch')",1.0,0.001053740779768177,"('really', 'like', 'japanese')",1,0.0010548523206751054
39,"('always',)",4.0,0.004210526315789474,"('got', 'sick')",1.0,0.001053740779768177,"('like', 'japanese', 'burrito')",1,0.0010548523206751054
40,"('asked',)",4.0,0.004210526315789474,"('sick', 'likely')",1.0,0.001053740779768177,"('japanese', 'burrito', 'roll')",1,0.0010548523206751054
41,"('gave',)",4.0,0.004210526315789474,"('said', 'got')",1.0,0.001053740779768177,"('burrito', 'roll', 'next')",1,0.0010548523206751054
42,"('table',)",4.0,0.004210526315789474,"('always', 'great')",1.0,0.001053740779768177,"('roll', 'next', 'door')",1,0.0010548523206751054
43,"('restaurants',)",4.0,0.004210526315789474,"('within', 'hour')",1.0,0.001053740779768177,"('next', 'door', '14')",1,0.0010548523206751054
44,"('times',)",4.0,0.004210526315789474,"('restroom', 'within')",1.0,0.001053740779768177,"('door', '14', 'roll')",1,0.0010548523206751054
45,"('great',)",4.0,0.004210526315789474,"('roll', 'next')",1.0,0.001053740779768177,"('14', 'roll', 'well')",1,0.0010548523206751054
46,"('better',)",3.0,0.003157894736842105,"('next', 'door')",1.0,0.001053740779768177,"('roll', 'well', 'pass')",1,0.0010548523206751054
47,"('town',)",3.0,0.003157894736842105,"('door', '14')",1.0,0.001053740779768177,"('well', 'pass', 'today')",1,0.0010548523206751054
48,"('second',)",3.0,0.003157894736842105,"('14', 'roll')",1.0,0.001053740779768177,"('pass', 'today', 'opted')",1,0.0010548523206751054
49,"('put',)",3.0,0.003157894736842105,"('roll', 'well')",1.0,0.001053740779768177,"('today', 'opted', 'vegetarian')",1,0.0010548523206751054
50,"('items',)",3.0,0.003157894736842105,"('well', 'pass')",1.0,0.001053740779768177,"('opted', 'vegetarian', 'burger')",1,0.0010548523206751054
51,"('drink',)",3.0,0.003157894736842105,"('pass', 'today')",1.0,0.001053740779768177,"('vegetarian', 'burger', 'instead')",1,0.0010548523206751054
52,"('many',)",3.0,0.003157894736842105,"('today', 'opted')",1.0,0.001053740779768177,"('burger', 'instead', 'regular')",1,0.0010548523206751054
53,"('customer',)",3.0,0.003157894736842105,"('opted', 'vegetarian')",1.0,0.001053740779768177,"('instead', 'regular', 'burger')",1,0.0010548523206751054
54,"('door',)",3.0,0.003157894736842105,"('vegetarian', 'burger')",1.0,0.001053740779768177,"('regular', 'burger', 'mistake')",1,0.0010548523206751054
55,"('work',)",3.0,0.003157894736842105,"('burger', 'instead')",1.0,0.001053740779768177,"('burger', 'mistake', 'unfortunately')",1,0.0010548523206751054
56,"('got',)",3.0,0.003157894736842105,"('instead', 'regular')",1.0,0.001053740779768177,"('mistake', 'unfortunately', 'veggie')",1,0.0010548523206751054
57,"('burger',)",3.0,0.003157894736842105,"('regular', 'burger')",1.0,0.001053740779768177,"('unfortunately', 'veggie', 'patties')",1,0.0010548523206751054
58,"('ive',)",3.0,0.003157894736842105,"('burger', 'mistake')",1.0,0.001053740779768177,"('veggie', 'patties', 'well')",1,0.0010548523206751054
59,"('night',)",3.0,0.003157894736842105,"('mistake', 'unfortunately')",1.0,0.001053740779768177,"('two', 'hours', 'afternoon')",1,0.0010548523206751054
60,"('need',)",3.0,0.003157894736842105,"('unfortunately', 'veggie')",1.0,0.001053740779768177,"('afternoon', 'lol', 'yup')",1,0.0010548523206751054
61,"('busy',)",3.0,0.003157894736842105,"('patties', 'well')",1.0,0.001053740779768177,"('menu', 'seem', 'average')",1,0.0010548523206751054
62,"('long',)",3.0,0.003157894736842105,"('well', 'cooked')",1.0,0.001053740779768177,"('times', 'friends', 'realize')",1,0.0010548523206751054
