,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('fish',)",15.0,0.014044943820224719,"('come', 'back')",4.0,0.0037488284910965324,"('wouldnt', 'go', 'back')",2,0.001876172607879925
1,"('like',)",14.0,0.013108614232209739,"('white', 'tuna')",3.0,0.0028116213683223993,"('wont', 'come', 'back')",2,0.001876172607879925
2,"('order',)",13.0,0.012172284644194757,"('go', 'back')",3.0,0.0028116213683223993,"('flavor', 'worst', 'part')",1,0.0009380863039399625
3,"('tuna',)",10.0,0.009363295880149813,"('shrimp', 'shumai')",2.0,0.0018744142455482662,"('worst', 'part', 'firecracker')",1,0.0009380863039399625
4,"('back',)",9.0,0.008426966292134831,"('good', 'reviews')",2.0,0.0018744142455482662,"('part', 'firecracker', 'yellowtail')",1,0.0009380863039399625
5,"('made',)",9.0,0.008426966292134831,"('really', 'good')",2.0,0.0018744142455482662,"('firecracker', 'yellowtail', 'fishy')",1,0.0009380863039399625
6,"('waitress',)",8.0,0.00749063670411985,"('lacked', 'flavor')",2.0,0.0018744142455482662,"('yellowtail', 'fishy', 'tasting')",1,0.0009380863039399625
7,"('didnt',)",8.0,0.00749063670411985,"('half', 'hour')",2.0,0.0018744142455482662,"('fishy', 'tasting', 'literally')",1,0.0009380863039399625
8,"('even',)",8.0,0.00749063670411985,"('wont', 'come')",2.0,0.0018744142455482662,"('90', 'tip', 'chef')",1,0.0009380863039399625
9,"('really',)",8.0,0.00749063670411985,"('rice', 'fish')",2.0,0.0018744142455482662,"('literally', 'throw', 'entire')",1,0.0009380863039399625
10,"('wasnt',)",8.0,0.00749063670411985,"('longer', 'can')",2.0,0.0018744142455482662,"('throw', 'entire', 'roll')",1,0.0009380863039399625
11,"('small',)",8.0,0.00749063670411985,"('cup', 'coffee')",2.0,0.0018744142455482662,"('entire', 'roll', 'garbage')",1,0.0009380863039399625
12,"('ordered',)",7.0,0.006554307116104869,"('wasabi', 'shumai')",2.0,0.0018744142455482662,"('roll', 'garbage', 'spent')",1,0.0009380863039399625
13,"('time',)",7.0,0.006554307116104869,"('time', 'two')",2.0,0.0018744142455482662,"('garbage', 'spent', 'close')",1,0.0009380863039399625
14,"('dont',)",7.0,0.006554307116104869,"('dont', 'know')",2.0,0.0018744142455482662,"('spent', 'close', '90')",1,0.0009380863039399625
