,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('thai',)",35.0,0.02327127659574468,"('pad', 'thai')",12.0,0.007984031936127744,"('nooddi', 'thai', 'chef')",3,0.0019973368841544607
1,"('ordered',)",20.0,0.013297872340425532,"('west', 'chester')",5.0,0.00332667997338656,"('chicken', 'basil', 'thai')",2,0.0013315579227696406
2,"('chicken',)",18.0,0.011968085106382979,"('fried', 'rice')",5.0,0.00332667997338656,"('thai', 'iced', 'tea')",2,0.0013315579227696406
3,"('us',)",16.0,0.010638297872340425,"('ordered', 'chicken')",4.0,0.0026613439787092482,"('replaced', 'japanesethai', 'fusion')",2,0.0013315579227696406
4,"('restaurant',)",15.0,0.00997340425531915,"('basil', 'thai')",3.0,0.001996007984031936,"('japanesethai', 'fusion', 'restaurant')",2,0.0013315579227696406
5,"('order',)",14.0,0.009308510638297872,"('miso', 'soup')",3.0,0.001996007984031936,"('thai', 'fried', 'rice')",2,0.0013315579227696406
6,"('time',)",13.0,0.008643617021276596,"('nooddi', 'thai')",3.0,0.001996007984031936,"('japanese', 'fried', 'rice')",2,0.0013315579227696406
7,"('took',)",12.0,0.007978723404255319,"('thai', 'chef')",3.0,0.001996007984031936,"('dinner', 'walked', 'busy')",1,0.0006657789613848203
8,"('pad',)",12.0,0.007978723404255319,"('took', '2')",3.0,0.001996007984031936,"('west', 'chester', 'sat')",1,0.0006657789613848203
9,"('good',)",11.0,0.007313829787234043,"('chicken', 'basil')",3.0,0.001996007984031936,"('night', 'west', 'chester')",1,0.0006657789613848203
10,"('like',)",10.0,0.006648936170212766,"('fusion', 'restaurant')",3.0,0.001996007984031936,"('friday', 'night', 'west')",1,0.0006657789613848203
11,"('asked',)",10.0,0.006648936170212766,"('tasted', 'like')",3.0,0.001996007984031936,"('typical', 'friday', 'night')",1,0.0006657789613848203
12,"('told',)",9.0,0.005984042553191489,"('new', 'management')",2.0,0.0013306719893546241,"('busy', 'typical', 'friday')",1,0.0006657789613848203
13,"('shrimp',)",9.0,0.005984042553191489,"('middle', 'aged')",2.0,0.0013306719893546241,"('walked', 'busy', 'typical')",1,0.0006657789613848203
14,"('2',)",9.0,0.005984042553191489,"('replaced', 'japanesethai')",2.0,0.0013306719893546241,"('ill', 'start', 'saying')",1,0.0006657789613848203
