,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('tuna',)",14.0,0.01859229747675963,"('armature', 'works')",7.0,0.009308510638297872,"('total', 'waste', 'money')",2,0.002663115845539281
1,"('bowl',)",13.0,0.017264276228419653,"('gift', 'card')",2.0,0.0026595744680851063,"('good', 'now', 'wont')",1,0.0013315579227696406
2,"('ordered',)",9.0,0.01195219123505976,"('poke', 'bowl')",2.0,0.0026595744680851063,"('will', 'visiting', 'im')",1,0.0013315579227696406
3,"('order',)",9.0,0.01195219123505976,"('nigiri', 'd')",2.0,0.0026595744680851063,"('husbands', 'burrito', 'tough')",1,0.0013315579227696406
4,"('works',)",8.0,0.010624169986719787,"('two', 'years')",2.0,0.0026595744680851063,"('burrito', 'tough', 'afraid')",1,0.0013315579227696406
5,"('armature',)",7.0,0.009296148738379814,"('im', 'sure')",2.0,0.0026595744680851063,"('tough', 'afraid', 'going')",1,0.0013315579227696406
6,"('roll',)",7.0,0.009296148738379814,"('tasted', 'fishy')",2.0,0.0026595744680851063,"('afraid', 'going', 'break')",1,0.0013315579227696406
7,"('ive',)",6.0,0.00796812749003984,"('husband', 'got')",2.0,0.0026595744680851063,"('going', 'break', 'toothdont')",1,0.0013315579227696406
8,"('rice',)",6.0,0.00796812749003984,"('tuna', 'fresh')",2.0,0.0026595744680851063,"('break', 'toothdont', 'think')",1,0.0013315579227696406
9,"('came',)",6.0,0.00796812749003984,"('visiting', 'im')",2.0,0.0026595744680851063,"('toothdont', 'think', 'will')",1,0.0013315579227696406
10,"('now',)",5.0,0.006640106241699867,"('roll', 'came')",2.0,0.0026595744680851063,"('think', 'will', 'will')",1,0.0013315579227696406
11,"('im',)",5.0,0.006640106241699867,"('waste', 'money')",2.0,0.0026595744680851063,"('will', 'will', 'visiting')",1,0.0013315579227696406
12,"('also',)",5.0,0.006640106241699867,"('cream', 'cheese')",2.0,0.0026595744680851063,"('visiting', 'im', 'giving')",1,0.0013315579227696406
13,"('zukku',)",5.0,0.006640106241699867,"('total', 'waste')",2.0,0.0026595744680851063,"('wrap', 'around', 'husbands')",1,0.0013315579227696406
14,"('bad',)",5.0,0.006640106241699867,"('ive', 'ever')",2.0,0.0026595744680851063,"('im', 'giving', 'star')",1,0.0013315579227696406
15,"('line',)",5.0,0.006640106241699867,"('spicy', 'tuna')",2.0,0.0026595744680851063,"('giving', 'star', 'used')",1,0.0013315579227696406
16,"('will',)",4.0,0.005312084993359893,"('enjoyed', 'zukku')",2.0,0.0026595744680851063,"('star', 'used', 'favorite')",1,0.0013315579227696406
17,"('tasted',)",4.0,0.005312084993359893,"('star', 'used')",1.0,0.0013297872340425532,"('used', 'favorite', 'bowl')",1,0.0013315579227696406
18,"('two',)",4.0,0.005312084993359893,"('toothdont', 'think')",1.0,0.0013297872340425532,"('favorite', 'bowl', 'past')",1,0.0013315579227696406
19,"('got',)",4.0,0.005312084993359893,"('going', 'break')",1.0,0.0013297872340425532,"('bowl', 'past', 'two')",1,0.0013315579227696406
20,"('even',)",4.0,0.005312084993359893,"('break', 'toothdont')",1.0,0.0013297872340425532,"('past', 'two', 'years')",1,0.0013315579227696406
21,"('actually',)",4.0,0.005312084993359893,"('bowl', 'past')",1.0,0.0013297872340425532,"('two', 'years', 'used')",1,0.0013315579227696406
22,"('worst',)",4.0,0.005312084993359893,"('favorite', 'bowl')",1.0,0.0013297872340425532,"('years', 'used', 'frequent')",1,0.0013315579227696406
23,"('worth',)",4.0,0.005312084993359893,"('think', 'will')",1.0,0.0013297872340425532,"('around', 'husbands', 'burrito')",1,0.0013315579227696406
24,"('fresh',)",4.0,0.005312084993359893,"('giving', 'star')",1.0,0.0013297872340425532,"('seaweed', 'wrap', 'around')",1,0.0013315579227696406
25,"('nigiri',)",3.0,0.00398406374501992,"('used', 'favorite')",1.0,0.0013297872340425532,"('frequent', 'business', 'monday')",1,0.0013315579227696406
26,"('never',)",3.0,0.00398406374501992,"('will', 'will')",1.0,0.0013297872340425532,"('salty', 'seaweed', 'wrap')",1,0.0013315579227696406
27,"('spicy',)",3.0,0.00398406374501992,"('will', 'visiting')",1.0,0.0013297872340425532,"('got', 'little', 'poke')",1,0.0013315579227696406
28,"('wasnt',)",3.0,0.00398406374501992,"('afraid', 'going')",1.0,0.0013297872340425532,"('little', 'poke', 'bowl')",1,0.0013315579227696406
29,"('little',)",3.0,0.00398406374501992,"('im', 'giving')",1.0,0.0013297872340425532,"('poke', 'bowl', 'base')",1,0.0013315579227696406
30,"('many',)",3.0,0.00398406374501992,"('good', 'now')",1.0,0.0013297872340425532,"('bowl', 'base', 'protein')",1,0.0013315579227696406
31,"('business',)",3.0,0.00398406374501992,"('wrap', 'around')",1.0,0.0013297872340425532,"('base', 'protein', 'sauce')",1,0.0013315579227696406
32,"('poke',)",3.0,0.00398406374501992,"('tough', 'afraid')",1.0,0.0013297872340425532,"('protein', 'sauce', 'two')",1,0.0013315579227696406
33,"('back',)",3.0,0.00398406374501992,"('burrito', 'tough')",1.0,0.0013297872340425532,"('sauce', 'two', 'toppings')",1,0.0013315579227696406
34,"('quality',)",3.0,0.00398406374501992,"('protein', 'sauce')",1.0,0.0013297872340425532,"('two', 'toppings', 'tablespoon')",1,0.0013315579227696406
35,"('didnt',)",3.0,0.00398406374501992,"('sauce', 'two')",1.0,0.0013297872340425532,"('toppings', 'tablespoon', 'amount')",1,0.0013315579227696406
36,"('doordash',)",3.0,0.00398406374501992,"('two', 'toppings')",1.0,0.0013297872340425532,"('tablespoon', 'amount', 'husband')",1,0.0013315579227696406
37,"('delivery',)",3.0,0.00398406374501992,"('toppings', 'tablespoon')",1.0,0.0013297872340425532,"('amount', 'husband', 'got')",1,0.0013315579227696406
38,"('restaurant',)",3.0,0.00398406374501992,"('tablespoon', 'amount')",1.0,0.0013297872340425532,"('husband', 'got', 'burrito')",1,0.0013315579227696406
39,"('get',)",3.0,0.00398406374501992,"('amount', 'husband')",1.0,0.0013297872340425532,"('got', 'burrito', 'came')",1,0.0013315579227696406
40,"('work',)",3.0,0.00398406374501992,"('got', 'burrito')",1.0,0.0013297872340425532,"('burrito', 'came', '30i')",1,0.0013315579227696406
41,"('people',)",3.0,0.00398406374501992,"('burrito', 'came')",1.0,0.0013297872340425532,"('came', '30i', 'found')",1,0.0013315579227696406
42,"('salmon',)",3.0,0.00398406374501992,"('came', '30i')",1.0,0.0013297872340425532,"('30i', 'found', 'bowl')",1,0.0013315579227696406
43,"('texture',)",3.0,0.00398406374501992,"('30i', 'found')",1.0,0.0013297872340425532,"('found', 'bowl', 'sauce')",1,0.0013315579227696406
44,"('last',)",3.0,0.00398406374501992,"('found', 'bowl')",1.0,0.0013297872340425532,"('bowl', 'sauce', 'salty')",1,0.0013315579227696406
45,"('feel',)",3.0,0.00398406374501992,"('bowl', 'sauce')",1.0,0.0013297872340425532,"('sauce', 'salty', 'seaweed')",1,0.0013315579227696406
46,"('ever',)",3.0,0.00398406374501992,"('sauce', 'salty')",1.0,0.0013297872340425532,"('used', 'frequent', 'business')",1,0.0013315579227696406
47,"('money',)",3.0,0.00398406374501992,"('salty', 'seaweed')",1.0,0.0013297872340425532,"('business', 'monday', 'friday')",1,0.0013315579227696406
48,"('minutes',)",2.0,0.0026560424966799467,"('seaweed', 'wrap')",1.0,0.0013297872340425532,"('amount', 'give', 'got')",1,0.0013315579227696406
49,"('bites',)",2.0,0.0026560424966799467,"('around', 'husbands')",1.0,0.0013297872340425532,"('two', 'years', 'top')",1,0.0013315579227696406
50,"('additional',)",2.0,0.0026560424966799467,"('husbands', 'burrito')",1.0,0.0013297872340425532,"('top', 'way', 'small')",1,0.0013315579227696406
51,"('called',)",2.0,0.0026560424966799467,"('past', 'two')",1.0,0.0013297872340425532,"('way', 'small', 'portions')",1,0.0013315579227696406
52,"('need',)",2.0,0.0026560424966799467,"('business', 'monday')",1.0,0.0013297872340425532,"('small', 'portions', 'now')",1,0.0013315579227696406
53,"('cream',)",2.0,0.0026560424966799467,"('years', 'used')",1.0,0.0013297872340425532,"('portions', 'now', 'worth')",1,0.0013315579227696406
54,"('cheese',)",2.0,0.0026560424966799467,"('used', 'frequent')",1.0,0.0013297872340425532,"('now', 'worth', 'stress')",1,0.0013315579227696406
55,"('fish',)",2.0,0.0026560424966799467,"('rewards', 'system')",1.0,0.0013297872340425532,"('worth', 'stress', 'anymore')",1,0.0013315579227696406
56,"('tough',)",2.0,0.0026560424966799467,"('system', 'two')",1.0,0.0013297872340425532,"('stress', 'anymore', 'last')",1,0.0013315579227696406
57,"('cause',)",2.0,0.0026560424966799467,"('years', 'top')",1.0,0.0013297872340425532,"('anymore', 'last', 'three')",1,0.0013315579227696406
58,"('greens',)",2.0,0.0026560424966799467,"('top', 'way')",1.0,0.0013297872340425532,"('last', 'three', 'times')",1,0.0013315579227696406
59,"('rewards',)",2.0,0.0026560424966799467,"('way', 'small')",1.0,0.0013297872340425532,"('three', 'times', 'ive')",1,0.0013315579227696406
60,"('hasnt',)",2.0,0.0026560424966799467,"('small', 'portions')",1.0,0.0013297872340425532,"('times', 'ive', 'left')",1,0.0013315579227696406
