,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",23.0,0.01581843191196699,"('great', 'service')",5.0,0.0034411562284927736,"('roll', 'spicy', 'tuna')",2,0.0013774104683195593
1,"('good',)",21.0,0.014442916093535076,"('spicy', 'tuna')",4.0,0.0027529249827942187,"('spicy', 'tuna', 'roll')",2,0.0013774104683195593
2,"('service',)",19.0,0.013067400275103164,"('bento', 'boxes')",3.0,0.0020646937370956643,"('saw', 'open', 'hadnt')",1,0.0006887052341597796
3,"('fresh',)",19.0,0.013067400275103164,"('highly', 'recommend')",3.0,0.0020646937370956643,"('spot', 'family', 'often')",1,0.0006887052341597796
4,"('roll',)",16.0,0.011004126547455296,"('friendly', 'attentive')",3.0,0.0020646937370956643,"('day', 'great', 'spot')",1,0.0006887052341597796
5,"('nice',)",13.0,0.008940852819807428,"('reasonably', 'priced')",3.0,0.0020646937370956643,"('experience', 'day', 'great')",1,0.0006887052341597796
6,"('delicious',)",13.0,0.008940852819807428,"('will', 'definitely')",3.0,0.0020646937370956643,"('back', 'experience', 'day')",1,0.0006887052341597796
7,"('back',)",13.0,0.008940852819807428,"('go', 'back')",3.0,0.0020646937370956643,"('hours', 'back', 'experience')",1,0.0006887052341597796
8,"('always',)",12.0,0.008253094910591471,"('hit', 'miss')",2.0,0.0013764624913971094,"('3', 'hours', 'back')",1,0.0006887052341597796
9,"('time',)",12.0,0.008253094910591471,"('order', 'take')",2.0,0.0013764624913971094,"('drive', '3', 'hours')",1,0.0006887052341597796
10,"('ordered',)",11.0,0.007565337001375516,"('service', 'great')",2.0,0.0013764624913971094,"('disappointed', 'drive', '3')",1,0.0006887052341597796
11,"('nami',)",11.0,0.007565337001375516,"('coming', 'back')",2.0,0.0013764624913971094,"('wont', 'disappointed', 'drive')",1,0.0006887052341597796
12,"('area',)",10.0,0.0068775790921595595,"('service', 'friendly')",2.0,0.0013764624913971094,"('avocado', 'wont', 'disappointed')",1,0.0006887052341597796
13,"('recommend',)",9.0,0.006189821182943604,"('youre', 'looking')",2.0,0.0013764624913971094,"('peanut', 'avocado', 'wont')",1,0.0006887052341597796
14,"('favorite',)",9.0,0.006189821182943604,"('area', 'friend')",2.0,0.0013764624913971094,"('tempura', 'peanut', 'avocado')",1,0.0006887052341597796
15,"('spot',)",9.0,0.006189821182943604,"('two', 'people')",2.0,0.0013764624913971094,"('potato', 'tempura', 'peanut')",1,0.0006887052341597796
16,"('tuna',)",9.0,0.006189821182943604,"('lunch', 'specials')",2.0,0.0013764624913971094,"('sweet', 'potato', 'tempura')",1,0.0006887052341597796
17,"('restaurant',)",9.0,0.006189821182943604,"('last', 'night')",2.0,0.0013764624913971094,"('asparagus', 'sweet', 'potato')",1,0.0006887052341597796
18,"('definitely',)",8.0,0.005502063273727648,"('nami', 'wayne')",2.0,0.0013764624913971094,"('try', 'asparagus', 'sweet')",1,0.0006887052341597796
19,"('avocado',)",8.0,0.005502063273727648,"('tuna', 'roll')",2.0,0.0013764624913971094,"('order', 'try', 'asparagus')",1,0.0006887052341597796
20,"('two',)",8.0,0.005502063273727648,"('seaweed', 'salad')",2.0,0.0013764624913971094,"('taking', 'order', 'try')",1,0.0006887052341597796
21,"('order',)",8.0,0.005502063273727648,"('fresh', 'yummy')",2.0,0.0013764624913971094,"('issue', 'taking', 'order')",1,0.0006887052341597796
22,"('well',)",7.0,0.004814305364511692,"('every', 'time')",2.0,0.0013764624913971094,"('closing', 'issue', 'taking')",1,0.0006887052341597796
23,"('try',)",7.0,0.004814305364511692,"('pink', 'lady')",2.0,0.0013764624913971094,"('great', 'spot', 'family')",1,0.0006887052341597796
24,"('wayne',)",7.0,0.004814305364511692,"('thank', 'much')",2.0,0.0013764624913971094,"('family', 'often', 'get')",1,0.0006887052341597796
25,"('friendly',)",7.0,0.004814305364511692,"('love', 'came')",2.0,0.0013764624913971094,"('20', 'minutes', 'closing')",1,0.0006887052341597796
26,"('love',)",7.0,0.004814305364511692,"('second', 'time')",2.0,0.0013764624913971094,"('sounded', 'tasty', 'oysters')",1,0.0006887052341597796
27,"('little',)",7.0,0.004814305364511692,"('wayne', 'area')",2.0,0.0013764624913971094,"('usual', 'expectations', 'sushisashimi')",1,0.0006887052341597796
28,"('will',)",7.0,0.004814305364511692,"('super', 'fresh')",2.0,0.0013764624913971094,"('little', 'usual', 'expectations')",1,0.0006887052341597796
29,"('us',)",7.0,0.004814305364511692,"('chirashi', 'yellowtail')",2.0,0.0013764624913971094,"('night', 'little', 'usual')",1,0.0006887052341597796
