,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('thai',)",10.0,0.02336448598130841,"('two', 'stars')",4.0,0.00936768149882904,"('ordered', 'takeout', '1st')",1,0.002347417840375587
1,"('good',)",7.0,0.016355140186915886,"('time', 'ordered')",2.0,0.00468384074941452,"('told', 'hostess', 'allergic')",1,0.002347417840375587
2,"('ordered',)",6.0,0.014018691588785047,"('papaya', 'salad')",2.0,0.00468384074941452,"('stars', 'friend', 'told')",1,0.002347417840375587
3,"('small',)",6.0,0.014018691588785047,"('thai', 'restaurants')",2.0,0.00468384074941452,"('two', 'stars', 'friend')",1,0.002347417840375587
4,"('didnt',)",6.0,0.014018691588785047,"('white', 'elephant')",2.0,0.00468384074941452,"('reason', 'two', 'stars')",1,0.002347417840375587
5,"('reviews',)",5.0,0.011682242990654205,"('red', 'curry')",2.0,0.00468384074941452,"('another', 'reason', 'two')",1,0.002347417840375587
6,"('two',)",5.0,0.011682242990654205,"('ordered', 'takeout')",1.0,0.00234192037470726,"('spice', 'another', 'reason')",1,0.002347417840375587
7,"('really',)",5.0,0.011682242990654205,"('heat', 'two')",1.0,0.00234192037470726,"('didnt', 'spice', 'another')",1,0.002347417840375587
8,"('dish',)",5.0,0.011682242990654205,"('told', 'hostess')",1.0,0.00234192037470726,"('stars', 'didnt', 'spice')",1,0.002347417840375587
9,"('like',)",5.0,0.011682242990654205,"('friend', 'told')",1.0,0.00234192037470726,"('two', 'stars', 'didnt')",1,0.002347417840375587
10,"('back',)",4.0,0.009345794392523364,"('stars', 'friend')",1.0,0.00234192037470726,"('heat', 'two', 'stars')",1,0.002347417840375587
11,"('stars',)",4.0,0.009345794392523364,"('reason', 'two')",1.0,0.00234192037470726,"('like', 'heat', 'two')",1,0.002347417840375587
12,"('got',)",4.0,0.009345794392523364,"('another', 'reason')",1.0,0.00234192037470726,"('spicy', 'like', 'heat')",1,0.002347417840375587
13,"('better',)",4.0,0.009345794392523364,"('spice', 'another')",1.0,0.00234192037470726,"('extra', 'spicy', 'like')",1,0.002347417840375587
14,"('way',)",4.0,0.009345794392523364,"('didnt', 'spice')",1.0,0.00234192037470726,"('ask', 'extra', 'spicy')",1,0.002347417840375587
