,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",70.0,0.026881720430107527,"('pad', 'thai')",13.0,0.004994237418363427,"('will', 'definitely', 'back')",5,0.001921598770176787
1,"('great',)",39.0,0.014976958525345621,"('will', 'definitely')",10.0,0.00384172109104879,"('walk', 'away', 'roll')",4,0.0015372790161414297
2,"('thai',)",38.0,0.014592933947772658,"('highly', 'recommend')",7.0,0.002689204763734153,"('crunchy', 'shrimp', 'roll')",3,0.0011529592621060721
3,"('good',)",36.0,0.013824884792626729,"('new', 'owners')",7.0,0.002689204763734153,"('triple', 'crown', 'roll')",3,0.0011529592621060721
4,"('service',)",36.0,0.013824884792626729,"('great', 'service')",7.0,0.002689204763734153,"('new', 'favorite', 'spot')",3,0.0011529592621060721
5,"('friendly',)",27.0,0.010368663594470046,"('hidden', 'gem')",6.0,0.002305032654629274,"('pho', 'really', 'good')",2,0.0007686395080707148
6,"('new',)",25.0,0.009600614439324117,"('triple', 'crown')",6.0,0.002305032654629274,"('cant', 'wait', 'go')",2,0.0007686395080707148
7,"('fresh',)",24.0,0.009216589861751152,"('new', 'yorker')",6.0,0.002305032654629274,"('job', 'well', 'done')",2,0.0007686395080707148
8,"('restaurant',)",23.0,0.008832565284178187,"('really', 'good')",6.0,0.002305032654629274,"('roll', 'crunchy', 'shrimp')",2,0.0007686395080707148
9,"('delicious',)",23.0,0.008832565284178187,"('fried', 'rice')",5.0,0.001920860545524395,"('best', 'pad', 'thai')",2,0.0007686395080707148
10,"('really',)",22.0,0.008448540706605223,"('definitely', 'back')",5.0,0.001920860545524395,"('hidden', 'gem', 'hermitage')",2,0.0007686395080707148
11,"('will',)",22.0,0.008448540706605223,"('walk', 'away')",5.0,0.001920860545524395,"('love', 'pad', 'thai')",2,0.0007686395080707148
12,"('nice',)",21.0,0.008064516129032258,"('miso', 'soup')",4.0,0.001536688436419516,"('new', 'yorker', 'roll')",2,0.0007686395080707148
13,"('favorite',)",21.0,0.008064516129032258,"('away', 'roll')",4.0,0.001536688436419516,"('cant', 'go', 'wrong')",2,0.0007686395080707148
14,"('definitely',)",20.0,0.007680491551459293,"('service', 'excellent')",4.0,0.001536688436419516,"('roll', 'veggie', 'roll')",2,0.0007686395080707148
