,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",20.0,0.01466275659824047,"('come', 'back')",5.0,0.003668378576669112,"('betting', 'hits', 'park')",2,0.0014684287812041115
1,"('roll',)",18.0,0.013196480938416423,"('highly', 'recommend')",4.0,0.00293470286133529,"('service', 'great', 'will')",2,0.0014684287812041115
2,"('delicious',)",16.0,0.011730205278592375,"('first', 'time')",4.0,0.00293470286133529,"('awesome', 'super', 'crazy')",2,0.0014684287812041115
3,"('good',)",16.0,0.011730205278592375,"('chicken', 'hibachi')",3.0,0.0022010271460014674,"('super', 'crazy', 'roll')",2,0.0014684287812041115
4,"('service',)",15.0,0.010997067448680353,"('shrimp', 'roll')",3.0,0.0022010271460014674,"('crazy', 'roll', 'peppered')",2,0.0014684287812041115
5,"('fresh',)",15.0,0.010997067448680353,"('tempura', 'shrimp')",3.0,0.0022010271460014674,"('roll', 'peppered', 'tuna')",2,0.0014684287812041115
6,"('ordered',)",15.0,0.010997067448680353,"('never', 'disappointed')",3.0,0.0022010271460014674,"('peppered', 'tuna', 'home')",2,0.0014684287812041115
7,"('back',)",14.0,0.010263929618768328,"('pink', 'lady')",3.0,0.0022010271460014674,"('tuna', 'home', 'run')",2,0.0014684287812041115
8,"('hibachi',)",14.0,0.010263929618768328,"('will', 'definitely')",3.0,0.0022010271460014674,"('home', 'run', 'terrific')",2,0.0014684287812041115
9,"('chicken',)",12.0,0.008797653958944282,"('fresh', 'delicious')",3.0,0.0022010271460014674,"('run', 'terrific', 'service')",2,0.0014684287812041115
10,"('amazing',)",11.0,0.008064516129032258,"('get', 'hibachi')",3.0,0.0022010271460014674,"('terrific', 'service', 'great')",2,0.0014684287812041115
11,"('best',)",10.0,0.007331378299120235,"('also', 'ordered')",3.0,0.0022010271460014674,"('great', 'will', 'come')",2,0.0014684287812041115
12,"('also',)",10.0,0.007331378299120235,"('spring', 'hill')",3.0,0.0022010271460014674,"('im', 'betting', 'hits')",2,0.0014684287812041115
13,"('try',)",10.0,0.007331378299120235,"('meal', 'tonight')",2.0,0.001467351430667645,"('will', 'come', 'back')",2,0.0014684287812041115
14,"('definitely',)",9.0,0.006598240469208211,"('will', 'come')",2.0,0.001467351430667645,"('come', 'back', 'soon')",2,0.0014684287812041115
15,"('shrimp',)",9.0,0.006598240469208211,"('back', 'soon')",2.0,0.001467351430667645,"('back', 'soon', 'see')",2,0.0014684287812041115
16,"('recommend',)",9.0,0.006598240469208211,"('soon', 'see')",2.0,0.001467351430667645,"('soon', 'see', 'consistent')",2,0.0014684287812041115
17,"('love',)",8.0,0.005865102639296188,"('see', 'consistent')",2.0,0.001467351430667645,"('see', 'consistent', 'based')",2,0.0014684287812041115
18,"('tuna',)",8.0,0.005865102639296188,"('consistent', 'based')",2.0,0.001467351430667645,"('consistent', 'based', 'meal')",2,0.0014684287812041115
19,"('get',)",8.0,0.005865102639296188,"('based', 'meal')",2.0,0.001467351430667645,"('based', 'meal', 'tonight')",2,0.0014684287812041115
20,"('special',)",8.0,0.005865102639296188,"('waiter', 'attentive')",2.0,0.001467351430667645,"('meal', 'tonight', 'im')",2,0.0014684287812041115
21,"('time',)",8.0,0.005865102639296188,"('great', 'will')",2.0,0.001467351430667645,"('hits', 'park', 'frequently')",2,0.0014684287812041115
22,"('friendly',)",8.0,0.005865102639296188,"('super', 'easy')",2.0,0.001467351430667645,"('salmon', 'yellowtail', 'tuna')",2,0.0014684287812041115
23,"('well',)",8.0,0.005865102639296188,"('best', 'around')",2.0,0.001467351430667645,"('tonight', 'im', 'betting')",2,0.0014684287812041115
24,"('will',)",8.0,0.005865102639296188,"('betting', 'hits')",2.0,0.001467351430667645,"('tempura', 'shrimp', 'roll')",2,0.0014684287812041115
25,"('first',)",8.0,0.005865102639296188,"('hits', 'park')",2.0,0.001467351430667645,"('buy', '3', 'get')",2,0.0014684287812041115
26,"('im',)",8.0,0.005865102639296188,"('park', 'frequently')",2.0,0.001467351430667645,"('lower', 'price', 'slightly')",1,0.0007342143906020558
27,"('super',)",8.0,0.005865102639296188,"('go', 'back')",2.0,0.001467351430667645,"('love', 'will', 'definitely')",1,0.0007342143906020558
28,"('atmosphere',)",7.0,0.005131964809384164,"('definitely', 'recommend')",2.0,0.001467351430667645,"('close', 'homeorder', 'regularly')",1,0.0007342143906020558
29,"('night',)",7.0,0.005131964809384164,"('tonight', 'im')",2.0,0.001467351430667645,"('super', 'close', 'homeorder')",1,0.0007342143906020558
30,"('come',)",7.0,0.005131964809384164,"('service', 'great')",2.0,0.001467351430667645,"('fromand', 'super', 'close')",1,0.0007342143906020558
31,"('go',)",7.0,0.005131964809384164,"('3', 'get')",2.0,0.001467351430667645,"('choose', 'fromand', 'super')",1,0.0007342143906020558
32,"('nice',)",7.0,0.005131964809384164,"('spicy', 'tuna')",2.0,0.001467351430667645,"('superfreshlots', 'choose', 'fromand')",1,0.0007342143906020558
33,"('staff',)",7.0,0.005131964809384164,"('shrimp', 'chicken')",2.0,0.001467351430667645,"('always', 'superfreshlots', 'choose')",1,0.0007342143906020558
34,"('meal',)",7.0,0.005131964809384164,"('awesome', 'super')",2.0,0.001467351430667645,"('amazing', 'always', 'superfreshlots')",1,0.0007342143906020558
35,"('can',)",7.0,0.005131964809384164,"('super', 'crazy')",2.0,0.001467351430667645,"('back', 'amazing', 'always')",1,0.0007342143906020558
36,"('eaten',)",6.0,0.004398826979472141,"('crazy', 'roll')",2.0,0.001467351430667645,"('definitely', 'back', 'amazing')",1,0.0007342143906020558
37,"('3',)",6.0,0.004398826979472141,"('roll', 'peppered')",2.0,0.001467351430667645,"('will', 'definitely', 'back')",1,0.0007342143906020558
38,"('came',)",6.0,0.004398826979472141,"('peppered', 'tuna')",2.0,0.001467351430667645,"('delicious', 'love', 'will')",1,0.0007342143906020558
39,"('spot',)",6.0,0.004398826979472141,"('buy', '3')",2.0,0.001467351430667645,"('much', 'lower', 'price')",1,0.0007342143906020558
40,"('haiku',)",6.0,0.004398826979472141,"('terrific', 'service')",2.0,0.001467351430667645,"('simply', 'delicious', 'love')",1,0.0007342143906020558
41,"('order',)",6.0,0.004398826979472141,"('tuna', 'home')",2.0,0.001467351430667645,"('prepared', 'simply', 'delicious')",1,0.0007342143906020558
42,"('excellent',)",5.0,0.0036656891495601175,"('home', 'run')",2.0,0.001467351430667645,"('well', 'prepared', 'simply')",1,0.0007342143906020558
43,"('salmon',)",5.0,0.0036656891495601175,"('definitely', 'back')",2.0,0.001467351430667645,"('everything', 'well', 'prepared')",1,0.0007342143906020558
44,"('restaurant',)",5.0,0.0036656891495601175,"('run', 'terrific')",2.0,0.001467351430667645,"('portion', 'everything', 'well')",1,0.0007342143906020558
45,"('options',)",5.0,0.0036656891495601175,"('yellowtail', 'tuna')",2.0,0.001467351430667645,"('smaller', 'portion', 'everything')",1,0.0007342143906020558
46,"('everything',)",5.0,0.0036656891495601175,"('salmon', 'yellowtail')",2.0,0.001467351430667645,"('slightly', 'smaller', 'portion')",1,0.0007342143906020558
47,"('awesome',)",5.0,0.0036656891495601175,"('pleasantly', 'surprised')",2.0,0.001467351430667645,"('exact', 'get', 'hibachi')",1,0.0007342143906020558
48,"('always',)",5.0,0.0036656891495601175,"('taste', 'great')",2.0,0.001467351430667645,"('get', 'hibachi', 'steakhouse')",1,0.0007342143906020558
49,"('waiter',)",5.0,0.0036656891495601175,"('im', 'betting')",2.0,0.001467351430667645,"('hibachi', 'steakhouse', 'much')",1,0.0007342143906020558
50,"('different',)",5.0,0.0036656891495601175,"('can', 'eat')",2.0,0.001467351430667645,"('price', 'slightly', 'smaller')",1,0.0007342143906020558
51,"('really',)",5.0,0.0036656891495601175,"('date', 'night')",2.0,0.001467351430667645,"('steakhouse', 'much', 'lower')",1,0.0007342143906020558
52,"('never',)",5.0,0.0036656891495601175,"('well', 'back')",2.0,0.001467351430667645,"('arrived', 'around', '200')",1,0.0007342143906020558
53,"('disappointed',)",4.0,0.002932551319648094,"('service', 'friendly')",2.0,0.001467351430667645,"('regularly', 'take', 'outthere')",1,0.0007342143906020558
54,"('every',)",4.0,0.002932551319648094,"('im', 'glad')",2.0,0.001467351430667645,"('clean', 'service', 'friendly')",1,0.0007342143906020558
55,"('eat',)",4.0,0.002932551319648094,"('bento', 'box')",2.0,0.001467351430667645,"('highway', '19', 'roll')",1,0.0007342143906020558
56,"('attentive',)",4.0,0.002932551319648094,"('next', 'publix')",2.0,0.001467351430667645,"('get', 'highway', '19')",1,0.0007342143906020558
57,"('prepared',)",4.0,0.002932551319648094,"('excellent', 'service')",2.0,0.001467351430667645,"('extensive', 'get', 'highway')",1,0.0007342143906020558
58,"('dinner',)",4.0,0.002932551319648094,"('also', 'great')",2.0,0.001467351430667645,"('menu', 'extensive', 'get')",1,0.0007342143906020558
59,"('right',)",4.0,0.002932551319648094,"('back', 'try')",2.0,0.001467351430667645,"('restaurantthe', 'menu', 'extensive')",1,0.0007342143906020558
60,"('lot',)",4.0,0.002932551319648094,"('well', 'prepared')",2.0,0.001467351430667645,"('run', 'restaurantthe', 'menu')",1,0.0007342143906020558
61,"('pink',)",4.0,0.002932551319648094,"('strip', 'mall')",2.0,0.001467351430667645,"('family', 'run', 'restaurantthe')",1,0.0007342143906020558
62,"('clean',)",4.0,0.002932551319648094,"('really', 'good')",2.0,0.001467351430667645,"('definitely', 'family', 'run')",1,0.0007342143906020558
