,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('bar',)",21.0,0.018056749785038694,"('beef', 'weck')",7.0,0.006024096385542169,"('dive', 'bar', 'vietnamese')",2,0.0017226528854435831
1,"('us',)",12.0,0.010318142734307825,"('30', 'minutes')",4.0,0.0034423407917383822,"('bar', 'vietnamese', 'restaurant')",2,0.0017226528854435831
2,"('beef',)",11.0,0.009458297506448839,"('cant', 'find')",3.0,0.0025817555938037868,"('tell', 'cant', 'find')",2,0.0017226528854435831
3,"('weck',)",10.0,0.008598452278589854,"('bar', 'vietnamese')",2.0,0.0017211703958691911,"('buffalo', 'new', 'york')",2,0.0017226528854435831
4,"('get',)",9.0,0.007738607050730868,"('years', 'ago')",2.0,0.0017211703958691911,"('cant', 'find', 'receipt')",2,0.0017226528854435831
5,"('restaurant',)",8.0,0.006878761822871883,"('old', 'school')",2.0,0.0017211703958691911,"('spicy', 'beef', 'soup')",2,0.0017226528854435831
6,"('people',)",8.0,0.006878761822871883,"('pool', 'tables')",2.0,0.0017211703958691911,"('imagine', 'friends', 'hung')",1,0.0008613264427217916
7,"('bartender',)",7.0,0.0060189165950128975,"('weck', 'kimmelweck')",2.0,0.0017211703958691911,"('whole', 'time', 'instead')",1,0.0008613264427217916
8,"('ordered',)",7.0,0.0060189165950128975,"('good', 'service')",2.0,0.0017211703958691911,"('talking', 'whole', 'time')",1,0.0008613264427217916
9,"('like',)",7.0,0.0060189165950128975,"('ten', 'minutes')",2.0,0.0017211703958691911,"('hung', 'talking', 'whole')",1,0.0008613264427217916
10,"('minutes',)",7.0,0.0060189165950128975,"('side', 'note')",2.0,0.0017211703958691911,"('friends', 'hung', 'talking')",1,0.0008613264427217916
11,"('find',)",7.0,0.0060189165950128975,"('find', 'receipt')",2.0,0.0017211703958691911,"('nice', 'select', 'imagine')",1,0.0008613264427217916
12,"('didnt',)",6.0,0.005159071367153913,"('tell', 'cant')",2.0,0.0017211703958691911,"('select', 'imagine', 'friends')",1,0.0008613264427217916
13,"('buffalo',)",6.0,0.005159071367153913,"('nickel', 'city')",2.0,0.0017211703958691911,"('instead', 'giving', 'good')",1,0.0008613264427217916
14,"('came',)",6.0,0.005159071367153913,"('spicy', 'beef')",2.0,0.0017211703958691911,"('people', 'nice', 'select')",1,0.0008613264427217916
15,"('new',)",6.0,0.005159071367153913,"('beef', 'soup')",2.0,0.0017211703958691911,"('serve', 'people', 'nice')",1,0.0008613264427217916
16,"('service',)",6.0,0.005159071367153913,"('dont', 'get')",2.0,0.0017211703958691911,"('always', 'serve', 'people')",1,0.0008613264427217916
17,"('got',)",6.0,0.005159071367153913,"('new', 'york')",2.0,0.0017211703958691911,"('miserable', 'always', 'serve')",1,0.0008613264427217916
18,"('dont',)",6.0,0.005159071367153913,"('credit', 'card')",2.0,0.0017211703958691911,"('inconvenience', 'miserable', 'always')",1,0.0008613264427217916
19,"('know',)",6.0,0.005159071367153913,"('christmas', 'day')",2.0,0.0017211703958691911,"('time', 'instead', 'giving')",1,0.0008613264427217916
20,"('never',)",5.0,0.004299226139294927,"('bite', 'squad')",2.0,0.0017211703958691911,"('giving', 'good', 'service')",1,0.0008613264427217916
21,"('cant',)",5.0,0.004299226139294927,"('bank', 'statements')",2.0,0.0017211703958691911,"('like', 'super', 'inconvenience')",1,0.0008613264427217916
22,"('menu',)",5.0,0.004299226139294927,"('order', 'server')",2.0,0.0017211703958691911,"('good', 'service', 'everyone')",1,0.0008613264427217916
23,"('went',)",5.0,0.004299226139294927,"('didnt', 'want')",2.0,0.0017211703958691911,"('tables', 'hate', 'leaving')",1,0.0008613264427217916
24,"('order',)",5.0,0.004299226139294927,"('sat', 'bar')",2.0,0.0017211703958691911,"('pool', 'tables', 'hate')",1,0.0008613264427217916
25,"('give',)",5.0,0.004299226139294927,"('7', 'people')",2.0,0.0017211703958691911,"('darts', 'pool', 'tables')",1,0.0008613264427217916
26,"('even',)",5.0,0.004299226139294927,"('go', 'omaddys')",2.0,0.0017211703958691911,"('otherwise', 'darts', 'pool')",1,0.0008613264427217916
27,"('tip',)",5.0,0.004299226139294927,"('drinks', 'nothing')",2.0,0.0017211703958691911,"('spot', 'otherwise', 'darts')",1,0.0008613264427217916
28,"('server',)",5.0,0.004299226139294927,"('us', 'never')",2.0,0.0017211703958691911,"('good', 'spot', 'otherwise')",1,0.0008613264427217916
29,"('30',)",5.0,0.004299226139294927,"('dive', 'bar')",2.0,0.0017211703958691911,"('back', 'good', 'spot')",1,0.0008613264427217916
30,"('im',)",5.0,0.004299226139294927,"('buffalo', 'new')",2.0,0.0017211703958691911,"('going', 'back', 'good')",1,0.0008613264427217916
31,"('owner',)",5.0,0.004299226139294927,"('soft', 'drinks')",2.0,0.0017211703958691911,"('wont', 'going', 'back')",1,0.0008613264427217916
32,"('nothing',)",5.0,0.004299226139294927,"('vietnamese', 'restaurant')",2.0,0.0017211703958691911,"('now', 'wont', 'going')",1,0.0008613264427217916
33,"('back',)",5.0,0.004299226139294927,"('everyone', 'tried')",1.0,0.0008605851979345956,"('times', 'now', 'wont')",1,0.0008613264427217916
34,"('want',)",5.0,0.004299226139294927,"('best', 'ditch')",1.0,0.0008605851979345956,"('3', 'times', 'now')",1,0.0008613264427217916
35,"('city',)",4.0,0.0034393809114359416,"('wont', 'going')",1.0,0.0008605851979345956,"('tried', '3', 'times')",1,0.0008613264427217916
36,"('took',)",4.0,0.0034393809114359416,"('now', 'wont')",1.0,0.0008605851979345956,"('everyone', 'tried', '3')",1,0.0008613264427217916
37,"('go',)",4.0,0.0034393809114359416,"('times', 'now')",1.0,0.0008605851979345956,"('service', 'everyone', 'tried')",1,0.0008613264427217916
38,"('first',)",4.0,0.0034393809114359416,"('3', 'times')",1.0,0.0008605851979345956,"('super', 'inconvenience', 'miserable')",1,0.0008613264427217916
39,"('serve',)",4.0,0.0034393809114359416,"('tried', '3')",1.0,0.0008605851979345956,"('r', 'acts', 'like')",1,0.0008613264427217916
40,"('amount',)",4.0,0.0034393809114359416,"('back', 'room')",1.0,0.0008605851979345956,"('acts', 'like', 'super')",1,0.0008613264427217916
41,"('tell',)",4.0,0.0034393809114359416,"('back', 'good')",1.0,0.0008605851979345956,"('know', 'buffalo', 'say')",1,0.0008613264427217916
42,"('many',)",4.0,0.0034393809114359416,"('service', 'everyone')",1.0,0.0008605851979345956,"('authentic', 'love', 'get')",1,0.0008613264427217916
43,"('receipt',)",4.0,0.0034393809114359416,"('giving', 'good')",1.0,0.0008605851979345956,"('arbys', 'authentic', 'love')",1,0.0008613264427217916
44,"('now',)",4.0,0.0034393809114359416,"('instead', 'giving')",1.0,0.0008605851979345956,"('weck', 'arbys', 'authentic')",1,0.0008613264427217916
45,"('good',)",4.0,0.0034393809114359416,"('time', 'instead')",1.0,0.0008605851979345956,"('beef', 'weck', 'arbys')",1,0.0008613264427217916
46,"('try',)",4.0,0.0034393809114359416,"('whole', 'time')",1.0,0.0008605851979345956,"('say', 'beef', 'weck')",1,0.0008613264427217916
