,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",74.0,0.021919431279620854,"('sake', 'don')",18.0,0.005333333333333333,"('will', 'definitely', 'back')",7,0.002074688796680498
1,"('great',)",47.0,0.013921800947867298,"('will', 'definitely')",16.0,0.004740740740740741,"('best', 'new', 'orleans')",3,0.0008891523414344991
2,"('good',)",41.0,0.012144549763033176,"('monster', 'roll')",11.0,0.003259259259259259,"('doesnt', 'look', 'like')",3,0.0008891523414344991
3,"('fresh',)",37.0,0.010959715639810427,"('new', 'orleans')",10.0,0.002962962962962963,"('gem', 'will', 'definitely')",3,0.0008891523414344991
4,"('best',)",36.0,0.01066350710900474,"('dont', 'let')",8.0,0.0023703703703703703,"('ordered', 'monster', 'roll')",3,0.0008891523414344991
5,"('service',)",30.0,0.008886255924170616,"('miso', 'soup')",8.0,0.0023703703703703703,"('best', 'ive', 'ever')",3,0.0008891523414344991
6,"('will',)",26.0,0.007701421800947867,"('crunchy', 'roll')",7.0,0.002074074074074074,"('roll', 'spicy', 'tuna')",3,0.0008891523414344991
7,"('sake',)",26.0,0.007701421800947867,"('definitely', 'back')",7.0,0.002074074074074074,"('rock', 'n', 'roll')",3,0.0008891523414344991
8,"('delicious',)",26.0,0.007701421800947867,"('hidden', 'gem')",6.0,0.0017777777777777779,"('new', 'orleans', 'area')",3,0.0008891523414344991
9,"('definitely',)",25.0,0.00740521327014218,"('rice', 'paper')",6.0,0.0017777777777777779,"('delicious', 'little', 'spicy')",2,0.0005927682276229994
10,"('like',)",24.0,0.0071090047393364926,"('always', 'fresh')",5.0,0.0014814814814814814,"('complimentary', 'miso', 'soup')",2,0.0005927682276229994
11,"('always',)",23.0,0.006812796208530806,"('every', 'time')",5.0,0.0014814814814814814,"('will', 'come', 'back')",2,0.0005927682276229994
12,"('friendly',)",21.0,0.006220379146919431,"('lunch', 'specials')",5.0,0.0014814814814814814,"('ice', 'cream', 'dessert')",2,0.0005927682276229994
13,"('back',)",20.0,0.005924170616113744,"('clear', 'soup')",5.0,0.0014814814814814814,"('rice', 'paper', 'ice')",2,0.0005927682276229994
14,"('try',)",20.0,0.005924170616113744,"('fresh', 'delicious')",5.0,0.0014814814814814814,"('paper', 'ice', 'cream')",2,0.0005927682276229994
15,"('don',)",20.0,0.005924170616113744,"('cajun', 'roll')",5.0,0.0014814814814814814,"('fresh', 'service', 'great')",2,0.0005927682276229994
16,"('little',)",20.0,0.005924170616113744,"('best', 'ive')",5.0,0.0014814814814814814,"('next', 'boost', 'mobile')",2,0.0005927682276229994
17,"('staff',)",19.0,0.005627962085308057,"('come', 'back')",4.0,0.0011851851851851852,"('spicy', 'tuna', 'roll')",2,0.0005927682276229994
18,"('small',)",19.0,0.005627962085308057,"('spicy', 'tuna')",4.0,0.0011851851851851852,"('crawfish', 'roll', 'delicious')",2,0.0005927682276229994
19,"('ordered',)",18.0,0.00533175355450237,"('hole', 'wall')",4.0,0.0011851851851851852,"('places', 'new', 'orleans')",2,0.0005927682276229994
20,"('really',)",18.0,0.00533175355450237,"('little', 'gem')",4.0,0.0011851851851851852,"('red', 'hot', 'roll')",2,0.0005927682276229994
21,"('restaurant',)",18.0,0.00533175355450237,"('roll', 'spicy')",4.0,0.0011851851851851852,"('roll', 'hot', 'crispy')",2,0.0005927682276229994
22,"('fish',)",18.0,0.00533175355450237,"('service', 'great')",4.0,0.0011851851851851852,"('hot', 'crispy', 'cajun')",2,0.0005927682276229994
23,"('spicy',)",18.0,0.00533175355450237,"('fish', 'fresh')",4.0,0.0011851851851851852,"('crispy', 'cajun', 'roll')",2,0.0005927682276229994
24,"('new',)",18.0,0.00533175355450237,"('hot', 'crispy')",4.0,0.0011851851851851852,"('will', 'definitely', 'returning')",2,0.0005927682276229994
25,"('nice',)",17.0,0.005035545023696682,"('chicken', 'katsu')",4.0,0.0011851851851851852,"('dont', 'let', 'exterior')",2,0.0005927682276229994
26,"('dont',)",17.0,0.005035545023696682,"('service', 'excellent')",4.0,0.0011851851851851852,"('2', 'roll', 'special')",2,0.0005927682276229994
27,"('soup',)",17.0,0.005035545023696682,"('give', 'try')",4.0,0.0011851851851851852,"('read', 'yelp', 'reviews')",2,0.0005927682276229994
28,"('lunch',)",17.0,0.005035545023696682,"('red', 'hot')",3.0,0.0008888888888888889,"('monster', 'roll', 'huge')",2,0.0005927682276229994
29,"('hot',)",17.0,0.005035545023696682,"('staff', 'nice')",3.0,0.0008888888888888889,"('decided', 'give', 'try')",2,0.0005927682276229994
30,"('also',)",17.0,0.005035545023696682,"('ive', 'ever')",3.0,0.0008888888888888889,"('old', 'jeffersons', 'best')",2,0.0005927682276229994
31,"('love',)",16.0,0.004739336492890996,"('fried', 'potato')",3.0,0.0008888888888888889,"('roll', 'rock', 'n')",2,0.0005927682276229994
