,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",36.0,0.014735980352026197,"('can', 'eat')",5.0,0.0020475020475020475,"('biggest', 'little', 'bar')",3,0.0012290045063498567
1,"('great',)",28.0,0.011461318051575931,"('miso', 'soup')",4.0,0.001638001638001638,"('will', 'coming', 'back')",2,0.0008193363375665711
2,"('like',)",23.0,0.009414654113794515,"('really', 'good')",4.0,0.001638001638001638,"('can', 'eat', 'lunch')",2,0.0008193363375665711
3,"('really',)",21.0,0.008595988538681949,"('let', 'tell')",4.0,0.001638001638001638,"('high', 'top', 'tables')",2,0.0008193363375665711
4,"('good',)",21.0,0.008595988538681949,"('places', 'reno')",4.0,0.001638001638001638,"('miso', 'soup', 'cucumber')",2,0.0008193363375665711
5,"('nigiri',)",21.0,0.008595988538681949,"('new', 'favorite')",4.0,0.001638001638001638,"('soup', 'cucumber', 'salad')",2,0.0008193363375665711
6,"('menu',)",18.0,0.007367990176013099,"('really', 'enjoyed')",4.0,0.001638001638001638,"('asked', 'liked', 'started')",2,0.0008193363375665711
7,"('reno',)",18.0,0.007367990176013099,"('sierra', 'nevada')",4.0,0.001638001638001638,"('really', 'great', 'try')",1,0.00040966816878328555
8,"('go',)",17.0,0.006958657388456815,"('baby', 'octopus')",3.0,0.0012285012285012285,"('great', 'pairing', 'got')",1,0.00040966816878328555
9,"('try',)",16.0,0.006549324600900532,"('dont', 'even')",3.0,0.0012285012285012285,"('pairing', 'got', 'can')",1,0.00040966816878328555
10,"('fresh',)",16.0,0.006549324600900532,"('cucumber', 'salad')",3.0,0.0012285012285012285,"('got', 'can', 'eat')",1,0.00040966816878328555
11,"('best',)",16.0,0.006549324600900532,"('banana', 'split')",3.0,0.0012285012285012285,"('can', 'eat', 'left')",1,0.00040966816878328555
12,"('dont',)",15.0,0.006139991813344249,"('deep', 'fried')",3.0,0.0012285012285012285,"('eat', 'left', 'satisfied')",1,0.00040966816878328555
13,"('ayce',)",15.0,0.006139991813344249,"('little', 'bar')",3.0,0.0012285012285012285,"('left', 'satisfied', 'cool')",1,0.00040966816878328555
