,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",130.0,0.016123031129852413,"('spicy', 'girl')",15.0,0.0018605805011163482,"('spicy', 'girl', 'roll')",9,0.0011164867882396724
1,"('great',)",129.0,0.015999007813468934,"('lunch', 'special')",14.0,0.0017365418010419251,"('will', 'definitely', 'back')",7,0.0008683786130753009
2,"('good',)",114.0,0.01413865806771673,"('seaweed', 'salad')",14.0,0.0017365418010419251,"('great', 'lunch', 'specials')",5,0.0006202704379109291
3,"('service',)",87.0,0.010790028525362769,"('lunch', 'specials')",12.0,0.0014884644008930786,"('sweet', 'potato', 'roll')",4,0.0004962163503287433
4,"('fresh',)",84.0,0.010417958576212328,"('will', 'definitely')",12.0,0.0014884644008930786,"('spicy', 'tuna', 'roll')",4,0.0004962163503287433
5,"('kumo',)",70.0,0.008681632146843607,"('miso', 'soup')",12.0,0.0014884644008930786,"('shrimp', 'tempura', 'roll')",4,0.0004962163503287433
6,"('best',)",65.0,0.008061515564926207,"('first', 'time')",10.0,0.0012403870007442323,"('green', 'hornet', 'roll')",4,0.0004962163503287433
7,"('lunch',)",59.0,0.007317375666625325,"('spicy', 'tuna')",10.0,0.0012403870007442323,"('best', 'ive', 'ever')",4,0.0004962163503287433
8,"('always',)",53.0,0.006573235768324445,"('every', 'time')",10.0,0.0012403870007442323,"('definitely', 'go', 'back')",4,0.0004962163503287433
9,"('delicious',)",51.0,0.006325189135557485,"('sweet', 'potato')",9.0,0.001116348300669809,"('roll', 'seaweed', 'salad')",3,0.0003721622627465575
10,"('time',)",51.0,0.006325189135557485,"('ive', 'ever')",9.0,0.001116348300669809,"('black', 'dragon', 'roll')",3,0.0003721622627465575
11,"('really',)",51.0,0.006325189135557485,"('soup', 'salad')",9.0,0.001116348300669809,"('cant', 'really', 'go')",3,0.0003721622627465575
12,"('restaurant',)",50.0,0.0062011658191740045,"('girl', 'roll')",9.0,0.001116348300669809,"('really', 'go', 'wrong')",3,0.0003721622627465575
13,"('also',)",48.0,0.005953119186407045,"('fried', 'rice')",9.0,0.001116348300669809,"('providence', 'town', 'center')",3,0.0003721622627465575
14,"('salad',)",48.0,0.005953119186407045,"('always', 'fresh')",9.0,0.001116348300669809,"('lunch', 'special', 'great')",3,0.0003721622627465575
15,"('get',)",47.0,0.005829095870023565,"('tuna', 'fantastic')",9.0,0.001116348300669809,"('roll', 'spicy', 'girl')",3,0.0003721622627465575
16,"('go',)",46.0,0.005705072553640085,"('great', 'lunch')",9.0,0.001116348300669809,"('cant', 'wait', 'go')",3,0.0003721622627465575
17,"('ive',)",45.0,0.005581049237256604,"('best', 'ever')",9.0,0.001116348300669809,"('great', 'lunch', 'special')",3,0.0003721622627465575
18,"('back',)",41.0,0.005084955971722684,"('best', 'area')",9.0,0.001116348300669809,"('best', 'ive', 'also')",3,0.0003721622627465575
19,"('will',)",41.0,0.005084955971722684,"('green', 'hornet')",9.0,0.001116348300669809,"('chicken', 'pad', 'thai')",3,0.0003721622627465575
20,"('tuna',)",40.0,0.004960932655339203,"('go', 'back')",8.0,0.0009923096005953857,"('try', 'something', 'new')",3,0.0003721622627465575
21,"('nice',)",40.0,0.004960932655339203,"('shrimp', 'tempura')",8.0,0.0009923096005953857,"('cant', 'get', 'enough')",2,0.00024810817516437165
22,"('try',)",40.0,0.004960932655339203,"('can', 'get')",8.0,0.0009923096005953857,"('good', 'service', 'good')",2,0.00024810817516437165
23,"('staff',)",39.0,0.004836909338955724,"('kani', 'salad')",8.0,0.0009923096005953857,"('6', 'year', 'old')",2,0.00024810817516437165
24,"('well',)",39.0,0.004836909338955724,"('pad', 'thai')",7.0,0.0008682709005209626,"('favorite', 'spot', 'collegeville')",2,0.00024810817516437165
