,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('good',)",16.0,0.019777503090234856,"('dont', 'care')",5.0,0.006188118811881188,"('like', 'can', 'order')",2,0.0024783147459727386
1,"('roll',)",12.0,0.014833127317676144,"('fish', 'fresh')",3.0,0.0037128712871287127,"('like', 'twice', 'great')",1,0.0012391573729863693
2,"('dont',)",10.0,0.012360939431396786,"('rattlesnake', 'roll')",2.0,0.0024752475247524753,"('authentici', 'dont', 'care')",1,0.0012391573729863693
3,"('great',)",10.0,0.012360939431396786,"('love', 'love')",2.0,0.0024752475247524753,"('boise', 'superb', 'quality')",1,0.0012391573729863693
4,"('like',)",9.0,0.011124845488257108,"('best', 'ever')",2.0,0.0024752475247524753,"('superb', 'quality', 'talented')",1,0.0012391573729863693
5,"('raw',)",8.0,0.009888751545117428,"('can', 'order')",2.0,0.0024752475247524753,"('quality', 'talented', 'chefswhats')",1,0.0012391573729863693
6,"('menu',)",8.0,0.009888751545117428,"('like', 'can')",2.0,0.0024752475247524753,"('talented', 'chefswhats', 'love')",1,0.0012391573729863693
7,"('fish',)",8.0,0.009888751545117428,"('good', 'quality')",2.0,0.0024752475247524753,"('chefswhats', 'love', 'dont')",1,0.0012391573729863693
8,"('love',)",8.0,0.009888751545117428,"('roll', 'fusion')",2.0,0.0024752475247524753,"('love', 'dont', 'care')",1,0.0012391573729863693
9,"('care',)",7.0,0.00865265760197775,"('good', 'best')",2.0,0.0024752475247524753,"('dont', 'care', 'isnt')",1,0.0012391573729863693
10,"('fresh',)",7.0,0.00865265760197775,"('go', 'back')",2.0,0.0024752475247524753,"('care', 'isnt', 'authentici')",1,0.0012391573729863693
11,"('try',)",6.0,0.007416563658838072,"('best', 'ive')",2.0,0.0024752475247524753,"('isnt', 'authentici', 'dont')",1,0.0012391573729863693
12,"('definitely',)",6.0,0.007416563658838072,"('willow', 'creek')",2.0,0.0024752475247524753,"('dont', 'care', 'ive')",1,0.0012391573729863693
