,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",17.0,0.029310344827586206,"('come', 'check')",2.0,0.0034542314335060447,"('probably', 'best', 'bar')",1,0.0017301038062283738
1,"('back',)",8.0,0.013793103448275862,"('free', 'parking')",2.0,0.0034542314335060447,"('saturday', 'see', 'gets')",1,0.0017301038062283738
2,"('also',)",8.0,0.013793103448275862,"('la', 'fusion')",2.0,0.0034542314335060447,"('drunk', 'jameson', 'peach')",1,0.0017301038062283738
3,"('super',)",7.0,0.01206896551724138,"('papaya', 'salad')",2.0,0.0034542314335060447,"('jameson', 'peach', 'snaps')",1,0.0017301038062283738
4,"('friendly',)",7.0,0.01206896551724138,"('super', 'delicious')",2.0,0.0034542314335060447,"('peach', 'snaps', 'triple')",1,0.0017301038062283738
5,"('night',)",7.0,0.01206896551724138,"('highly', 'recommend')",2.0,0.0034542314335060447,"('snaps', 'triple', 'sec')",1,0.0017301038062283738
6,"('nice',)",7.0,0.01206896551724138,"('great', 'night')",2.0,0.0034542314335060447,"('triple', 'sec', 'drink')",1,0.0017301038062283738
7,"('staff',)",6.0,0.010344827586206896,"('usually', 'come')",2.0,0.0034542314335060447,"('sec', 'drink', 'everything')",1,0.0017301038062283738
8,"('best',)",6.0,0.010344827586206896,"('will', 'definitely')",2.0,0.0034542314335060447,"('drink', 'everything', 'light')",1,0.0017301038062283738
9,"('drinks',)",5.0,0.008620689655172414,"('south', 'philly')",2.0,0.0034542314335060447,"('everything', 'light', 'refreshing')",1,0.0017301038062283738
10,"('come',)",5.0,0.008620689655172414,"('atmosphere', 'classy')",1.0,0.0017271157167530224,"('light', 'refreshing', 'nice')",1,0.0017301038062283738
11,"('go',)",5.0,0.008620689655172414,"('mocassin', 'drunk')",1.0,0.0017271157167530224,"('refreshing', 'nice', 'peachy')",1,0.0017301038062283738
12,"('karaoke',)",5.0,0.008620689655172414,"('jameson', 'peach')",1.0,0.0017271157167530224,"('nice', 'peachy', 'flavor')",1,0.0017301038062283738
13,"('ive',)",5.0,0.008620689655172414,"('peach', 'snaps')",1.0,0.0017271157167530224,"('peachy', 'flavor', 'best')",1,0.0017301038062283738
14,"('good',)",5.0,0.008620689655172414,"('snaps', 'triple')",1.0,0.0017271157167530224,"('flavor', 'best', 'cocktails')",1,0.0017301038062283738
15,"('definitely',)",5.0,0.008620689655172414,"('triple', 'sec')",1.0,0.0017271157167530224,"('best', 'cocktails', 'ive')",1,0.0017301038062283738
16,"('area',)",5.0,0.008620689655172414,"('sec', 'drink')",1.0,0.0017271157167530224,"('cocktails', 'ive', 'also')",1,0.0017301038062283738
17,"('really',)",4.0,0.006896551724137931,"('drink', 'everything')",1.0,0.0017271157167530224,"('mocassin', 'drunk', 'jameson')",1,0.0017301038062283738
18,"('service',)",4.0,0.006896551724137931,"('everything', 'light')",1.0,0.0017271157167530224,"('white', 'mocassin', 'drunk')",1,0.0017301038062283738
19,"('restaurant',)",4.0,0.006896551724137931,"('light', 'refreshing')",1.0,0.0017271157167530224,"('hour', 'white', 'mocassin')",1,0.0017301038062283738
20,"('dont',)",4.0,0.006896551724137931,"('refreshing', 'nice')",1.0,0.0017271157167530224,"('drinks', 'fairly', 'priced')",1,0.0017301038062283738
21,"('drink',)",4.0,0.006896551724137931,"('nice', 'peachy')",1.0,0.0017271157167530224,"('area', 'seating', 'vip')",1,0.0017301038062283738
22,"('free',)",4.0,0.006896551724137931,"('peachy', 'flavor')",1.0,0.0017271157167530224,"('seating', 'vip', 'area')",1,0.0017301038062283738
23,"('delicious',)",4.0,0.006896551724137931,"('flavor', 'best')",1.0,0.0017271157167530224,"('vip', 'area', 'couches')",1,0.0017301038062283738
24,"('will',)",4.0,0.006896551724137931,"('best', 'cocktails')",1.0,0.0017271157167530224,"('area', 'couches', 'booths')",1,0.0017301038062283738
25,"('experience',)",3.0,0.005172413793103448,"('cocktails', 'ive')",1.0,0.0017271157167530224,"('couches', 'booths', 'drinks')",1,0.0017301038062283738
26,"('saturday',)",3.0,0.005172413793103448,"('drunk', 'jameson')",1.0,0.0017271157167530224,"('booths', 'drinks', 'fairly')",1,0.0017301038062283738
27,"('find',)",3.0,0.005172413793103448,"('white', 'mocassin')",1.0,0.0017271157167530224,"('fairly', 'priced', 'area')",1,0.0017301038062283738
28,"('check',)",3.0,0.005172413793103448,"('also', 'crispy')",1.0,0.0017271157167530224,"('happy', 'hour', 'white')",1,0.0017301038062283738
29,"('fresh',)",3.0,0.005172413793103448,"('hour', 'white')",1.0,0.0017271157167530224,"('priced', 'area', 'believe')",1,0.0017301038062283738
30,"('awesome',)",3.0,0.005172413793103448,"('happy', 'hour')",1.0,0.0017271157167530224,"('area', 'believe', 'may')",1,0.0017301038062283738
31,"('cute',)",3.0,0.005172413793103448,"('earlier', 'happy')",1.0,0.0017271157167530224,"('believe', 'may', 'also')",1,0.0017301038062283738
32,"('thing',)",3.0,0.005172413793103448,"('also', 'earlier')",1.0,0.0017271157167530224,"('may', 'also', 'earlier')",1,0.0017301038062283738
33,"('everything',)",3.0,0.005172413793103448,"('may', 'also')",1.0,0.0017271157167530224,"('also', 'earlier', 'happy')",1,0.0017301038062283738
34,"('chill',)",3.0,0.005172413793103448,"('believe', 'may')",1.0,0.0017271157167530224,"('earlier', 'happy', 'hour')",1,0.0017301038062283738
35,"('think',)",3.0,0.005172413793103448,"('area', 'believe')",1.0,0.0017271157167530224,"('ive', 'also', 'crispy')",1,0.0017301038062283738
36,"('getting',)",3.0,0.005172413793103448,"('priced', 'area')",1.0,0.0017271157167530224,"('also', 'crispy', 'shrimp')",1,0.0017301038062283738
37,"('owner',)",3.0,0.005172413793103448,"('fairly', 'priced')",1.0,0.0017271157167530224,"('crispy', 'shrimp', 'super')",1,0.0017301038062283738
38,"('ambience',)",3.0,0.005172413793103448,"('drinks', 'fairly')",1.0,0.0017271157167530224,"('ridiculous', 'never', 'got')",1,0.0017301038062283738
39,"('recommend',)",3.0,0.005172413793103448,"('booths', 'drinks')",1.0,0.0017271157167530224,"('nerve', 'charge', '10')",1,0.0017301038062283738
40,"('take',)",3.0,0.005172413793103448,"('couches', 'booths')",1.0,0.0017271157167530224,"('charge', '10', 'change')",1,0.0017301038062283738
41,"('10',)",3.0,0.005172413793103448,"('area', 'couches')",1.0,0.0017271157167530224,"('10', 'change', 'coal')",1,0.0017301038062283738
42,"('price',)",3.0,0.005172413793103448,"('vip', 'area')",1.0,0.0017271157167530224,"('change', 'coal', 'absolutely')",1,0.0017301038062283738
43,"('lounge',)",3.0,0.005172413793103448,"('ive', 'also')",1.0,0.0017271157167530224,"('coal', 'absolutely', 'ridiculous')",1,0.0017301038062283738
44,"('decor',)",3.0,0.005172413793103448,"('crispy', 'shrimp')",1.0,0.0017271157167530224,"('absolutely', 'ridiculous', 'never')",1,0.0017301038062283738
45,"('friday',)",3.0,0.005172413793103448,"('area', 'seating')",1.0,0.0017271157167530224,"('never', 'got', 'packed')",1,0.0017301038062283738
46,"('usually',)",3.0,0.005172413793103448,"('burned', 'quickly')",1.0,0.0017271157167530224,"('burned', 'quickly', 'nerve')",1,0.0017301038062283738
