,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",315.0,0.01653282947567312,"('half', 'price')",116.0,0.00608859962208692,"('forty', 'five', 'degrees')",61,0.003201931657130859
1,"('roll',)",280.0,0.014695848422820554,"('forty', 'five')",77.0,0.0040415704387990765,"('half', 'price', 'sunday')",21,0.0011023043409794761
2,"('good',)",217.0,0.011389282527685929,"('five', 'degrees')",63.0,0.003306739449926517,"('half', 'price', 'sundays')",16,0.0008398509264605533
3,"('half',)",201.0,0.01054951976066761,"('mass', 'ave')",61.0,0.0032017635943732943,"('sundays', 'half', 'price')",15,0.0007873602435567687
4,"('price',)",181.0,0.009499816301894715,"('half', 'priced')",39.0,0.002047029183287844,"('sunday', 'half', 'price')",13,0.0006823788777491995
5,"('sunday',)",158.0,0.008292657324305884,"('45', 'degrees')",34.0,0.001784589544404787,"('rock', 'n', 'roll')",12,0.000629888194845415
6,"('go',)",137.0,0.007190468692594342,"('price', 'sunday')",32.0,0.001679613688851564,"('mount', 'fuji', 'roll')",12,0.000629888194845415
7,"('like',)",131.0,0.006875557654962473,"('12', 'price')",31.0,0.0016271257610749527,"('12', 'price', 'sunday')",10,0.0005249068290378458
8,"('service',)",129.0,0.0067705873090851834,"('playboy', 'roll')",28.0,0.0014696619777451185,"('spicy', 'tuna', 'roll')",9,0.0004724161461340612
9,"('always',)",129.0,0.0067705873090851834,"('mount', 'fuji')",27.0,0.0014171740499685072,"('sunday', 'half', 'priced')",8,0.00041992546323027665
10,"('time',)",128.0,0.006718102136146539,"('sunday', 'half')",25.0,0.0013121981944152845,"('cant', 'go', 'wrong')",7,0.00036743478032649204
11,"('get',)",126.0,0.006613131790269249,"('first', 'time')",25.0,0.0013121981944152845,"('half', 'priced', 'sundays')",7,0.00036743478032649204
12,"('also',)",124.0,0.006508161444391959,"('sundays', 'half')",23.0,0.0012072223388620617,"('soft', 'shell', 'crab')",6,0.0003149440974227075
13,"('sundays',)",122.0,0.006403191098514669,"('great', 'service')",22.0,0.0011547344110854503,"('went', 'forty', 'five')",6,0.0003149440974227075
14,"('love',)",113.0,0.005930824542066866,"('price', 'sundays')",21.0,0.001102246483308839,"('half', 'price', 'cocktails')",5,0.0002624534145189229
15,"('degrees',)",105.0,0.005510943158557708,"('really', 'good')",20.0,0.0010497585555322277,"('12', 'price', 'sundays')",5,0.0002624534145189229
16,"('really',)",100.0,0.005248517293864483,"('will', 'definitely')",19.0,0.0009972706277556161,"('really', 'cant', 'go')",5,0.0002624534145189229
17,"('ive',)",100.0,0.005248517293864483,"('drink', 'specials')",19.0,0.0009972706277556161,"('will', 'definitely', 'back')",5,0.0002624534145189229
18,"('restaurant',)",98.0,0.005143546947987194,"('can', 'get')",16.0,0.000839806844425782,"('salmon', 'diablo', 'roll')",5,0.0002624534145189229
19,"('definitely',)",93.0,0.004881121083293969,"('highly', 'recommend')",16.0,0.000839806844425782,"('degrees', 'half', 'price')",5,0.0002624534145189229
20,"('wait',)",93.0,0.004881121083293969,"('always', 'great')",15.0,0.0007873189166491707,"('roll', 'playboy', 'roll')",5,0.0002624534145189229
21,"('night',)",90.0,0.004723665564478035,"('pretty', 'good')",15.0,0.0007873189166491707,"('roll', 'mount', 'fuji')",5,0.0002624534145189229
22,"('ordered',)",88.0,0.004618695218600745,"('fuji', 'roll')",14.0,0.0007348309888725593,"('spicy', 'salmon', 'roll')",4,0.00020996273161513832
23,"('drinks',)",88.0,0.004618695218600745,"('every', 'time')",14.0,0.0007348309888725593,"('great', 'drink', 'specials')",4,0.00020996273161513832
24,"('favorite',)",86.0,0.004513724872723455,"('salmon', 'diablo')",14.0,0.0007348309888725593,"('great', 'mass', 'ave')",4,0.00020996273161513832
25,"('five',)",86.0,0.004513724872723455,"('service', 'great')",13.0,0.0006823430610959479,"('45', 'degrees', 'half')",4,0.00020996273161513832
26,"('will',)",83.0,0.004356269353907521,"('spicy', 'tuna')",13.0,0.0006823430610959479,"('half', 'price', 'purchase')",4,0.00020996273161513832
27,"('drink',)",82.0,0.004303784180968876,"('rock', 'n')",13.0,0.0006823430610959479,"('go', 'half', 'price')",4,0.00020996273161513832
28,"('got',)",82.0,0.004303784180968876,"('feel', 'like')",13.0,0.0006823430610959479,"('time', 'forty', 'five')",4,0.00020996273161513832
29,"('can',)",81.0,0.004251299008030231,"('corona', 'roll')",12.0,0.0006298551333193366,"('roll', 'dynamite', 'roll')",4,0.00020996273161513832
30,"('forty',)",80.0,0.004198813835091587,"('devour', 'downtown')",12.0,0.0006298551333193366,"('ordered', 'salmon', 'diablo')",4,0.00020996273161513832
31,"('back',)",78.0,0.004093843489214297,"('also', 'great')",12.0,0.0006298551333193366,"('every', 'time', 'ive')",4,0.00020996273161513832
32,"('best',)",78.0,0.004093843489214297,"('n', 'roll')",12.0,0.0006298551333193366,"('orange', 'crush', 'roll')",3,0.00015747204871135374
33,"('dont',)",76.0,0.003988873143337008,"('outdoor', 'seating')",11.0,0.0005773672055427252,"('lunch', 'special', '8')",3,0.00015747204871135374
34,"('menu',)",73.0,0.0038314176245210726,"('thai', 'kiss')",11.0,0.0005773672055427252,"('try', 'new', 'things')",3,0.00015747204871135374
