,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('ordered',)",6.0,0.015306122448979591,"('thai', 'basil')",3.0,0.0076726342710997444,"('someone', 'kitchen', 'mask')",2,0.005128205128205128
1,"('mask',)",6.0,0.015306122448979591,"('sweet', 'sour')",2.0,0.005115089514066497,"('quite', 'poor', 'even')",1,0.002564102564102564
2,"('roll',)",5.0,0.012755102040816327,"('bento', 'box')",2.0,0.005115089514066497,"('thats', 'thai', 'basil')",1,0.002564102564102564
3,"('really',)",5.0,0.012755102040816327,"('kitchen', 'mask')",2.0,0.005115089514066497,"('will', 'returning', 'really')",1,0.002564102564102564
4,"('good',)",4.0,0.01020408163265306,"('someone', 'kitchen')",2.0,0.005115089514066497,"('weekly', 'will', 'returning')",1,0.002564102564102564
5,"('thai',)",4.0,0.01020408163265306,"('quite', 'poor')",1.0,0.0025575447570332483,"('almost', 'weekly', 'will')",1,0.002564102564102564
6,"('bad',)",4.0,0.01020408163265306,"('said', 'thats')",1.0,0.0025575447570332483,"('closer', 'almost', 'weekly')",1,0.002564102564102564
7,"('person',)",4.0,0.01020408163265306,"('almost', 'weekly')",1.0,0.0025575447570332483,"('lived', 'closer', 'almost')",1,0.002564102564102564
8,"('first',)",3.0,0.007653061224489796,"('closer', 'almost')",1.0,0.0025575447570332483,"('away', 'lived', 'closer')",1,0.002564102564102564
9,"('gave',)",3.0,0.007653061224489796,"('lived', 'closer')",1.0,0.0025575447570332483,"('walked', 'away', 'lived')",1,0.002564102564102564
10,"('basil',)",3.0,0.007653061224489796,"('away', 'lived')",1.0,0.0025575447570332483,"('basil', 'walked', 'away')",1,0.002564102564102564
11,"('someone',)",3.0,0.007653061224489796,"('walked', 'away')",1.0,0.0025575447570332483,"('thai', 'basil', 'walked')",1,0.002564102564102564
12,"('never',)",3.0,0.007653061224489796,"('basil', 'walked')",1.0,0.0025575447570332483,"('said', 'thats', 'thai')",1,0.002564102564102564
13,"('asked',)",3.0,0.007653061224489796,"('thats', 'thai')",1.0,0.0025575447570332483,"('smothered', 'mcds', 'sweet')",1,0.002564102564102564
14,"('also',)",3.0,0.007653061224489796,"('basil', 'asked')",1.0,0.0025575447570332483,"('asked', 'said', 'thats')",1,0.002564102564102564
15,"('back',)",3.0,0.007653061224489796,"('asked', 'said')",1.0,0.0025575447570332483,"('basil', 'asked', 'said')",1,0.002564102564102564
16,"('said',)",3.0,0.007653061224489796,"('will', 'returning')",1.0,0.0025575447570332483,"('thai', 'basil', 'asked')",1,0.002564102564102564
17,"('order',)",3.0,0.007653061224489796,"('gross', 'thai')",1.0,0.0025575447570332483,"('gross', 'thai', 'basil')",1,0.002564102564102564
