,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('hibachi',)",84.0,0.022275258552108195,"('soup', 'salad')",12.0,0.003183023872679045,"('yum', 'yum', 'sauce')",5,0.0013266118333775537
1,"('great',)",59.0,0.015645717316361708,"('hino', 'oishi')",10.0,0.002652519893899204,"('will', 'definitely', 'back')",4,0.0010612894667020429
2,"('good',)",54.0,0.014319809069212411,"('fried', 'rice')",10.0,0.002652519893899204,"('ginger', 'yum', 'yum')",2,0.0005306447333510214
3,"('service',)",36.0,0.00954653937947494,"('yum', 'yum')",7.0,0.001856763925729443,"('miso', 'soups', 'couple')",2,0.0005306447333510214
4,"('lunch',)",27.0,0.007159904534606206,"('come', 'back')",7.0,0.001856763925729443,"('namesake', 'presentation', 'superbly')",2,0.0005306447333510214
5,"('rice',)",27.0,0.007159904534606206,"('will', 'definitely')",7.0,0.001856763925729443,"('tail', 'tuna', 'sushimi')",2,0.0005306447333510214
6,"('like',)",26.0,0.006894722885176346,"('lunch', 'special')",6.0,0.0015915119363395225,"('sauce', 'ginger', 'sauce')",2,0.0005306447333510214
7,"('soup',)",26.0,0.006894722885176346,"('hibachi', 'restaurant')",6.0,0.0015915119363395225,"('despite', 'namesake', 'presentation')",2,0.0005306447333510214
8,"('salad',)",25.0,0.006629541235746487,"('definitely', 'back')",6.0,0.0015915119363395225,"('mess', 'despite', 'namesake')",2,0.0005306447333510214
9,"('side',)",25.0,0.006629541235746487,"('hibachi', 'side')",6.0,0.0015915119363395225,"('hot', 'mess', 'despite')",2,0.0005306447333510214
10,"('back',)",24.0,0.006364359586316627,"('service', 'excellent')",6.0,0.0015915119363395225,"('come', 'many', 'times')",2,0.0005306447333510214
11,"('will',)",24.0,0.006364359586316627,"('teriyaki', 'chicken')",5.0,0.001326259946949602,"('specialty', 'hot', 'mess')",2,0.0005306447333510214
12,"('chicken',)",23.0,0.006099177936886768,"('favorite', 'hibachi')",5.0,0.001326259946949602,"('couple', 'specialty', 'hot')",2,0.0005306447333510214
