,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('can',)",197.0,0.018583152532779926,"('can', 'eat')",115.0,0.010849056603773584,"('tea', 'ice', 'cream')",7,0.0006604396641192565
1,"('eat',)",152.0,0.014338269974530705,"('ice', 'cream')",31.0,0.0029245283018867925,"('green', 'tea', 'ice')",7,0.0006604396641192565
2,"('good',)",141.0,0.01330063201584756,"('made', 'order')",16.0,0.0015094339622641509,"('good', 'can', 'eat')",6,0.0005660911406736484
3,"('great',)",129.0,0.012168663333647769,"('can', 'get')",15.0,0.0014150943396226414,"('can', 'eat', 'great')",5,0.00047174261722804036
4,"('order',)",120.0,0.011319686821997925,"('seaweed', 'salad')",14.0,0.0013207547169811322,"('best', 'can', 'eat')",5,0.00047174261722804036
5,"('service',)",118.0,0.011131025374964626,"('highly', 'recommend')",14.0,0.0013207547169811322,"('bean', 'ice', 'cream')",5,0.00047174261722804036
6,"('fresh',)",97.0,0.009150080181114989,"('pretty', 'good')",12.0,0.0011320754716981133,"('red', 'bean', 'ice')",5,0.00047174261722804036
7,"('sashimi',)",88.0,0.008301103669465145,"('really', 'good')",11.0,0.0010377358490566038,"('get', 'moneys', 'worth')",4,0.0003773940937824323
8,"('like',)",82.0,0.0077351193283652486,"('every', 'time')",11.0,0.0010377358490566038,"('salad', 'seaweed', 'salad')",4,0.0003773940937824323
9,"('get',)",77.0,0.007263465710782002,"('green', 'tea')",10.0,0.0009433962264150943,"('can', 'eat', 'buffet')",4,0.0003773940937824323
10,"('time',)",76.0,0.0071691349872653526,"('great', 'service')",10.0,0.0009433962264150943,"('ice', 'cream', 'end')",3,0.0002830455703368242
11,"('always',)",70.0,0.006603150646165456,"('shrimp', 'tempura')",10.0,0.0009433962264150943,"('can', 'eat', 'can')",3,0.0002830455703368242
12,"('also',)",67.0,0.006320158475615508,"('first', 'time')",10.0,0.0009433962264150943,"('can', 'eat', 'price')",3,0.0002830455703368242
13,"('best',)",67.0,0.006320158475615508,"('come', 'back')",9.0,0.0008490566037735849,"('ice', 'cream', 'good')",3,0.0002830455703368242
14,"('go',)",65.0,0.006131497028582209,"('service', 'fast')",9.0,0.0008490566037735849,"('can', 'eat', 'lot')",3,0.0002830455703368242
15,"('will',)",62.0,0.005848504858032261,"('will', 'definitely')",9.0,0.0008490566037735849,"('always', 'great', 'sashimi')",3,0.0002830455703368242
16,"('price',)",61.0,0.005754174134515612,"('crab', 'salad')",9.0,0.0008490566037735849,"('go', 'can', 'eat')",3,0.0002830455703368242
17,"('dont',)",59.0,0.005565512687482313,"('service', 'great')",9.0,0.0008490566037735849,"('like', 'can', 'eat')",3,0.0002830455703368242
18,"('really',)",58.0,0.005471181963965664,"('good', 'can')",8.0,0.0007547169811320754,"('every', 'time', 'best')",3,0.0002830455703368242
19,"('roll',)",56.0,0.005282520516932365,"('sashimi', 'fresh')",8.0,0.0007547169811320754,"('cant', 'wait', 'go')",3,0.0002830455703368242
