,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('roll',)",32.0,0.01557935735150925,"('happy', 'hour')",15.0,0.007306380905991232,"('crab', 'avocado', 'asparagus')",3,0.0014619883040935672
1,"('good',)",26.0,0.012658227848101266,"('new', 'orleans')",7.0,0.0034096444227959084,"('snow', 'crab', 'avocado')",3,0.0014619883040935672
2,"('happy',)",17.0,0.008276533592989289,"('lsu', 'roll')",6.0,0.0029225523623964927,"('restaurant', 'new', 'orleans')",3,0.0014619883040935672
3,"('fresh',)",17.0,0.008276533592989289,"('dragon', 'roll')",4.0,0.001948368241597662,"('japanese', 'restaurant', 'new')",2,0.0009746588693957114
4,"('hour',)",15.0,0.007302823758519961,"('snow', 'crab')",4.0,0.001948368241597662,"('roll', 'really', 'good')",2,0.0009746588693957114
5,"('really',)",14.0,0.006815968841285297,"('avocado', 'asparagus')",4.0,0.001948368241597662,"('avocado', 'asparagus', 'topped')",2,0.0009746588693957114
6,"('bar',)",14.0,0.006815968841285297,"('really', 'good')",4.0,0.001948368241597662,"('best', 'new', 'orleans')",2,0.0009746588693957114
7,"('kakkoii',)",14.0,0.006815968841285297,"('spicy', 'tuna')",3.0,0.0014612761811982464,"('red', 'bean', 'mochi')",2,0.0009746588693957114
8,"('sauce',)",13.0,0.006329113924050633,"('good', 'well')",3.0,0.0014612761811982464,"('tuna', 'salmon', 'yellowtail')",2,0.0009746588693957114
9,"('new',)",13.0,0.006329113924050633,"('crab', 'avocado')",3.0,0.0014612761811982464,"('spicy', 'tuna', 'dip')",2,0.0009746588693957114
10,"('try',)",13.0,0.006329113924050633,"('order', 'two')",3.0,0.0014612761811982464,"('time', 'happy', 'hour')",2,0.0009746588693957114
11,"('like',)",12.0,0.005842259006815969,"('calamari', 'steak')",3.0,0.0014612761811982464,"('happy', 'hour', 'prices')",2,0.0009746588693957114
12,"('go',)",12.0,0.005842259006815969,"('new', 'favorite')",3.0,0.0014612761811982464,"('will', 'come', 'back')",2,0.0009746588693957114
13,"('well',)",12.0,0.005842259006815969,"('soy', 'sauce')",3.0,0.0014612761811982464,"('molten', 'lava', 'cake')",2,0.0009746588693957114
14,"('best',)",12.0,0.005842259006815969,"('teriyaki', 'sauce')",3.0,0.0014612761811982464,"('chocolate', 'molten', 'lava')",2,0.0009746588693957114
15,"('us',)",12.0,0.005842259006815969,"('salmon', 'yellowtail')",3.0,0.0014612761811982464,"('hawaii', '50', 'roll')",2,0.0009746588693957114
16,"('spicy',)",11.0,0.005355404089581304,"('mango', 'mochi')",3.0,0.0014612761811982464,"('krab', 'rangoon', 'roll')",2,0.0009746588693957114
17,"('im',)",11.0,0.005355404089581304,"('restaurant', 'new')",3.0,0.0014612761811982464,"('definitely', 'coming', 'back')",2,0.0009746588693957114
18,"('delicious',)",10.0,0.004868549172346641,"('even', 'though')",3.0,0.0014612761811982464,"('favorite', 'japanese', 'restaurant')",2,0.0009746588693957114
19,"('get',)",10.0,0.004868549172346641,"('sit', 'bar')",3.0,0.0014612761811982464,"('people', 'countless', 'sake')",1,0.0004873294346978557
20,"('mochi',)",10.0,0.004868549172346641,"('designer', 'roll')",3.0,0.0014612761811982464,"('pitchers', 'sapporo', 'bottles')",1,0.0004873294346978557
21,"('sake',)",10.0,0.004868549172346641,"('loved', 'loved')",3.0,0.0014612761811982464,"('school', 'important', 'note')",1,0.0004873294346978557
22,"('restaurant',)",10.0,0.004868549172346641,"('every', 'single')",3.0,0.0014612761811982464,"('work', 'school', 'important')",1,0.0004873294346978557
23,"('great',)",10.0,0.004868549172346641,"('roll', 'really')",3.0,0.0014612761811982464,"('day', 'work', 'school')",1,0.0004873294346978557
24,"('got',)",10.0,0.004868549172346641,"('coming', 'back')",2.0,0.000974184120798831,"('rice', 'fresh', 'hate')",1,0.0004873294346978557
25,"('time',)",9.0,0.004381694255111977,"('small', 'sake')",2.0,0.000974184120798831,"('long', 'day', 'work')",1,0.0004873294346978557
26,"('nice',)",9.0,0.004381694255111977,"('hawaii', '50')",2.0,0.000974184120798831,"('sake', 'long', 'day')",1,0.0004873294346978557
27,"('service',)",9.0,0.004381694255111977,"('thought', 'good')",2.0,0.000974184120798831,"('hot', 'sake', 'long')",1,0.0004873294346978557
28,"('right',)",9.0,0.004381694255111977,"('glad', 'got')",2.0,0.000974184120798831,"('bottles', 'hot', 'sake')",1,0.0004873294346978557
29,"('salmon',)",9.0,0.004381694255111977,"('really', 'liked')",2.0,0.000974184120798831,"('sapporo', 'bottles', 'hot')",1,0.0004873294346978557
30,"('back',)",9.0,0.004381694255111977,"('molten', 'lava')",2.0,0.000974184120798831,"('fresh', 'hate', 'stale')",1,0.0004873294346978557
31,"('also',)",8.0,0.0038948393378773127,"('lava', 'cake')",2.0,0.000974184120798831,"('get', 'pitchers', 'sapporo')",1,0.0004873294346978557
32,"('first',)",8.0,0.0038948393378773127,"('two', 'places')",2.0,0.000974184120798831,"('note', 'impossible', 'sake')",1,0.0004873294346978557
33,"('tuna',)",8.0,0.0038948393378773127,"('seaweed', 'salad')",2.0,0.000974184120798831,"('friends', 'get', 'pitchers')",1,0.0004873294346978557
34,"('favorite',)",8.0,0.0038948393378773127,"('restaurant', 'friends')",2.0,0.000974184120798831,"('restaurant', 'friends', 'get')",1,0.0004873294346978557
35,"('ordered',)",8.0,0.0038948393378773127,"('baked', 'salmon')",2.0,0.000974184120798831,"('hate', 'stale', 'rice')",1,0.0004873294346978557
36,"('love',)",8.0,0.0038948393378773127,"('hit', 'table')",2.0,0.000974184120798831,"('fun', 'restaurant', 'friends')",1,0.0004873294346978557
37,"('ive',)",8.0,0.0038948393378773127,"('tuna', 'dip')",2.0,0.000974184120798831,"('go', 'fun', 'restaurant')",1,0.0004873294346978557
38,"('every',)",7.0,0.0034079844206426485,"('highly', 'recommend')",2.0,0.000974184120798831,"('nice', 'go', 'fun')",1,0.0004873294346978557
39,"('people',)",7.0,0.0034079844206426485,"('ice', 'cream')",2.0,0.000974184120798831,"('always', 'nice', 'go')",1,0.0004873294346978557
40,"('awesome',)",7.0,0.0034079844206426485,"('loud', 'music')",2.0,0.000974184120798831,"('great', 'always', 'nice')",1,0.0004873294346978557
41,"('nola',)",7.0,0.0034079844206426485,"('yelp', 'check')",2.0,0.000974184120798831,"('stale', 'rice', 'large')",1,0.0004873294346978557
42,"('city',)",7.0,0.0034079844206426485,"('50', 'roll')",2.0,0.000974184120798831,"('rice', 'large', 'prices')",1,0.0004873294346978557
43,"('even',)",7.0,0.0034079844206426485,"('go', 'back')",2.0,0.000974184120798831,"('staff', 'great', 'always')",1,0.0004873294346978557
44,"('orleans',)",7.0,0.0034079844206426485,"('sake', 'bombs')",2.0,0.000974184120798831,"('important', 'note', 'impossible')",1,0.0004873294346978557
45,"('fish',)",7.0,0.0034079844206426485,"('best', 'happy')",2.0,0.000974184120798831,"('impossible', 'sake', 'bombs')",1,0.0004873294346978557
46,"('little',)",7.0,0.0034079844206426485,"('best', 'new')",2.0,0.000974184120798831,"('4', 'people', 'countless')",1,0.0004873294346978557
47,"('mango',)",7.0,0.0034079844206426485,"('gon', 'na')",2.0,0.000974184120798831,"('sake', 'bombs', 'marble')",1,0.0004873294346978557
48,"('high',)",7.0,0.0034079844206426485,"('red', 'bean')",2.0,0.000974184120798831,"('sake', '4', 'people')",1,0.0004873294346978557
49,"('check',)",7.0,0.0034079844206426485,"('japanese', 'restaurant')",2.0,0.000974184120798831,"('bottles', 'sake', '4')",1,0.0004873294346978557
50,"('see',)",6.0,0.0029211295034079843,"('favorite', 'japanese')",2.0,0.000974184120798831,"('8', 'bottles', 'sake')",1,0.0004873294346978557
51,"('menu',)",6.0,0.0029211295034079843,"('wanted', 'try')",2.0,0.000974184120798831,"('countless', 'sake', 'bombs')",1,0.0004873294346978557
52,"('friendly',)",6.0,0.0029211295034079843,"('first', 'time')",2.0,0.000974184120798831,"('sake', 'bombs', 'good')",1,0.0004873294346978557
53,"('two',)",6.0,0.0029211295034079843,"('bean', 'mochi')",2.0,0.000974184120798831,"('pitchers', '8', 'bottles')",1,0.0004873294346978557
54,"('definitely',)",6.0,0.0029211295034079843,"('id', 'like')",2.0,0.000974184120798831,"('4', 'pitchers', '8')",1,0.0004873294346978557
55,"('will',)",6.0,0.0029211295034079843,"('hour', 'prices')",2.0,0.000974184120798831,"('bombs', 'good', 'rice')",1,0.0004873294346978557
56,"('never',)",6.0,0.0029211295034079843,"('tasted', 'fresh')",2.0,0.000974184120798831,"('beats', '4', 'pitchers')",1,0.0004873294346978557
57,"('japanese',)",6.0,0.0029211295034079843,"('super', 'friendly')",2.0,0.000974184120798831,"('nothing', 'beats', '4')",1,0.0004873294346978557
58,"('can',)",6.0,0.0029211295034079843,"('ive', 'ever')",2.0,0.000974184120798831,"('table', 'nothing', 'beats')",1,0.0004873294346978557
59,"('lsu',)",6.0,0.0029211295034079843,"('awesome', 'service')",2.0,0.000974184120798831,"('sat', 'table', 'nothing')",1,0.0004873294346978557
60,"('table',)",6.0,0.0029211295034079843,"('chocolate', 'molten')",2.0,0.000974184120798831,"('times', 'sat', 'table')",1,0.0004873294346978557
61,"('waitress',)",6.0,0.0029211295034079843,"('definitely', 'go')",2.0,0.000974184120798831,"('knock', 'times', 'sat')",1,0.0004873294346978557
62,"('perfect',)",6.0,0.0029211295034079843,"('will', 'definitely')",2.0,0.000974184120798831,"('means', 'knock', 'times')",1,0.0004873294346978557
63,"('yelp',)",6.0,0.0029211295034079843,"('im', 'glad')",2.0,0.000974184120798831,"('good', 'rice', 'fresh')",1,0.0004873294346978557
64,"('order',)",6.0,0.0029211295034079843,"('next', 'time')",2.0,0.000974184120798831,"('table', 'means', 'knock')",1,0.0004873294346978557
65,"('pretty',)",6.0,0.0029211295034079843,"('definitely', 'coming')",2.0,0.000974184120798831,"('youre', 'table', 'means')",1,0.0004873294346978557
66,"('cant',)",6.0,0.0029211295034079843,"('tuna', 'fresh')",2.0,0.000974184120798831,"('bar', 'youre', 'table')",1,0.0004873294346978557
67,"('super',)",6.0,0.0029211295034079843,"('super', 'rainbow')",2.0,0.000974184120798831,"('great', 'staff', 'great')",1,0.0004873294346978557
68,"('crab',)",6.0,0.0029211295034079843,"('time', 'happy')",2.0,0.000974184120798831,"('youre', 'sitting', 'bar')",1,0.0004873294346978557
69,"('dishes',)",6.0,0.0029211295034079843,"('served', 'spicy')",2.0,0.000974184120798831,"('top', 'youre', 'sitting')",1,0.0004873294346978557
70,"('shrimp',)",5.0,0.0024342745861733205,"('ive', 'ordered')",2.0,0.000974184120798831,"('bar', 'top', 'youre')",1,0.0004873294346978557
71,"('rice',)",5.0,0.0024342745861733205,"('tempura', 'whitefish')",2.0,0.000974184120798831,"('marble', 'bar', 'top')",1,0.0004873294346978557
72,"('wanted',)",5.0,0.0024342745861733205,"('3', 'happy')",2.0,0.000974184120798831,"('bombs', 'marble', 'bar')",1,0.0004873294346978557
73,"('different',)",5.0,0.0024342745861733205,"('can', 'see')",2.0,0.000974184120798831,"('sitting', 'bar', 'youre')",1,0.0004873294346978557
74,"('way',)",5.0,0.0024342745861733205,"('krab', 'rangoon')",2.0,0.000974184120798831,"('great', 'ambiance', 'great')",1,0.0004873294346978557
75,"('friend',)",5.0,0.0024342745861733205,"('nice', 'crowd')",2.0,0.000974184120798831,"('ambiance', 'great', 'staff')",1,0.0004873294346978557
76,"('loved',)",5.0,0.0024342745861733205,"('maple', 'street')",2.0,0.000974184120798831,"('far', 'favorite', 'designer')",1,0.0004873294346978557
77,"('dish',)",5.0,0.0024342745861733205,"('asparagus', 'topped')",2.0,0.000974184120798831,"('split', 'within', 'group')",1,0.0004873294346978557
