,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('service',)",129.0,0.014444071212630165,"('can', 'eat')",49.0,0.005487122060470325,"('great', 'customer', 'service')",6,0.0006719677455482136
1,"('good',)",126.0,0.0141081625797783,"('really', 'good')",23.0,0.0025755879059350503,"('can', 'eat', 'lunch')",5,0.0005599731212901781
2,"('great',)",108.0,0.012092710782667115,"('customer', 'service')",19.0,0.002127659574468085,"('will', 'definitely', 'back')",4,0.00044797849703214247
3,"('can',)",90.0,0.010077258985555929,"('great', 'service')",17.0,0.0019036954087346025,"('service', 'always', 'great')",4,0.00044797849703214247
4,"('reno',)",71.0,0.007949837644160788,"('miso', 'soup')",16.0,0.0017917133258678612,"('green', 'tea', 'ice')",4,0.00044797849703214247
5,"('roll',)",69.0,0.007725898555592879,"('first', 'time')",12.0,0.0013437849944008958,"('tea', 'ice', 'cream')",4,0.00044797849703214247
6,"('time',)",69.0,0.007725898555592879,"('sit', 'bar')",11.0,0.0012318029115341545,"('fish', 'rice', 'ratio')",4,0.00044797849703214247
7,"('like',)",69.0,0.007725898555592879,"('places', 'reno')",11.0,0.0012318029115341545,"('salmon', 'skin', 'salad')",4,0.00044797849703214247
8,"('really',)",69.0,0.007725898555592879,"('service', 'great')",11.0,0.0012318029115341545,"('super', 'value', 'set')",4,0.00044797849703214247
9,"('eat',)",62.0,0.006942111745605196,"('best', 'reno')",10.0,0.0011198208286674132,"('appetizers', '2', 'nigiri')",3,0.0003359838727741068
10,"('best',)",60.0,0.006718172657037286,"('will', 'definitely')",10.0,0.0011198208286674132,"('definitely', 'coming', 'back')",3,0.0003359838727741068
11,"('always',)",60.0,0.006718172657037286,"('cream', 'cheese')",9.0,0.001007838745800672,"('good', 'service', 'good')",3,0.0003359838727741068
12,"('favorite',)",60.0,0.006718172657037286,"('come', 'back')",9.0,0.001007838745800672,"('avocado', 'crab', 'mix')",3,0.0003359838727741068
13,"('back',)",58.0,0.006494233568469376,"('next', 'time')",9.0,0.001007838745800672,"('shrimp', 'cream', 'cheese')",3,0.0003359838727741068
14,"('go',)",57.0,0.006382264024185421,"('crab', 'mix')",9.0,0.001007838745800672,"('best', 'ive', 'ever')",3,0.0003359838727741068
15,"('fresh',)",56.0,0.006270294479901467,"('service', 'good')",9.0,0.001007838745800672,"('fish', 'always', 'fresh')",3,0.0003359838727741068
16,"('lunch',)",53.0,0.005934385847049603,"('good', 'service')",8.0,0.0008958566629339306,"('2', 'nigiri', '3')",3,0.0003359838727741068
17,"('will',)",52.0,0.005822416302765648,"('ice', 'cream')",8.0,0.0008958566629339306,"('dont', 'even', 'know')",2,0.00022398924851607123
18,"('amazing',)",49.0,0.005486507669913783,"('coming', 'back')",8.0,0.0008958566629339306,"('took', 'fair', 'amount')",2,0.00022398924851607123
19,"('definitely',)",49.0,0.005486507669913783,"('crystal', 'shrimp')",7.0,0.0007838745800671892,"('town', 'will', 'definitely')",2,0.00022398924851607123
20,"('fish',)",48.0,0.0053745381256298285,"('service', 'always')",7.0,0.0007838745800671892,"('tried', 'first', 'time')",2,0.00022398924851607123
21,"('get',)",46.0,0.005150599037061919,"('highly', 'recommend')",7.0,0.0007838745800671892,"('appetizer', 'miso', 'soup')",2,0.00022398924851607123
22,"('love',)",45.0,0.0050386294927779645,"('dont', 'know')",7.0,0.0007838745800671892,"('ive', 'never', 'seen')",2,0.00022398924851607123
23,"('delicious',)",45.0,0.0050386294927779645,"('best', 'town')",7.0,0.0007838745800671892,"('something', 'ive', 'never')",2,0.00022398924851607123
24,"('try',)",45.0,0.0050386294927779645,"('definitely', 'back')",7.0,0.0007838745800671892,"('miso', 'soup', 'edamame')",2,0.00022398924851607123
25,"('staff',)",42.0,0.0047027208599261005,"('can', 'get')",7.0,0.0007838745800671892,"('lunch', 'decent', 'price')",2,0.00022398924851607123
26,"('nigiri',)",42.0,0.0047027208599261005,"('always', 'great')",7.0,0.0007838745800671892,"('miso', 'soup', '1095')",2,0.00022398924851607123
27,"('places',)",41.0,0.004590751315642145,"('fish', 'fresh')",7.0,0.0007838745800671892,"('1', 'long', 'roll')",2,0.00022398924851607123
28,"('menu',)",41.0,0.004590751315642145,"('really', 'enjoyed')",6.0,0.0006718924972004479,"('say', 'really', 'good')",2,0.00022398924851607123
29,"('new',)",39.0,0.004366812227074236,"('always', 'good')",6.0,0.0006718924972004479,"('can', 'get', 'crowded')",2,0.00022398924851607123
30,"('nice',)",39.0,0.004366812227074236,"('free', 'beer')",6.0,0.0006718924972004479,"('well', 'definitely', 'back')",2,0.00022398924851607123
31,"('order',)",37.0,0.004142873138506326,"('best', 'ive')",6.0,0.0006718924972004479,"('fish', 'fish', 'right')",2,0.00022398924851607123
32,"('also',)",37.0,0.004142873138506326,"('really', 'like')",6.0,0.0006718924972004479,"('visit', 'first', 'time')",2,0.00022398924851607123
33,"('restaurant',)",37.0,0.004142873138506326,"('free', 'sake')",6.0,0.0006718924972004479,"('first', 'time', 'went')",2,0.00022398924851607123
34,"('friendly',)",37.0,0.004142873138506326,"('5', 'stars')",6.0,0.0006718924972004479,"('good', 'great', 'service')",2,0.00022398924851607123
35,"('bar',)",34.0,0.003806964505654462,"('staff', 'friendly')",6.0,0.0006718924972004479,"('nice', 'helpful', 'service')",2,0.00022398924851607123
36,"('come',)",34.0,0.003806964505654462,"('service', 'pretty')",6.0,0.0006718924972004479,"('everyone', 'nice', 'helpful')",2,0.00022398924851607123
37,"('rice',)",33.0,0.003694994961370507,"('great', 'customer')",6.0,0.0006718924972004479,"('two', 'everyone', 'nice')",2,0.00022398924851607123
