,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('korean',)",12.0,0.0182370820668693,"('cho', 'chicken')",4.0,0.0060882800608828,"('general', 'cho', 'chicken')",3,0.004573170731707317
1,"('ordered',)",11.0,0.016717325227963525,"('seafood', 'pancake')",3.0,0.0045662100456621,"('also', 'got', 'seafood')",2,0.003048780487804878
2,"('like',)",7.0,0.010638297872340425,"('spicy', 'galbi')",3.0,0.0045662100456621,"('beef', 'dumplings', 'general')",2,0.003048780487804878
3,"('chicken',)",7.0,0.010638297872340425,"('dolsot', 'bibimbap')",3.0,0.0045662100456621,"('dumplings', 'general', 'cho')",2,0.003048780487804878
4,"('got',)",7.0,0.010638297872340425,"('general', 'cho')",3.0,0.0045662100456621,"('cho', 'ig', 'fan')",1,0.001524390243902439
5,"('came',)",6.0,0.00911854103343465,"('side', 'dishes')",3.0,0.0045662100456621,"('prices', 'pretty', 'pricey')",1,0.001524390243902439
6,"('soup',)",6.0,0.00911854103343465,"('staff', 'nice')",2.0,0.0030441400304414,"('pretty', 'pricey', 'great')",1,0.001524390243902439
7,"('good',)",6.0,0.00911854103343465,"('also', 'got')",2.0,0.0030441400304414,"('pricey', 'great', 'follow')",1,0.001524390243902439
8,"('restaurant',)",6.0,0.00911854103343465,"('tofu', 'soup')",2.0,0.0030441400304414,"('great', 'follow', 'chef')",1,0.001524390243902439
9,"('seafood',)",6.0,0.00911854103343465,"('beef', 'dumplings')",2.0,0.0030441400304414,"('follow', 'chef', 'chris')",1,0.001524390243902439
10,"('kimchi',)",5.0,0.007598784194528876,"('dumplings', 'general')",2.0,0.0030441400304414,"('chef', 'chris', 'cho')",1,0.001524390243902439
11,"('back',)",5.0,0.007598784194528876,"('tasted', 'like')",2.0,0.0030441400304414,"('chris', 'cho', 'ig')",1,0.001524390243902439
12,"('galbi',)",5.0,0.007598784194528876,"('kimchi', 'pancake')",2.0,0.0030441400304414,"('fan', 'ive', 'meaning')",1,0.001524390243902439
13,"('cho',)",5.0,0.007598784194528876,"('got', 'seafood')",2.0,0.0030441400304414,"('ig', 'fan', 'ive')",1,0.001524390243902439
14,"('spicy',)",5.0,0.007598784194528876,"('im', 'sure')",2.0,0.0030441400304414,"('means', 'old', 'prices')",1,0.001524390243902439
15,"('pancake',)",5.0,0.007598784194528876,"('restaurant', 'finally')",1.0,0.0015220700152207,"('ive', 'meaning', 'eat')",1,0.001524390243902439
16,"('bibimbap',)",5.0,0.007598784194528876,"('old', 'prices')",1.0,0.0015220700152207,"('meaning', 'eat', 'restaurant')",1,0.001524390243902439
17,"('much',)",4.0,0.0060790273556231,"('prices', 'pretty')",1.0,0.0015220700152207,"('eat', 'restaurant', 'finally')",1,0.001524390243902439
18,"('beef',)",4.0,0.0060790273556231,"('pretty', 'pricey')",1.0,0.0015220700152207,"('restaurant', 'finally', 'friend')",1,0.001524390243902439
19,"('dishes',)",4.0,0.0060790273556231,"('pricey', 'great')",1.0,0.0015220700152207,"('finally', 'friend', 'big')",1,0.001524390243902439
20,"('flavor',)",4.0,0.0060790273556231,"('great', 'follow')",1.0,0.0015220700152207,"('old', 'prices', 'pretty')",1,0.001524390243902439
21,"('didnt',)",4.0,0.0060790273556231,"('follow', 'chef')",1.0,0.0015220700152207,"('usually', 'means', 'old')",1,0.001524390243902439
22,"('im',)",4.0,0.0060790273556231,"('experience', 'waiters')",1.0,0.0015220700152207,"('big', 'mistake', 'ordered')",1,0.001524390243902439
23,"('bad',)",4.0,0.0060790273556231,"('chef', 'chris')",1.0,0.0015220700152207,"('literally', 'layer', 'oil')",1,0.001524390243902439
24,"('also',)",4.0,0.0060790273556231,"('chris', 'cho')",1.0,0.0015220700152207,"('soup', 'tasty', 'im')",1,0.001524390243902439
25,"('general',)",4.0,0.0060790273556231,"('cho', 'ig')",1.0,0.0015220700152207,"('tasty', 'im', 'sure')",1,0.001524390243902439
26,"('noodles',)",4.0,0.0060790273556231,"('ig', 'fan')",1.0,0.0015220700152207,"('im', 'sure', 'use')",1,0.001524390243902439
27,"('underwhelming',)",3.0,0.004559270516717325,"('fan', 'ive')",1.0,0.0015220700152207,"('sure', 'use', 'chili')",1,0.001524390243902439
28,"('banchan',)",3.0,0.004559270516717325,"('ive', 'meaning')",1.0,0.0015220700152207,"('use', 'chili', 'oil')",1,0.001524390243902439
29,"('authentic',)",3.0,0.004559270516717325,"('meaning', 'eat')",1.0,0.0015220700152207,"('chili', 'oil', 'cos')",1,0.001524390243902439
30,"('dont',)",3.0,0.004559270516717325,"('part', 'experience')",1.0,0.0015220700152207,"('oil', 'cos', 'literally')",1,0.001524390243902439
31,"('staff',)",3.0,0.004559270516717325,"('means', 'old')",1.0,0.0015220700152207,"('cos', 'literally', 'layer')",1,0.001524390243902439
32,"('pretty',)",3.0,0.004559270516717325,"('usually', 'means')",1.0,0.0015220700152207,"('layer', 'oil', 'sitting')",1,0.001524390243902439
33,"('us',)",3.0,0.004559270516717325,"('sour', 'usually')",1.0,0.0015220700152207,"('sour', 'usually', 'means')",1,0.001524390243902439
34,"('ok',)",3.0,0.004559270516717325,"('layer', 'oil')",1.0,0.0015220700152207,"('oil', 'sitting', 'top')",1,0.001524390243902439
35,"('night',)",3.0,0.004559270516717325,"('chili', 'oil')",1.0,0.0015220700152207,"('sitting', 'top', 'banchan')",1,0.001524390243902439
36,"('sure',)",3.0,0.004559270516717325,"('oil', 'cos')",1.0,0.0015220700152207,"('top', 'banchan', 'alright')",1,0.001524390243902439
37,"('side',)",3.0,0.004559270516717325,"('cos', 'literally')",1.0,0.0015220700152207,"('banchan', 'alright', 'kimchi')",1,0.001524390243902439
38,"('less',)",3.0,0.004559270516717325,"('literally', 'layer')",1.0,0.0015220700152207,"('alright', 'kimchi', 'way')",1,0.001524390243902439
39,"('old',)",3.0,0.004559270516717325,"('paid', 'meal')",1.0,0.0015220700152207,"('kimchi', 'way', 'way')",1,0.001524390243902439
40,"('going',)",3.0,0.004559270516717325,"('waiters', 'paid')",1.0,0.0015220700152207,"('way', 'way', 'sour')",1,0.001524390243902439
41,"('dolsot',)",3.0,0.004559270516717325,"('oil', 'sitting')",1.0,0.0015220700152207,"('way', 'sour', 'usually')",1,0.001524390243902439
42,"('dumplings',)",3.0,0.004559270516717325,"('way', 'sour')",1.0,0.0015220700152207,"('friend', 'big', 'mistake')",1,0.001524390243902439
43,"('ratings',)",3.0,0.004559270516717325,"('sitting', 'top')",1.0,0.0015220700152207,"('ordered', 'two', 'appetizers')",1,0.001524390243902439
44,"('go',)",3.0,0.004559270516717325,"('top', 'banchan')",1.0,0.0015220700152207,"('mistake', 'ordered', 'two')",1,0.001524390243902439
45,"('tasted',)",3.0,0.004559270516717325,"('banchan', 'alright')",1.0,0.0015220700152207,"('bibimbap', 'jjajangmyun', 'ok')",1,0.001524390243902439
46,"('ive',)",3.0,0.004559270516717325,"('alright', 'kimchi')",1.0,0.0015220700152207,"('flavor', 'found', 'odd')",1,0.001524390243902439
47,"('appetizers',)",2.0,0.00303951367781155,"('kimchi', 'way')",1.0,0.0015220700152207,"('found', 'odd', 'dish')",1,0.001524390243902439
48,"('great',)",2.0,0.00303951367781155,"('way', 'way')",1.0,0.0015220700152207,"('odd', 'dish', 'chicken')",1,0.001524390243902439
49,"('overall',)",2.0,0.00303951367781155,"('eat', 'restaurant')",1.0,0.0015220700152207,"('dish', 'chicken', 'salty')",1,0.001524390243902439
50,"('care',)",2.0,0.00303951367781155,"('dish', 'chicken')",1.0,0.0015220700152207,"('chicken', 'salty', 'dolsot')",1,0.001524390243902439
51,"('can',)",2.0,0.00303951367781155,"('odd', 'dish')",1.0,0.0015220700152207,"('salty', 'dolsot', 'bibimbap')",1,0.001524390243902439
52,"('sour',)",2.0,0.00303951367781155,"('friend', 'big')",1.0,0.0015220700152207,"('dolsot', 'bibimbap', 'jjajangmyun')",1,0.001524390243902439
53,"('salty',)",2.0,0.00303951367781155,"('jjajangmyun', 'ok')",1.0,0.0015220700152207,"('jjajangmyun', 'ok', 'nothing')",1,0.001524390243902439
54,"('meal',)",2.0,0.00303951367781155,"('bibimbap', 'jjajangmyun')",1.0,0.0015220700152207,"('bean', 'paste', 'flavor')",1,0.001524390243902439
55,"('overly',)",2.0,0.00303951367781155,"('jjajang', 'myun')",1.0,0.0015220700152207,"('ok', 'nothing', 'special')",1,0.001524390243902439
56,"('delicious',)",2.0,0.00303951367781155,"('myun', 'appetizers')",1.0,0.0015220700152207,"('nothing', 'special', 'disappointing')",1,0.001524390243902439
57,"('heavy',)",2.0,0.00303951367781155,"('appetizers', 'overly')",1.0,0.0015220700152207,"('special', 'disappointing', 'part')",1,0.001524390243902439
58,"('ate',)",2.0,0.00303951367781155,"('overly', 'seasoned')",1.0,0.0015220700152207,"('disappointing', 'part', 'experience')",1,0.001524390243902439
59,"('full',)",2.0,0.00303951367781155,"('seasoned', 'dukboekki')",1.0,0.0015220700152207,"('part', 'experience', 'waiters')",1,0.001524390243902439
60,"('friends',)",2.0,0.00303951367781155,"('salty', 'dolsot')",1.0,0.0015220700152207,"('experience', 'waiters', 'paid')",1,0.001524390243902439
61,"('first',)",2.0,0.00303951367781155,"('dukboekki', 'strong')",1.0,0.0015220700152207,"('waiters', 'paid', 'meal')",1,0.001524390243902439
62,"('excitement',)",2.0,0.00303951367781155,"('strong', 'bean')",1.0,0.0015220700152207,"('paste', 'flavor', 'found')",1,0.001524390243902439
63,"('left',)",2.0,0.00303951367781155,"('bean', 'paste')",1.0,0.0015220700152207,"('strong', 'bean', 'paste')",1,0.001524390243902439
64,"('paste',)",2.0,0.00303951367781155,"('chicken', 'salty')",1.0,0.0015220700152207,"('seafood', 'tofu', 'soup')",1,0.001524390243902439
65,"('soondubu',)",2.0,0.00303951367781155,"('paste', 'flavor')",1.0,0.0015220700152207,"('main', 'dishes', 'dolsot')",1,0.001524390243902439
66,"('awesome',)",2.0,0.00303951367781155,"('flavor', 'found')",1.0,0.0015220700152207,"('two', 'appetizers', 'dukboekki')",1,0.001524390243902439
67,"('meat',)",2.0,0.00303951367781155,"('found', 'odd')",1.0,0.0015220700152207,"('appetizers', 'dukboekki', 'general')",1,0.001524390243902439
68,"('say',)",2.0,0.00303951367781155,"('bibimbap', 'jjajang')",1.0,0.0015220700152207,"('dukboekki', 'general', 'chris')",1,0.001524390243902439
69,"('longer',)",2.0,0.00303951367781155,"('dishes', 'dolsot')",1.0,0.0015220700152207,"('general', 'chris', 'chicken')",1,0.001524390243902439
70,"('expectations',)",2.0,0.00303951367781155,"('main', 'dishes')",1.0,0.0015220700152207,"('chris', 'chicken', 'two')",1,0.001524390243902439
71,"('quality',)",2.0,0.00303951367781155,"('dukboekki', 'general')",1.0,0.0015220700152207,"('chicken', 'two', 'main')",1,0.001524390243902439
72,"('ordering',)",2.0,0.00303951367781155,"('big', 'mistake')",1.0,0.0015220700152207,"('two', 'main', 'dishes')",1,0.001524390243902439
73,"('will',)",2.0,0.00303951367781155,"('mistake', 'ordered')",1.0,0.0015220700152207,"('dishes', 'dolsot', 'bibimbap')",1,0.001524390243902439
