,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('great',)",46.0,0.016812865497076022,"('happy', 'hour')",11.0,0.0040219378427787935,"('amazing', 'every', 'single')",3,0.0010972933430870519
1,"('good',)",38.0,0.013888888888888888,"('fried', 'rice')",8.0,0.0029250457038391227,"('delicious', 'will', 'definitely')",3,0.0010972933430870519
2,"('roll',)",25.0,0.009137426900584795,"('will', 'definitely')",6.0,0.0021937842778793418,"('got', 'platters', 'today')",3,0.0010972933430870519
3,"('lunch',)",23.0,0.008406432748538011,"('lunch', 'specials')",5.0,0.0018281535648994515,"('platters', 'today', 'amazing')",3,0.0010972933430870519
4,"('restaurant',)",22.0,0.00804093567251462,"('spicy', 'tuna')",5.0,0.0018281535648994515,"('today', 'amazing', 'every')",3,0.0010972933430870519
5,"('get',)",22.0,0.00804093567251462,"('pad', 'thai')",5.0,0.0018281535648994515,"('every', 'single', 'delicious')",3,0.0010972933430870519
6,"('delicious',)",20.0,0.007309941520467836,"('definitely', 'recommend')",4.0,0.0014625228519195613,"('pineapple', 'fried', 'rice')",3,0.0010972933430870519
7,"('jasmine',)",20.0,0.007309941520467836,"('shrimp', 'tempura')",4.0,0.0014625228519195613,"('single', 'delicious', 'will')",3,0.0010972933430870519
8,"('go',)",19.0,0.006944444444444444,"('bento', 'boxes')",4.0,0.0014625228519195613,"('will', 'definitely', 'buying')",3,0.0010972933430870519
9,"('always',)",19.0,0.006944444444444444,"('asian', 'cuisine')",4.0,0.0014625228519195613,"('definitely', 'buying', 'jasmine')",3,0.0010972933430870519
10,"('also',)",17.0,0.0062134502923976605,"('sour', 'soup')",3.0,0.0010968921389396709,"('chicken', 'fried', 'rice')",2,0.000731528895391368
11,"('best',)",17.0,0.0062134502923976605,"('miso', 'soup')",3.0,0.0010968921389396709,"('variety', 'asian', 'cuisine')",2,0.000731528895391368
12,"('happy',)",16.0,0.005847953216374269,"('can', 'get')",3.0,0.0010968921389396709,"('kung', 'pao', 'chicken')",2,0.000731528895391368
13,"('nice',)",16.0,0.005847953216374269,"('tempura', 'roll')",3.0,0.0010968921389396709,"('happy', 'hour', 'prices')",2,0.000731528895391368
14,"('chicken',)",16.0,0.005847953216374269,"('overall', 'good')",3.0,0.0010968921389396709,"('hot', 'sour', 'soup')",2,0.000731528895391368
15,"('definitely',)",15.0,0.005482456140350877,"('ive', 'ever')",3.0,0.0010968921389396709,"('hour', 'half', 'price')",2,0.000731528895391368
16,"('spicy',)",15.0,0.005482456140350877,"('great', 'atmosphere')",3.0,0.0010968921389396709,"('happy', 'hour', 'half')",2,0.000731528895391368
