,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('buffet',)",66.0,0.033828805740645826,"('crazy', 'buffet')",22.0,0.011282051282051283,"('snow', 'crab', 'legs')",4,0.002052334530528476
1,"('good',)",32.0,0.016401845207585853,"('crab', 'legs')",11.0,0.0056410256410256415,"('typical', 'chinese', 'buffet')",3,0.0015392508978963571
2,"('crazy',)",25.0,0.012813941568426449,"('filet', 'mignon')",6.0,0.003076923076923077,"('price', 'crazy', 'buffet')",3,0.0015392508978963571
3,"('get',)",18.0,0.009226037929267043,"('typical', 'chinese')",5.0,0.002564102564102564,"('crazy', 'buffet', 'good')",3,0.0015392508978963571
4,"('chinese',)",17.0,0.008713480266529985,"('chinese', 'buffet')",5.0,0.002564102564102564,"('buffet', 'good', 'lunch')",2,0.001026167265264238
5,"('buffets',)",16.0,0.008200922603792926,"('peking', 'duck')",5.0,0.002564102564102564,"('allyoucaneat', 'snow', 'crab')",2,0.001026167265264238
6,"('can',)",16.0,0.008200922603792926,"('asian', 'buffets')",4.0,0.0020512820512820513,"('go', 'crazy', 'buffet')",2,0.001026167265264238
7,"('like',)",15.0,0.007688364941055869,"('asian', 'buffet')",4.0,0.0020512820512820513,"('course', 'upped', 'prices')",2,0.001026167265264238
8,"('fresh',)",15.0,0.007688364941055869,"('big', 'fan')",4.0,0.0020512820512820513,"('crazy', 'buffet', 'can')",2,0.001026167265264238
9,"('selection',)",14.0,0.007175807278318811,"('chinese', 'buffets')",4.0,0.0020512820512820513,"('less', '20', 'person')",2,0.001026167265264238
10,"('duck',)",14.0,0.007175807278318811,"('well', 'worth')",4.0,0.0020512820512820513,"('get', 'special', 'treatment')",2,0.001026167265264238
11,"('great',)",14.0,0.007175807278318811,"('chocolate', 'fountain')",4.0,0.0020512820512820513,"('wonton', 'hot', 'sour')",2,0.001026167265264238
12,"('crab',)",13.0,0.006663249615581753,"('snow', 'crab')",4.0,0.0020512820512820513,"('get', 'pay', 'ive')",1,0.000513083632632119
13,"('also',)",13.0,0.006663249615581753,"('can', 'get')",3.0,0.0015384615384615385,"('good', 'todais', 'tons')",1,0.000513083632632119
14,"('go',)",13.0,0.006663249615581753,"('green', 'tea')",3.0,0.0015384615384615385,"('week', 'restaurant', 'clean')",1,0.000513083632632119
15,"('well',)",12.0,0.006150691952844695,"('go', 'back')",3.0,0.0015384615384615385,"('throughout', 'week', 'restaurant')",1,0.000513083632632119
