,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('soup',)",39.0,0.009568204121687929,"('soup', 'dumplings')",18.0,0.004417177914110429,"('xiao', 'long', 'bao')",13,0.0031909671084928816
1,"('dumplings',)",37.0,0.009077526987242394,"('dim', 'sum')",15.0,0.0036809815950920245,"('dim', 'sum', 'garden')",7,0.001718213058419244
2,"('good',)",37.0,0.009077526987242394,"('xiao', 'long')",14.0,0.0034355828220858898,"('pan', 'fried', 'noodles')",4,0.0009818360333824251
3,"('us',)",32.0,0.007850834151128557,"('long', 'bao')",14.0,0.0034355828220858898,"('crab', 'meat', 'pork')",2,0.0004909180166912126
4,"('like',)",32.0,0.007850834151128557,"('sum', 'garden')",7.0,0.0017177914110429449,"('pork', 'soup', 'dumpling')",2,0.0004909180166912126
5,"('service',)",30.0,0.007360157016683023,"('tasted', 'like')",6.0,0.00147239263803681,"('booty', 'butt', 'cheeks')",2,0.0004909180166912126
6,"('chinese',)",30.0,0.007360157016683023,"('10', 'minutes')",5.0,0.001226993865030675,"('eggplant', 'garlic', 'sauce')",2,0.0004909180166912126
7,"('ordered',)",29.0,0.007114818449460255,"('pan', 'fried')",5.0,0.001226993865030675,"('ordered', 'soup', 'dumplings')",2,0.0004909180166912126
8,"('time',)",24.0,0.005888125613346418,"('scallion', 'pancakes')",5.0,0.001226993865030675,"('right', 'front', 'us')",2,0.0004909180166912126
9,"('order',)",24.0,0.005888125613346418,"('minutes', 'later')",4.0,0.00098159509202454,"('beef', 'lo', 'mein')",2,0.0004909180166912126
10,"('long',)",23.0,0.005642787046123651,"('fried', 'noodles')",4.0,0.00098159509202454,"('sweet', 'potato', 'asperagus')",2,0.0004909180166912126
11,"('came',)",22.0,0.005397448478900883,"('first', 'time')",4.0,0.00098159509202454,"('ordered', 'beef', 'lo')",2,0.0004909180166912126
12,"('restaurant',)",22.0,0.005397448478900883,"('go', 'back')",4.0,0.00098159509202454,"('service', 'nerve', 'tell')",2,0.0004909180166912126
13,"('tip',)",22.0,0.005397448478900883,"('chicken', 'teriyaki')",4.0,0.00098159509202454,"('vegetable', 'pan', 'fried')",2,0.0004909180166912126
14,"('get',)",21.0,0.005152109911678116,"('crab', 'meat')",4.0,0.00098159509202454,"('fried', 'noodles', 'chicken')",2,0.0004909180166912126
15,"('pork',)",21.0,0.005152109911678116,"('soup', 'dumpling')",4.0,0.00098159509202454,"('noodles', 'chicken', 'rice')",2,0.0004909180166912126
16,"('chicken',)",19.0,0.004661432777232581,"('dont', 'know')",4.0,0.00098159509202454,"('business', 'save', 'money')",2,0.0004909180166912126
17,"('sakura',)",18.0,0.004416094210009814,"('orange', 'chicken')",3.0,0.000736196319018405,"('chicken', 'rice', 'cakes')",2,0.0004909180166912126
18,"('asked',)",18.0,0.004416094210009814,"('good', 'give')",3.0,0.000736196319018405,"('long', 'bao', 'okay')",2,0.0004909180166912126
19,"('really',)",18.0,0.004416094210009814,"('next', 'us')",3.0,0.000736196319018405,"('joes', 'shanghai', 'nyc')",2,0.0004909180166912126
20,"('first',)",18.0,0.004416094210009814,"('hot', 'pot')",3.0,0.000736196319018405,"('3', 'us', 'get')",2,0.0004909180166912126
21,"('didnt',)",17.0,0.004170755642787046,"('juicy', 'buns')",3.0,0.000736196319018405,"('tasted', 'like', 'peanut')",2,0.0004909180166912126
22,"('minutes',)",17.0,0.004170755642787046,"('cream', 'cheese')",3.0,0.000736196319018405,"('ive', 'never', 'reviewed')",1,0.0002454590083456063
23,"('much',)",17.0,0.004170755642787046,"('rice', 'cakes')",3.0,0.000736196319018405,"('wasnt', 'professional', 'also')",1,0.0002454590083456063
24,"('dont',)",17.0,0.004170755642787046,"('minimum', 'tip')",3.0,0.000736196319018405,"('people', 'tell', 'go')",1,0.0002454590083456063
25,"('said',)",17.0,0.004170755642787046,"('said', 'yes')",3.0,0.000736196319018405,"('tell', 'go', 'back')",1,0.0002454590083456063
26,"('give',)",16.0,0.003925417075564278,"('dont', 'understand')",3.0,0.000736196319018405,"('go', 'back', 'dry')",1,0.0002454590083456063
27,"('ive',)",16.0,0.003925417075564278,"('poor', 'service')",3.0,0.000736196319018405,"('back', 'dry', 'pot')",1,0.0002454590083456063
28,"('also',)",16.0,0.003925417075564278,"('friends', 'ordered')",3.0,0.000736196319018405,"('dry', 'pot', 'really')",1,0.0002454590083456063
29,"('better',)",15.0,0.0036800785083415115,"('customer', 'service')",3.0,0.000736196319018405,"('pot', 'really', 'rather')",1,0.0002454590083456063
30,"('got',)",15.0,0.0036800785083415115,"('eggplant', 'garlic')",3.0,0.000736196319018405,"('really', 'rather', 'ive')",1,0.0002454590083456063
31,"('wasnt',)",15.0,0.0036800785083415115,"('shanghai', 'soup')",3.0,0.000736196319018405,"('rather', 'ive', 'never')",1,0.0002454590083456063
32,"('back',)",15.0,0.0036800785083415115,"('ordered', 'beef')",3.0,0.000736196319018405,"('dish', 'use', 'deal')",1,0.0002454590083456063
33,"('sum',)",15.0,0.0036800785083415115,"('lunch', 'specials')",3.0,0.000736196319018405,"('decent', 'people', 'tell')",1,0.0002454590083456063
34,"('dim',)",15.0,0.0036800785083415115,"('fried', 'udon')",2.0,0.00049079754601227,"('waitress', 'wasnt', 'professional')",1,0.0002454590083456063
35,"('taste',)",14.0,0.0034347399411187437,"('check', 'paid')",2.0,0.00049079754601227,"('reviewed', 'warn', 'everyone')",1,0.0002454590083456063
36,"('arrived',)",14.0,0.0034347399411187437,"('ask', 'us')",2.0,0.00049079754601227,"('warn', 'everyone', 'went')",1,0.0002454590083456063
37,"('eat',)",14.0,0.0034347399411187437,"('like', 'every')",2.0,0.00049079754601227,"('everyone', 'went', 'try')",1,0.0002454590083456063
38,"('xiao',)",14.0,0.0034347399411187437,"('garlic', 'sauce')",2.0,0.00049079754601227,"('went', 'try', 'juicy')",1,0.0002454590083456063
39,"('bao',)",14.0,0.0034347399411187437,"('credit', 'card')",2.0,0.00049079754601227,"('try', 'juicy', 'buns')",1,0.0002454590083456063
40,"('even',)",14.0,0.0034347399411187437,"('soup', 'still')",2.0,0.00049079754601227,"('frustrated', 'waitress', 'wasnt')",1,0.0002454590083456063
41,"('waitress',)",14.0,0.0034347399411187437,"('order', 'ordered')",2.0,0.00049079754601227,"('juicy', 'buns', 'eggplant')",1,0.0002454590083456063
42,"('know',)",14.0,0.0034347399411187437,"('reading', 'please')",2.0,0.00049079754601227,"('buns', 'eggplant', 'garlic')",1,0.0002454590083456063
43,"('beef',)",13.0,0.0031894013738959764,"('little', 'pricey')",2.0,0.00049079754601227,"('think', 'frustrated', 'waitress')",1,0.0002454590083456063
44,"('chinatown',)",13.0,0.0031894013738959764,"('per', 'roll')",2.0,0.00049079754601227,"('dish', 'think', 'frustrated')",1,0.0002454590083456063
45,"('server',)",13.0,0.0031894013738959764,"('roll', 'cream')",2.0,0.00049079754601227,"('advertised', 'dish', 'think')",1,0.0002454590083456063
46,"('bad',)",13.0,0.0031894013738959764,"('ok', 'ive')",2.0,0.00049079754601227,"('never', 'reviewed', 'warn')",1,0.0002454590083456063
47,"('dishes',)",13.0,0.0031894013738959764,"('right', 'next')",2.0,0.00049079754601227,"('beef', 'dish', 'decent')",1,0.0002454590083456063
48,"('little',)",13.0,0.0031894013738959764,"('much', 'better')",2.0,0.00049079754601227,"('dish', 'decent', 'people')",1,0.0002454590083456063
49,"('still',)",13.0,0.0031894013738959764,"('enough', 'try')",2.0,0.00049079754601227,"('expensive', 'dish', 'use')",1,0.0002454590083456063
50,"('never',)",12.0,0.002944062806673209,"('biggest', 'problem')",2.0,0.00049079754601227,"('use', 'deal', 'principle')",1,0.0002454590083456063
51,"('people',)",12.0,0.002944062806673209,"('pork', 'give')",2.0,0.00049079754601227,"('got', 'expensive', 'dish')",1,0.0002454590083456063
52,"('menu',)",12.0,0.002944062806673209,"('good', 'service')",2.0,0.00049079754601227,"('deal', 'principle', 'mediocre')",1,0.0002454590083456063
53,"('rice',)",12.0,0.002944062806673209,"('gave', 'tip')",2.0,0.00049079754601227,"('principle', 'mediocre', 'scallion')",1,0.0002454590083456063
54,"('wait',)",12.0,0.002944062806673209,"('boyfriend', 'ordered')",2.0,0.00049079754601227,"('mediocre', 'scallion', 'pancakes')",1,0.0002454590083456063
55,"('shanghai',)",12.0,0.002944062806673209,"('beef', 'lo')",2.0,0.00049079754601227,"('scallion', 'pancakes', 'werent')",1,0.0002454590083456063
56,"('times',)",12.0,0.002944062806673209,"('lo', 'mein')",2.0,0.00049079754601227,"('purposely', 'got', 'expensive')",1,0.0002454590083456063
57,"('right',)",12.0,0.002944062806673209,"('noodle', 'soup')",2.0,0.00049079754601227,"('pancakes', 'werent', 'flakey')",1,0.0002454590083456063
58,"('great',)",12.0,0.002944062806673209,"('didnt', 'taste')",2.0,0.00049079754601227,"('werent', 'flakey', 'crispy')",1,0.0002454590083456063
59,"('take',)",11.0,0.0026987242394504417,"('like', 'eating')",2.0,0.00049079754601227,"('also', 'purposely', 'got')",1,0.0002454590083456063
60,"('pretty',)",11.0,0.0026987242394504417,"('ive', 'never')",2.0,0.00049079754601227,"('flakey', 'crispy', 'id')",1,0.0002454590083456063
61,"('go',)",11.0,0.0026987242394504417,"('pay', 'extra')",2.0,0.00049079754601227,"('crispy', 'id', 'like')",1,0.0002454590083456063
62,"('10',)",11.0,0.0026987242394504417,"('wasnt', 'even')",2.0,0.00049079754601227,"('id', 'like', 'dim')",1,0.0002454590083456063
