,1-Gram,Frequency,Percent Total good 1-Grams,2-Gram,Frequency,Percent Total good 2-Grams,3-Gram,Frequency,Percent Total good 3-Grams
0,"('ramen',)",58.0,0.016246498599439777,"('bao', 'buns')",8.0,0.002241524236480807,"('cha', 'shu', 'ramen')",5,0.0014013452914798206
1,"('good',)",42.0,0.011764705882352941,"('crispy', 'rice')",8.0,0.002241524236480807,"('go', 'back', 'try')",3,0.0008408071748878924
2,"('fresh',)",36.0,0.010084033613445379,"('spicy', 'tuna')",7.0,0.001961333706920706,"('will', 'definitely', 'back')",3,0.0008408071748878924
3,"('fish',)",35.0,0.00980392156862745,"('pork', 'belly')",6.0,0.0016811431773606051,"('pork', 'belly', 'ramen')",2,0.0005605381165919282
4,"('great',)",35.0,0.00980392156862745,"('back', 'try')",6.0,0.0016811431773606051,"('back', 'try', 'ramen')",2,0.0005605381165919282
5,"('will',)",33.0,0.009243697478991597,"('go', 'back')",6.0,0.0016811431773606051,"('best', 'ive', 'city')",2,0.0005605381165919282
6,"('really',)",32.0,0.008963585434173669,"('best', 'ive')",6.0,0.0016811431773606051,"('can', 'tell', 'passionate')",2,0.0005605381165919282
7,"('omakase',)",27.0,0.007563025210084034,"('shrimp', 'tempura')",5.0,0.0014009526478005044,"('definitely', 'come', 'back')",2,0.0005605381165919282
8,"('best',)",27.0,0.007563025210084034,"('come', 'back')",5.0,0.0014009526478005044,"('ramen', 'bao', 'buns')",2,0.0005605381165919282
9,"('time',)",24.0,0.0067226890756302525,"('really', 'good')",5.0,0.0014009526478005044,"('come', 'back', 'try')",2,0.0005605381165919282
10,"('definitely',)",24.0,0.0067226890756302525,"('cant', 'wait')",5.0,0.0014009526478005044,"('spicy', 'tuna', 'roll')",2,0.0005605381165919282
11,"('restaurant',)",24.0,0.0067226890756302525,"('can', 'tell')",5.0,0.0014009526478005044,"('pork', 'belly', 'bao')",2,0.0005605381165919282
12,"('dawa',)",24.0,0.0067226890756302525,"('cha', 'shu')",5.0,0.0014009526478005044,"('underneath', 'girard', 'station')",2,0.0005605381165919282
13,"('quality',)",24.0,0.0067226890756302525,"('shu', 'ramen')",5.0,0.0014009526478005044,"('im', 'sure', 'will')",2,0.0005605381165919282
14,"('back',)",24.0,0.0067226890756302525,"('will', 'definitely')",5.0,0.0014009526478005044,"('wait', 'go', 'back')",2,0.0005605381165919282
15,"('delicious',)",24.0,0.0067226890756302525,"('full', 'flavor')",4.0,0.0011207621182404036,"('cant', 'wait', 'go')",2,0.0005605381165919282
16,"('ive',)",21.0,0.0058823529411764705,"('definitely', 'recommend')",4.0,0.0011207621182404036,"('ramen', 'full', 'flavor')",2,0.0005605381165919282
17,"('chef',)",20.0,0.0056022408963585435,"('first', 'time')",4.0,0.0011207621182404036,"('see', 'friend', 'excited')",1,0.0002802690582959641
