,1-Gram,Frequency,Percent Total bad 1-Grams,2-Gram,Frequency,Percent Total bad 2-Grams,3-Gram,Frequency,Percent Total bad 3-Grams
0,"('roll',)",34.0,0.010137149672033392,"('tuna', 'roll')",5.0,0.0014912019087384432,"('answering', 'phone', 'said')",2,0.0005966587112171838
1,"('good',)",30.0,0.008944543828264758,"('first', 'time')",4.0,0.0011929615269907546,"('approached', 'give', 'explanation')",2,0.0005966587112171838
2,"('time',)",26.0,0.007751937984496124,"('gluten', 'free')",4.0,0.0011929615269907546,"('hour', 'nobody', 'approached')",2,0.0005966587112171838
3,"('ordered',)",24.0,0.007155635062611807,"('wait', 'time')",4.0,0.0011929615269907546,"('ready', 'whole', 'hour')",2,0.0005966587112171838
4,"('order',)",21.0,0.006261180679785331,"('12', 'hour')",4.0,0.0011929615269907546,"('hour', 'ready', 'whole')",2,0.0005966587112171838
5,"('rice',)",21.0,0.006261180679785331,"('fried', 'rice')",4.0,0.0011929615269907546,"('12', 'hour', 'ready')",2,0.0005966587112171838
6,"('service',)",19.0,0.005664877757901014,"('spicy', 'tuna')",3.0,0.000894721145243066,"('quote', '12', 'hour')",2,0.0005966587112171838
7,"('go',)",18.0,0.005366726296958855,"('long', 'time')",3.0,0.000894721145243066,"('despite', 'quote', '12')",2,0.0005966587112171838
8,"('will',)",17.0,0.005068574836016696,"('half', 'price')",3.0,0.000894721145243066,"('minutes', 'despite', 'quote')",2,0.0005966587112171838
9,"('like',)",16.0,0.004770423375074538,"('high', 'hopes')",3.0,0.000894721145243066,"('25', 'minutes', 'despite')",2,0.0005966587112171838
10,"('sashimi',)",16.0,0.004770423375074538,"('last', 'night')",3.0,0.000894721145243066,"('area', '25', 'minutes')",2,0.0005966587112171838
11,"('never',)",15.0,0.004472271914132379,"('california', 'roll')",3.0,0.000894721145243066,"('pick', 'area', '25')",2,0.0005966587112171838
